user_name,star,comment_time,vote,short
苇间疯,5,2014-03-26 09:42:27,274,有种傻逼我特别厌恶，当年对LinkinPark如痴如狂，现在调转枪头说他们是愣头青，唱的是口水歌。一句话，去你妈的。我尊重我曾经喜欢过的每一张专辑，不管是LP、Metallica，还是张学友、动力火车。
停用豆瓣勿cue,4,2012-05-21 23:33:29,24,内地版做得蛮好的(非后期鸿艺再版)
潜意识,5,2008-03-23 14:41:37,32,03年5月第一时间买的18元正版CD，当初乱七八糟的宣传还多的要命，的确LP这张专辑是成熟了，但说是摇滚乐的拯救者这个也太骗孩子了。
果酱☮,4,2007-02-10 19:16:49,5,买过CD
椒图,5,2010-10-26 22:05:05,8,我听过LP所有的专辑中最棒的一张，目前没有之一。
文泽尔,5,2010-08-30 06:03:19,1,这张的每一首都是在电视上听的，有一段viva一直在反复播着林肯公园.不过其实更喜欢Gorillaz
令糊葱,NaN,2008-03-04 03:14:29,2,第一次接触的摇滚。
MOMO,4,2008-01-26 11:11:34,0,一听就会上瘾!手里是国内引进版，编号:CNA230337000
Kreuzberg,3,2009-06-16 15:25:18,1,没什么好说的。
莊小壞,4,2010-10-07 16:14:25,1,4－－－还不错。
慢先森,3,2011-08-21 20:09:50,1,心情不好，听这个发泄一下
六翼在天堂,5,2008-04-23 11:45:39,1,高中听了很久呢
金蛇郎君,2,2012-09-27 15:32:36,2,流弊肾垫
virgin,4,2009-05-07 10:50:55,1,我有！。。
Augenstern,5,2011-12-12 18:42:05,2,IfIcouldchangeIwould.TakebackthepainIwould.RetraceeverywrongmovethatImadeIwould.IfIcouldstandupandtaketheblameIwould.IfIcouldtakealltheshametothegraveIwould.”那个于瓢泼大雨中匍匐在地的灵魂，正战栗着爬起身来，瑟缩着忍受顽疾一样的苦痛。
夏日扬帆,3,2010-07-27 20:36:43,2,不好意思，实在是不喜欢这种
·,5,2012-02-17 09:48:29,1,最喜欢的一张专辑。
阿萌今天也很饿,5,2011-11-10 14:58:07,0,家里还有正版
三四,5,2008-08-19 13:25:13,1,接触他们的第一张碟
○Ⅴ○,5,2010-07-16 17:58:13,1,在古典音乐快把我给完全溶解的时刻，这就是我的救世主。
米粒,5,2010-09-14 23:20:42,6,这张忘记标。。摇滚启蒙。和艾薇儿一起。
Luffyjun,5,2011-09-30 19:56:11,1,实力就是实力~
Sophie  Z,5,2010-08-27 12:52:24,1,启蒙不解释
Miss Lucky,NaN,2007-01-17 19:58:12,2,somewhereibelongnumb
大海边的憨豆豆,NaN,2010-09-04 22:00:34,0,太给力了
阿右,5,2006-07-27 17:25:42,1,我爱林肯
KeneL裤头,4,2006-08-13 17:10:18,1,也是初一时听的，在运动会上...似乎当时所有人都在听LP
mee,5,2006-01-03 23:23:55,0,直白的，直接的。
囧之女神daisy,4,2009-12-18 12:39:07,0,nobodylistening一首足矣
不擅长,4,2010-06-09 19:20:43,0,http://www.xiami.com/album/168572
Pandy,4,2009-12-06 11:50:54,0,咦，原来我还没听这张..路上听..
殘 藍。,5,2006-05-16 21:32:59,2,非常喜欢LINKINPARK！他们这个暑假要出新专辑了。希望大家多多关注！
3C酱☆Matilda,4,2012-07-10 16:19:37,0,整张都很好听，但不想给满分。
壹壹桑,5,2009-10-23 20:33:12,2,这张专辑陪伴了我03年的整个暑假，把声音开很大，躺在地上，地板都在震动，我也开始喜欢摇滚和重金属。。。
essence.c,NaN,2014-06-29 10:05:55,0,大牛！
LORENZO 洛伦佐,5,2011-10-10 22:00:44,3,Meteora，条目多的吓人
😲,5,2014-06-11 14:06:40,1,16岁的时候天天loop这张专辑
Yome,3,2009-06-21 21:47:41,0,沒感覺
薇羅尼卡,5,2006-05-27 18:09:28,1,很棒！！
Augenstern,4,2011-11-18 11:57:39,1,嘶吼嘶吼~流星圣殿这名儿忒有范儿了~~
阿随向前冲,NaN,2011-08-11 21:56:22,1,毫无疑问，最喜欢《NUMB》
拜金沃斯学者,5,2007-05-05 17:04:34,0,听烂了。。。
alittlejessie,5,2007-04-27 00:19:25,1,somewhereIbelong
战国客,5,2009-03-02 21:12:45,2,Numb&Faint
远xx,5,2007-06-22 19:56:50,0,以前多喜欢这张啊....现在听毫无感觉了
齐鲁矿业李德友,5,2009-05-15 10:50:47,0,每次翻出来听都是热血沸腾。我的青春小鸟一去不复返。
Tatiana,NaN,2008-04-05 17:11:20,1,numb
Memento Mori,3,2009-10-04 15:27:06,0,我只是不喜欢新金属
逅宝,4,2007-08-30 13:17:27,0,爽
十万嬉皮Fz,3,2007-03-20 21:07:26,0,我承认我俗，毕竟从这入门的金属乐
杨山魈,5,2010-06-10 13:30:22,1,linkin的最经典专辑
苏小安。,5,2007-12-04 16:37:46,0,nb
说服改造中心,NaN,2010-04-28 11:57:46,1,这么俗的东西。。。
西柚小姐,5,2007-05-06 15:02:08,0,18块~标榜最实惠的一张
迷鹿,4,2011-03-04 21:25:25,1,以前好爱numb
大可,5,2006-01-19 19:31:18,1,fromtheinside听起来很悲伤
五月微蓝,5,2007-10-27 00:20:43,0,不为什么就是喜欢ＬＰ
水果君,5,2009-08-13 17:04:46,0,因为这张专辑，我本以为他们会一直这样，结果也仅至于此了。跟jay-z合作的那一场，chester的手腕刻着numb，T恤上的涂鸦写着i'mnothing.
小刀周远,5,2012-11-12 19:07:33,0,最近心情一不好，就把Meteora拿出来听。就让旋律撕碎一切吧。
ｅｍｏｌａ,5,2013-01-16 15:07:47,0,在某一瞬间想到十诫
万藏,5,2015-05-16 21:39:02,0,15岁最喜欢的唱片
芳香烃,4,2014-01-22 10:17:13,1,宇宙天团LinkinPark
Happy Wiggin,5,2008-10-27 21:44:24,0,为啥LP就可以如此让人血脉喷张><
息为,5,2008-01-05 12:42:25,0,强硬的金属感.超爽，和minutetomidnight虽然大相径庭，不过两张我都很喜欢.
0926根本没有,4,2007-10-26 16:42:46,0,Thankuforaccompnying.
西部獭仔,5,2011-04-04 22:55:24,0,永远的美特拉
荼,5,2011-05-29 18:49:26,0,如果说认识linkin是因为intheend，那么爱上他们便是因为这张专辑。
Caligari,3,2010-03-07 15:58:41,0,林肯最好的一张，当初还算喜欢
[已注销],5,2011-06-28 14:36:18,0,貌似这张才是更多的人认识LP么...但其实这张就开始变质了...
🌟亚树🌟,3,2006-02-07 21:20:43,0,Don'tStaySomewhereIBelong
kingfish,3,2006-07-05 16:45:39,0,noisy
上野千驴子,5,2007-10-06 12:40:03,0,听到灵魂出窍
痴人,5,2007-09-14 14:54:55,0,lp光辉之作。从此爱上摇滚
Bill,5,2013-03-08 11:42:26,1,首推NUMB
太空少年孙轩宇,5,2008-06-26 10:58:25,0,很不错
家常辣酱,5,2008-11-04 14:45:42,0,惊艳程度不亚于第一次听到周杰伦同学的娘子
得我艳与天齐,5,2008-06-12 18:46:16,0,当明超萌nobodylistening
Nosferatu,5,2011-06-21 16:21:59,1,太来劲了，我都情不自禁地跟着摇了饿
Joamyjin,5,2012-10-14 23:56:40,1,各种10年前疯狂小青年的摇滚圣经
aluuuuuuuuuuuu,5,2009-09-01 13:51:40,0,美特拉这张简直是神作。
学姐金角,5,2013-04-11 20:59:16,0,这五星是十年前的金角给的，跟现在无关
如电。,5,2006-01-23 18:20:56,0,不用说什么了吧^
沙力兔,NaN,2008-04-26 08:30:03,0,07暑假买的
豆友3079484,5,2009-07-12 09:54:53,0,永恒的LP经典
卡羚,5,2006-11-04 02:24:27,0,听到累……
Alsoran,4,2006-11-18 10:40:12,1,哈哈哈哈哈哈我好过分，借了朋友的这张专辑至今没有归还。
黛二小姐。,5,2009-06-07 18:26:31,1,Foreword
fake,5,2009-05-06 14:58:03,1,Meteora我想linkinpark达到了这种高度。。
A-Mian,5,2008-07-30 20:53:13,1,绝对的五星
Meteora,5,2010-07-14 21:44:10,1,Meteora
JoKe8,3,2007-08-28 12:03:47,0,林肯的最好的专辑我曾经认为，somewhereibelong我曾经的精神歌曲
Klematis,5,2008-04-20 14:57:05,0,NOBODYLISTENING是一次大胆的尝试。。。我果然喜欢听那些ROCK里加入新的元素
菲以,5,2011-03-07 19:31:55,0,最喜欢的一张LinkinPark，差点要以为是精选。
狂躁 C-137,4,2010-02-14 11:31:17,0,一个故人送我的CD...
Kay,5,2010-02-09 03:36:43,0,高中的时候听过的第一张linkinpark
凛,5,2009-07-12 20:01:32,1,我的流星聖殿，我的庇護所。
夏至线,5,2009-03-05 23:12:31,0,曾经大爱~今日亦如此~
mikaholic,3,2009-07-22 12:08:08,0,对比前作这张真是没意思
Sancruz,5,2015-10-21 19:23:21,0,经典啊
Sign,4,2010-07-04 15:44:45,0,【3.8】
