user_name,star,comment_time,vote,short
白牙尖,4,2011-12-31 09:38:54,35,Mr.Curiosity这首是最爱
zitsunari,4,2008-05-23 02:14:25,12,Mr.CuriosityBellaLuna
Luffyjun,4,2013-01-23 20:36:15,12,这曲风完全和I‘myours那张不一级别的~
陈哈,3,2017-12-09 13:21:17,2,好则好矣，非我菜。
Dyingpluto,5,2009-03-11 17:32:35,1,jasonlikesjason
浮生若梦,5,2006-10-14 21:58:22,1,透亮的声音如同要在阳光中融化的冰淇淋
L I M O,5,2007-11-21 13:34:59,0,完美生活。
白色的蓝,4,2008-05-20 00:50:09,1,没话说的好听
Claire,3,2008-06-12 23:12:23,0,【Mr.Curiosity】
Nuage☁,3,2008-01-20 10:42:55,2,Mr.Curiosity
要早睡啊minami,4,2009-11-29 18:53:25,0,喜欢
zard砸得王大崩,4,2007-07-14 20:30:38,0,不错，有自己的想法
人淡如菊。无奈,5,2008-06-15 14:35:07,0,还是这张好！
草威,4,2008-06-15 23:05:52,0,玩弄
夏日扬帆,4,2010-04-27 15:12:24,0,你就一点一点俘获我吧。。。[Mrcuriosity]
少年夏不安,5,2009-11-25 19:12:30,0,很好听啊很好听。
DeerColin,5,2014-03-13 03:44:26,1,令我印象深刻的是诗化复杂的歌词，编曲段落的衔接以及马叔的演唱。下面乐评对「BellaLuna」的翻译大赞！
张兮兮,4,2010-06-01 23:35:35,3,《Plane》这首歌深深地打动了我。。。iftheplanegoesdown，damn，Iwillrememberwherethelovewasfound。。。。
usquebaugh,5,2009-04-21 15:24:44,0,不能喜欢更多！！！！
肥匪廢·老🐰,5,2010-06-05 02:20:22,0,男巫磨耳朵~大爱此专辑~
狮子人,5,2007-08-01 20:42:35,0,極好！
莊小壞,3,2009-05-24 00:33:24,0,3.5－－－流行。
椒图,4,2012-02-23 23:37:05,0,太清新其实也腻……
NeonBible,4,2013-05-28 17:32:41,1,舒服。Bonustracks里的几首都相当喜欢。
不良少女劉蘭蒂,5,2010-10-26 12:23:50,0,Hiddenbonustrack.
大头绿豆,4,2007-12-20 21:57:51,0,Mr.Curiosity好听。http://nownow.yculblog.com/post.2704727.html
Miss Lucky,NaN,2008-05-04 20:42:12,0,JUSTSOSO，exceptLifeisWonderful
娅,5,2012-10-19 19:31:33,0,Mr.Curiosity
席德,4,2008-07-12 13:37:14,0,雖說是很流行的唱法，但這傢伙確實唱得還不錯，尤其是第一遍聽。到第二遍就有些膩了。。。
不擅长,5,2010-06-14 22:10:33,0,http://www.xiami.com/album/168438
M2,5,2010-05-26 09:40:53,0,purevoice
Arthur,5,2015-10-03 18:11:19,1,随性得不像话，浓重的想哪唱哪即兴路线，造成听感丰富得不像话，本行小清新不必说，骚灵韵律和摇滚气概相继绽放，比现在的流水线骚灵少了烟熏嗓以外，精气神流畅度内容意义都碾压，但毕竟灵气并不与资历正相关
和风莫吉托,3,2011-03-10 00:02:41,0,表示失望
走走走走一,5,2009-02-10 18:11:42,0,哇靠，简直是太好听了！新宠新宠！
你今日飲咗未,4,2011-01-31 21:03:39,0,嗯。
鱼秋刀刀刀,5,2012-05-10 10:21:19,0,I'llrememberwherethelovewasfoundIftheplanegoesdown，damn
神山樹,5,2011-11-22 13:18:20,0,plane
Белка,4,2008-06-29 00:42:54,0,总体不错不是很有感觉
Yi,4,2008-05-09 16:34:29,0,每首都很好听可是风格不大统一。。。。听整张有点怪怪但我还是爱他拉
安蓝·怪伯爵𓆝𓆟𓆜,4,2009-11-14 19:34:56,0,SongForAFriend
V,5,2009-05-11 23:45:02,0,9.0/10
铎奇,3,2010-11-12 13:03:27,0,比wesingwedance那张差一个档次
朱朱朱古力♥,5,2008-07-19 23:07:53,0,Ilovethisguy~!
人神斗,5,2011-10-23 20:46:24,0,他最动情的一张
小海,4,2012-09-11 22:48:20,0,总体三星的集子，但lifeiswonderful足够给再加一星。
一絲不掛,4,2008-09-15 04:41:50,0,ilovethecoverofthisalbum
元宵葫芦仙,4,2012-02-02 22:31:42,0,据说他的live更精彩。
小岩菽,5,2010-01-10 15:48:52,0,Lifeiswonderfulwithyou
建筑民工,5,2010-10-23 09:52:50,0,HeyMr.CuriosityI'mlookingforlovethistimesoundinghopefulbutit'smakingmecry
西柚小姐,5,2008-12-08 17:27:01,0,BellaLuna超精彩
米粒,5,2010-03-26 19:56:12,1,首首精华字字珠玑
绿毛水怪,4,2008-09-10 21:19:54,0,很多元化
丹,5,2008-03-12 16:05:10,0,非常sentitive的声音。我听着听着就开始哼唱。开始了解自己那些原来的情绪。真的，爱过才知道。
喷农药,4,2010-11-15 23:19:26,0,<LifeIsWonderful>，<Mr.Curiosity>，<BellaLuna>.
墨梓,5,2010-09-23 21:34:50,0,男巫最好的一张。
TristanShen,4,2009-04-18 12:48:30,0,4
做人呆呆,2,2010-02-11 03:29:24,0,好做作啊
墙角青苔,5,2011-03-26 16:01:22,0,是因为听到了Mr.Curiosity
从前有个山大王,5,2009-05-22 10:40:23,0,听得我幸福得要哭了～
然,5,2012-07-06 17:05:02,0,喜欢！
kingfish,3,2007-10-23 12:12:37,0,1.rap
上野千驴子,4,2010-08-19 22:54:02,0,这种声音就是讨厌不起来口牙XD
笪笪,5,2011-07-13 20:16:40,0,实况2011
痴人,5,2007-10-28 19:24:09,0,很多变呢~
Illusion·L,5,2014-07-12 17:18:07,0,很少见整张专辑都这么舒服~
太空少年孙轩宇,5,2009-02-07 22:01:40,0,Jason的东西我都大爱！！！
southstarj,4,2011-04-22 23:53:33,0,声线有点意思
麦心,4,2012-03-04 14:52:17,0,05年男巫的唱法有些青涩啊
Strelizeia,5,2009-08-20 10:51:47,0,Wordplayisdamnedgood!
私享史,5,2008-03-11 23:14:35,0,从远骋同学那儿分享来的
豆友3079484,5,2009-01-24 00:32:02,0,PLANE太太太惊艳啊！
Spidy,5,2010-04-22 20:03:04,0,好声音靓大叔
安德,4,2011-11-13 23:07:33,0,快乐的男巫谈恋爱，谁不喜欢。
菲以,5,2009-04-25 00:57:29,0,浑然天成，我只能想到这个词来形容，的声音，虽然没有辨识度。重点果然还是要看现场，惊艳到了！还有那张俏脸果然神似HUGHGRANT真是双重享受。LIFEISWONDERFUL太美了，另外推荐PLANE，BELLALUNA，SONGFORAFRIEND.
Gavin|江湖骗子,5,2010-03-07 13:18:15,0,拜倒在你的魔杖之下
阿吼吼,5,2011-08-15 10:39:21,0,GeekInThePink!socutemraz!
夏至线,5,2010-04-04 22:20:34,0,旋律出其不意兼各种流畅表示想看看他脑子里到底啥构造、、、
元森可乐,4,2010-10-28 19:55:57,0,http://u.115.com/file/f8ff0777d7
咪,4,2010-05-31 12:33:13,0,很普通啊
夏空,4,2013-05-18 17:24:50,0,！mua
月河,5,2013-09-10 22:32:23,0,难忘的声音。
春风颜色,5,2010-07-16 09:14:19,0,清澈而迷幻的味道，回旋往复。
微子,5,2010-11-29 00:51:37,0,轻浮得好
迷藏,5,2012-02-28 11:32:41,0,贼棒！
翔樹。,5,2008-08-06 13:35:16,0,一听惊艳但不可多听期待他的Live
御手洗街,5,2009-09-04 21:22:14,0,意料之外的惊喜，头疼都好了一大半儿了。
SUMMER,5,2011-07-15 16:20:11,0,太好听了
五月之星,5,2007-10-27 18:50:22,0,让我想起美好药店的《脚步声阵阵》
Yoo,3,2008-10-27 03:06:17,0,AlternativePoppick:5、7ＨＹＯＮ
神小鱼,5,2010-04-27 13:33:06,0,三张录音室专辑里最喜欢的一张话说我品味和大众倒过来了吗
小柔♥,4,2009-06-07 14:47:25,0,迷人呀~~
Candace,5,2010-03-10 23:28:26,0,myfavone
