user_name,star,comment_time,vote,short
UrthónaD'Mors,5,2008-06-15 15:22:05,8,实在是经典中的经典
颜良辰,5,2008-06-18 17:18:18,55,就是一个唱英文的吴青峰同学。
兔球波,4,2009-04-17 23:06:15,11,不适合旅游，倒适合睡觉听，另真没听出是男声....这世界真的是无奇不有
Claire,4,2007-09-19 23:38:41,7,一张以钢琴和弦乐为基调的indie专辑。男歌手ChrisGarneau的音色有点像女生，特别是高音部分。但是不会觉得别扭，反而觉得一切很自然。
tlmgt,4,2012-07-31 12:01:44,7,03.Black&Blue。不去小站看一下真的不知道是一朵美丽的男纸唱的······标签里“小清新”“清新”的是什么心态····
潜意识,5,2008-04-06 13:31:31,3,没想到突然之间打动了我，慢热的专辑。
徐达多,5,2008-04-24 21:02:00,3,两把提琴一台钢琴，漂泊的感觉就出来了，寂寞到凄凉。
凹凸代餐,5,2009-02-06 13:45:03,2,全部曲目
丶,5,2011-12-05 20:17:03,1,标准小清新。旅行专辑，轻声低吟。沉浸在自己的幻想之中吧。
Nuage☁,5,2009-01-15 20:29:27,2,11.Wedon'ttry
替身使者张阿谁,5,2007-05-23 20:16:18,4,像是能摸到上下颤动的喉结
Dyingpluto,3,2007-02-28 14:33:25,1,很安静带有神经质的喃喃自语.
Mignon松弛地,4,2007-02-27 18:15:28,1,好听！我喜欢的小忧伤
赵无眠,4,2013-01-25 10:04:42,1,睡不着的治愈系
PabloHoney,4,2008-03-09 12:31:50,0,还算好听吧
䒳,5,2011-03-05 16:40:20,4,小哥的声音辨识度太高了，在凤凰一家店坐着耳机在放他的歌，店里也在放，瞬间就同步了，不是文艺，那种感觉真的好舒服
吴嘎嘎,2,2008-11-14 23:27:18,0,wedonttry
ztlpoppy,2,2009-04-14 20:48:13,0,好甜的男人呀---------
瓜。相信这个世界很变态。,4,2010-01-30 01:23:55,0,回专辑名。不会的：）
欢乐分裂,4,2014-03-08 12:56:49,1,其实小清新民谣还真挺好听的
要早睡啊minami,5,2009-11-02 17:13:44,0,喜欢！
zard砸得王大崩,5,2007-02-24 09:32:29,0,simplelifeliftmeup
丝绒陨,5,2008-07-06 15:21:18,0,07年的最爱。
英恩,4,2009-12-17 21:43:23,1,精致，俏皮，典雅，灵动，温暖
♬ CaR,3,2012-04-14 12:33:40,0,我有听过这张哦。
夏日扬帆,4,2012-04-16 19:14:18,0,这种呢喃的语气肯定是豆瓣小清新的最爱……[relief]
十万嬉皮Fz,5,2007-03-29 18:50:36,1,疲于奔命的孤单
早米庵,5,2010-08-20 21:07:33,0,咩的，我是小清新啊
Topfun,4,2014-12-27 23:34:59,0,乘客们请注意，飞机即将坠机，请解开安全带，从紧急出口有序跳伞http://www.xiami.com/album/169183
小魔@优雅穿梭,NaN,2010-09-04 20:31:40,0,这是我好几年前加的“想听”
Summer孙夏天,5,2011-06-05 12:07:57,0,Relief
小M,5,2008-05-26 13:51:16,0,夏天午睡前听
狮子人,5,2007-04-01 11:21:59,0,好像DamienRice
莊小壞,4,2010-11-11 14:47:28,0,4－－－小清新男呀小清新男。樂器配得不錯，無論樂器還是人聲演繹方式不流俗。是值得慢慢品味的專輯。
≌菩提风花,5,2007-04-19 17:34:19,1,如其名浑厚宁静行走不息
Ridden,5,2009-05-05 13:02:48,0,Relief。Baby'sRomance。BlueSuedeShoes。
飞老湿,5,2010-01-15 05:09:33,0,听了N遍～
Luffyjun,5,2013-07-01 18:27:52,0,14首。Heisagay，but…whocare.忧郁的小飞机，钢琴+雌雄难辨的人声。
石小po,5,2009-10-22 14:30:53,0,这不是我送给王疯子摄像大哥的么？厚厚厚厚
BlackScholes,3,2012-10-29 05:58:48,0,明明知道不喜欢这种超清超清的音乐还去听。。。。
伊坂捅太郎,NaN,2013-03-27 14:29:12,0,还是听不下去
大头绿豆,5,2007-03-05 21:49:11,0,Castletime淡淡浅浅的大提琴，钢琴节点，很安宁。
Sophie  Z,4,2010-12-04 13:28:00,0,ChrisGarneau，比DamienRice更加颓……
Miss Lucky,NaN,2008-07-17 11:52:35,0,musicfortourists
花伦,NaN,2011-02-14 16:13:53,0,这张专辑听起来太忧伤了旅行的时候不适合吧
blackstar,5,2010-06-19 11:20:59,0,心灵捕手
席德,4,2008-12-15 20:11:33,0,在遊離中沒有失去自己的節奏，以鋼琴為主的配器和主唱中性的聲線非常契合。
不擅长,4,2007-11-13 13:54:20,0,http://www.xiami.com/album/169183
槿落,5,2012-09-23 22:05:40,0,是在哪个电影里用过他的歌么，怎么听着好耳熟，summer里？
Heyu.|电波洞,NaN,2011-06-10 11:41:13,0,reliefbaby
泠风,2,2008-02-15 18:51:05,0,不，我受不了这种做作！
Tiff,5,2010-05-20 05:14:43,0,淡色调的脆弱哀愁。
蹦床,3,2010-04-27 18:06:20,0,太清新了
和风莫吉托,4,2011-09-14 22:28:28,0,NotNice作为hiddentrack就好了
SilentTyler,4,2012-05-08 04:34:15,0,又一枚小清新:)
薇羅尼卡,4,2007-02-11 14:23:24,0,略带忧伤，喜欢BlueSuedeShoes
Inevitable,5,2008-11-20 02:37:13,0,主唱真的是男生？
洛林·恩,5,2010-01-27 01:03:42,0,NYCNYCNYCNYCNYCNYCNYCNYCCCCCCCC
安东妮,4,2007-02-09 22:19:07,0,我想同类产品要超越O很难很难。它很好，够甜美够忧伤。不过是没有那份绝望的力量。
yum,4,2007-12-25 20:20:06,1,纽约敏感小孩游走唱念之间
Illusion,5,2008-01-22 04:43:52,0,它无疑是很好的，钢琴伴奏相当舒服，只是我无法听下去，Relief
Memento Mori,3,2010-02-07 22:32:22,0,我只是想知道这个男的怎么如此女嗓。
拎北闲闲没代志,5,2010-04-26 10:31:55,0,十分之舒服。
Белка,5,2008-03-23 20:45:07,0,听多了这类...会有疲劳呐，不过这张真的不错/Baby＇sRomance、FirstPlace、NotNice最有感觉
Rouge Rouge,4,2012-06-27 16:52:55,0,跑进唱片店试听了很多以后买来的……
阿Gin波尔迪,5,2010-06-14 17:26:17,0,不错。赞
铎奇,4,2010-07-23 18:49:36,0,实在不好意思说最好听的是翻唱的我家elliott的betweenthebars...声音很纤细倒是。
朱朱朱古力♥,NaN,2010-12-02 11:13:15,0,第二次听还是完全听不下去我真是太不清新了不喜欢这把声音就如同不喜欢吴青峰的声音一样
BiuBiu,3,2010-05-22 22:38:10,0,你们不该捧得这么高。。
三元停靠,5,2009-06-18 20:43:11,0,很好听的sadcore
Gong Shore,NaN,2011-05-22 13:33:52,0,butwehaven'tmissedagooddayoftelevisionyetsofar
小猪de世界,3,2007-04-14 06:33:09,0,还可以的专辑声音满特别
郎中,5,2012-02-20 00:50:40,0,多年后再听感觉不一样了
kylegun,5,2009-06-17 10:20:03,0,好吧，INDIE一下又如何
張騫,5,2007-08-05 13:30:43,0,适合晚上听，不过听多有点腻歪
zk,3,2011-02-13 09:16:58,0,淡淡的忧伤
西柚小姐,4,2007-11-26 15:09:47,0,小忧郁
魚鰭,4,2010-10-10 21:53:53,0,怎能忘了這張呢？
半·糖®,5,2007-10-29 10:05:29,0,听了很久很久，为什么那么悲伤
五月微蓝,5,2007-08-14 19:43:10,0,习惯专辑简单纯净的封面，还有那首Relif，很喜欢。
