user_name,star,comment_time,vote,short
tlmgt,4,2012-09-20 08:06:45,104,我就是不希望这张变成她豆瓣上评分最多的专辑里最高分的一张。
倉鼠,5,2012-10-10 21:53:07,54,相比《神的遊戲》，可以感覺此時張懸的青澀，然而那股嫩生生的勇敢已毫無怯意地出現了，整張專輯基本呈現民謠的清新質感，旋律性應該是張懸所有專輯裏最強的，相比後幾張專輯開始往社會議題的外延，這張探索內裏的專輯也許更適合此刻的我吧。
眠去,3,2008-12-31 19:04:15,70,我喜欢Scream
锐利修蕊,5,2012-07-27 20:31:41,22,一直就喜欢张悬，这张专辑最喜欢《信任的样子》听了好久
郁程,5,2010-09-09 11:58:49,5,她的每首歌都很好听～
川总,3,2012-05-05 00:13:40,5,听了《城市》再回过头来听这一张，似乎过于清新了。《宝贝》可以学一学，唱给小孩子听
L I M O,5,2010-02-28 14:50:36,4,怎么過都別給限。
zard砸得王大崩,4,2006-12-14 15:37:55,5,记得她为出这张专辑所付出的努力，最终破茧而出~生活的甜蜜和困惑
夏日扬帆,4,2011-07-10 08:37:45,5,我TM就是喜欢你散漫的唱还有那些深奥的歌词[scream]
Bill,5,2007-09-28 20:28:42,4,我的宝贝宝贝……独立女声特有的感觉
鹿和男,4,2011-12-03 16:56:06,5,有些歌，是要特定的时候有特定的人才能被记忆深刻。
virgin,NaN,2009-12-01 16:21:45,1,我有！。。
毛利,3,2006-11-25 03:30:13,1,和曹芳一个路子的。
Song³,5,2007-09-29 18:50:18,4,第一张就这么有姿态
颜良辰,5,2008-04-14 17:48:42,1,宝贝。真温暖。
齊克斯尼力佐飛,3,2011-02-03 00:28:50,0,宝贝
Claire,4,2006-06-19 13:45:22,2,【Scream】【宝贝】【信任的樣子】【无状态】
Odding,NaN,2006-12-16 20:54:45,0,感动啊……
瓜。相信这个世界很变态。,4,2009-11-26 01:48:31,1,我是anti张悬的。
凹凸代餐,5,2010-08-16 11:42:08,0,http://u.115.com/file/f7a1669a6d
V.Dunham,5,2009-07-24 21:26:37,3,六年的沉淀让张悬在旋律上达到了往后难以企及的流畅性
JulyChan,NaN,2007-03-09 01:02:14,0,喃喃自语，喜欢的调调
捞,3,2009-09-08 01:07:59,1,我在她28岁的时候终以见到她，当年略带浮躁的《无状态》，我觉得现在终于沉淀了。
tripler,4,2006-12-03 20:46:28,0,从宝贝开始喜欢。
MochaTong,4,2006-11-12 21:11:03,0,宝贝宝贝。信任的样子
Hao,5,2008-01-19 20:26:19,0,贝比...
捂住嘴,5,2006-06-22 00:29:34,0,清新恬淡
英恩,4,2010-08-12 22:12:35,0,挺好
kik,5,2006-09-12 21:42:49,0,还是宝贝儿干净好听。
DeerColin,4,2012-11-18 15:04:01,0,《宝贝》的两个版本都很好听，吉他+民谣简单搭配出的小调实在悦耳！
thundercat,5,2008-04-22 17:12:35,0,让你喜欢整个明天
易召,5,2007-06-28 15:42:19,0,通常我爱称他们小独
不万能青年,5,2012-07-08 21:51:59,1,不妥协的幸运很难遇到，我和现实很难勇敢聊聊。
泉の向日葵,5,2006-08-28 20:08:21,0,简单的宝贝
汤之问棘🌈,3,2010-09-03 09:53:42,1,大清新。
赖小敏-🐳🦌,NaN,2007-01-30 15:41:53,0,听过了几首，不是所有
