user_name,star,comment_time,vote,short
岛上的夏奈,4,2011-09-03 16:45:51,131,陈绮贞的包装、王菲的唱腔、田馥甄的态度。
Kreuzberg,4,2011-09-04 14:27:20,72,基气逼人
齊克斯尼力佐飛,5,2011-08-27 23:13:37,74,现在标记算了，反正无论怎样我都会打五星的。
昏金暗玉,4,2011-09-12 08:35:24,90,郑楠的曲令人惊艳。《MyLove》填什么样的词都不重要，旋律已是呼之欲出的寂寞蜿蜒。
上野千驴子,2,2011-09-03 23:49:34,31,请把这些歌还给张悬，吴青峰，陈老湿，陈珊妮他们唱
何牧歌,3,2011-09-04 10:36:01,26,每首歌都挺不错的，唯一的问题是唱歌的人本身，她的声音衬很多歌都显得有些苍白，特别是当作者自己也唱歌的时候，例如陈珊妮，例如张悬，就高下立判了。当然，能从SHE里走到如今的境地时挺不容易，只是怎么去唱歌，怎么去真正释放自己的感情将之融入到歌喉里，这是HEBE要认真考虑的问题。
锐利修蕊,5,2011-10-01 09:20:01,27,果然质量最优的就是李格弟作词的那三首。和预料的一摸一样，作曲方面，陈绮贞的《影子的影子》绝对是最悦耳的，很适合小女生的私密耳语。张悬《请给我好一点的情敌》舒缓，果然很有她强烈的个人风格，一听就知道。而陈珊妮的《乌托邦》如果我不事先看到，完全听不出来是她的曲，是这三年来第一次为别人谱曲完全不像她风格的一首啊。其余几首之前就试听过。没有想象的那么完美，不过还是不错的。除这三首，重点推荐同名，魔鬼中的天使以及无事生非。
潋 | Béatrice,5,2011-08-18 00:50:06,29,喜碧，我爱极了你的声音往高音飘上去时候，那种舒展自在的感觉。期待你的声音制造出一卷精致的风情画。
鸭酱,3,2011-09-03 23:42:47,9,阵容够强大，可是起不到加分的作用，1+1＜2.。我不知道是华研的问题还是HEBE的问题。。。豆瓣首页乐评都是高端黑，别瞎矫情了成么。。。。
莫呼洛迦-屁股上的青春在歌唱,4,2011-09-15 12:15:14,12,这张真的很棒！
内陆飞鱼,5,2011-09-04 00:34:21,16,真好听，HEBE终于越来越有女人味，成为SHE最强的一个了。
