user_name,star,comment_time,vote,short
潜意识,5,2008-12-01 23:55:07,903,我相信上豆瓣的没人没听过这张专辑
yum,5,2007-03-07 10:51:59,246,年少轻狂的救赎专辑，每次情绪不可控，只要从头到尾听下来，肯定好
jellybaby,5,2016-08-16 00:20:43,102,现在再听nirvana的nevermind，是能感觉到80年代的朋克在英国和美国的地下是如何扎根，扩大影响力，最后在恰当的时机遇到kurtcobain这个天才并一举掀翻乐坛的。其实这张专辑现在听起来并没有那么新鲜，它能听到很多前人的影子，kurt只不过把旋律和bass写得比启发过他的所有乐队都要漂亮和忧郁罢了，加上完美的录音的助力，歌喉和歌手与歌曲完全融为一体的独特的气质，造就了这张不朽之作。
尉迟,5,2008-05-25 01:45:37,113,什么叫摇滚？！
小魔@优雅穿梭,5,2010-06-23 08:59:43,19,Comeasyouare
大头绿豆,4,2005-11-25 14:34:56,14,心都被Cobain撕碎了
Song³,5,2007-09-14 16:00:09,27,阴茎乐
Wander-Lust,3,2011-05-17 18:08:54,16,除了重金属外什么都没听出来。。。这样一张神碟真是被我侮辱了。
Luffyjun,4,2013-10-26 22:28:46,22,涅槃应时代而生。在这个年代听来，不喜欢的会一首也听不下去，喜欢的会把首首奉为珍宝。不太适合我【专辑封面太经典了
tlmgt,5,2014-12-22 19:37:57,16,92年那张选集更好
亞麻君,1,2010-08-18 19:47:08,9,啊！！！！我不喜欢啊~~~
豆友36396401,4,2011-10-21 23:40:33,8,TerritorialPissings当年真给我听哭了
果酱☮,5,2008-12-10 20:47:08,6,中学时代买过打口CD，怎么也想不到就此会对我产生影响。
光年‖影视歌三栖民工,4,2008-10-30 00:15:18,7,喜欢SmellsLikeTeenSpirit
Memento Mori,5,2009-10-04 15:29:51,4,五星是因为你们叫Nirvana。
Odding,4,2006-03-26 00:07:51,0,好。
ttya,5,2012-03-04 06:07:41,4,有次看电视台采访过已经长大了的露JJ的小孩
BlackScholes,4,2013-11-24 01:59:56,3,不是那个年代的人，没经历过那些事情，是不会理解的。就是觉得slts真的没什么共鸣。
赤潮▪夯,5,2006-12-12 11:11:15,1,我的最爱之一。
人淡如菊。无奈,5,2007-09-16 10:42:41,0,超赞
Jr.Pimp,5,2010-07-26 17:46:19,1,SmellsLikeTeenSpirit!!!
Enjoy🌈Rachel,5,2011-08-18 00:41:20,0,涅槃还是最爱这张的感觉~~
KeneL裤头,5,2006-08-13 16:22:28,2,接触Nirvana还是因为梁Sir，这应该是他最爱的乐队.在初三这个比较浮躁的时期，听着这张唱片，有说不出的释放感
小本,4,2010-10-13 16:25:46,0,代表作昂
DLL@baidu,5,2021-06-27 17:08:36,15,虽然可能是最大众化的摇滚专辑之一，但如果你不喜欢这张专辑你就不喜欢摇滚乐。摇滚乐不是你的流派。从头到尾没有一首不好的歌，也没有无聊的瞬间，也没有一直硬核lit造成的审美疲劳，因为基本上每首硬核lit摇滚中间都会自带zoneout的solo或者“抒情”瞬间。制作光鲜亮丽，Cobainvocal能力在所有白人男性摇滚歌手里自成一个等级
Samwellllll,5,2010-01-29 20:23:16,0,涅磐
六壁坂,5,2014-06-17 20:36:33,3,作业用BGM……
Summer孙夏天,4,2011-06-10 19:34:47,0,SmellsLikeTeenSpirit
莊小壞,5,2009-03-07 18:56:23,3,5－－－因为过于坦白，无处躲藏。
椒图,5,2011-04-08 01:06:32,1,Well，whatever，nevermind...每次听到前奏，都觉得全身有电流穿过，瞬间亢奋起来。
涒灘,5,2006-11-16 20:10:36,0,震撼！
Gwen Cooper,5,2011-08-01 14:53:39,4,涅槃在前奏上有着行云流水般不找痕迹的处理，神
blackstar,5,2011-04-11 20:02:43,1,另类摇滚的基座
和风莫吉托,5,2011-03-10 00:00:17,0,！
冰山的阴影,5,2013-11-01 22:50:37,5,91年最为经典的Grunge-Rock暴烈作品，将美妙旋律和狂暴情绪完美结合的作品，率先90年代杀出6、70年代重围的代表，拥有西雅图的垃圾热浪攻陷主流唱片排行榜的光辉战史。“涅槃”队名的完美诠释。
掩杀,NaN,2006-04-15 03:27:43,2,喜欢《TerritorialPissings》
新竹,5,2012-01-22 08:02:23,0,好吧，有人沒聽過麼？！LOL
爱罗武勇,NaN,2013-07-13 11:49:50,4,太适合心情躁郁的时候听了
时以星,5,2014-11-24 20:12:36,3,本以为我的躁郁期在初中时已终止，没想到20年后又来找我。所以，需要听Nirvana，againandagain。SmellsLikeTeenSpirit、ComeAsYouAre、SomethingInTheWay
Белка,5,2008-04-05 13:56:36,0,终于终于听了。毕竟我还是少一点摇滚敏感。
Aki,5,2008-05-17 21:07:55,3,Lithium
Seamoon,5,2012-02-27 23:19:09,0,最近豆瓣收藏数超过了4000，因为属于书影音齐头并进型，没有在单方面的专工，有分散的爱好，也比没有要好。这专辑第一首歌超级带劲，后面的一些就显得有点黯淡了。
Fantasy,5,2009-05-25 12:15:49,0,神作
失控的蘑菇,3,2010-01-04 11:30:24,0,okay...
朱朱朱古力♥,4,2011-04-14 20:55:19,1,Lithium
艾桑,4,2006-10-23 13:39:33,0,好好好偶尔听听爽快地的，牛B！
biiru_u✨,NaN,2007-05-28 11:01:34,0,嗯，没什么好说的
大D,4,2007-02-12 18:40:36,0,最朋克！
Shudoku,3,2012-07-24 07:36:08,0,总之不是俺的菜
