user_name,star,comment_time,vote,short
冷猫,4,2006-10-01 21:31:49,20,某种小动物的淡薄的梦。
zard砸得王大崩,4,2006-12-15 00:15:04,22,总觉得她的英文没有法文的歌曲有感觉
贾不许,3,2008-12-30 13:15:18,6,迷幻的靡靡之乐从低沉而吟唱我开始发热僵冻放空白目
撒旦的表妹,4,2010-02-19 13:35:51,5,还不错，听多了困的不行不行
L I M O,5,2007-06-25 10:45:06,1,無處可去。
齊克斯尼力佐飛,4,2011-02-02 09:34:53,0,notgoinganywhere
Μουσαι,4,2012-03-04 16:40:36,0,Seventeen|ByTheCathedral
浮生若梦,5,2006-10-14 21:59:30,0,最爱
女巫,NaN,2008-01-04 14:15:16,0,keren只要静静地唱就可以了
Mignon松弛地,5,2008-03-04 18:47:16,0,低调~好听的曲子很多
Song³,5,2007-09-23 13:21:50,0,NotGoingAnywhere
tlmgt,4,2012-07-03 02:32:44,0,Polly
徐达多,4,2009-02-12 00:36:16,0,懒散的酥了骨头。
丶,5,2011-12-06 18:35:58,0,这个民谣只有两个字形容：惊艳。就这么安安静静的，直到凋零。
猫打喷嚏,4,2010-04-26 14:12:35,1,很安静的音乐啊，我听了总是容易睡着。。惭愧
凹凸代餐,4,2009-04-21 12:31:41,0,【NotGoingAnywhere】
丝绒陨,5,2008-07-06 15:13:48,0,绝世女伶的一次优雅唱游
寂多蔓生,5,2013-10-27 05:01:18,1,日鱼月天秤温柔的女声
cristine,5,2006-09-05 14:34:50,0,好舒服的音乐，适合晚上听～～
狮子人,5,2007-04-14 21:17:34,0,还用多说吗。
小狐狸BOBO,5,2006-01-06 22:07:17,0,缥缈的吟唱，天籁的简约，她是她，仅此而已！
Ridden,5,2008-12-28 17:18:29,0,NotGoingAnywhere。EndOfMay。ByTheCathedral。
客心未央,NaN,2008-10-19 17:10:13,0,干净的声音
○Ⅴ○,5,2010-03-20 09:59:02,0,很早听的。有几首的调子忘不了。
Luffyjun,5,2012-05-07 21:36:25,0,哪儿也不去~哈哈
艾桑,3,2008-03-08 16:23:57,1,现在听这些觉得有点太白平平无奇的一张
涒灘,4,2007-12-13 16:47:59,0,适合世界上任何一个咖啡馆做背景音乐
静@Einfühlung,NaN,2006-04-24 22:08:22,0,很安静......
鹿鹿子(>^ω^<),5,2006-09-03 11:12:13,0,kerenAnn
Elika,NaN,2007-09-22 11:54:45,0,bythecathedral
evan是幻想家,3,2010-02-27 23:44:15,0,法语版更好听些
大头绿豆,5,2006-01-12 21:45:17,0,ann的英语含含糊糊的，很有意思。
谁亲爱的偏执狂,5,2010-04-27 15:14:27,0,喜欢她的声音
團團是個團|囧囧是個囧。,3,2010-11-17 18:38:42,0,最近太浮躁。。。
品客,4,2007-05-20 15:02:04,0,很久以前听的了，还可以.
阿猫小姐,4,2006-10-05 12:34:32,0,清新民谣．
Miss Lucky,4,2006-12-28 19:24:25,0,endofmay
乡愁,4,2011-01-25 21:10:52,0,ThisiswhyIalwayswonder，I'mapondfullofregrets.Ialwaystrytonotrememberratherthanforget.
blackstar,5,2010-07-03 12:03:09,0,bruissement，Jet'aime
不擅长,5,2009-10-25 18:25:52,0,http://www.xiami.com/album/167537
趙叔,4,2010-09-08 20:10:12,0,小清新下
DrunkFox,5,2008-11-14 01:03:29,0,2008春夏之际
亞麻君,4,2009-04-06 13:15:34,0,有些另類，不過有些歌很不錯
和风莫吉托,5,2011-03-09 23:47:32,0,当初听了一个月都没腻味
薇羅尼卡,5,2006-09-07 13:52:15,0,太棒了，让心灵沉醉~~
mibo lost,NaN,2013-04-12 11:52:43,0,又名:宅
evonne||芝士命,4,2009-07-08 16:26:39,0,宁静悠然
小晨,4,2010-01-01 10:40:26,0,拿到这张CD就不觉得兴奋听完了依然不兴奋不错跟喜欢和推荐是两码事
帕布利卡醬,5,2008-07-27 15:05:13,0,不用多说什么了。不是么。
怀山鹿,5,2010-11-27 21:20:34,0,第100张~~那个仰望的角度。。←这就是小清新~~
ANNXXNA,5,2010-11-02 08:52:20,0,iloveusooooomuch
夏树森林,NaN,2008-03-02 14:31:59,0,高三。
半个柿子,4,2011-05-18 15:18:45,0,小姑娘
Illusion,4,2007-09-10 01:53:16,0,Peoplecomeandgoaway，butIamnotgoinganywhere...想要的就是这样
Pumpkinhead,4,2011-02-12 18:50:06,0,悦耳的女声貌似已经成为小清新的代名词了
我爱阳光,5,2007-09-30 19:53:42,0,太精致的声音~
放开那个西红柿,4,2011-05-13 11:24:46,0,大学的记忆。
江央又被晒黑了,5,2011-10-04 01:50:54,0,我还是听过很多小清新的嘛
拎北闲闲没代志,NaN,2010-04-24 14:52:38,0,不舒服。
Белка,5,2007-08-21 21:32:21,0,KA，还有什么能说的呢
ヽ 丶詸゜,5,2007-11-24 18:35:53,0,美女加才女~~
踢小石子儿,5,2011-01-22 14:47:42,0,还是挺喜欢她的
ｅｍｏｌａ,5,2013-01-08 12:35:11,0,哪儿也去不了；EndOfMay，ByTheCathedral
原獸god,5,2009-11-23 15:44:44,0,惆悵圓舞曲。
滚石,4,2012-03-01 15:10:37,0,推薦曲目1、2、5、9
DG,3,2008-10-20 00:21:03,0,NotGoingAnywhere
斜晖脉脉,5,2010-07-13 09:59:51,0,很喜欢她那低缓的声音，还有那抒情的调子
痴人,4,2007-09-06 22:09:36,1,高二暑假min的推荐。比较适合在阳光浓烈的秋天听~最喜欢bythecathedral
TristanShen,4,2009-01-21 20:06:12,0,4.2
独孤树,5,2012-04-09 16:22:12,0,爱呀！
Theo Lee,5,2007-08-08 19:15:35,0,最喜欢的KerenAnn专辑
everythinbagel,5,2013-02-24 15:11:49,0,很难得每一首都很好听
0926根本没有,NaN,2007-11-04 07:27:45,0,Thanks.Dear
≌菩提风花,5,2007-03-28 18:09:06,0,I'MNOTGOINGANYWHERE
寻找哥本哈根,3,2011-03-04 20:50:36,1,在错误的时间里听，就会心生反感
碧心,4,2011-11-04 09:40:52,0,温柔，清新，贴心，安宁
