user_name,star,comment_time,vote,short
meiiii,5,2011-03-19 00:31:52,5,夜晚突然听到，一阵感动
UrthónaD'Mors,5,2008-02-01 18:32:50,3,如梦境中传来的天籁，所有世间烦嚣，此时此刻，都遁入虚无之中了。同样耳熟能详的曲调，却多了一份清新、温柔
♬ CaR,5,2011-02-17 17:38:29,1,我的入睡曲
文泽尔,4,2009-09-18 21:31:38,1,一直在电台上听的，宛如唱诗班在做弥撒时咏唱的天堂般的回响之声，耳熟能详的曲调和感人的谱词，令人感动的干净利落。
果酱☮,4,2008-11-25 09:46:26,0,封面
徐达多,4,2009-02-11 19:30:51,0,心静
StevenTong,4,2009-09-01 07:15:42,0,溫柔的夢。
丶,4,2011-12-05 20:20:06,0,跟专辑封面一样，适合睡前慢慢催眠的民谣专辑。
香水瓶,4,2009-03-25 15:05:10,0,Everydayisanotherday
BlackScholes,4,2012-12-16 09:02:16,1,大叔版会更催眠
sevear,4,2007-02-04 11:10:59,0,跟封面一样……就是一张摇篮曲
人淡如菊。无奈,4,2008-02-10 15:42:34,0,SonataNo.8WhatAWonderfulWorld
鹿依尘,5,2009-10-27 11:58:34,0,十分温暖美好
哈默林騎士,NaN,2006-04-24 18:39:06,0,甜美清澈
Summer孙夏天,3,2011-06-26 15:12:29,0,3.5
小M,4,2008-04-03 20:16:47,0,清澈的催眠曲
Ridden,5,2007-12-16 11:06:19,0,听上去很安静。
isomer。妖。,NaN,2011-01-28 11:07:38,0,豆瓣电台差一首就给我播完了。
谁亲爱的偏执狂,5,2010-06-07 18:35:21,0,我靠这封面太可爱了！
Yurikhan,4,2011-11-17 15:36:11,0,催眠曲
Sophie  Z,4,2010-12-06 02:41:54,0,KarenPeris
Miss Lucky,NaN,2007-01-11 19:46:22,0,moonriver
席德,4,2008-06-12 00:49:35,0,安眠曲，一如封面。
冬至,4,2009-12-22 15:14:41,0,好温馨!
madmozart,5,2012-11-26 12:46:08,0,动人。
泠风,3,2008-02-15 18:50:26,0,听多了后摇听民谣有益身心健康。
蹦床,3,2010-04-29 17:59:36,0,难听，too清新to接受
