user_name,star,comment_time,vote,short
tlmgt,1,2016-01-24 21:40:32,39,最虚“神专”
psycho DC,5,2012-02-27 14:02:49,82,光是凭ColdWater我就想给10星！
文泽尔,5,2010-07-09 23:55:23,31,豆瓣电台反反复复终于将这张治愈的爱尔兰民谣播完了.喜欢的是DelicateblowersDaughterCannonballOlderChests这四首
Song³,4,2010-01-02 22:43:47,22,TheBlower'sDaughter
Claire,4,2008-01-21 13:06:34,29,因为偷心，爱上DamienRice的歌。
安东妮,5,2005-11-11 20:33:32,18,我说什么好。2003年还在我记忆里，还有痕迹。但也已零落班驳。在遇见之前，DamienRice在这个星球的哪个角落写下了[O]，素白纸面，孤单小人。告诉我你最爱的是哪首歌。我听你拉一曲大提琴。比失恋还愉悦。比死亡更性感。爱尔兰，爱尔兰，请陪我去爱尔兰。为什么会有这样的国度。为什么你是这样的爱人。Amie锋利的呼唤。CheersDarling迟缓的悲伤。IRemember泪如雨下。秋天听完所有哀愁低回的歌声，我终于肯相信一种命运。请让我们分离至死，永不再见。
旗旗,3,2006-11-10 11:07:32,4,justsoso
L I M O,5,2007-06-25 10:45:19,5,我不是零我不是零。
川总,5,2011-11-05 22:27:15,5,Can`ttakeeyesoffyou....wannabefuckedinsideout........
Bill,5,2011-01-29 05:26:07,1,舒服的声音
K洛,1,2008-11-22 10:22:19,5,一个星给多了
眠去,5,2007-08-01 18:25:11,4,CheersDarlin
DeerColin,5,2013-04-23 12:45:56,3,经典的东西只能在绝望的时候用来涤荡心灵！
三层保暖,3,2009-06-11 13:36:59,1,看来我是不适合再听民谣嘞
鸭酱,4,2010-06-21 11:20:14,3,真是音乐湿人啊
令糊葱,5,2009-08-28 11:54:25,1,soitis
果酱☮,4,2008-12-09 22:33:41,2,Ican'ttakemyeyesoffyou
和风莫吉托,5,2010-11-10 19:26:52,4,请拉上窗帘好吗？因为他要开始唱歌了
鹿依尘,5,2010-08-17 18:31:14,2,优美。哀伤。
椒图,3,2013-02-21 01:36:34,3,过了这个劲了。
🍀again 😸,5,2012-09-27 17:36:16,2,TheBlower'sDaughter自从2006年听过就忘不掉的歌，而且每年听的时候感受都不太相同。
Luffyjun,5,2013-01-03 19:12:26,3,我听赖斯的第一首确也是《TheBlower'sDaughter》，声线很像《曾经》的男主，这首在《偷心》确实吸引了大众的眼球…声如其人，个性十足，喜欢！
洛野,5,2008-04-21 20:05:47,2,平静中聆听起伏的情绪
Luu,4,2008-11-09 21:01:09,0,fresh~
Aragaki,4,2008-09-12 19:00:12,1,DamienRice
瓜。相信这个世界很变态。,4,2007-03-17 15:40:44,0,大米。
徐达多,5,2007-10-04 21:09:30,0,0
夏日扬帆,5,2013-07-15 23:22:05,1,第一次听倪安东现场唱theblower'sdaughter的时候，说实话，呼吸都被带走了，大米通过录音室版本带来了更加的震撼，晚上一个人听的时候，呼吸都真的会缓慢下来[theblower'sdaughter，amie]
zard砸得王大崩,5,2006-12-15 00:33:01,0,那一年在我CD呆最久的专集
猫打喷嚏,4,2010-04-26 14:04:04,0,看bones在剧里听到的，特地搜了专辑来听。但说实在的我只喜欢里面一首
Samuca,NaN,2010-06-03 21:39:40,0,爱尔兰的音乐是王道！
龙三,NaN,2008-09-10 22:26:54,0,伤花怒放
倉鼠,5,2012-04-06 10:45:22,0,断肠人的歌
苏格,NaN,2007-03-18 14:08:55,0,白先生送的第一份礼物。我当时还自作多情的翻歌词里有没夹告白的小纸条~掩面，羞奔
李念河重出江湖,5,2011-10-23 22:03:37,1,这个真的超好听超级超级超级超级超级好听。。。小氯哥我借你听吧保证你喜欢
周不時,5,2011-06-27 11:27:48,1,好~好~听~！
莊小壞,4,2011-11-12 22:10:11,1,4－－－第一張。我喜歡第二張多過這張。
明明就,5,2010-12-11 22:31:56,1,好好听啊！！！！！
Ridden,5,2008-02-04 19:47:03,1,很赞很赞的一张。
○Ⅴ○,5,2010-06-16 11:41:16,1,CANNONBALL挚爱
易召,5,2008-12-09 19:53:55,0,素描所有残存的冬天
索君,5,2010-09-30 09:27:28,0,清淨專用麼。
小M,4,2008-12-31 12:42:35,0,大叔太煽情了
KID A🌈,5,2009-12-30 11:38:12,1,给我听这张唱片的人已经不在身边了
七和,5,2011-11-22 21:54:58,0,喜欢
姚大傻咖咖,5,2008-12-21 15:20:30,1,听过前几首不觉得怎样，听了Cannonball就不行了，非要给5分不可。
大海边的憨豆豆,5,2010-04-04 09:26:58,0,原来是你
静@Einfühlung,5,2006-04-24 22:00:34,0,CLOSER
小小玛丽奥,4,2010-08-13 21:17:30,0,今天真是太惊喜了，《偷心》的主题曲也来了
KeneL裤头,5,2006-08-13 16:21:10,0,初三毕业后的暑假一直在听这张.因为[Closer]一开始就是Blower'sDaughter，我就因为这首歌对这部电影也产生好感.后来还发现Cannonball和这首歌分别是TheLWord第一集和最后一集的片尾曲，很是惊喜
大头绿豆,5,2005-10-07 12:10:51,0,看Lost的时候知道Delicate.
Miss Lucky,5,2007-10-18 11:23:46,0,onesongonestory，sadsadsad
肉汤拌饭吃八碗,5,2011-01-21 15:16:51,0,哦哦首首经典。
