user_name,star,comment_time,vote,short
潜意识,5,2008-04-28 08:52:19,355,宇宙最佳大碟就不多评论，再评论也是废话。
redhousepainter,NaN,2009-03-30 19:56:50,196,97年，高一上，我买了原版唱片。98年，高一下，我毛遂自荐，在电台介绍<okcomputer>
火龙果不耐受者,4,2012-12-26 13:48:51,195,这张是不错，但“宇宙最佳”也太浮夸了
亵渎电影,5,2011-08-07 18:36:14,127,Radiohead的《ExitMusic》！
丝绒陨,5,2008-07-06 15:11:05,28,超爱RADIOHEAD
yummy,5,2011-09-07 00:47:00,59,90年代真伟大每次走过打口碟店老板娘都会问欧凯抗皮特要伐
Luu,5,2006-07-11 23:33:05,16,神作
做人呆呆,3,2008-12-14 18:04:13,35,真有传说中那么神？乐队技术很棒，但音乐就是少了灵性，更别谈灵魂了。旋律糟糕得一塌糊涂，歌词大部分也纯属瞎扯淡
Lance,5,2011-04-24 14:31:05,29,这张专辑也听了N长时间了吧。乐器人声构架很花心思，层次相当丰富，大量出彩的音效，乍一听下来天旋地转。RH在一张专辑里喜欢叠加各种主题，言简意赅的晦涩隐喻的，主观思维过剩之后便难以给听者一种完满的统一感。当然以上都只是些吹毛求疵的小牢骚，十二首出色的单曲（是的，包括FitterHappier），旋律特征一直不太明显的RH在编曲氛围上几乎做足了功夫，vocal嘛还是那个老样子。冲着这诚意度跟普及度这张碟甚至可以作为新世纪研究音乐的教科书。不过话说回来音乐这东西确实见仁见智，这张号称”全宇宙最好的专辑“倒没有“直击我的心灵”，InRainbows的冰冷电子碎拍似乎更对我口味-.<。MyCut:KarmaPolice/NoSurprises/Electioneering
Song³,5,2007-09-29 19:02:23,14,ParanoidAndroid/LetDown
Enjoy🌈Rachel,5,2011-05-10 17:01:46,10,想给十颗星
豆友43266146,2,2011-08-02 18:53:23,18,如果一个乐队开始由摇滚转向电子，那么他们一定是一个britpop乐队！射射！
IDKAboutYou,5,2020-07-21 19:01:32,19,A+（100）完全沉溺般的体验，阴暗而抑郁。还有remastered版本的混音和细节真的很了不起。现在全专最喜欢的一首应该是LetDown了，不过全专几乎每一首都是精品罢了（FitterHappier除外）
Mignon松弛地,4,2008-10-28 20:30:47,10,听了那么多年还是Thom的声音最打动我
傅善行,5,2011-04-16 05:45:44,10,nosurprises
脚脚,5,2008-01-08 02:33:37,11,世上最牛逼的乐队的最牛逼专辑.
米粒,5,2009-09-12 23:41:17,6,好听到泪流满面
英恩,4,2010-08-07 12:13:36,2,经典
杜边生,4,2008-07-09 10:56:59,10,weescape....
MeetMeinaMaze,5,2012-08-27 20:46:35,10,Radiohead真是人森淫家啊Pitchfork这次的票选Blur、Oasis前50连影子都找不到，很累，感觉不会再爱了。
Tatiana,4,2009-08-21 13:20:01,2,ParanoidAndroid
痴人,5,2008-02-22 23:38:44,5,迷幻柔软温暖黑暗的夜
龙三,5,2007-03-19 06:21:15,9,最爱之一，适合于各种情绪下听
haidb,NaN,2009-02-28 13:51:33,1,没听出什么来，以后再听
电池,5,2007-06-17 14:40:58,4,音乐的复杂性令人吃惊又不会有冗余之感
Scheherenzade,5,2007-08-04 23:36:44,2,确实是宇宙逃生必备专辑
清胧,5,2011-04-01 10:24:52,1,最经典的专辑！
刘痒痒,NaN,2011-10-08 14:07:00,2,4年之后终于觉得整张都好听了。
兔球波,5,2008-09-21 20:55:00,2,我太喜欢这张专了，丝毫不逊色我对blur的爱，但是我不会是RH饭
L I M O,5,2010-11-03 12:58:57,2,OK電腦。
齊克斯尼力佐飛,3,2012-02-04 10:23:53,0,好深沉。
MitsuyaCider,3,2012-04-04 20:04:44,2,genkidabiqilaizhenshiruobaole
mibo lost,5,2008-07-13 11:34:30,1,http://web.archive.org/web/20010303103405/www.pitchforkmedia.com/record-reviews/r/radiohead/ok-computer.shtml
zard砸得王大崩,5,2006-12-15 01:58:04,2,神秘却清晰的世界
小饼爱打咻咻拳,NaN,2010-04-16 22:58:28,3,这个不敢给星，怕被骂！哈哈哈！
Topfun,5,2012-02-07 13:34:22,3,好吧，电脑
逅宝,4,2009-02-05 00:22:44,2,有关exitmusic的全部
苏格,4,2006-11-10 11:30:37,1,我的RH最佳之一
violet hill,5,2008-07-23 00:39:29,1,越陳越有味道
溪夜,5,2013-03-23 23:18:37,1,我居然没把rh的专辑标为已听么==？
夏日扬帆,4,2010-07-28 17:40:12,1,我还需要在听一次
神山樹,4,2010-10-31 02:04:25,2,像裂痕般蔓延。
废老师,5,2005-11-29 13:45:29,2,PIN杂志推选的20年摇滚最佳专辑之榜首
莊小壞,5,2008-12-14 03:38:08,0,5－－－第三張。如此勾魂的声线，如此让人沉醉的吉他和鼓点。
zitsunari,5,2009-06-10 15:13:42,0,LuckyExitMusic
[已注销],5,2011-03-22 05:02:05,0,勉强5星
Alto,NaN,2007-11-29 00:15:35,1,全新未拆，荷兰版原盘。。哈哈哈
椒图,5,2012-06-14 22:36:07,0,哪怕再看不起他们，但我想没有人会不承认这张是多么动听而令人心碎吧。
KeneL裤头,5,2006-08-13 16:22:03,0,初三时跟NEVERMIND一起听...边听边想着我两张都要买原版
冬至,5,2010-07-06 23:55:06,1,越来越能听进去了
悬溯,5,2012-04-30 22:12:58,1,NoSurprises的编曲太迷幻了
兔男郎,5,2011-11-22 18:52:56,1,Imaybeparanoid，butnoandroid
不擅长,4,2010-08-13 19:29:01,0,http://www.xiami.com/album/56348
殘 藍。,4,2008-05-20 14:27:26,0,ClimbingUpTheWalls.ExitMusic(forAFilm).
蹦床,5,2008-05-15 07:14:30,1,非常经典，我听这个写作文写的特快，超有灵感.
Outyouhead,4,2006-08-13 23:55:00,0,为啥噶西度宁欢喜听……我还是么搞明白
monte cristo,NaN,2009-03-19 20:33:22,0,ARTWORK，ARTWORK!WISHICOULDDOTHAT!
Blu,5,2011-10-25 02:31:06,0,鸡皮疙瘩一身一身起，眼中泪水一阵一阵涌
远xx,5,2007-06-11 07:11:37,0,四分之一启蒙-..-
新竹,5,2007-09-12 05:46:50,0,這張算是終結者啦！
Pumpkinhead,5,2010-05-29 13:08:11,0,偏爱前半段
jiaqi,5,2011-08-04 22:21:39,0,Alternative
Fantasy,5,2011-07-29 08:34:09,0,OneofthegreatestalbumofALLTIME，ifnotthegreatest.
归宿,5,2007-12-27 10:05:54,0,真正的宇宙无敌越听越有味道
失控的蘑菇,3,2010-08-05 23:21:41,0,NoSurprises...
铎奇,3,2007-12-09 21:41:19,0,英伦果然闷骚
Wanderin',5,2007-05-06 14:00:06,0,今天的心情听这张！凸！
Aubrey,5,2011-12-19 09:25:31,0,这样的深夜，听着这张专辑，心情是难受。
BiuBiu,4,2010-09-18 15:03:16,0,第一次听Radiohead的时候，我刚刚来到上海。。T_T
艾桑,5,2007-01-12 13:19:18,0,神作
yum,5,2007-03-14 14:59:36,0,舒服死，听着就如意
chaton,5,2007-10-02 22:21:44,1,在我看Romeo+Juliet的时候，在我根本无法抓住幸福的时候，在我没有任何勇气的时候，在我最痛苦的时候。
poiuny,5,2011-02-17 16:40:46,0,RH最爱之一。
大D,4,2007-02-12 18:43:53,0,世界上竟有这样的音乐！
deus,5,2010-07-08 21:00:13,0,在硬过了一段时间之后，我还是发现这种带有强烈病态美的靡靡之音最合我的胃口，莫非我现在又回到病态中了？
昏睡的哦莫纳,5,2009-10-15 08:16:04,0,沉沦
