user_name,star,comment_time,vote,short
丝绒陨,5,2008-07-06 23:23:47,52,冬天所能听到最温暖的声音
眼角的花朵,5,2008-01-12 10:45:49,86,你遇见我，我遇见你，就是爱情的意义
芦哲峰,4,2012-12-05 10:29:24,37,音乐悦耳动心，爱情似远又近，远时你在看我，近时你在望云；有多少曾经似这般若即若离，如鸟儿停在树梢，轻轻一触，然后，飞翔的自去飞翔，扎根的依旧扎根。
明珠一颗孙小美,4,2012-12-11 14:07:40,42,once的意思就是反正都是生命中的男2号女2号。
Claire,4,2008-04-12 22:13:43,19,很好听。特别是《FallyingSlowly》，《IfYouWantMe》和《WhenYourMind'sMadeUp》。
KinG羽,5,2009-08-24 08:12:38,5,电影让这些旋律跳进你的心
慢先森,3,2009-03-04 16:06:17,6,看电影的时候觉得音乐很有感觉，单独听就没感觉了
Song³,5,2008-06-20 19:24:35,7,IfYouWantMe
锐利修蕊,5,2010-09-19 21:10:51,3,听了足足有半年。舒服死了
潜意识,5,2008-03-27 09:13:29,3,07年最好的音乐电影，原声也是。细腻，平淡原来是最好的慰藉。我还真没想到这个guy竟然是theframes的主唱，落伍了落伍了。
桔梗,5,2009-10-15 18:04:16,1,我用它做了一期天鹅~~
Bill,4,2009-01-30 23:06:44,0,相对电影来说歌还是不错的吉他简简单单男的高音有时候不太受得了不过粗糙也已经成了受人喜欢的风格了
L I M O,5,2008-01-01 14:47:42,0,樂音悠揚
tlmgt,NaN,2013-12-20 05:01:06,2,但那首《IfYouWantMe》我很无感，尤其人声
Luu,5,2011-02-09 18:00:42,0,小温暖小光芒
令糊葱,5,2008-03-30 04:46:08,0,完美……
Aragaki,5,2008-06-01 14:35:54,0,超赞
zard砸得王大崩,4,2008-03-15 11:29:18,1,seekyourowndreamwithsomeone
丶,3,2011-10-25 16:56:22,0,其实我无感。
小M,5,2008-03-27 17:35:41,1,太美了
Hao,5,2007-12-28 16:03:13,0,很像大米。
洛野,5,2008-04-21 20:04:55,2,音乐让灵魂相互靠近
谁亲爱的偏执狂,5,2010-04-24 04:44:56,2,我靠，我历时N久在豆瓣电台里把它们一首首都收藏了才反应过来我为啥不来专辑这。。。
不擅长,4,2010-05-09 08:59:27,1,http://www.xiami.com/album/167507
李念河重出江湖,5,2012-01-15 01:53:19,0,爱尔兰人得音乐就是好听啊
Summer孙夏天,4,2011-08-12 10:49:17,0,嗯，整张都很棒。
Topfun,4,2012-12-22 17:40:33,0,电影不错
苏觋觋,1,2009-09-21 19:40:11,0,真的是越听越厌倦==
莊小壞,5,2009-03-21 22:10:19,0,4－－－有部分喜欢，很带感情，女声很不错的说。
眠去,5,2008-11-04 10:06:35,0,比电影更动人。
Ridden,5,2008-01-18 05:42:58,0,FallingSlowly。
