user_name,star,comment_time,vote,short
海孩等pk14,5,2011-11-30 16:52:37,477,他妈的要是每张专辑都这个质量你们早跟radiohead在我心中一个等级了
RIC,3,2010-08-15 19:53:10,153,酷玩的鼓手是世界上最轻松的职业
tlmgt,1,2014-04-19 22:04:52,86,一直提不起兴趣听是对的，因为就连快进着听都嫌无聊
潜意识,5,2007-10-08 19:45:03,81,Coldplay处女大碟，也只有惊艳二字，那时候Chris的假声好温暖
做人呆呆,3,2010-02-11 03:31:31,18,这是对radiohead早期风格拙劣的模仿么？
zard砸得王大崩,5,2006-12-22 11:54:35,15,这张专集我买了多少又送给了多少人你们心里清楚！
英恩,3,2010-08-09 15:42:44,3,HighSpeed那个，这张感觉一般
1806,5,2013-11-19 11:14:17,8,YouknowIloveyouso
某水,5,2013-04-24 09:39:31,17,高中是Yellow，大学是Scientist，研究所是Gravity，Coldplay可以听一辈子
齐鲁矿业李德友,5,2008-11-04 14:53:30,14,2001年在电视上看到yellow的mv，惊了，还能这么拍！应该还是2004年，那时候高三，小城里的音像店好不容易找到这盒磁带，艺考时到处跑，就听的这张，反复听。大学毕业后，有一天晚上我和女朋友散步，给她听了我mp3里的trouble，后来她画了张画送我，又过了几年，我们分手了。2014年，大家都在网上听音乐，我又去淘宝花了几倍的价钱买了一盒磁带来听
固力果guriko,5,2011-05-07 20:23:12,8,每次听每次心理都被堵住
Song³,5,2009-10-29 19:08:01,11,WeNeverChange
光年‖影视歌三栖民工,5,2011-08-20 14:34:14,8,Coldplay竟然有做这样的曲子？！乍一听还以为是四根肉丝。。。有冰岛的气味
兔球波,5,2008-09-23 19:52:14,4,其实应该算我Britpop真正的启蒙，当时爱疯这张了..
锐利修蕊,4,2020-10-25 21:35:40,3,原来《Yellow》在这张，而且放在专辑里比单听好多了，并且它其实不是最好的那首。
椒图,5,2011-01-15 01:40:09,9,很干净。一开始没看清专辑的封面是什么，还以为是月亮。后来才知道是地球仪啊。
夏日扬帆,4,2010-07-27 20:37:35,5,多么温柔的酷玩啊p.s文青会不会喜欢酷玩的多于喜欢魔力红的……[yellow]
C.W.,1,2017-12-22 02:45:14,8,能把音乐做得那么无聊的能有几个
L I M O,5,2010-04-20 09:29:51,0,黃色降落傘。
齊克斯尼力佐飛,5,2011-12-04 16:28:14,0,Yellow，Trouble
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,5,2011-07-29 23:02:31,1,这还用说么。
usquebaugh,3,2012-05-26 15:15:54,1,yellow
MeetMeinaMaze,4,2013-02-15 22:22:52,0,就这样跟《流星花园》扯上关系。
高歌,5,2011-03-20 14:20:30,1,都听烂了：）
virgin,5,2008-09-05 09:17:34,0,不废别的话！就等着他们来中国呢！！快啊！！哼哼：）。。
meiiii,5,2011-03-19 00:35:13,0,yellow~~
小魔@优雅穿梭,5,2011-11-13 21:59:54,0,LookatthestarsLooktheyshineforyou
大头绿豆,5,2005-09-11 14:37:09,1,;懒.
莊小壞,4,2009-02-26 19:55:34,0,4－－－寂寞的声音。
一又,5,2007-11-19 21:43:13,1,很温和，很难受.
蹦床,5,2008-05-15 07:14:45,2,我认为这是COLDPLAY的颠峰之作.他们自己无法再超越这张了.纯情又温情脉脉的英式典范.
BlackScholes,3,2012-12-22 10:06:54,0,1辑Yellow
泠风,3,2007-11-11 22:08:09,1,当年听了有自闭倾向
KeneL裤头,4,2006-08-13 17:04:38,0,初二时接触的第一张britpop，那时候还不知道什么叫britpop...一开始只听了yellow跟trouble，然后买了X&Y
脫繮的蛇肉堡,3,2007-10-27 08:24:24,1,这是我不喜欢COLDPLAY的开始也是我听COLDPLAY的结束
Ariel .Fly,5,2008-06-22 13:11:45,0,我不记得是什么时候听过yellow，我只记得电视机里的他的脸是那么纯真的说着那些梦想。有些歌陪我穿过好多城市，走过好多路，就那么一直存在。MD是这样，CP也是这样。
品客,5,2007-05-19 17:55:36,0,用多说么?
不擅长,5,2010-06-09 18:39:30,0,http://www.xiami.com/album/168882
安东妮,5,2005-11-08 18:51:40,2,秋天重温。听Yellow时觉得风在耳边一切都飒飒过去，生命也不过如此。
某线,5,2021-07-12 10:00:02,0,20年后重听也很棒啊
咖喱娜,5,2011-01-05 16:18:43,0,Yellow中毒症患者
神秘金针菇,5,2009-08-13 15:50:20,0,实在不知道没了他们，我的生活怎么过...
Augenstern,4,2011-12-18 01:09:13,0,YELLOW最開始打動我後來是shiver
薇羅尼卡,4,2007-02-09 12:22:44,0,很喜欢~
mibo lost,5,2008-07-13 13:01:09,0,http://pitchfork.com/reviews/albums/1539-parachutes/
[已注销],5,2012-12-15 14:52:21,1,这种长久难忘的吸引力是很难得的。
你好代号君!,5,2008-07-20 21:29:14,0,verygood
Pumpkinhead,5,2008-10-04 15:30:30,0,晦暗感
中世纪福音工人,5,2018-02-06 00:03:30,0,在豆瓣fm和QQ音乐里听过，高中听的，算是陪伴青春期了。
jiaqi,5,2009-12-30 22:20:32,0,初恋的感觉
Белка,5,2008-07-24 12:51:41,0,!ForyouI'dbleedmyself...dry
逅宝,4,2009-02-05 00:21:46,0,这个头发长出来确实有点搞笑
某S,5,2011-01-05 12:30:57,0,我居然……呃好吧这个是没错，。
godeau,5,2009-10-28 16:35:17,0,Coup!
BiuBiu,3,2009-06-22 16:11:40,0,睡着了。
艾桑,4,2006-09-13 00:45:52,0,不太引人注意，换句话说就是不太会听厌
Anubis,4,2009-05-10 11:22:03,0,补点大俗团
LORENZO 洛伦佐,5,2011-03-17 05:38:46,1,英伦摇滚经典
Cedrick,5,2010-07-27 20:34:23,1,最早听Yellow，最爱是Trouble
♫欧德伯裔,NaN,2007-10-09 15:48:33,0,Yellow
[已注销],5,2007-10-03 05:46:38,0,我怎么一直覺得coldplay很一般呀.
A R I A。,4,2009-10-04 13:10:07,0,出道专辑，多是单纯的小情歌，风格为一致的轻摇滚。喜欢yellow，还有everything'snotlost.09年9月30日购于Chaptersonline.
joere,5,2006-04-21 14:37:10,0,值得纪念的第一张
沉默,NaN,2010-04-29 12:34:17,1,yellow那首感觉老郑的流星蛮好-__-
unknown,5,2011-08-01 16:35:24,1,我TM听的最多遍的专辑！！！
Angeline35,5,2012-07-02 13:20:11,0,我真是越来越觉得毛川受coldplay影响深远了╮(╯_╰)╭
迷鹿,5,2006-07-25 15:13:32,0,我们都喜欢他美妙的滑音我们都喜欢他们的降落伞异口同声说出那首yellow一首yellow，在那个夏天，唱出无数少年的心声我们却只能选择缠绵，选择离开
五月微蓝,5,2007-10-26 01:14:52,0,是后来才知道Yellow是他们的作品...
半吊子社畜阿九,5,2008-01-06 03:17:10,0,纯属因为好听
爱咋咋地,5,2010-03-09 16:08:22,0,初恋Album……质素四星，私心五星
掩杀,NaN,2006-02-22 17:08:59,0,coldplay.2000/Musicrama/Koch
温故知新,5,2011-03-19 22:54:21,0,补遗
