user_name,star,comment_time,vote,short
齊克斯尼力佐飛,4,2012-06-21 13:35:23,124,蔡健雅啊蔡健雅！
Ding,5,2011-05-26 20:48:00,78,GottaHaveYou蔡健雅最不DJ你你就抄吧
岛上的夏奈,5,2010-06-16 00:25:24,20,淡淡的夏天开始的味道
Odding,5,2008-05-03 14:20:14,13,通过封套来选唱片，嗯.真好听啊真好听!
夏日扬帆,3,2011-02-08 10:02:59,7,这就是说TANYA抄袭的那张专辑吧。。。
少年夏不安,4,2009-12-24 12:47:10,8,tanya真的成了weepies的代言人了。
半袖,3,2008-12-13 23:29:38,4,这样的声音听的太多了，没感觉。
颜良辰,5,2008-05-09 15:22:56,2,这是温柔的风。
Μουσαι,3,2011-06-23 23:44:31,1,GottaHaveYou
[已注销],4,2012-12-02 22:41:51,4,女生的唱腔有时候特别周杰伦！
三层保暖,5,2009-06-26 11:37:05,0,拯救我的耳朵
飞老湿,4,2013-11-04 16:15:24,5,【听过补遗】蔡健雅最应该感谢的乐队，听到它的时候才恍然大悟。
KinG羽,5,2009-09-10 15:12:32,0,好听的不得了~~~
瓜。相信这个世界很变态。,4,2010-01-30 01:28:25,0,舒服。
Nuage☁,NaN,2007-09-22 13:21:53,1,GottaHaveYou
要早睡啊minami,4,2009-10-08 02:24:32,0,爱啊爱~
肥匪廢·老🐰,5,2015-07-21 09:51:05,0,簡直欲罷不能。
zard砸得王大崩,5,2008-02-26 22:45:50,0,重温小快乐
Enhui,4,2010-07-01 05:50:58,0,其實偶想給4星半...
usquebaugh,5,2009-03-09 21:13:31,1,陪我跑步。
泠风,3,2008-01-27 11:34:17,1,很pop
蹦床,2,2010-10-13 12:41:26,1,又是捅到豆瓣G点的小清新
小魔@优雅穿梭,5,2010-11-11 16:56:50,1,点了一颗红心进来，发现一排的红心，然后点听过-力荐........谁还需要电台DJ？豆瓣就是电台的未来！
泉の向日葵,5,2013-12-16 16:40:05,1,TakeItFromMe：WhatcanIcompareyouto，Wheneverythinglookslikeyou?
Summer孙夏天,4,2011-01-24 19:54:19,1,GottaHaveYou，NobodyKnowsMeAtAll
一问三不知。,5,2008-02-16 17:25:37,0,好听。
小M,4,2008-05-21 17:00:34,0,英伦风情
Ridden,5,2007-10-31 19:16:30,1,最先听的是Gottahaveyou...超爱这张!
野,5,2007-11-20 08:36:38,1,NobodyKnowsMeAtAll
邪,4,2009-02-07 16:46:57,1,午后窗前折起的纸飞机。
齐鲁矿业李德友,3,2019-01-23 15:28:57,0,明月几时有八九上青天
椒图,3,2011-02-13 15:00:23,0,Gottahaveyou太美了。
Luffyjun,5,2012-02-23 23:51:29,0,基本上听一晚上，我喜欢《GottaHaveYou》和《NobodyKnowsMeAtAll》。。。。扫大四乃。。自己给自己加油！嘿……
三四,3,2008-06-30 11:39:52,0,民谣
夏日良人°,4,2011-04-20 11:16:07,0,是不是TheWeepies的TakeItFromMe超级像蔡健雅的《越来越不懂》
大哥,3,2012-08-04 10:54:52,0,小清新。。。。。。
Sophie  Z,5,2012-11-05 00:10:58,0,"Doyouremembertheanimation""ThoughtofYou""?"
UFO™,NaN,2010-02-20 10:41:54,1,必须拥有你
Karonen,5,2009-06-18 20:42:22,0,最爱的还是GOTTAHAVEU.
不擅长,4,2011-10-18 22:03:40,0,http://www.xiami.com/album/167820
Tiff,NaN,2010-10-27 07:59:00,0,既然是下雨天，就找些阳光来抚慰吧。
Halah,5,2008-09-27 14:32:07,0,RigaGirls哦，我真喜欢这个
宇宙真菌•远远,3,2009-03-04 17:53:40,0,虽然是流行但是能听出来还是用了心的。。
夜川直心,5,2009-04-24 14:06:20,0,whatawonderfulsongthanksforrui
猫语猫寻,5,2013-12-25 15:54:37,1,经典！！
Белка,5,2007-12-02 01:29:31,1,从Gottahaveyou开始。太喜欢
土树,5,2010-09-14 11:22:43,0,太好听了
yum,3,2010-04-13 06:41:17,1,不好意思，扎堆儿听得作品之一...男女组合的小民谣，简单清秀
吴异.nova,3,2008-05-31 08:05:09,0,有几首挺好听的属于我喜欢的风格
时以星,5,2008-05-15 02:44:49,0,温暖的，安静下来的。
迪,4,2014-07-23 14:33:01,0,奇怪。。。这张不是早就应该勾过了么。。。
G,NaN,2011-11-24 18:43:26,1,GottaHaveYou
Shudoku,5,2011-06-28 02:23:13,0,Gottahaveyou——必须搞定你
青屿侬,5,2009-03-23 08:41:28,0,gottahaveyou
zk,4,2011-02-11 18:03:40,0,马马虎虎
破产君,4,2008-09-23 11:17:53,0,GottaHaveYou/NobodyKnowsMeAtAll
五月微蓝,NaN,2007-08-23 17:27:44,0,简单，就是很好。
掩杀,NaN,2010-11-07 02:56:30,0,点心推荐的.TheWeepies.2006
温故知新,4,2010-03-30 14:45:03,0,灰常好听
Vince♫,4,2009-09-22 12:22:23,0,TheWeepies
赛赛,4,2008-05-07 00:38:38,0,我要你.........
痕。,4,2007-11-21 20:08:45,0,在哪里听过呢　想不起来了
息为,4,2010-11-24 13:07:50,0,gottahaveyou
LoVe,4,2014-08-29 11:58:39,1,原来不是蔡健雅的歌好听而是weepies的
≌菩提风花,5,2007-08-06 18:03:46,0,就是喜欢这种感觉!~重叠最能打动我
Caligari,NaN,2010-10-13 20:36:59,0,GottaHaveYou
痴人,4,2008-05-19 21:49:31,0,小民谣小清新
