user_name,star,comment_time,vote,short
光年‖影视歌三栖民工,5,2012-10-09 18:46:21,113,醉了~
Luffyjun,5,2013-10-02 20:14:49,54,single。听了必须哭好么。。
丶,5,2011-11-30 12:57:15,79,动人歌词。
不良少女劉蘭蒂,2,2011-11-22 16:31:58,35,这首歌到底哪里好听了--搞不懂搞不懂。。。Billboard上神一般的存在啊可我就是欣赏无能。
V.Dunham,3,2015-10-25 01:04:44,24,这个钢琴真的做到了百转千回的故事感。相比下她的演唱其实相当笨拙，完全没有一丝真情实感。
子不語,5,2011-05-20 09:16:57,1,嗷嗷嗷嗷
D K U N,4,2011-10-23 05:05:04,0,咦我是怎么会没标这首的=口=
银谷,5,2011-05-20 14:15:57,5,如诗一样
zard砸得王大崩,5,2012-02-19 17:39:18,6,2011最好听的一首歌
Μουσαι,4,2011-10-02 11:13:32,1,SomeoneLikeYou
影志,5,2011-07-26 15:19:55,9,Sometimesitlastsinlovebutsometimesithurtsinstead.听现场该多爽……
椒图,4,2011-09-14 20:31:14,7,怨妇之歌！
H!karu,5,2011-06-20 22:25:36,0,someonelikeu
土树,5,2011-04-15 08:49:52,3,必须5星
🍀again 😸,NaN,2014-09-22 23:45:09,0,阿呆尔
火龙果不耐受者,5,2011-06-20 21:05:17,0,比第一单更好听！！！
團團是個團|囧囧是個囧。,5,2011-09-14 19:55:23,3,Oldfriend，whyareyousoshy?
莊小壞,4,2012-08-05 23:43:18,0,4.3－－－呢。
石小po,4,2011-05-03 13:55:06,1,4.5adele的声音本身就有一种饱含张力的魔力，一直还觉得她的声音有点像sade阿姨~
May,5,2011-08-29 13:08:03,1,wishyougood
ANNXXNA,5,2011-05-31 21:10:49,1,哭死
不擅长,4,2011-05-03 20:45:06,0,http://www.xiami.com/album/60947
Memento Mori,5,2011-07-17 10:07:14,1,她的这个发型真是太好看了XDD
猪大腿,4,2012-09-26 11:47:47,0,一般，个人觉得阿呆最好听的歌是HeWon'tGo......
No More,4,2011-10-31 09:26:33,1,好吧听着还不错…不过这歌写得也太矫情伤不起了
mibo lost,NaN,2011-08-26 10:19:05,0,http://pitchfork.com/reviews/tracks/12105-someone-like-you/http://www.douban.com/note/177370481/
