user_name,star,comment_time,vote,short
jellyfish,3,2010-07-06 01:06:55,68,这姑娘现场烂到爆，怪不得说喜欢棚里录音呢
林佳 树,5,2010-08-30 22:44:37,11,you'dbethebestmistakeievermade...
penumbear,5,2010-12-27 16:48:45,15,感谢当初给我推荐这张专辑的漂亮店员
失控的死胖子,5,2008-03-13 21:13:30,7,很久都没有听见这么令人难忘的声音了~~~很喜欢badabada
Neon,5,2010-07-24 22:08:35,4,【TheBestMistakeI'veEver】【有你的快乐】【迷宫】
颜良辰,5,2008-04-12 17:16:01,17,只能说，被打败了。这么寒冷的冬天听，真的会有温暖的醉意。
33迟来_小小岛,4,2011-09-30 15:07:50,17,声音真是舒服极了。。
令糊葱,5,2008-12-13 13:01:51,13,在充满阳光的房间慵懒的听完。
Bill,5,2008-01-31 16:35:17,7,王治平的女儿很舒服的略带沙哑的声音好声音一定要推荐第一张英语歌非常有神韵咬字很清晰『ILoveYou』唱出了『爱，很简单』另一种很不同的味道
KinG羽,4,2009-03-30 19:35:26,3,特别的女声，专为JAZZ而生
郑宁素,3,2011-06-16 20:45:29,0,我不太喜歡
泪小鱼|念。,4,2008-06-05 15:13:37,1,喜欢这厚实的女声。
瓜。相信这个世界很变态。,3,2008-01-25 23:48:06,1,王若琳只是声音特别，包装恰当的成功典范。如果从专辑的歌曲来听，没有所说的好。
KREJERK,4,2011-01-10 21:23:11,0,带点fusion味的80spop
强叔,1,2008-03-06 22:23:10,0,为啥没有零星呢?
夏日扬帆,5,2014-04-02 15:37:54,3,还记得当年听从这开始时被这嗓子惊住了的日子，现在最喜欢lostinparadise，这嗓子真是太好了[lostinparadise]
L I M O,5,2008-03-10 12:58:22,0,始于這地。
Karonen,4,2009-06-27 17:35:22,1,，这张比新的那张好听，
zard砸得王大崩,5,2008-05-04 12:12:17,3,虎父无犬女，08第一声
Claire,4,2008-03-09 14:54:20,1,唱得好有味道。【TheBestMistakeI’veEverMade】【True】【NewYorkStateOfMind】
郁程,5,2010-04-22 12:07:28,0,麦记整天放她专辑同名的那首歌。哎，不容易，几年前爱不上的歌，现在用来杀情绪了。
Song³,5,2008-09-07 16:23:45,0,第20届金曲奖最佳编曲人奖：MartinTan／AsLoveBeginstoMend
要早睡啊minami,NaN,2008-03-27 21:09:46,1,我喜欢的声音
饥饿艺术家,2,2008-06-20 20:43:53,0,很费解，和我一样大的女孩子，居然声音这么成熟，完了，我白活这么多年了.....
门柱,NaN,2009-06-22 11:42:58,0,三万多人我操
冰山李,1,2014-04-22 14:07:02,0,甚麼玩意
眼角的花朵,5,2008-03-12 17:35:53,0,知道太迟，可以忽略跟她类比的人，通常用来抄作，没想到我们中国人也能唱这种音乐，沙沙的，不是主流欣赏的调调，不过还是希望她能走好，毕竟多样的音乐形式是可以活跃我们整个华语乐坛，为此也要支持一把。另，封面也许想要做成随意的艺术感，无意间就有点落俗了~
丶,4,2011-11-08 16:59:39,0,自然而然的韵味。
浅,NaN,2008-04-12 14:17:08,0,还真是不错呢，呵呵
凹凸代餐,3,2010-11-12 17:17:10,0,其实她该走kerenann路线。而不是伪jazz
人淡如菊。无奈,NaN,2008-01-14 15:36:25,2,喜欢那首ILOVEYOU
眠去,5,2008-05-08 17:24:27,1,19岁的声音，惊艳。
口袋_肥力士,5,2008-07-22 20:38:40,0,好听啊~~
英恩,5,2010-12-20 15:50:26,0,ForNoReason
沉歌,5,2011-10-10 19:56:31,2,BadaBada
kik,4,2008-03-26 02:38:17,0,就一般吧
長閑,5,2009-05-21 13:31:08,0,微醺的香氣。
Nymmmmmmmmeria,4,2009-12-13 14:15:36,0,有些歌你可以有些你不行。
Soyobell,4,2008-02-11 15:15:12,1,王若琳慵懒纯净
肥匪廢·老🐰,5,2013-08-22 14:00:54,0,原来王若琳的JAZZ这么好听的说，来晚了。
小魔@优雅穿梭,5,2008-04-20 17:14:54,0,主的推荐，他的品味越来越好了
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2008-06-03 18:50:33,0,类似onolisa的声线..
Topfun,5,2011-01-30 13:53:49,0,来吧，开始
阿萌今天也很饿,4,2011-04-19 23:07:56,0,有你的快乐。
小水,5,2008-03-28 14:47:32,0,赶时髦
象,5,2008-01-28 08:53:17,0,换成中文歌词就是怪怪的
莊小壞,3,2011-12-12 23:25:46,0,3.5---啊。
○Ⅴ○,NaN,2010-02-28 20:33:14,0,lostinparadise和now.其他印象都不够深刻。
Luffyjun,4,2012-10-03 20:46:29,0,果然很诺拉·琼斯。。。。。不过Jones更慵懒一些。。。。再听歌就切耳朵~~~~~~~~~~~~~！！！学习去！！！！！！！！！！！！！！
九份的咖啡店,5,2008-02-14 13:24:37,0,适合晒着慵懒阳光或者深夜安静听着的轻声哼唱。暖暖的是你的笑，趕走心情的灰。
大头绿豆,4,2008-08-26 21:26:07,0,慢慢又喜欢回来这种调调了。
mee,4,2008-03-01 19:42:07,0,是陶喆身边的那个joanna????貌似不是。。。汗。。。
乐化天,4,2009-02-03 04:19:02,0,離soul遠著呢~聽mink吧
Miss Lucky,NaN,2008-02-25 11:49:12,0,台湾NORAH
不擅长,5,2010-05-12 20:13:56,0,http://www.xiami.com/album/32976
古尔齐亚,NaN,2010-05-14 00:15:24,1,豆瓣电台放这个，让我想起在天河南的咖啡馆里边听迷宫边写稿的日光
Bartholomew,4,2010-02-25 22:34:52,0,声音不爱
𝗯𝗮𝗰𝗸𝟮𝗯𝗹𝗸,3,2010-04-14 00:50:01,0,感觉她有点装老成，所以只是“还行”
小偷|隐忍沉定,4,2008-03-13 21:50:50,0,可听，不能常听
Halah,3,2008-02-24 17:01:28,0,不耐听是缺点
亞麻君,4,2009-01-01 20:21:21,0,慵懶下午茶的味道
老张不高兴,3,2010-07-12 19:54:43,0,还行，十分做作
薇羅尼卡,5,2008-02-24 13:00:03,0,英文碟确实比中文好听
竹取,4,2008-04-14 13:50:56,0,挺動人的女聲.
怀山鹿,5,2010-01-13 01:47:36,0,第一次听到她的声音就把我迷惑住了~好在及早听到了这把声音~jazz~不迟吧~
你好代号君!,5,2009-07-11 20:13:13,0,从前没发觉竟是如此优美。
安东妮,3,2008-02-13 15:57:39,0,声音确实jazz得不像华人小惊艳曲子还是有点腻
謝爾·愛睡覺,3,2008-01-17 18:43:01,0,声音很JAZZ
mon babe,5,2009-08-05 11:18:36,0,在你家听的
徐大阳,5,2011-09-22 12:53:58,0,迷宫和losemypradise.
Tatiana,4,2008-11-11 19:38:12,0,now
Illusion,4,2008-01-16 04:40:28,0,对于女声的沙哑接受度较之男声的高了不少，特色明显的一张，英文比中文好听/Now，镇缓神经；Starfromhere，摇摆
天亮天黑,5,2012-02-21 16:29:12,0,我怎么都不想睡天特别的亮夜特别的黑当我深深的呼吸心中充满想你的甜蜜
Pumpkinhead,3,2010-08-02 02:52:03,0,都市小资情调
土树,4,2008-09-13 00:59:49,0,王治平的女儿，好声音
珍妮的肖像🦄,3,2018-12-27 20:17:54,0,浅
y▓▓▓ton,5,2010-03-18 23:48:02,1,惊艳之作
Memento Mori,3,2010-04-18 17:00:48,0,要等到你30岁。
Alto,4,2008-05-22 18:51:09,0,高丽
Белка,4,2008-03-19 23:06:47,0,很好了，让我想到诺拉·琼斯的爵士声...可是就是不对味儿嘛
中世纪福音工人,5,2012-03-27 21:23:12,0,好舒服的声音
杜扬Seatory,4,2009-03-30 18:26:04,0,此碟+水城雪可奈《穷鼠》3月30日的凌晨就是如此这般的很虐啊TT这就是被唤醒了吧
逅宝,5,2008-05-31 11:34:08,0,偶然。
V,5,2008-10-26 14:03:03,0,9.0/10
小隐隐于浆糊,5,2008-06-25 22:34:33,0,有咖啡牛奶糖的感觉
铎奇,5,2010-03-25 00:13:48,0,这嗓子真性感。我耳朵直接湿了。
杨山魈,5,2010-06-10 09:46:19,0,难得的好声音
