user_name,star,comment_time,vote,short
少年夏不安,4,2012-08-24 21:31:59,86,三首歌：我的爱，同类，我也很想他。
L I M O,5,2007-06-25 10:47:09,34,某晚聽我的愛莫名其妙地哭了。
郁程,4,2011-01-05 15:34:30,31,念高中时同桌男同学狂喜欢唱“我也很想他”。。。。。。。。我表示很伤感。。。。。。他最近联系我，问我上海怎么样。我说世道不好，，大家还是考研吧。。哈哈哈
停用豆瓣勿cue,4,2011-10-15 22:47:34,20,「我的爱」「我也很想他」「同类」。内地版删歌「Let'sVino」
Song³,5,2008-06-24 12:26:30,24,第十六届金曲奖最佳国语女歌手
锐利修蕊,5,2019-05-24 20:47:28,14,第16届金曲最佳女演唱人！孙燕姿这位歌手在金曲也是很勇了：拼音同名专辑拿下最佳新人，英文同名专辑拿下歌后，如今看来这张拿的不早不晚，还算得偿所愿。不过从Stefanie之后，也算是她开启流行化的转型，至此走向成熟歌手的舒适区。作为上半程的孙燕姿，用这张给自己的音乐生涯收了一个漂亮华丽的尾。12首歌任此折叠呼应，小寒填词《我的爱》和《未知的精彩》一动一静，刚好写的是前后关系，也是起承转合对方和自我的辩驳。《我也很想他》及《同类》作为传唱度最高的两首，则同样唱的是复杂的爱，但用回忆倒叙和现在插叙的方式，在爱里流露青春气息，但又注入高于年龄深层次的意义，是孙燕姿擅长的拿手好戏。专辑里最被忽略，但最好的是《慢慢来》，孙燕姿发挥了自己唱腔的最大优势，编曲也严丝合缝，将她声线的毛糙抚平到100％的通顺。
tlmgt,5,2011-06-07 01:00:32,3,伍家辉《祝你开心》作词作曲。慢慢来
离净语,3,2007-11-25 00:45:36,5,回忆仅存，我没有经历孙燕姿最美好的时代。
Bill,4,2007-04-08 14:42:50,3,等待许久的爆发
不宁,3,2008-10-04 00:21:02,1,这张，已经没有以前的水准了。
zard砸得王大崩,5,2006-12-14 15:53:49,5,反过来走走的她让我很喜欢。这张的慢歌都非常好听。s自己创作的那几首也不错
Yome,3,2006-10-11 01:55:04,3,如果很不情願但是還是得說這是燕姿最不好的作品
DeerColin,5,2012-10-14 16:44:42,8,"她的专辑销量之最，《奔》很振奋人心，《我的爱》《同类》催泪，《我也很想他》很能引起共鸣！《种》好有仪仗队的感觉，很新鲜的编曲，和声也做得不错~""Stefanie""唱出了她的心声，爱她！！"
MOMO,NaN,2008-02-12 17:49:24,0,这个女生其实有几首歌还满动人
乐化天,5,2011-02-19 11:46:34,2,这张专辑当年没人待见。现在听真不错。
塘坑一姐小渡边,5,2013-01-25 13:32:41,7,牛逼要数《慢慢来》，跟华丽霸气的造型太配了，节奏感很强的探戈舞蹈。高中广播天天播放这张专辑，百听不厌啊。《同类》这种特别煽情的歌曲攻破了每个人的心。《我的爱》倒是让好多人听哭，《种》泪点最奇特。催泪弹强势复出，磁带、CD、VCD疯卖
丶,4,2011-12-01 17:17:29,0,这张专辑感觉成熟很多。
香水瓶,4,2006-04-15 16:03:37,1,我的爱，转身后才明白。
斯 琰 🌈 🍭,5,2012-04-03 18:23:58,2,很有爱的一张专辑最爱我的爱
夏日扬帆,4,2014-06-24 16:32:05,2,记得是复出之出吧……这张当时还买了盗版碟[奔、我也很想她]
mosquito惟,5,2009-08-16 22:50:28,1,站在最顶端，却失去光芒
浅   川,3,2010-04-29 21:02:59,1,回归，对于期待了太久的我们，似乎这样专辑并不能满足全部
英恩,4,2010-12-20 14:41:52,0,我的爱我也很想他
with,5,2008-07-24 21:33:38,2,不枉我买正版，实在是很精彩
eloise暖,3,2008-07-18 16:04:17,1,天亮了又灰我忽然想起谁
亞麻君,4,2009-05-05 18:18:45,1,我也會想她
泉の向日葵,4,2011-03-09 16:35:46,0,我也很想他
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,5,2008-08-29 00:25:52,0,比较喜欢的一张。
伊豆,4,2008-04-29 16:05:12,1,隔了很久才出的一张专辑，原以为自己已经过了追星的年龄，但是燕姿的声音一响起，我瞬间又沦为歌迷。第一次听《我也很想他》的时候，很心酸，随后眼也酸了。。。
○Ⅴ○,4,2010-09-01 15:45:03,1,我也很想他，我们都一样。在他的身上，曾找到翅膀。只是，那时的他，是因为你才开始飞翔。
莊小壞,4,2009-03-21 21:54:08,0,4.5－－－第八張。最喜欢的封面之一。
KeneL裤头,4,2006-09-21 05:02:14,0,感觉这是她最后的好唱片了
心猿,2,2012-03-17 19:10:44,0,在她崛起的年代，光顾着听王菲齐豫4AD去了，基本无感，代沟问题吧
不擅长,5,2007-10-09 17:26:46,0,7http://www.xiami.com/album/11661
Tiff,5,2011-02-20 02:41:15,0,有些感动无法从头，过时不候。
钟,5,2007-08-16 12:19:48,0,我还是喜欢她的声音。
薇羅尼卡,4,2006-02-03 22:34:23,0,还不错，歌都挺好听。
安东妮,2,2006-04-18 20:11:51,0,同类很好
ANNXXNA,4,2010-10-28 14:39:31,0,我也很想他
半个柿子,4,2011-05-16 16:54:28,0,原来bobstef出自这里
妈妈我想吃肉,5,2007-10-24 19:00:30,0,奔~
失控的蘑菇,3,2011-03-14 22:04:18,0,2.5
朱朱朱古力♥,5,2011-04-28 23:14:09,0,同类；反过来走走；我也很想他；
遥,5,2008-10-07 15:40:32,0,居然落下了...
tata,4,2009-12-31 16:53:40,0,前四首歌真是好，后面有两首不太行拖了整体质量
godeau,5,2011-03-08 14:11:35,0,爱这张
Illusion·L,5,2015-09-17 03:05:42,0,那些年当天后还在认认真真成长着
LORENZO 洛伦佐,4,2010-05-03 14:41:38,0,《我的爱》《我也很想他》《同类》
[已注销],5,2011-03-19 13:51:17,0,种+慢慢来+祝你开心
邪念,4,2012-05-21 10:13:12,0,flop之一
功夫兔子,5,2010-07-23 00:49:47,0,04年的冬天，一个人偷偷听着随身听。
娘口三三,5,2009-03-31 23:36:30,0,我的爱
五月微蓝,4,2008-12-05 12:46:56,0,我也很想他~~~最喜欢这一首
已注萧,4,2010-12-09 15:31:28,0,一首我的爱，纠缠了所有伤心的回忆。
小澈,5,2008-11-26 21:53:08,0,大爱
蒸桑拿的冰激凌,NaN,2014-01-16 02:12:41,0,好多年没买过音乐的cd了
你是桌子我是布,5,2011-01-16 20:59:52,0,非常不错
丹,3,2006-05-31 07:34:49,0,还可以。我也很想他。
Yutong,5,2010-06-08 17:36:47,0,她是唯一。
A-sun*,5,2007-01-22 03:29:57,0,孙燕姿
≌菩提风花,4,2007-04-02 14:53:15,0,这张我也比较不喜欢
kingfish,5,2006-03-23 10:44:36,0,粉好听!!!!
笪笪,4,2014-04-27 21:36:47,0,我的爱+我也很想他
痴人,5,2007-11-20 22:38:10,0,高二。
zhangxunnj,4,2009-08-18 05:18:56,0,我也很想他
HaGaU,4,2009-12-25 13:52:42,0,我的爱
许玉玉,4,2006-03-18 12:16:32,0,一直满喜欢她的说
家常辣酱,4,2009-03-08 20:51:47,0,反过来走走
#天籁💤#⛓️,5,2013-12-17 15:38:37,0,《奔》和《同类》，一动一静，甚是奇妙。
寒凌旭,5,2007-12-28 14:18:54,0,等待后的回归
器官坏死,NaN,2008-05-27 11:02:18,0,我的一段记忆
菲以,4,2012-12-31 13:22:58,0,隔一段时间重新听，会pickup不同的歌循环播放。所以这样算是耐听？
Gavin|江湖骗子,4,2010-01-21 16:36:10,1,想起当年还是初中的时候我们中午顾不上吃饭就挤在学校旁边的唱片行等着老板用摩托车把卡带从长沙第一时间运回来的场面就怀念
微 曇,4,2010-05-08 21:31:36,0,那时我们总有好多话什么事都可以讲
yes,4,2012-11-03 21:11:42,0,你难道不觉得《我的爱》是属于我们俩的歌吗？从当时到现在
hotdogyer,4,2007-03-19 16:31:51,0,同名一辑~我的爱
ino,4,2008-06-26 11:07:50,0,仅仅因为一首《同类》，就可以爱上这张专辑!
面包树上的老李,5,2013-05-20 23:52:23,0,我当年很喜欢这张诶，现在也很喜欢
yu,NaN,2010-12-06 23:11:20,0,六年了还是好听
Amik的女朋友,4,2008-03-22 14:44:40,0,《同类》与《我也很想他》。
GrayF,NaN,2008-05-17 02:23:55,0,经典。
penumbear,5,2011-01-10 12:46:23,0,丰富的音乐种类，精致的乐器搭配
一碗凉白,4,2010-05-22 09:14:58,0,懷念那段時光
白牙尖,4,2012-11-23 17:39:31,0,买过这张CD，最近在听
阿踢,5,2008-05-10 15:33:39,0,复出后的第一张专辑，感觉不错
每天一粒茶叶蛋,5,2011-04-04 22:21:02,0,我也很想他哥几个都一样啊哎苦逼的人你哪儿伤得起啊亲
米粒,5,2009-08-13 13:36:34,1,我的爱明明还在转身了才明白
