user_name,star,comment_time,vote,short
瓜。相信这个世界很变态。,3,2011-01-15 17:41:03,84,你大爷的我真的觉得《因为爱情》这歌巨难听。
颜良辰,5,2011-03-08 21:02:13,78,大概今生有些事，是提早都不可以，明白其妙处。
tlmgt,5,2011-09-07 02:10:17,29,MyPrivateChristmasSong这张碟让我第一次觉得他的声音很性感。还有苦瓜。我小时候都不喜欢吃苦瓜但是长大后却慢慢发现自己喜欢了。很多小时候不喜欢的东西，长大后可能都会改变看法。
哪吒男,5,2012-03-04 22:30:48,10,因为爱情等你爱我
Song³,4,2011-01-11 19:16:35,15,珍惜淡定的心境，苦过后更加清
停用豆瓣勿cue,4,2012-01-24 20:11:41,8,「最后派对」「苦瓜」，Bonus碟可以有可无...
五色全味,4,2011-01-18 12:39:44,2,不錯。難得有一首能聽的
潋 | Béatrice,5,2011-06-13 23:25:30,3,eason你丫出碟太快了吧……前一张里你跟karen的《我杯茶》我还在听呢，一瞬间又出新的了
1806,4,2011-01-14 13:34:33,2,StrangerUnderMySkincrossover《爱的罗曼史》，不错
锐利修蕊,4,2011-06-13 23:23:14,5,苦瓜
皮卡丘Casper,3,2011-01-13 14:35:58,0,真的好听？我杂觉得两人扯着嗓子唱...唱得我一身鸡皮疙瘩...
Dyingpluto,3,2011-02-22 10:25:16,0,豆瓣擅改条目真他妈讨厌
阿朽,3,2011-06-25 14:51:52,1,不喜欢就不打分了不是eason的问题是陈明版太深入人心鸟
莫呼洛迦-屁股上的青春在歌唱,NaN,2011-03-23 09:43:51,0,靠又鸡巴改条目了闲的蛋疼
刘小昭,NaN,2011-01-10 21:06:04,1,因为爱情依然还有人在那里游荡人来人往
Chinos,4,2011-02-22 11:02:31,4,8.6StrangerUnderMySkin这首相当好听
白色的蓝,3,2011-01-11 18:30:22,0,这歌应该莫文蔚来唱
昏金暗玉,4,2011-01-13 13:50:08,0,苦瓜好吃，只歌一般
ztlpoppy,3,2011-01-13 05:42:22,0,王菲是在扒分啊
筱晗,5,2011-01-14 09:11:05,0,这首歌王菲全用的假音啊~很怀旧的感觉。
要早睡啊minami,3,2010-12-29 13:00:15,0,"其实很想打四星，实在是听到他唱“等你爱~~~我”这段被呛到了，本来一开始确实是很惊艳的，想来他来唱这首歌一定能更专情，可是高潮地方滴处理还是让我叟不鸟╮(￣▽￣"")╭"
固力果guriko,3,2011-01-18 11:59:57,0,配着画面看还行单听感觉正正得负了
丶,3,2011-12-05 14:35:49,0,这两人的声音很配？新歌感觉一般啊。
鸭酱,NaN,2011-01-16 20:29:47,1,好奇怪的赶脚，e不e，菲不菲==
肉卷卷又称肉卷,5,2011-02-10 13:55:43,0,“一个人，开心是一生，凄凉也是一生，既来之则安之，总要自得其乐，你说是不是？”---亦舒写给黄伟文。多谢《苦瓜》。
zard砸得王大崩,4,2011-01-11 10:13:36,0,我总觉得，这不是我想要的eason.chan.~最后派对
五摆五折,3,2011-02-23 16:18:31,0,格调做出来了，相比之下，国语歌有些弱势啊；http://www.xiami.com/album/420304；7.5分
MeetMeinaMaze,5,2011-02-23 13:40:29,0,太正了！
Samuca,5,2011-02-23 11:42:19,0,个人觉得比timeflies还要好。
香水瓶,5,2011-01-13 19:41:21,0,从未想到过的天作之合就这样诞生了
JulyChan,5,2011-01-11 14:19:37,1,听到你的声音一如往昔，我知道回忆已经超脱烟火气，凝结成冰晶，在远古，于极地。
口袋_肥力士,4,2011-02-13 11:22:16,0,还是喜欢陈明那一版多一点
捞,3,2011-02-24 21:12:54,0,纯坑爹
纸 鸠,4,2011-01-13 00:55:56,0,天王天后的组合不一定就能雾里生花。
Kim,NaN,2011-01-14 17:17:12,0,难听
Enhui,3,2011-02-24 06:41:36,0,耳目不新~~
英恩,4,2011-01-10 22:58:05,0,四颗星全部献给王菲的声音。与作词、作曲、合唱者、电影、时光、爱情全部无关。
YoyoRan,4,2011-02-23 06:00:08,0,因为爱情
少年夏不安,5,2011-02-27 14:18:38,0,五星只为这支让我流泪的《因为爱情》。
陈二菜,3,2011-01-21 08:51:04,0,中庸
不宁,NaN,2011-02-16 15:57:55,0,其实，真的不合。但是，因为爱情吧～感动了。
i'd,5,2011-04-14 09:52:04,0,聽了一下午人來人往，再聽這首，很難不動容
usquebaugh,4,2011-03-07 14:59:43,0,‘苦瓜’有‘陀飞轮’的神圣感。
肥匪廢·老🐰,4,2011-02-24 18:16:12,0,翻唱《等你爱我》很给力。跟菲姐的合唱很洋盘~
thundercat,4,2011-07-19 23:59:45,0,幸得甘辛的引路甜蜜不致太寡
索君,3,2011-02-22 18:14:26,0,不是吧真的不适合啊
cristine,2,2011-01-13 19:00:44,0,两颗星星遮蔽了彼此的光芒，一个失败的组合。
李念河重出江湖,5,2011-01-29 22:22:46,0,整个最大的看点和卖点就是和王菲合唱还有翻唱等你爱我吧毕竟王菲合唱又沾上了李亚鹏话说女神就是女神和陈奕迅一起还是很抢戏阿⋯⋯
Summer孙夏天,5,2011-01-26 10:02:53,0,因为爱情，苦瓜
快去救列宁,4,2011-01-14 19:56:05,0,这词太扎人了
山川若水富江萌,5,2011-04-13 00:49:28,1,1-theskinoftheMENisskin-deep——「Thinkoftheworldyoucarrywithinyou.」--RAINERMARIARILKE2-惟一讓我聽到發汗髮寒的歌——「-VI=IV-」3-從大量「等待愛情」評論可知本EP市場策劃六星4-wyman在「最後派對」裏像隻哭泣的熊——加半粒星～
小M,4,2011-01-23 20:05:20,0,姐姐大早上发短信力荐的
🍀again 😸,4,2011-01-10 20:45:53,0,三星半
佐罗大王🌸,4,2010-12-24 12:51:33,0,给歌曲本身】becauseoflove@20110314
欢乐分裂,4,2011-03-12 09:28:48,0,scarinmyheart
伊豆,4,2011-01-14 22:26:18,0,mv很有感觉。
DeerColin,4,2015-02-12 08:51:40,0,最后一首何其煞风景啊。再一次感慨Eason实在太会唱歌咯。
黄青蕉,5,2010-12-23 14:24:23,1,我操！青春！老子的青春！
乌龟@ 王小嗔,5,2010-12-23 15:59:05,0,太TMD好听了。
大橘喵子^ ^,5,2012-02-18 05:10:49,0,因为爱情，怎么会有沧桑
