user_name,star,comment_time,vote,short
tlmgt,5,2014-07-14 00:52:43,102,正视她作为一个优秀的Teen-Pop歌手，有其存在的价值。音乐水准也不差劲
英恩,3,2009-12-20 17:46:05,20,不喜欢Avril就像不喜欢TalorSwift一样，无缘由的，可能真的是不对味吧
Bill,4,2007-05-18 18:32:25,13,没什么留下特别印象的歌～一般般
潜意识,1,2008-04-19 22:54:57,7,这是歌吗，恶心
黄靖昀,5,2009-12-26 21:31:05,12,TheBestDamnThing
蹦床,1,2010-04-27 02:37:57,7,这张里她终于变成了彻底的脑残
UrthónaD'Mors,3,2007-08-25 14:34:10,0,还好
Claire,4,2007-04-19 15:25:45,5,【WhenYou'reGone】【Innocence】
L I M O,5,2007-08-10 10:49:58,1,好壞參雜的東西。
KinG羽,5,2009-03-15 20:05:25,1,就是喜欢小艾的声音
DeerColin,5,2013-05-15 17:41:48,5,爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽
火龙果不耐受者,4,2007-04-30 17:52:02,2,很一般!比上次的差很多!
Rebecca,5,2007-05-01 14:34:42,2,AVRIL终于归来
丶,4,2011-12-21 22:24:21,1,说实话，这张专辑艾薇儿的风格完全变了。完全脱离叛逆小女孩的气息，变成了一个落入凡尘的世俗为爱烦恼的女人。尽管GIRLFRIEND里依然无法无天，但只是感觉那是一场搞笑的闹剧罢了，并无当初的潇洒酷帅。经历婚姻的女人的确是不同了。祝她能婚姻幸福。
zard砸得王大崩,4,2007-04-14 12:01:32,2,自成一派的这位小姐，唱着只混合她的纯真和世故
cristine,NaN,2007-05-05 18:49:28,1,是听歌的心情变了，还是唱歌的人变了？
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,3,2008-08-29 00:26:46,0,爱前两张的。
小M,3,2007-09-28 10:59:25,0,喜欢她自由的性情
小狐狸BOBO,NaN,2007-04-19 12:13:58,0,婚后的小魔女。
莊小壞,2,2011-02-27 00:06:44,0,2.5－－－第三張。我覺得就Innocence好聽點。
静@Einfühlung,2,2007-04-11 14:18:58,1,KeepHoldingOn
○Ⅴ○,5,2010-09-21 18:50:07,0,嗨皮地复活
椒图,2,2011-02-25 20:44:43,0,失望。
Luffyjun,4,2012-07-22 21:22:51,0,《Innocence》《KeepHoldingOn》《Girlfriend》
杨生活,4,2008-04-06 16:58:08,0,就觉得是avril就够了
WickedWill,3,2019-02-16 18:54:07,4,她花了很大精力去装朋克，然后我好像应该说“卸下朋克包袱、面对真实自我的她才最美丽的她”——才怪。虽然她的朋克就像是乖乖女第一次叛逆一样，一边对自己说“艾薇儿，你是坏女孩，你可以做到”、一边心虚被抓包。但是实践证明，她的滥俗面的一点都不禁得起看。只有当她拼了命想证明自己多朋克、把她song-writing技巧用来骂娘而不是（过度）自怜的时候，她的所有讨好才能赚得掌声。正面案例是这一张，反面是，对，新专。***
KeneL裤头,3,2007-04-09 23:40:13,1,我该说什么...当她在这本新专辑前的演唱会上，扭着身子，旁边跟两伴舞，用甜腻的声音唱LosingGrip...
Murr,3,2022-02-27 03:22:22,0,甚至没标过
不擅长,5,2007-10-12 15:40:10,0,http://www.xiami.com/album/168089
