user_name,star,comment_time,vote,short
早米庵,NaN,2010-09-20 23:02:50,747,没什么好打分的，很牛逼，但我没事的时候绝对不会听
疯脱,5,2006-02-17 00:31:37,389,五星是给GreatGigInTheSky
Weltschmerz,5,2010-09-16 01:46:05,162,pink实在是太牛逼太牛逼太牛逼了
少年夏不安,5,2010-12-03 10:53:23,166,听的我惴惴的，牛逼的专辑。据说在billboard上呆了735周！！！
Arthur,5,2013-02-09 19:37:47,134,伟大的立体环绕声无缝42分钟，心跳、钟表和提款机的取样，惊心的追逐戏音效，妖艳而凄凉的女声咏叹，重听发现只是配角，映衬蓝调摇滚旋律和妖孽上天的电吉solo，才会在任何一个时代听都心潮澎湃
韧勉,1,2008-11-17 01:53:25,20,一直不适应
crascopy,5,2020-02-29 23:10:07,94,94/100除了刚入门的部分乐迷没人会高估这张，某些“资深前摇迷”别画个靶子自己打了。况且这张哪里差了，专辑整体性整个摇滚史就几乎是无人能敌啊，单曲性也不弱，虽然我确实更爱kc。2021.4.28，依然保持看法，thewall或许被高估，甚至愿你在此都可能被高估，但这张没有。
离净语,NaN,2012-09-26 09:51:20,29,可能是跟见识有点关
潜意识,5,2008-03-26 10:31:13,25,听烂掉的darksideofthemoon，pinkfloyd就是那么神奇的魔力！
🍀again 😸,4,2011-09-18 09:24:41,6,虚度光阴，使理想化为泡影http://www.xiami.com/album/167579?spm=0.0.0.0.50TQJP
做人呆呆,3,2009-11-01 04:17:56,19,完全没有想象中的那般震撼
麦子的颜色,3,2013-05-28 19:35:25,18,Goldandjadeontheoutside，rotanddecayontheinside，whichdefinesexactlytheprogrock.
孤独心俱乐部,5,2013-03-02 19:08:32,20,没有言语彻底震慑了，这应该算是罗杰沃特斯到达的一个巅峰状态，不然不会有那么浑然天成的各种音色和音效编织出的迷幻天空
商狗,5,2013-05-13 15:57:35,21,无解的整体性，浑然天成。每一首都很好，可是你没办法只听那么一首，它逼使你从第一首听到最后一首。PinkFloyd用一张专辑诠释了幻境为何物。
Abe,4,2011-09-29 10:19:44,17,"(﹁""﹁)土鳖不懂这种近乎意识流的东西……"
RIC,5,2010-03-31 17:56:17,15,给迷幻标签的是真没脑子？
