user_name,star,comment_time,vote,short
V.Dunham,5,2013-08-14 23:53:20,270,一张需要拨乱反正，领先时代的专辑。TheFame对于乐坛的意义远比TFM大，廉价浅薄的音效，二逼的歌词，却有着难以归类但流畅悦耳的hook，这大概是她最接近摇滚乐的时刻，以致于现在她非要走出自己构建起来的成果。当然，这些都不影响我对她的爱。
jellybaby,4,2015-12-19 16:01:42,112,"LadyGaga这专用装傻充楞地方式靠近了摇滚的核心MoneyHoney巧借Elvis一首老歌的wordplay；PaperGangsta取样DeBarge；BoysBoysBoys是Shangri-Las的GiveHimAGreatBigKiss式少女摇滚精神；TheFame是直接抄袭DavidBowie80年代廉价新浪潮舞曲最直接的例证……而thefame这个概念“每个人都可以变得有名""（instagram等社媒带来的fame的大爆炸，每个人都可以享受一段15minutesoffame。对比麦当娜扮梦露，演电影的一系列行为，gaga诠释fame的方式明显走在这股变革的潮流的前头，plastic的态度在名气plastic化的时代显得如此摇滚"
丶,5,2011-12-21 22:33:57,80,这是一个时代的产物。现在谁也不好说，但的确值得载入史册。大家都随着她的节奏随着她的夸张，一起疯狂的甩着头扭着身。甚至因为她，全社会的人都开始一窝蜂的听起了电音，High起了夜店。她不仅是女神，还是霹雳，炸开了整个地球。
tlmgt,5,2011-06-04 19:23:39,53,"开启“廉价时代"""
DADA,4,2009-03-19 17:50:24,38,又一个icon诞生了吗？拭目以待
Bill,4,2010-01-30 13:43:28,3,雷
抑郁小兔李邦妮,4,2010-01-05 17:34:06,15,曲子写的还不错，但是怎么说呢…感觉制作得不够好。个人认为电子音乐要出彩是需要强大的硬件和高超的编混水准的，gaga这张里的舞曲表现很一般，完全赶不上麦姐05年《舞池告白》那种水准，差的太多了。倒是几首慢一些、摇滚感觉较强的歌很和我的胃口，实在是很DavidBowie的味道，我甚至有点希望她既然她这么喜欢DB老爷子，干脆去搞摇滚好了……当然，做嗨曲会红得比较快，事实也证明了这一点，不过谁知道没准哪天嘎嘎小姐一转念真的去搞band了也不一定。衷心希望她能成为女版的DB，而不是女版的玛丽莲曼森，要是那样就很杯具了，默。
K洛,5,2010-02-27 14:08:15,5,叫我给什么标啊太好听了
办公室甜心,5,2010-02-04 18:14:41,3,Gaga
肖申克的舅叔,5,2010-06-15 00:42:04,11,一细听发现好听的可怕
D K U N,4,2011-05-10 05:07:04,0,==我居然连这个都没标记
颜良辰,4,2009-06-15 16:37:51,0,癫鸡一个。
齊克斯尼力佐飛,4,2011-02-04 23:50:19,1,paparazzi，eheh，pokerface·······
L I M O,5,2008-11-15 16:20:02,2,雷蒂嘎嘎。
Ding,4,2011-05-18 18:51:47,0,JustDanceFeat.ColbyO'donis
撒旦的表妹,4,2009-11-07 13:30:02,0,偶尔换换口味
Song³,3,2009-09-13 21:56:03,0,PokerFace
zard砸得王大崩,4,2008-08-20 21:37:05,0,3+gaga，let’sdance！！！Beautiful，Dirty，Rich
猫打喷嚏,4,2010-04-24 20:21:43,0,其实人家真的很不错！
DeerColin,5,2013-08-19 18:35:30,2,"比起Britney的""Blackout""，LadyGaGa的""TheFame""还是不够电，但是凭借独树一帜的造型和风格，LadyGaGa能够席卷全球必然也有其实力所在。这张专辑作为为LadyGaGa打开知名度再好不过，专辑里的一首首大Hit确实够份量。"
肥匪廢·老🐰,4,2010-03-20 07:44:16,2,Oh!MyLadyGaga~
朱大侠。,3,2011-10-01 19:19:54,2,25岁的她充斥着大胆前卫和另类，甚至是一个常人眼中衣着暴露的不良少女，然而同时她也是一位钢琴演奏家和词曲创作人。
影子的影子,4,2010-02-12 13:17:50,1,很好听的嘛，Paparazzi旋律超好，嘎嘎姐的声音听得也还顺耳，电音加流行的组合无敌。
旗旗,4,2009-04-28 19:50:11,0,dance～
amiko,5,2009-05-06 19:31:35,0,MyGodness!AndIlovethespecialeditionofPokerFace
Enjoy🌈Rachel,5,2012-07-21 22:27:33,0,嘎嘎脑残粉=v=
煮蓝,5,2010-08-26 18:16:03,4,这个不知道是好是坏的大时代因为嘎嘎女王的出现而变得更热闹了。五颗星献给一个只属于LadyGaga的星球，她是如此慷慨，允许我们肆意浏览大加品评，像真的被刺激到了那样爽到跳脚。
目黑,3,2009-02-21 12:56:56,0,我的问题又不是我的类型
尉迟,NaN,2009-10-06 00:29:28,0,头疼
Soyobell,3,2009-12-19 00:26:46,0,Oh，mygad!LadyGaga!!!Socrazy，sosex!~
banana*🌈,3,2009-08-15 14:23:40,1,SUTUCD选曲大热。
小魔@优雅穿梭,3,2009-10-13 12:36:53,0,HITFM每天轮番轰炸
Summer孙夏天,4,2011-06-08 14:02:53,2,BoysBoysBoys
莊小壞,2,2010-10-07 15:54:08,0,2－－－姐我無法。標籤都無從給起了。
飞老湿,5,2010-01-08 02:14:51,0,一见钟情的舞曲，牛逼！
高歌,5,2013-03-27 13:23:38,0,嘎嘎
椒图,4,2013-03-03 12:56:17,0,典范！
WickedWill,5,2018-07-26 21:33:37,13,A.傻瓜才会觉得这些是，socalled，“口水歌”。
