user_name,star,comment_time,vote,short
Aragaki,5,2008-05-02 00:23:41,45,谈不上来的高度共鸣感，内牛满面。
韧勉,5,2008-11-02 00:18:45,25,不愧是经典，没有白买！
文泽尔,4,2010-10-11 02:17:04,11,海上钢琴师的原声集.其中特别喜欢的有EnduringMovement，Police，Trailer，ThanksDanny，NineteenHundred'sMadnessN.1&2和SilentGoodbye这几首.还有MagicWaltz的钢琴呢，绝美。TheCrave的爵士钢琴，大爱
早米庵,5,2010-11-13 15:54:51,3,todanny
基一凹,5,2013-04-14 21:18:52,5,~~~~~~~~~~~~~~
宅蘑菇Moku,5,2010-05-13 05:36:12,2,太棒了这个
mosquito惟,5,2010-10-25 01:22:25,3,发飙时让人淡定的绝妙武器
zitsunari,3,2009-04-11 23:09:18,1,TheCravePortraits
東柏林地下黨,5,2008-06-22 12:54:57,2,很好的一张盘故事也很好
药命的悲‖挨,5,2008-12-16 20:17:30,2,虽然我不是很喜欢JAZZ钢琴，但不得不承认这张OST实在是太经典了!
バカ蓝蓝,5,2010-10-26 04:33:39,2,❤
乡愁,4,2010-12-19 13:48:38,1,Inthisdeadcalmbeneaththewaves，Icanstillhearthoselostboyscalling.Youcouldnotspeak.Youwereafraidtotaketheriskofbeingleftagain.
不擅长,5,2009-10-09 02:26:23,1,http://www.xiami.com/album/168626
蹦床,3,2010-04-29 16:14:06,1,不太喜欢这电影其实，男主演长得还不错
Doyle Frenger,5,2009-05-19 01:28:25,1,想想可以现场听了。。。TT
Белка,5,2007-11-23 20:51:46,1,....
安蓝·怪伯爵𓆝𓆟𓆜,4,2007-02-02 00:29:22,1,痛并固执着
杨山魈,4,2010-09-04 23:38:29,1,一点也没听出是爵士钢琴来...但还是不错的
宇宙宝贝,4,2008-08-07 17:24:25,1,练习曲很好但是终究不是大师的版本
wwei,5,2010-06-03 21:39:21,1,昨天经过一番周折后不但看到了EnnioMorricone的超赞演出，还拿到了大神签名，只是后悔没带《美国往事》的唱片……
水果君,5,2009-08-10 16:44:11,1,“那是上帝的琴键啊……”
旺美酱,5,2009-12-21 23:38:33,1,考试的日子里有它陪伴，感觉好极了！==
#Pekingcat#,5,2010-10-20 17:12:13,1,TheCrave是最赞的！！！
魚鰭,5,2008-02-23 17:26:36,0,弹叻
Ambery,NaN,2008-05-23 23:54:09,0,不错
镜泉,4,2010-10-10 20:27:45,0,虽然是处理过的钢琴曲子，但是它在当时激起了小时候的我弹爵士的热情，一直到现在。
索总，,4,2019-02-03 21:12:29,0,FilmOst☞1999
灰色的彼得潘,5,2022-04-15 14:59:01,0,莫里康内我的超人
