user_name,star,comment_time,vote,short
zard砸得王大崩,5,2006-12-14 15:54:11,122,如果人生中总有一个歌手陪你长大恋爱，于我，那就是孙燕姿
离净语,4,2007-11-25 00:41:07,57,曾经是唯一喜欢的非创作歌手
颜良辰,5,2009-11-23 18:25:15,22,很爱的一张。
tlmgt,5,2014-07-15 19:50:21,15,2003年宣布退出乐坛前发的一张精选。
Song³,5,2008-10-12 18:44:33,6,遇見/天黑黑/任性/風箏/TheMoment/橄欖樹/害怕
DeerColin,5,2012-10-14 16:38:13,7,"哈哈，是不是有《遇见》，大家都给那么高的分！说来《懒得去管》也蛮有意思，《太阳底下》很励志。""TheMoment""华丽的配乐和《不能和你一起》反倒是个很好的映衬，孙燕姿的唱功赞"
发条橙,5,2008-06-30 13:41:36,3,这张这么好怎么都打四星。。。
L I M O,5,2007-06-25 10:46:46,0,姿選。
肥匪廢·老🐰,4,2010-03-01 08:42:37,3,遇见你是最美丽的意外~
锐利修蕊,5,2022-08-20 21:44:50,1,五首新歌：不能和你一起＞themoment＞懒得去管＞遇见＝太阳底下。剩下的15首歌选的都不出错，但是冷门好歌选择也很少，这张新歌精选算是为下一阶段的孙燕姿铺垫，发现她两个字歌名作品都很神，比如《真的》，《害怕》，《很好》，《逃亡》……然后想想那个年代的歌手休息一年暂别乐坛就算久，现在真的是……
徐达多,4,2009-11-01 13:46:47,1,天偶偶偶偶偶偶，娟子如是唱。
丶,4,2011-12-09 12:36:38,0,多给一星给themoment。
香水瓶,NaN,2006-04-17 00:48:07,1,最近又开始听遇见了，不过多了种怀旧的情怀，呵呵……
不擅长,5,2007-10-09 17:32:39,1,6+精选http://www.xiami.com/album/11665
不宁,5,2008-10-04 00:21:31,0,有这张的正版，每首都让我爱。
with,5,2008-07-24 21:30:15,0,有那么一张精选让我感动
Samwellllll,5,2009-09-15 13:35:32,0,ok~~
LORENZO 洛伦佐,4,2010-05-03 14:41:55,4,全是好听的歌没有不喜欢的
91.7,3,2012-09-12 23:18:00,1,3.5
eloise暖,4,2008-07-18 16:03:30,0,放心离开我我会记得这一刻那些还飞翔着不可思议的梦雨后的天空会有绚烂的彩虹我还会相信着
伊豆,4,2008-04-29 16:03:16,0,虽然每一张都买了，但是精选集依然没有错过。
莊小壞,4,2009-03-21 21:56:14,0,4.5－－－第七張。可愛的。精選和新歌。
大橘喵子^ ^,4,2010-04-25 23:59:17,0,遇见。
○Ⅴ○,5,2011-03-14 22:30:22,0,TheMoment是一种别样的治愈
バカ蓝蓝,5,2011-02-28 16:57:39,2,Thattime，Ifeelclosetoyou，butlatterIloseyou，nowImissyousobad.
三四,5,2007-07-13 11:37:27,1,新华书店黑了我海报！！！
揣,5,2009-09-01 22:52:08,1,最爱这样的你~\(≧▽≦)/~
✟✰ナギサ✰✟,5,2010-10-24 20:34:37,0,我要的幸福
薇羅尼卡,5,2006-01-27 21:02:49,1,精选集，喜欢遇见。
c小调的冰蓝,3,2011-01-19 19:42:40,2,我不喜歡精選集
妈妈我想吃肉,4,2007-10-24 19:02:47,0,精选~~themoment~
沉歌,5,2008-01-07 17:45:14,0,遇见风筝任性逃亡Tonight，IFeelCloseToYou天黑黑我要的幸福
Memento Mori,4,2009-12-20 10:27:12,0,记得那一年我们自创的音乐剧，唱着孙燕姿在舞台上起舞翩翩。青春就那么过去了，我记得失败之后，我随意拨起吉他的旋律，哭的很糊涂。
逅宝,5,2008-10-23 13:13:49,0,第一
普通美,NaN,2014-02-12 22:53:19,2,我觉得她最好的专辑是未完成。。。
杨山魈,4,2010-08-10 17:02:25,0,精选集？总之还是不错的...
godeau,4,2011-03-11 21:32:59,0,作为精选集，这张还是不错的
[已注销],5,2011-03-19 13:47:46,0,TheMoment+遇见+不能和你一起+懒的去管
電波橘,4,2012-09-23 16:28:35,2,TheMoment是我心里孙大妞最神的歌
三言,4,2010-02-11 13:20:43,0,不能和你一起
娘口三三,5,2009-03-31 23:39:10,0,我可以给六星嘛？
球儿先生,5,2010-08-30 08:23:37,0,庆幸这张专辑没有用烂大街的遇见做第一主打，燕姿的定位，还是themoment更合适点。
小澈,5,2008-11-26 21:53:44,0,大爱
宇文宙,5,2014-03-10 20:22:13,0,新曲加精选，多少人是因为遇见而遇见燕子的？
你是桌子我是布,5,2011-01-16 20:59:00,0,themoment
A-sun*,5,2007-01-22 03:30:10,0,孙燕姿
stranger17🎐,NaN,2009-11-26 16:15:32,1,我的女神。
△,5,2008-06-28 23:48:56,0,我拥有的第一张CD
≌菩提风花,4,2007-04-13 18:07:43,0,太阳底下~~
momo,4,2006-07-16 14:40:49,0,"比较喜欢""TheMoment这一刻""有种彷徨而坚定的感觉"
[已注销],4,2008-02-22 10:05:44,0,TheMoment
然,NaN,2009-07-29 00:57:18,0,themoment，listening……
痴人,4,2007-11-20 22:37:07,0,那时候高一。刚住校。
baichi0038,5,2010-03-27 12:07:12,0,放心离开我~我会记得这一刻~
某水,5,2013-05-28 05:18:45,0,“因为你让我看清自己”，thx
战国客,4,2009-02-24 17:52:34,0,Tonight，IFeelCloseToYou&天黑黑
许玉玉,4,2006-03-18 12:15:50,0,THEMOMENT......
绵绵,5,2008-06-15 20:27:14,0,听过未完成，现在还是喜欢那一刻，
Miya.,NaN,2010-12-02 05:25:17,0,最近常常捡起以前的cd来听
血源2出了吗？,NaN,2009-08-30 07:33:37,0,初中啊初中
马克兔温,3,2010-01-04 14:29:34,0,只是单纯迷恋一首歌
Augenstern,4,2010-02-03 18:48:34,0,天黑黑，会不会让我忘了你是谁。
hotdogyer,5,2007-03-03 01:45:25,1,就是爱你哦。经典作品集子。阿姿！！！！！！
😲,5,2009-08-17 22:17:23,0,看野猪的PV认识这首歌==
器官坏死,NaN,2008-05-27 11:02:25,0,我的一段记忆
qweerew,5,2012-12-19 01:10:18,0,记得是用复读机听的卡带不能和你一起，拥有喜悦和悲伤
masquerade,4,2009-01-20 21:26:09,0,这其实是个分水岭我开始失去兴趣了
菲以,4,2012-12-31 13:17:58,0,选歌还是蛮合大众口味的，虽然一些我的心水没有选入。
蕾蕾,NaN,2010-09-03 23:46:17,0,遇見不能和你一起
NickyROி,4,2006-05-13 22:56:14,0,休息前的最后一搏
Amik的女朋友,NaN,2008-03-22 14:43:36,0,非常不错的精选集，最后附有和仓木MM合作的歌~
时间的玫瑰,4,2008-10-20 12:48:20,0,高中室友大爱。
尘埃野马,NaN,2008-11-06 17:29:17,0,遇见之伤感、天黑黑之可爱、风筝之流丽、逆光之活泼&……听后多年，感犹难忘！
