user_name,star,comment_time,vote,short
眠去,5,2008-08-31 16:58:18,285,一场奢华至极的摇滚演出、一次天花乱坠的视听盛宴。Pinkfloyd把摇滚乐的艺术气质发挥到了极至。戏剧、音乐、政治、哲学在同一个舞台上交相辉映。处处闪动着人文主义的光辉。
夏日扬帆,5,2010-07-26 17:36:09,105,OK，我一定没有完全理解这张专辑的伟大，但是是一个尊敬...
少年夏不安,5,2011-02-22 12:12:20,96,躺在摇摇晃晃的火车上听PinkFloyd，无比美妙。
猫打喷嚏,3,2010-04-24 20:41:40,45,我不喜欢这种阴阴沉沉的东西。。大学外教很喜欢他，整天哼哼
气急败坏女疯子,5,2011-11-10 21:36:40,53,这张专辑不像是PinkFloyd的专辑倒像是RogerWaters独裁的个人专辑。专辑内容就是在讲他的童年故事以及战争，刻板教育给他留下的阴影，时而无病呻吟，有点儿没病找病，时而又显得十分哲理。电影更是如此。我反感他想表达的这种扭曲血腥的残暴。也讨厌RogerWaters这变态的偏执与独裁（这也许是电影给我留下的阴影）
PabloHoney,5,2012-08-20 10:54:29,9,今天才完整的听了。。。
杜边生,NaN,2007-12-09 03:18:20,11,这些J8专集让我写些啥好呢？经典的一塌糊涂。
麦子的颜色,2,2013-05-28 19:32:51,10,whatthehellaretheyconveying？
五摆五折,NaN,2008-09-14 03:40:54,2,http://www.xiami.com/album/167582
江陈子,5,2012-04-13 17:55:22,8,我竟然没有在豆瓣上标注这张专辑！！让倒塌的墙把我压死吧
阿朽,4,2009-11-29 22:51:20,0,我还没听出味道来
Kreuzberg,5,2009-06-21 15:42:40,4,需要思考的一张专辑。经典
徐达多,NaN,2009-08-14 21:15:38,2,研究下时代背景。
言叔,5,2014-03-11 15:20:07,12,你根本不知道不知道不知道这种独立激进的靡靡之音有多么好听……
深蓝即是黑,5,2011-11-30 16:30:32,6,"""heyyou，wouldyouhelpmetocarrythestone?openyourheart，i'mcominghome."""
果酱☮,NaN,2007-03-23 10:13:44,0,中学时代买过打口CD，影响过我的唱片。
Odding,NaN,2006-03-26 00:07:24,1,太经典了，这个。
泉の向日葵,5,2008-01-29 23:28:09,3,TheTrial，TheThinIce，InTheFlesh，Mother……太好听了
龙三,5,2007-03-19 06:15:37,3,和《月蚀》一起，我的最爱！！！
日灼,5,2012-03-23 19:44:46,1,10/10
zard砸得王大崩,5,2006-12-15 02:06:15,0,很爱的专集
格林先生,5,2009-12-30 16:31:15,1,真是反复听而不厌啊~
長閑,5,2013-05-30 08:02:59,3,IsThereAnybodyOutThere?
Enjoy🌈Rachel,5,2011-02-13 20:36:13,0,不逊于之前的试验专辑~
小本,5,2010-10-13 21:14:42,0,完美
Nymmmmmmmmeria,5,2012-10-09 13:28:46,0,神作！
voldemort,5,2008-05-23 15:28:39,1,最爱专辑之一~~
jiaqi,3,2011-01-17 14:53:40,2,打迷幻的是不是傻逼？
Dublin苍穹下,2,2009-01-07 16:35:03,1,请原谅我欣赏不来。。
Topfun,5,2012-03-02 16:54:59,0,FxxktheWall
神侬教教主,5,2020-03-24 11:10:34,2,个人至今觉得最牛逼最伟大的一张专辑，没有之一
Ridden,NaN,2010-01-08 21:51:41,1,AnotherBrickInTheWall，Part2。
莊小壞,4,2009-02-26 19:59:01,0,4.5－－－着实的经典，电影也十分好看和精彩。
石小po,5,2009-12-26 04:26:54,0,ok，我最喜欢的那首歌儿还是没多少人待见~~~
阿镇,5,2007-12-21 10:45:00,0,很喜欢很喜欢！
bllz666,5,2012-08-17 16:33:56,1,wonderwall
乡愁,4,2013-03-28 21:25:31,0,很有特点。
不擅长,5,2010-05-14 08:54:44,0,打鼓的童鞋给的http://www.xiami.com/album/167582
肉汤拌饭吃八碗,5,2013-03-21 23:58:22,0,特别棒！
和风莫吉托,4,2011-03-09 23:59:52,1,酋长，这太艺术了我听不懂啊
madmozart,5,2009-11-12 19:41:31,0,HEIYOU!
JasmineJasmine,5,2008-07-26 21:49:42,1,完全臣服
你好代号君!,NaN,2010-08-25 18:57:19,0,再来一遍一遍又一遍
Doyle Frenger,5,2007-11-01 13:25:17,0,CLASSIC!
远xx,5,2010-03-29 20:27:02,0,胸闷死了
haidb,5,2009-02-24 23:13:41,0,我想在多听几遍以后再去看迷墙
V,5,2008-10-14 20:22:56,0,9.5/10
biiru_u✨,5,2007-12-09 00:59:23,0,是他
witecross,4,2010-06-04 08:52:50,0,初中擁有過，然後送人了。現在聼的時候像從沒聼過一樣
半吊子社畜阿九,2,2007-08-19 20:36:02,1,没感觉
poiuny,5,2008-11-23 21:23:46,0,！！
cincin,3,2011-03-25 21:02:23,0,notmytype
Angeline35,5,2011-05-13 14:45:18,0,最触动我的仍然是adayforfreedom.
克莱德思构坡,5,2011-05-26 13:38:48,0,弗洛伊德不死！！
Ambery,5,2009-02-19 21:35:42,0,很压抑，是那种有深度的压抑。
Parachute.cpp,5,2012-11-16 17:36:41,0,做题的时候一遍遍听完全不腻反而越来越有意思，所谓经典便是如此。
五月微蓝,5,2008-02-13 14:11:56,0,经典的。不会被遗忘。
门背后的天堂0,5,2011-03-13 23:48:05,0,真经典啊~
