user_name,star,comment_time,vote,short
张恩勾,4,2009-09-01 01:34:34,24,方大同，無論你認不認識張文順的師傅佟大方，你這張的水準都不會掩蓋。
礼士路西岛秀俊,3,2009-09-12 11:26:04,17,他也哮喘？就这个版本还超王菲……？？
白色的蓝,4,2009-08-13 17:41:44,15,我居然觉得这是他最好的一张……
Bill,5,2009-09-03 22:18:44,5,灵魂附体
Dyingpluto,4,2009-08-11 20:42:16,2,继续玩票http://ent.163.com/special/00033JRQ/Timeless09.html
颜良辰,3,2009-08-13 16:30:57,1,我就是觉得不够味儿。
sorrento,2,2009-08-12 11:31:04,1,我就思忖着为啥每个歌手做翻唱专辑都要去唱那首MOONRIVERPLUS...男不喜欢方大同女不喜欢王若琳
素手纤纤,4,2009-08-18 11:32:18,0,忽然好听了。。
范困,4,2009-08-11 21:43:11,1,记得弄的不伦不类，放这个专辑里真是老鼠屎。
L I M O,3,2009-08-12 22:13:32,2,翻大同。
PabloHoney,4,2014-10-10 17:28:31,0,翻的确实不错
L+,5,2009-08-11 22:16:44,2,不给五星给什么
eveilebi,5,2009-08-18 00:23:35,1,中文翻唱的伴奏怪怪的，英文歌好听很多。
阿落,3,2011-11-12 15:53:51,0,翻唱不如听现场
朴九月,4,2009-08-13 18:38:52,0,http://www.1ting.com/album/33/album_28474.html
尧耳,5,2009-10-25 23:18:18,1,才子。
Song³,4,2009-11-07 00:34:43,0,他翻唱得还蛮有自己风格的
tlmgt,3,2011-10-01 19:22:18,0,不怎么喜欢他翻唱··········
令糊葱,4,2010-09-11 21:17:01,0,记得
Yolanda,5,2009-08-26 20:11:18,2,很有幸福感的一张。
要早睡啊minami,5,2009-09-27 13:51:56,0,我给五星
StevenTong,4,2009-08-19 17:57:43,0,可供重新探索的餘地太少，玩得最好的《紅豆》一早派台。雖然我很愛khail，不過這次也只能四星，看在他玩得很開心的份上。（月底的演唱會見囉！）
尉迟,5,2009-08-12 01:26:59,5,是你带我真正进入黑人音乐的世界。
zard砸得王大崩,5,2009-09-03 13:34:57,0,大同的歌清清淡淡，让人觉得世界一直这样多好。红豆和LaBamba的改编让我很欣喜。
香水瓶,4,2009-10-06 15:40:47,0,大同发片一定要听~~
苏格,NaN,2009-08-13 12:00:27,1,关菊英都给翻出来啦
麋鹿橙,4,2009-08-21 17:00:28,0,主要是唱功拯救了这张唱片.
捞,NaN,2009-09-03 14:54:01,0,我是不是该打个分==
Nuage☁,4,2009-10-04 00:06:20,0,终于出来了
鸟先生在睡觉,4,2009-08-12 00:29:00,0,后半张很喜欢。。。。。
Hao,4,2009-08-13 21:29:50,0,Nothing’sGonnaChangeMyLoveForYou
meiiii,5,2010-10-16 15:58:36,0,他的嗓音正好
DeerColin,2,2014-12-28 13:41:20,0,相当无味
英恩,2,2009-12-05 23:52:02,1,对于翻唱王菲歌的歌手，我向来是下手很狠的
路路路路路胖达,4,2011-06-11 23:02:08,0,【记得】【红豆】别有风味
YoyoRan,3,2009-09-07 15:33:46,0,没想到这么快就“江郎才尽”了，快快东山再起。
少年夏不安,3,2009-08-15 17:35:44,0,把记得唱成那样只能给三星了…
ladybird,NaN,2009-08-12 18:06:16,0,唉，封面抄的
小本,1,2011-01-15 10:35:53,0,你是不是要把所有音乐摧毁成方大同lized?!
with,2,2009-08-13 23:46:57,0,感覺無想像中甘好聽，好亂
usquebaugh,4,2009-08-13 16:39:15,0,每个人心中都有一张可啦思刻。
肥匪廢·老🐰,4,2010-11-21 03:33:00,0,目前所听到的《红豆》翻唱版中最温暖的……
目黑,2,2009-08-13 16:16:07,0,我不是很忍心再继续在听了..
李念河重出江湖,5,2009-08-16 12:28:05,0,真的真的、很赞
神威太太,3,2009-08-13 15:20:06,0,。。。。。。。。不要翻唱菲菲的歌
瑋,4,2009-08-29 02:59:28,1,傻不拉叽。华纳注意不要再次过度消费一个歌手的才华，要不然就真的像大同唱的“走过荒芜的沙抽”了。看过JSG的live觉得其实还应该收录howdeepisyourlove和tearsinheaven的。LaBamba只听到泥巴泥巴，你芭啦。。。最优选：wonderfultonight.
○Ⅴ○,4,2010-02-23 21:51:56,0,Classical不多。好听确实不少；也就是靠几首famous的抢分了
夏日良人°,4,2009-09-03 09:28:32,1,“一颗红豆怎敢单挑宇宙，是你在我心中播了种。”
水水♫,4,2009-10-27 00:26:35,0,无关乐评，依然销魂
姚大傻咖咖,4,2009-08-14 12:05:42,0,Nothing’sGonnaChangeMyLoveForYou
三四,4,2009-10-11 16:51:49,0,虽然说封面貌似也是翻别人的不值得鼓励，但歌是真的翻得很赞
品客,NaN,2009-08-17 17:43:40,0,翻唱的嘛，不好评价
乡愁,4,2011-01-24 21:55:13,0,以前的一句话是我们以后的伤口。
豆维,4,2009-08-12 22:13:22,0,选的歌都太经典了，反倒显得自己唱功吃紧，不敢施展。
不擅长,5,2010-05-30 00:29:57,0,http://www.xiami.com/album/336051
Pandy,4,2009-09-19 20:30:34,0,"""记得""好像我唱得比较凄惨....."
小偷|隐忍沉定,1,2009-09-14 04:40:18,0,难听
岳璇,5,2009-09-25 14:08:22,0,莫名感动一把……
小肚子✨,3,2009-08-12 10:59:47,0,很会唱
亞麻君,4,2009-11-12 13:12:14,0,还好吧Nothing＇sGonnaChange。。。不错
