user_name,star,comment_time,vote,short
猫叔Mack,4,2010-09-06 22:17:23,89,民谣，爵士，轻摇滚...田馥甄，你还是单飞吧...这张专辑比呆在S.H.E.要好多了...
锐利修蕊,4,2011-03-09 12:19:39,59,雪碧在这一年里表现最好。她集结了两岸三地最优秀的创作人为她制作了这一张耀眼的开端。早就和陈珊妮有过约定，于是有了那首联合黄金搭档李雨寰的专辑同名。有关“放弃自私，学会谦卑的爱这个世界”的大爱是出自陈永恒不变的信条。再配以词人林夕细致体贴的唱出少女乖张孤戾后的蜕变。再加上文艺气质浓厚的林宥嘉唱给未来。还有陈小霞贡献闺房情话。使得这张专辑很大很小。大的是告诉我们要爱的庞然，没有爱人不要紧，我们可以主动去爱别人；而小的地方就是有了“空窗之人”希望告别过去，再次上路的心情。唱寂寞越尝试越孤单。
城南草木生,4,2010-09-12 19:11:53,47,制作水准和对hebe的定位都很不错，跟林宥嘉的声音很合拍
潋 | Béatrice,5,2010-09-04 00:07:48,38,华丽蜕变
停用豆瓣勿cue,4,2011-12-21 09:57:11,10,相比第二张就显得很好听了。另外忍不住要说，虽然喜欢黄淑惠，但是实在很讨厌「Love」
叶酱,2,2010-08-22 10:38:44,8,别以为换个名字就不认识你了
白色的蓝,3,2010-09-05 03:03:46,4,虽然三人我比较喜欢她但是一直没觉得她们仨有唱歌的天赋听听林宥嘉就知道了
tlmgt,4,2011-05-16 23:35:53,9,比第二张好，华研目前还没给她找到离岛以及S.H.E时期《不在场》那样适合她的歌
Doublebitch,2,2010-09-05 21:10:48,1,确实不好听
皮卡丘Casper,5,2010-09-04 18:00:49,3,少了点什么，你的更精彩明明在前方触手可得的地方。
素手纤纤,4,2010-09-07 12:26:42,3,为了诸位作曲们打四星。
瓜。相信这个世界很变态。,4,2010-09-03 22:49:21,4,声音真好听啊--。
三石一声,3,2010-09-03 09:46:15,2,山寨陈珊妮+山寨雷光夏~~
雅克,5,2010-09-05 18:19:37,2,年度优秀华语专辑
PabloHoney,4,2010-11-02 23:21:27,2,出乎意料的好听
何牧歌,4,2010-09-26 11:38:52,5,可爱而空洞
三层保暖,1,2010-08-16 09:22:03,1,标签好多啊
Bill,4,2010-09-20 03:27:59,1,可以更好
Song³,4,2010-08-17 13:05:26,3,一直认为hebe应该单飞/大爱超级玛丽
L I M O,5,2010-09-02 23:22:18,1,給自己。
L+,4,2010-09-03 14:33:44,4,过于偏执于风格的营造，反而忽略了对声音本身的挖掘。
soulnleevh,3,2010-09-06 11:06:34,2,不错，各种大喘气，都不能停止性幻想了
一切归零,3,2010-09-14 19:25:29,2,为什么。。。我觉得她唱别人的歌反而还好听
浮生若梦,4,2011-01-25 20:18:58,1,原来她的本色是如此阿！
KinG羽,4,2010-08-19 17:32:34,0,你一定认识田馥甄！喜碧这是要干嘛？这阵势是要干嘛？
1806,4,2010-09-03 16:54:15,1,她的唱功还不错
Dululu,4,2010-08-13 14:21:39,1,LOVE的MV好喜欢
五色全味,4,2010-09-18 03:24:35,1,想象<你太猖狂>交给eason唱
沉默电话,3,2011-08-09 09:56:49,1,寂寞寂寞就好
要早睡啊minami,3,2010-09-08 20:34:42,0,你就该是这个样子
固力果guriko,3,2010-10-27 14:01:33,2,华研阵容很强大可惜声音总觉得撑不起来
半袖,4,2011-02-25 00:02:19,0,没失望。20110224
冰山李,2,2012-01-17 10:14:49,0,這麼硬的嗓子唱神馬爵士
矹矶,3,2011-12-16 12:54:36,0,小清新什么的最不给力了
[已注销],4,2010-09-16 17:30:44,1,有人觉得她声音很油滑吗
StevenTong,4,2010-09-19 23:25:36,0,有點雷聲大雨點小的感覺...聽起來還是不錯的，但一旦出現和音的部份，又會有Ella和Selina在配唱的錯覺。
丶,4,2011-12-13 20:11:45,0,如果你早点发专辑，会比现在更好。现在的你，这张作品，的确不错，可是你能唱多久……
肉卷卷又称肉卷,4,2010-08-13 14:12:02,0,我感谢当年你甚至没出道我就爱上你
zard砸得王大崩,4,2010-09-03 15:44:20,0,田馥甄，我喜欢你的歌。~離島~Love!~我想我不會愛你
五摆五折,3,2010-09-03 15:46:37,0,有些歌挺好听的
猫打喷嚏,3,2010-09-17 12:17:50,0,有点失望啊。专辑很单调，声音很薄。
Samuca,5,2010-09-03 15:43:50,0,终于在我单曲循环了很多歌之后终于意犹未尽地听完了，一首<love!>完美收官，实在出色。内地给我学学人家怎么去给一个歌手定位的。
virgin,NaN,2012-08-17 21:47:02,0,20120817听。。
口袋_肥力士,5,2010-09-04 13:53:39,0,越听越好听
捞,3,2010-09-06 19:07:56,0,如果多点其他曲风的尝试就更好了，适合阴天聆听。
Yome,4,2010-09-05 14:46:12,1,這個Solo誠意果然足製作精良整體型佳歌曲質量上乘從封面到MV都砸了錢怎麼說都該有4星
小怡,4,2010-10-10 21:51:17,2,LOVE？一张嘴就给我吓到了
Enhui,3,2010-09-05 03:54:30,0,強在製作團隊，弱在歌手演繹，這張原封不動給阿妹，燕姿或王天后唱，不曉的會有什麼效果...@.@
Ridden,5,2010-09-04 13:32:23,1,1-08.你太猖狂。
A,5,2010-09-03 09:31:39,0,不给五星行吗？！
夏日扬帆,4,2010-09-15 22:45:07,0,目前听过的诚意专辑之一，封面再好点就好了。。。
DeerColin,5,2012-11-16 14:00:03,0,虽然田馥甄音色普通，唱功中上，但单飞后交出的首张专辑确实悦耳！虽然谈不上多文艺，但至少很清新。专辑中的每首歌都很好听，这和身后大牌音乐人的鼎力相助不无关系！
arale,2,2010-09-03 10:26:52,0,黑逼vs徐拉拉黑逼输了……完败那首Love太骗人了
usquebaugh,3,2010-09-29 09:39:14,0,原来她叫田馥甄。
肥匪廢·老🐰,4,2010-09-14 01:33:56,1,我是冲着林一峰的《离岛》去的，最推荐的是《寂寞寂寞就好》。
thundercat,3,2010-10-17 15:46:53,0,平庸啊平庸。。。
易召,4,2010-10-12 22:20:58,0,全雅周首席超人气低龄少女天团埃斯爱曲艺最美女团员田喜碧首度独立发声砖。创作名单也很有意思，陈珊妮和林一峰那两首烙印感特别明显。
尉迟,4,2010-09-03 18:51:22,0,不枉强大制作团队。
布宜諾斯,3,2010-09-04 13:04:23,0,唉，有点失望，还是听回she吧
banana*🌈,3,2010-09-17 06:11:09,0,盛譽之下成功的是文案而非歌者。
Summer孙夏天,5,2011-01-26 10:02:32,0,整张。蜕变了。
张兮兮,2,2010-09-06 17:59:27,1,真的是点都不好听。。。歌词也写得不好。。。还这么多人打五颗。。。。为什么为什么为什么
山大芋早就想,NaN,2010-09-13 23:18:06,0,最喜欢4，5。
进宝,NaN,2013-07-05 02:36:59,0,你太猖狂。
叶叶叶小丝,2,2010-09-12 23:24:32,0,的确个人调性不够浓烈。
深津奈留,3,2010-09-04 14:46:13,0,期望很高，比较失望。
sean cheung,3,2010-09-06 17:03:16,0,聽過了。突然有挺多話想說的。
○Ⅴ○,4,2010-09-21 18:30:35,0,个人觉得没极限好
葡萄呀,5,2010-09-09 00:01:56,0,当然是五星！
evan是幻想家,5,2010-10-11 09:31:21,0,寂寞寂寞就好
KeneL裤头,4,2010-09-16 13:10:19,0,给小孩。Love?。离岛。你太猖狂
