user_name,star,comment_time,vote,short
岛上的夏奈,4,2012-02-15 13:41:36,26,FallToPieces
豆友36396401,4,2011-06-03 11:10:10,29,依然保持着高水准。0607是神曲，0304虽然我没太多感觉但也早已烂大街，051012三首歌的bridge很类似，都把整首歌显得很大气，08质量也很高，010911也都朗朗上口，唯一觉得一般的也就是Together了。真的是质量很高的专辑。
离净语,5,2008-09-06 22:28:22,10,流行朋克？现在听是不是还是很棒
UrthónaD'Mors,4,2007-12-29 12:52:09,8,回味，还是以前的够味
L I M O,5,2007-01-14 03:06:54,7,酷到骨子里。
DeerColin,4,2013-05-15 16:21:05,3,所谓的青春，就是该这样的张扬、反叛、逆着世界行走与歌唱！
L+,5,2009-09-23 22:34:02,2,切合实际的黑暗
Mignon松弛地,4,2006-11-19 14:40:37,0,Rachel特地从澳洲寄给我的正版，有几首还不错的。
令糊葱,4,2008-10-12 12:26:27,0,卡带时代。
zard砸得王大崩,4,2006-12-20 16:35:51,1,有些感伤。~MyHappyEnding
丶,5,2011-12-21 22:22:05,2,这张专辑很难说，褒贬不一。艾薇儿从来没说自己唱的是朋克，但社会的盲目跟风与极端的高度评价总是难以预测的刮起一张旋风。而这张专辑就在这阵旋风之中上上下下正反滚动。但值得肯定的是，这张专辑中我们可以明显的听出艾薇儿自身对爱情对生活对自己的迷惑。也许正是这个她自己也没解决的迷惑，让这个专辑在那段时间扑朔迷离了。
Claire,3,2015-02-28 17:25:41,1,【MyHappyEnding】
Miss Lucky,4,2007-01-05 11:39:29,1,nobody'shome
♬ CaR,5,2011-07-11 22:01:18,0,这张最喜欢了。
banana*🌈,NaN,2006-03-24 00:51:27,1,punkgirl
Summer孙夏天,3,2011-06-10 20:19:26,0,Don'tTellMe，Forgotten
莊小壞,3,2011-02-27 00:03:34,0,3.3－－－第二張。
Luffyjun,4,2011-11-02 20:50:37,1,这个女人很强大。。
张恩勾,4,2005-08-14 16:10:56,0,硬朗的声音~
阿右,3,2006-06-06 20:11:55,0,不是摇滚朋克但是我喜欢
KeneL裤头,4,2006-08-13 16:28:36,0,其实是先听的这一张，然后再听的LetGo...怀念跟朋友一起合唱的感觉
品客,3,2007-05-19 18:38:21,0,挺失望的.
猫不然,5,2013-05-06 20:27:50,1,年轻的时候多好
不擅长,5,2010-08-13 18:40:05,0,http://www.xiami.com/album/168087
Wander-Lust,4,2011-05-24 19:33:56,1,年轻时候了。不会再回去。
蹦床,3,2010-04-27 02:33:50,0,这女的原本有望成为pattismith的我觉得
バカ蓝蓝,5,2010-07-08 23:52:39,2,陪我度过一段漫长时光的专辑
ANNXXNA,4,2010-10-31 13:43:43,1,那年我跟你合唱的是myhappyending我们每天都在唱艾薇儿
Белка,5,2007-08-24 19:29:40,1,唔……喜欢上AVRIL是因为这张专辑。很不喜欢最新的专辑，但是这张很纯粹。
薇羅尼卡,4,2007-06-27 16:20:50,0,没有第一张好了～
太空少年孙轩宇,4,2008-07-05 17:49:19,2,暴躁的美女，再也看不到了
Pumpkinhead,4,2009-01-22 15:46:11,0,当年喜欢过就这张还行
Memento Mori,3,2009-10-04 15:32:03,0,喜欢don'ttellme。
Alto,NaN,2007-11-29 00:17:42,0,CD+DVD，欧版，品相好，原盘仅拆
大D,5,2007-01-23 18:50:23,0,越听越来劲了
宇宙宝贝,5,2008-08-07 17:29:05,1,超酷就算现在看起来也是一样
AnnChan,4,2006-01-27 14:34:53,0,Iloveher.
五月微蓝,4,2007-08-09 13:11:29,0,对于这个小女生是无可救药的喜欢，没有理由。
三木由纪夫,5,2011-11-29 10:22:34,0,初中第二喜欢的
Vince♫,4,2008-05-10 23:22:28,0,小妹妹不错
小懸。♫,5,2010-06-18 14:43:20,0,算是最经典的一张啦。
Happy Wiggin,4,2008-11-28 12:40:03,0,没有第一张的惊艳感觉了，但是还是不错的XD
≌菩提风花,5,2007-03-28 18:04:43,0,HOWDOESITFEEL..
🌟亚树🌟,4,2006-02-07 21:21:10,0,TogetherDon'tTellMeHowDoesItFeel
暝明,4,2008-04-19 01:24:46,0,听这张的高中时代啊，那时的男友打电话来说马上和别人订婚。
Paprika,5,2008-02-15 01:34:42,0,Youwereeverything，everythingthatiwanted。
hotdogyer,4,2007-03-03 02:12:03,1,说什么好呢．．
Nosferatu,NaN,2007-02-28 09:57:00,0,呵呵，最爱的VV怎么能不听呢?
Gloria|╋━|嵐,5,2008-03-05 18:55:19,0,avrillabigne
抽屉的烦恼,5,2008-06-10 07:51:05,0,一些歌不错但有些像在故弄玄虚
卡羚,4,2006-11-04 02:24:01,1,第三张……还不如没有……
fake,5,2009-04-18 00:36:16,0,恩，哈哈，很酷。这个时候的她最好看。
JoKe8,3,2007-08-28 12:04:52,1,Together是这张专辑里我最喜欢的
饭夫斯基,5,2009-09-27 20:55:53,0,高中时候听的那个狠
Gavin|江湖骗子,5,2009-11-22 14:26:31,0,震撼第一波是这么灵的中文翻译...
桜,5,2010-01-29 07:40:11,0,这是我听AVRIL的第一张碟，也是我最早叛逆的那个时期，10、11岁的我。
凛,5,2010-02-11 18:49:17,0,酷到骨子里！
夏至线,5,2009-03-05 23:14:15,0,初中的时候听到的尽是神作...
mikaholic,2,2009-06-04 12:53:40,0,不行到骨子里..
Arthur,4,2013-03-22 19:23:01,1,4首到现在还听得起的Hit勉强给个4星，旋律仍然算是流行歌曲里不错的，其它歌真的是不年轻了还是听得多了还是资历老了就是索然无味（或者是我在打WOW？）
--三思--,4,2011-10-29 13:00:41,0,入门的上选
逆光,4,2012-03-24 15:04:38,0,第一次完整听这张，发现居然有一半歌我还会唱，当年是有多红...今天看看歌词太弱智了...........--000
梦暖寒,4,2011-09-15 20:08:10,2,takemeaway有losinggrip的影子，don'ttellme有thingsi'llneversay的影子，但总体都没首专那么震撼。首专更折中，有摸索市场的意味，二专更朋克，更加艾薇儿。nobody'shome是专辑中最爱。大概那时谁也没想到她会出goodbyelullaby这样pop的专辑……
Doggze,4,2011-05-22 13:02:58,0,比首张流行了
Yoo,5,2010-10-15 20:09:53,0,ＨＮＯＹ
chasca,4,2011-11-28 22:23:06,0,就这样吧，我要是年轻10岁，有可能会喜欢？
20个小明≯,5,2011-01-03 12:59:29,0,几乎每天都在听
结球,5,2007-04-19 11:25:55,0,那一年VV首次公开穿了裙子拍照片，这一辑的美，跟那年的爱恨杂糅得我辨不清。愿她永远幸福。
水湄物语,5,2006-02-25 21:01:38,0,比第一张好听多了
护,4,2007-02-05 20:02:59,0,烦的时候会听的歌
不良物,5,2007-04-30 17:50:02,0,喜欢的AvrilLavigne，应该是这样的
psy,4,2009-03-07 01:46:00,0,宿舍卡带
heidiai,4,2006-07-08 13:33:03,0,送给爷爷的那首歌最感动我
Carrie,5,2011-12-27 11:38:30,0,满满的都是回忆
夏之城,3,2008-09-09 22:51:05,1,很爱forgotten
棉被,2,2007-11-26 17:04:42,0,比起第一張，落后了
牛肉罐头反对南京汉口路西延工程,3,2008-03-23 12:38:11,0,没有第一章好听
巧巧,5,2007-08-10 18:11:40,0,喜欢她
二手月季,5,2010-03-14 15:09:18,0,我一直觉着这张专辑很好听~
柯柯柯尼,NaN,2008-08-13 22:19:04,0,少女。
庄5,4,2006-04-12 11:50:52,0,第二张更赞
loulou,3,2011-09-29 21:22:06,0,TakeMeAway/Together/Nobody'sHome
Rose,4,2012-06-12 20:35:31,0,我是越重要的越想不到么。。
Baicang,4,2008-06-21 14:10:22,0,音乐最初的痴狂
格几。,3,2010-02-17 18:04:16,0,初中的时候。。那时候都还好。
澈黑,4,2009-02-08 14:58:07,0,这张专辑好多喜欢的
Vicky,4,2007-05-07 16:15:00,0,当初买下来的时候是觉她封面很棒，够诡异，够PUNK，呵呵。
JΘКЁЯ,5,2006-09-22 16:28:18,0,也是一样好听
obie,5,2008-04-18 00:35:52,0,avril最好的一张
阿zhu,5,2008-05-09 22:45:59,0,陪我走过高三的音乐
林大火,4,2011-10-23 18:45:20,0,艾姐最后一张好专辑
▲BOYBOWIE,4,2012-10-28 18:19:46,2,首磚的加強版，加拿大騷貨已經稍稍融入美利堅搖滾圈體系，她的美學被祖國搖滾女青年，文藝女青年，鄰家女孩在QQ空間裏面推向極致，我聽avrli就是搖滾就是朋克就是有個性就是酷，哈哈哈哈哈.....
能嘛,4,2008-02-09 23:20:00,0,颓废释放的一张
馋了,4,2011-04-04 15:12:12,0,绝对的经典
妖怪王小明,2,2007-01-20 13:44:33,0,歌曲风格太重复了，也没表现出什么创造力。
马来可,3,2007-05-05 21:21:58,0,那谁那谁最爱
Gla,5,2008-02-01 19:31:33,0,nobodyhome
大鳥,4,2009-02-22 17:25:02,0,review
Vermouth,5,2006-02-08 21:18:15,0,某局很神经地抹掉了主打歌。。。
scaremonger,NaN,2007-07-24 12:13:54,0,灵魂的爆发力
