user_name,star,comment_time,vote,short
tlmgt,2,2014-04-19 22:13:11,139,BrianEno做制作人也没看到什么明显改变。另外乐评区真是恶心透了
文泽尔,3,2008-06-17 21:19:18,146,酷玩逐渐泯然众人了.相比这张更喜欢yellow
潋 | Béatrice,5,2011-01-24 12:32:53,102,VivaLaVida……感动……
virgin,5,2009-01-29 17:05:08,10,WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!WoW!!于二零一零年五月三日收到原盘@草莓!!哈哈哈:)。。
L I M O,5,2008-06-09 22:41:50,17,酷玩萬歲。
PabloHoney,5,2008-06-05 13:09:56,7,整体优于上一张，但还不及前两张给我的感动...
zard砸得王大崩,5,2010-06-30 13:46:07,6,vivalacoldplay
韧勉,2,2008-11-16 20:17:41,5,这张太烂
Song³,5,2008-10-27 22:21:03,8,革命性。LifeInTechnicolor/VivaLaVida
Alain,5,2016-05-10 19:44:36,14,较之前三专割裂性太过明显，不仅是制作上的趋于精良而给人造成的商业化太严重的直觉，揉杂了奇怪的异域风情和东方元素，连同着马丁原本丧气的唱腔变得浑圆饱满起来，连抒情慢歌都朝着流行芭乐那一套靠近。可能是生命万岁的主题太过宏大，你很难再找到那种废柴之间的嘲弄与怜悯，它就像封面上的自由女神掀起了救赎狂潮，大步流星地带领着你往前走，有着让人老泪纵横的感染力。如果说之前的hit曲都只适合关上房门戴上耳机一个人摇头晃脑从天黑听到天亮，那么这专的同名hit则是在万人大合唱时全场呐喊流泪着唱完的。激昂过后，VioletHill迅疾坠落至黑暗深渊，让你错觉这是生命万岁之后的沉重死亡。值得一提的是，Lost!与Lost?两首，同样的旋律因为编曲的大相径庭而呈现出不同样貌。
令糊葱,5,2008-07-20 16:55:06,7,认识的一个英国妞说不错。
木木♬,2,2011-08-28 12:44:24,4,这张很不好
九月四日,3,2009-02-18 00:27:48,4,你们是想做一张比PinkFloyd更装X的专辑？！
Bill,5,2009-02-12 16:19:29,4,有概念有创意歌词华丽有想法是件多么简单却又多么受人推崇的一件事情比较囧的一件事是第一次听到主打高潮前两小节很像黄立行《黑的意念》
åiden,4,2008-06-11 20:24:37,4,"BrianEnocouldalsonotsaveColdplay.Andnowwhatirealizeishowimissthemalnourishedyoungguywhosinging""foryouibleedmyselfdry""bythesea...sowhycoldplaywhy"
陀螺凡达可,5,2014-03-31 18:21:13,13,★★★★★★★★★★★★★★★★★★★★★★★★★
金蛇郎君,1,2017-03-29 16:18:12,11,客观来说如果VivaLaVida不抄袭老乔的“IfICouldFly”，我给3星，抄了就是1星，哪怕不是全抄，抄了那么一段。更可悲的是一大堆专业人士来分析只是很像，没有抄袭，就算剽窃了一个乐句又有何妨，大哥，那是Joe曲子里的主乐句，Coldplay直接粘贴唱出来了好嘛？！药店逼脸
今天小熊不吃糖,5,2008-08-09 12:02:20,4,喜欢，每次听心都会放得很大
兔球波,4,2008-09-24 12:34:23,3,也就这样吧，偷咱们布勒的东西，弄了个不错的专
泪小鱼|念。,4,2008-11-22 19:31:12,1,来来，给我力量。
