user_name,star,comment_time,vote,short
槿落,5,2010-06-27 15:31:53,25,这个歌怎么这么耳熟呢
文泽尔,5,2009-09-23 03:30:34,24,感动人心的明快节奏，简单但深刻，切及肌肤和回忆的歌词，朋克的黑眼圈，慵懒无奈被动化的声音。其实单就歌名已经深深打动了我——9月结束了谁来叫醒我呢^^...在单曲收尾时，略有一些草率和无力，这是greenday使用的结尾基调，意外地淡化了摇滚风呢！
包法利富人,5,2013-02-19 10:35:17,5,每次听都会很感到
Aragaki,5,2014-10-16 04:53:48,5,这里又下雨了/从星隙间飘落/伤痛也被打湿了/成就真正的我...这么美的歌词循环多久都不会腻
丶,5,2011-12-05 12:22:45,2,rockandpunk的完美之作。
meiiii,5,2011-03-19 00:43:12,0,80电台真给力，都是耳熟能详的歌
英恩,5,2010-08-05 20:58:17,0,Summerhascomeandpassed，Theinnocentcanneverlast，wakemeupwhenseptemberends词曲都很棒真的很爱很爱反战歌曲
夏日扬帆,4,2010-07-22 09:48:45,0,很久之前听过的ROCK
万千朋友仔,5,2009-10-23 13:34:31,0,最近我给了太多5分了...
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2009-06-07 02:09:35,1,wakemeupwhensep.endz.记起你了，shingo.
Topfun,5,2011-12-04 19:38:52,0,2011.9.30
莊小壞,4,2009-01-30 23:35:27,0,4.3－－－很帅的男人。
静@Einfühlung,NaN,2006-12-15 21:52:38,0,MV超赞
三四,5,2008-03-02 12:32:38,0,当九月结束请叫醒我
Hey Johnny,5,2009-10-08 11:12:28,0,一直大爱的歌还有JamieBell的MV。
Miss Lucky,NaN,2008-04-23 08:57:11,0,WakeMeUpWhenSeptemberEnds
Tiff,5,2010-06-19 09:43:45,0,WakeMeUpWhenSeptemberEnds
咖喱娜,5,2010-03-19 15:34:11,0,从这首歌开始我认识了GD。太棒了。
薇羅尼卡,4,2006-05-08 18:18:22,0,挺不错的，声音很喜欢~~
风撼斜阳,4,2010-07-13 20:58:37,1,叫醒我
Charles Rosen,5,2011-07-15 15:02:47,0,WakeMeUpWhenSeptemberEnds
Blues Bill,3,2012-09-24 20:28:25,0,朋克整什么柔情似水
Белка,4,2009-01-11 22:11:09,0,WakemeupwhenSeptends很好很好...后面的估计是听的心情不对...
中世纪福音工人,5,2012-04-17 20:40:14,0,醒过来，在国庆节！
许仙,5,2007-01-20 22:53:18,0,喜欢啊。
逅宝,5,2007-08-30 21:03:40,0,MV……
chaaaaad。,5,2010-03-25 13:28:49,0,无敌了
听临,5,2009-12-19 16:17:59,0,不是AmricanIDIOT么?
旧客,5,2011-04-02 10:34:23,0,国庆长假再叫醒我
魚鰭,5,2010-10-29 17:09:26,0,WakeMeUpWhenSeptemberEnds
破产君,5,2008-12-25 15:10:43,0,WakeMeUpWhenSeptemberEnds
Minerva,5,2011-05-30 07:08:39,0,哭了
Knight,5,2010-08-25 13:55:17,0,不错的反战类型音乐。
Happy Wiggin,5,2010-02-01 23:43:48,0,小笨的耳朵很靠谱XD
星尘战场,5,2009-03-26 07:50:17,0,http://www.douban.com/review/1926484/
一只麦麦,5,2010-01-28 22:01:30,0,MV完整版7‘08
给我个电话亭，我要拯救地球！,5,2007-10-24 16:32:23,0,动听
[已注销],4,2009-06-19 10:16:57,0,……不像是PUNK==
苍★☆☆☆☆,5,2011-07-09 14:37:06,0,真棒
Fornever,5,2008-12-09 17:40:58,0,每个摇滚乐队都有一首致命的慢歌……
许玉玉,4,2006-03-18 12:14:10,0,非常不错!
鲨鱼笨笨,5,2011-08-04 23:18:10,0,豆瓣电台里看到这首歌的名字就果断添加为喜爱。细细听过后很震撼很感动。
饭夫斯基,5,2009-09-27 21:06:50,1,这首歌能整首唱下来。这对我来说，是除却国歌之外的奇迹
抽屉的烦恼,5,2008-06-10 07:58:42,0,画眼影太迷人了
杨小歪,5,2009-02-19 17:00:15,0,真是个天才
Meteora,5,2007-10-09 09:05:11,0,Sept.
Gavin|江湖骗子,5,2009-11-11 10:49:57,0,HerecomestherainagainFallingfromthestarsDrenchedinmypainagainBecomingwhoweare简直就是诗啊TAT
凛,5,2010-03-10 20:51:32,0,sevenyears，twentyyears...
夏至线,5,2010-08-11 13:36:53,0,改得还蛮满意的一首=v=
小鹿e^x,4,2011-10-28 19:15:38,0,wakeupandlive
0405|Love&Life,5,2009-11-25 11:54:53,0,Live真棒。
牛2hαи*| ~~,NaN,2010-03-25 13:31:19,0,嘿我正在听
满 满,4,2010-07-02 22:48:15,0,后两首是打酱油来的么==
Peter Cat,5,2010-04-09 23:14:57,4,有一些歌永远都将是时间坐标
小檠的罗宾熊,4,2011-09-27 11:46:46,0,九月结束的时候、记得叫醒我……（豆瓣电台真美好>A<）
每天一粒茶叶蛋,5,2011-04-04 21:44:43,0,WakeMeUp!!!!!!
结球,NaN,2007-03-05 17:07:47,0,多好的名字。
久美子,3,2009-05-29 11:01:57,0,==
游坦,4,2009-12-07 14:59:39,0,一听便悲伤
量子玫瑰Bonnie,5,2009-11-23 19:44:43,0,wakemeupwhen2009ends...
宅到春暖花开,5,2010-03-23 16:39:31,0,话说我以前一直把歌名记成了wakemeupwhenSeptemberis.
フェイク,4,2010-09-02 21:44:51,0,N年前N年轻
s,5,2010-07-25 12:36:51,0,九月结束的时候叫醒我
Hylas,5,2010-07-28 14:11:40,0,背景第一次放摇滚就是你啊。
阮免了,5,2009-12-20 14:12:11,0,neverforgetwhatI'velost
The body shop,4,2012-02-12 20:51:39,0,Lyricandsymphony
"Go | 屋内饮酒,门外劝水",5,2009-04-13 08:40:26,0,WakeMeUpWhenSeptemberEnds
紫菀,4,2009-11-07 18:55:34,0,WakemeupwhenSeptemberends
朱大侠。,4,2011-07-08 14:21:18,0,GreenDay就是有这样的魅力，轻描淡写的歌唱，也轻而易举地俘获了听者的灵魂。
baker,5,2007-08-22 10:33:23,0,Herecomestherainagain，fallingfromthestars.Dretchedinmypainagain，becomingwhoweare.
Molly,5,2010-08-25 22:26:46,0,wakemeupwhenseptemberends
波澄酒,5,2010-09-29 11:02:37,0,DEMETER之歌。高层之歌。
朝田理想院,5,2011-09-22 00:25:47,0,WakeMeUpWhenSeptemberEnds
So Magic,5,2010-07-26 11:45:20,0,herecomestherainagainfallingfromthestars，drenchedinmypainagainbecomingwhoweare
Elvis,5,2012-08-13 12:02:56,0,我的青春啊
Tuberose野,3,2008-02-13 11:18:47,0,Justwantyouknow，nomatterwhat，youalwayshavesomebodyhereforyou.I'mnevergonnaleaveyou.
Super朱,5,2009-12-03 17:46:17,0,唤醒我～
Melodylover♩♪♫♬,5,2006-04-02 18:19:56,0,T-T
Vicky,4,2007-05-08 20:46:08,0,《WakeMeUpWhenSeptemberEnds》很不错，当初还是男朋友推荐的。
Elaine Y,5,2010-08-01 20:43:29,0,反战的MV，动人的旋律。Wakemeup，whenSeptemberends.
