user_name,star,comment_time,vote,short
Hao,5,2010-08-26 17:37:14,158,何不把悲哀感觉假设是来自你虚构？
Bill,5,2009-11-09 11:53:46,103,好歌不断果真成为下一张国语专辑的改词原版～富士山下不如不见黑择明裙下之臣说实话歌词很好但陈奕迅的歌大多都是粤语胜过国语
Song³,5,2008-12-17 16:45:17,16,不如不见/白玫瑰/黑择明/粤语残片/最后的嬉皮士/裙下之臣/富士山下
丶,4,2011-11-28 20:41:16,18,谁能凭爱意，将富士山私有。
tripler,4,2006-12-03 21:09:03,6,富士山下。
怀山鹿,5,2010-07-20 01:36:01,4,eason最好的纯粤语专辑.我觉得是高质量粤语歌最多的一张。喜欢不如不见白玫瑰裙下之臣黑泽明粤语残片富士山下......................一张专辑能让我这样平价的并不多。接近perfect
今天小熊不吃糖,5,2009-03-11 15:13:12,0,可惜我听不懂粤语……
神秘金针菇,5,2011-01-04 10:56:57,3,集结了香港最棒的编曲，词作，企划…关键是，最棒的歌者。这张专辑优秀得无以复加。
Μουσαι,5,2011-11-14 19:20:44,1,最后的嬉皮士|白玫瑰|黑择明|富士山下
塘坑一姐小渡边,4,2018-06-09 15:11:45,2,天公地道、裙下之臣、富士山下、黑择明、心深伤透、不如不见
DeerColin,5,2013-04-22 16:02:51,1,陈奕迅精彩的粤语专辑，大多数歌曲均可在《认了吧》里面找到国语版。《白玫瑰》和《红玫瑰》，一个温柔的妻，另一个是热烈的情妇，李焯雄真是个有想法又有功力的新生代词人！
tlmgt,2,2016-10-06 04:55:08,13,唱纯芭乐的时候像蚊子一样很烦人，唱摇滚时效果并不是什么时候都好，香港打造歌手很成功体系很成熟但音乐不保值是令人尴尬的事然后可以确认06年LifeContinues里面驾驭黑人音乐的他是最好的他
令糊葱,4,2008-09-20 00:22:46,1,不如不见。
捞,5,2008-10-28 20:51:00,3,想当年，我一直repeat一曲裙下之臣足以令所有室友orz
zard砸得王大崩,4,2006-12-14 15:58:57,0,虽然不很喜欢这张，但习惯是不容易被改掉的
大头绿豆,4,2006-12-31 00:32:19,4,不如不见，曲好，唱得也好，词是好中之好。
Sarcophagus,4,2013-03-05 21:30:23,4,我承认我第一次听这张专辑。留了五首，其实《富士山下》和《不如不见》就足够撑起了。“要拥有必先懂失去怎接受”
欢乐分裂,5,2006-12-29 08:39:26,1,曲曲经典
易召,4,2009-09-13 22:49:20,0,莫若未见，沿途霜花
哈默林騎士,4,2007-11-26 06:07:48,0,富士山下
小魔@优雅穿梭,3,2009-12-31 15:56:22,1,深更半夜无眠的夜里，翻到最后居然想听这样的声音
zitsunari,4,2008-11-19 22:34:47,0,富士山下白玫瑰不如不见
○Ⅴ○,4,2010-10-02 10:57:52,0,目前最爱他的一张
KeneL裤头,5,2006-11-27 20:02:11,0,以前都是淡淡地喜欢着EASON的歌，是这张粤语唱片让我真正被他吸引
詹尼金,5,2008-07-20 14:19:44,2,黑暗下磊落光明中演你，心能随心拣戏，这时期演伤心戏，戏烂人未死
Bill,5,2015-07-12 18:14:35,1,大部分歌曲传唱至今，唱念俱佳
Miss Lucky,NaN,2007-04-12 15:21:53,0,富士山下
乡愁,5,2010-07-29 12:05:50,0,得不到的从来矜贵，得到的竟已非那位。/一世一生等一天需要代价......谁能凭爱意要富士山私有......忘掉我跟你恩怨，樱花开了几转，东京之旅一早比一世遥远。/《富士山下》《不如不见》
薇羅尼卡,4,2006-12-06 20:48:50,0,喜欢那些慢歌~
