user_name,star,comment_time,vote,short
MeetMeinaMaze,4,2012-04-12 19:49:09,256,《孙燕姿》《萧亚轩》《JAY》《DavidTao》，这些第一次都叫自己的名字。
塘坑一姐小渡边,5,2013-01-25 13:09:52,152,孙燕姿最好听的歌：《和平》，意义相当于萧亚轩有《最熟悉的陌生人》。任何一个人听过《和平》都会爱上她，我大学、高中的同学喜欢孙燕姿就是因为我推荐了这首歌，我从不推荐《天黑黑》，除非别人想要治愈系的。《爱情证书》《E-Lover》也是经典
L I M O,5,2007-06-25 23:13:45,166,沒有一個22歲的女生像妳這樣唱歌。
果酱☮,5,2009-01-05 19:27:57,51,怎样都还是喜欢你，最喜欢你。
锐利修蕊,5,2018-07-06 09:20:53,62,华语乐坛2000年前后出现的新人实在都太厉害了，并且也许连他们自己都不敢想象，他们的出现将改变整个华语乐的状态，并以此升华了整个歌手世界的审美标准，此间独特的要属孙燕姿。这张唱片收录的十首歌曲，分别用不同曲风填充高于实际年龄的人生感官体悟，直到若干年后经历发生，才懂歌词中的妙处。
奈斯,5,2014-06-11 23:06:53,23,我们多一点点的辛苦来交换多一点点的幸福
DeerColin,5,2012-10-14 16:18:02,14,首张专辑即一鸣惊人！这张专辑里的抒情歌品质一等一的棒，我只想说说一首冷门《和平》，这真的算是孙燕姿一首神曲，典型的初听被《天黑黑》《爱情证书》等抢耳歌挤下去，但后续力强大到超越本张专辑其他歌曲，一跃成为我的最爱~
Bill,4,2007-04-26 13:01:09,3,天黑黑
eloise暖,5,2008-07-18 15:56:10,10,才发现成人的世界背后总有残缺
L+,5,2018-06-08 20:52:50,3,你18岁了
zard砸得王大崩,5,2006-12-14 15:54:37,5,惊艳开场
33迟来_小小岛,5,2011-08-27 19:14:23,2,你是我的第二女神
Song³,5,2008-10-12 18:44:09,3,天黑黑/LeaveMeAlone
苏格,4,2007-01-15 15:32:59,4,我那时多渴望像天黑黑里那样唱歌
Claire,4,2011-10-26 22:38:32,1,【天黑黑】【很好】【LeaveMeAlone】
mikaholic,4,2009-06-07 15:45:28,3,初中一年級的時候楊維懿和我熟起來好像就是因為這個...
tlmgt,5,2011-06-07 01:00:13,4,和平。有一首超摇滚的B面曲《自然》
肖浑,4,2019-02-23 17:18:21,4,123超红没毛病，456凑合还能听，最后4首就纯属凑数粪曲了。整体就是三星半的水平吧，冲着开创性勉强四星。
凹凸代餐,5,2011-03-17 20:57:21,0,http://u.115.com/file/t0ad34f6c7
夏日扬帆,4,2014-03-31 23:20:49,0,多有灵气啊[e-lover，和平，爱情证书]
