user_name,star,comment_time,vote,short
N,5,2010-04-16 21:04:51,113,干，根本没有选择啊，只能选5星!!!!!!!!!!
MOMO,5,2009-12-26 19:40:13,49,不知道那个离我曾经很近的上海女孩现在还好吗!现在我只想让这个广西女孩生活得更幸福.
Bill,5,2007-09-11 16:02:12,52,当初这是第一次完完整整听完的陈奕迅专辑作品绝对很经典金曲荟萃
吴嘎嘎,5,2009-04-03 22:07:11,15,挚爱
zard砸得王大崩,5,2006-12-14 15:59:04,12,时光小偷。偷走我们的光阴，美好。
tlmgt,5,2011-06-07 01:23:52,3,我们都寂寞。
Song³,4,2007-11-22 18:10:38,3,英皇国语新曲+精选圣诞结ShallWeTalk国语版十年想哭寂寞让你更快乐
神探夏洛特二世,4,2008-12-13 11:26:58,2,相当经典
DeerColin,4,2015-08-02 18:27:35,3,【圣诞结】【十年】【不如这样】【谢谢侬】【你的背包】【男人的错】【LastOrder】【没有手机的日子】【全世界失眠】【兄妹】国语金曲大集结
猫打喷嚏,3,2010-04-27 19:49:52,1,就是不喜欢。。
夏日扬帆,5,2010-07-23 16:57:22,2,这张是医生真正的经典了……[你的背包、寂寞让你更快乐、圣诞结、全世界失眠、我们都寂寞、兄妹]
香水瓶,5,2006-04-23 23:28:12,0,非常棒的一张精选集，每首都好听！
凹凸代餐,5,2012-01-08 14:51:28,0,其实对于我最开始接触流行乐时的一些主流男歌手我不是从来都没兴趣就是喜欢两张就觉得已经没法听了而港乐更是一直排斥的部分对于已经被神化的陈奕迅从来都是没有雅兴去听但是这张选辑里的歌还是早就听过一大半这些最鼎盛时期的作品早就被K歌房里被K滥了但能成为K歌金曲必然有它们的情感指向
usquebaugh,5,2008-06-08 23:46:25,0,极度热爱
太阳车,5,2008-12-19 19:28:44,0,陈医生
Summer孙夏天,3,2011-08-19 12:10:22,0,3.5，LastOrder
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,5,2009-05-17 13:23:55,0,大家赞就是真的赞咯。
Topfun,5,2012-11-17 15:39:24,0,用心良苦
柠檬 -w-,NaN,2013-01-27 23:09:43,0,唉
莊小壞,4,2009-03-25 22:19:33,0,4.5－－－那些心情，抑郁。
leon mai,5,2008-07-01 09:01:32,1,轻易不给精选集五星，这张没办法.eason太棒了.
雷貝卡,4,2008-12-06 22:31:59,0,七。
大橘喵子^ ^,4,2010-02-27 13:23:27,0,十年。
九份的咖啡店,5,2011-02-10 21:38:59,0,LastOrder单曲循环一天
梅生,NaN,2005-11-29 18:53:33,1,最近疯狂地喜欢陈奕迅的声音。《七》却是我买过的他的唯一一张专集，因为喜欢“7”这个数字。后来丢了，也没怎么难受。不晓得为什么，人有时会发神经，也许我现在喜欢听他的歌就是在发神经。
KeneL裤头,5,2006-08-13 17:15:56,0,"初一最爱的华语唱片.因为这张唱片我开始喜欢""七""这个数字."
Sophie  Z,5,2010-03-05 01:39:32,0,如果你也听陈奕迅
不擅长,4,2012-11-13 14:17:22,0,http://www.xiami.com/album/588
树里啦,5,2009-09-24 23:17:25,0,的确是经典专辑~
钟,5,2012-09-25 20:29:13,0,我觉得这张是陈奕迅最好听的专辑。
亞麻君,4,2010-01-22 22:38:05,0,一段时间用来抚慰的旋律
终于改名字了,5,2014-08-21 06:06:22,0,heythere，秋天下着雨的傍晚，听着这首圣诞结，想起几年前的好友送我这个专辑作为礼物，想起了很多。从沙发起来，写下这些。
苏乏,4,2008-01-07 21:38:33,0,经典
薇羅尼卡,5,2006-03-29 16:29:51,0,精选集，很棒！
赞成的巨兽,3,2012-11-07 17:29:25,0,脍炙人口，每次催帐最适合唱的歌——我的钱包，对你重重的审判：借了东西为什么不还
怀山鹿,5,2008-10-02 14:39:12,0,家里仅有的几张华语CD，经常听。
Ir,4,2011-07-15 15:04:19,0,519
安东妮,4,2006-05-10 10:54:36,0,虽然我不喜欢Eason唱国语
沉歌,5,2008-01-07 19:10:19,0,K歌之王
Memento Mori,5,2011-04-03 00:20:38,0,快歌and部分慢歌实在悲剧。
神山樹,4,2012-04-01 00:15:16,0,谁人又相信一世一生这肤浅对白来吧送给你叫几百万人流泪过的歌
Белка,4,2008-10-02 21:27:45,0,还不错吧...印象深的不多
就叫我陳先生,5,2010-04-30 15:56:02,0,很经典的一张
莉莉🦁,5,2008-12-05 18:07:43,0,名字喜欢
[已注销],5,2011-02-25 13:21:56,0,圣诞结+ShallWeTalk+寂寞让你更快乐
千寻｜Scorpio,5,2010-12-24 12:24:57,0,第一次听Eason的歌，第一次买他的专辑，第一次习惯上单循环某个专辑。
米粒,5,2009-12-25 20:22:17,2,完美
竹舞,5,2012-12-16 01:07:32,0,怎么最近越来越喜欢陈奕迅了呢？
捌朵,5,2007-11-30 01:01:22,0,最早认识你
Angeline35,5,2010-11-07 10:33:13,0,你颈后的那个七。
破产君,5,2006-05-20 10:32:50,0,eason精选
五月微蓝,5,2009-03-31 23:54:04,0,经典的七。我喜欢着数字。
掩杀,NaN,2010-09-20 15:14:53,0,陈奕迅.2003
到此一游,5,2010-08-20 00:27:07,0,这样的你
宇辰私想,NaN,2009-04-17 18:25:07,0,时间的轨迹~
流深,5,2009-02-25 11:54:10,0,许多年后才知道，我们的心结从这张开始，打在医生的手中。
丹,5,2006-05-31 07:40:59,0,喜欢！！！
enty,5,2007-12-31 14:52:26,0,merrymerrychristmas，lonelylonelychristmas
宋不吃,5,2013-07-11 11:09:35,0,高三时期听的专辑。那时候能把一首歌YY到极致。现在根本没那本事。
≌菩提风花,5,2007-04-08 20:59:42,0,这张很经典的
文小二,2,2011-01-18 13:52:42,1,新歌太少。
[已注销],3,2010-08-08 12:52:12,0,为什么感觉粤语换成国语就那么奇怪了=_，=
給料泥棒,3,2010-02-11 15:15:21,0,啊啊啊啊啊啊啊~~大爱~
Emon,5,2012-12-12 15:58:54,0,低等动物
Jesse,5,2010-03-21 16:40:34,0,这张精选当年听了大概有两个月~~~
Illusion·L,5,2013-07-12 20:01:38,0,以前不喜欢，后来总是可以听出来很多感情。
战国客,5,2008-10-27 14:30:03,0,寂寞让你更快乐&Shallwetalk&圣诞结&谢谢侬
许玉玉,4,2006-03-05 16:38:00,0,听过就知道了，个人比较喜欢，封面很不错的感觉
半辈子,NaN,2006-10-27 21:53:09,0,卡带...
斯 琰 🌈 🍭,5,2012-07-15 19:39:33,0,好多经典曲目这才叫精选！
大佑,4,2008-10-26 01:27:22,0,4.2愛他超過八年
壹壹桑,5,2009-10-25 13:21:19,0,高一？二？
Augenstern,5,2012-02-16 16:26:17,0,shallwetalk；全世界失眠；
方枪枪,4,2011-09-05 15:12:40,0,不错
七瑾安,5,2007-12-01 15:21:00,0,很多好歌
蒹葭,4,2009-09-19 18:46:56,0,A面的前三首，B面的后三首
大茶,5,2010-05-20 00:55:01,0,好的不解释
杨小歪,5,2012-08-24 21:36:35,0,首首经典啊。。。
煮蓝,5,2007-06-28 16:38:08,0,他唱得太好。
提恩恩恩,5,2009-11-07 19:13:47,0,爱他在此与之前
榴莲包子,5,2012-04-10 17:34:29,0,胖子的精髓==
我在思考人生,5,2012-06-04 13:55:14,0,买的最后一张磁带
hotdogyer,4,2010-05-30 17:11:31,0,K歌之王！！！！！！！！！！！
Lolali,5,2007-12-15 18:03:39,0,高中都能体会到的哀伤寂寞
面包树上的老李,5,2011-05-13 22:23:53,0,Eason，永远就是Eason
时间的玫瑰,5,2007-04-07 18:11:56,0,无可挑剔一把男音。
布安安,5,2009-12-10 13:20:21,0,Eason最经典的一张专辑几乎包揽了我喜欢的他所有的国语歌顽童的情深之典
翔樹。,5,2010-07-13 20:33:19,0,绝赞辑
［装注销］,3,2009-05-29 18:58:32,0,我恨十年
芈員外,5,2008-06-10 21:43:34,0,经典全选。
mono,5,2009-07-25 21:48:34,0,小学天天听特别爱听。
徐蔻依,4,2013-11-05 10:39:30,0,面目陌生的曲，才知道已经都遇见过。
五月之星,5,2007-11-03 21:00:32,0,十年
阿踢,5,2008-06-14 23:36:27,0,eason首首经典饿
每天一粒茶叶蛋,5,2011-04-16 18:14:46,0,shallwetaikK歌之王爱是怀疑十年谢谢侬你的背包
南瓜瓜,5,2011-12-18 09:13:47,0,陈奕迅的歌好赞啊……我怎么才发现呢……
落雨天地,5,2009-09-15 22:38:36,0,精选集的意义就是它精啊。。。
Felix,5,2008-07-25 17:51:08,0,陈奕迅七eason精选
井行,5,2010-02-14 14:20:33,0,第一张听的医生的歌
萤火虫子,5,2010-03-14 18:40:46,0,可以少爱你一点点的原因我还没找到呢，陈先生。
