user_name,star,comment_time,vote,short
不万能青年,5,2011-08-24 14:35:56,716,谁在风中吵着吃糖，这故事一开始的镜头灰尘就已经遮蔽了阳光。
tlmgt,5,2011-06-07 00:31:20,415,园游会。他最好的一张专辑
MeetMeinaMaze,5,2011-09-14 11:58:22,391,唯一的遗憾是没有在七中的七里香长廊里听过《七里香》~
Song³,5,2008-12-17 17:00:05,325,困兽之斗/游会/借口/搁浅/外婆/七里香
锐利修蕊,5,2018-02-08 23:44:41,135,这张专辑算是周杰伦创作中的一个分水岭，代表着他向传统流行乐的妥协，同时也宣告音乐作者属性自此结束，新的风格随之显性。包括《将军》加入山东话引入，三首情歌《借口》、《搁浅》、《园游会》创造了永恒的经典，而开篇《我的地盘》前奏的编曲则极具戏剧的腔调，另外三首四字歌则又是对过去的告别。
我爱看海,5,2009-11-30 10:08:16,11,目前最喜欢的他的一张专辑
橘猫,4,2018-01-15 19:38:16,175,周董的歌，80后90后的回忆，首首都是经典。《七里香》这首歌，当年一整天单曲循环，直到现在还留着。
Inevitable,5,2007-07-18 10:59:39,80,我有给周杰伦五星的偏执症
KREJERK,5,2011-03-09 15:33:34,17,唱扣一分
DeerColin,5,2013-04-07 11:50:59,29,记得高中时第一次在全班面前唱歌唱的就是杰伦的《借口》，那是初中时要好的朋友最喜欢的歌，很想念他！《七里香》真的是那种只听前奏心情就会大好的歌曲。《搁浅》当年和《安静》、《轨迹》并称我最爱的二字苦情歌。《外婆》绝对是杰伦的倾情力作。歌曲编曲都好得没话说~
Luffyjun,4,2011-02-16 13:55:02,20,听到这就再也没买过整张的专辑
○Ⅴ○,5,2010-11-28 12:00:22,26,外婆园游会七里香借口止战之殇将军乱舞春秋搁浅—作词作曲编曲满满的诚意。我可以自信地说，时间过去得越久，大家越会明白这张专辑，以及周董所有早期的作品，到底有多好。
Hao,5,2015-07-19 18:41:50,11,哎呦，劳资年轻时应该再fo几年杰伦小公举的。
诸葛丸子,5,2010-06-07 16:28:51,22,我也这样觉得Jay的才华巅峰于叶惠美完结于七里香~我们的青春啊青春啊啊啊啊啊
韧勉,2,2008-10-18 21:16:20,13,高一的班歌，记录一下那段峥嵘岁月~
我要加油,4,2018-03-06 21:43:04,51,听到的，仿佛就是那个喜欢了那么久的姑娘。一如既往，满身阳光。真的有种初恋的感觉，能触动心里很柔软的那部分纯纯的恋爱真好
KeneL裤头,3,2006-08-13 17:22:28,7,大部分歌是在别人K歌时听到的
Bill,5,2012-03-22 14:23:03,12,整张专辑找不到不喜欢的歌曲，这种感觉实在是太难得了；无论是快，还是慢，这张专辑都可以拿来当作精选集听。
MOMO,NaN,2008-09-07 13:42:18,3,"""借口""开始处有走调的情况，不知道是不是故意安排的"
镜泉,5,2011-01-17 15:34:46,14,就是这个了，七里香是我听的第一首流行歌，对我的冲击是有多大啊。如今重新听完这张碟，才发现这是周杰伦被商业气息完全侵蚀前最后的一张个人元素浓厚的西低。
郁程,5,2008-04-29 18:24:04,5,厄.往事一幕呀
你的温柔像羽毛,5,2017-07-27 20:27:29,45,爱豆厉害，我来膜拜嘻嘻，
BlackScholes,4,2012-04-28 02:59:06,7,七里香借口搁浅园游会止战之殇
熊猫没彩照,4,2015-09-08 15:24:44,5,开始没那么惊艳了。
杨山魈,2,2010-06-21 11:24:15,8,周董从此开始二流和无病呻吟
宇宙宝贝,4,2008-08-07 17:27:18,7,下坡路的起点
summer吟游诗人,5,2012-01-18 19:06:02,5,周车轮的时代就终止于此了
豆友36396401,5,2011-06-01 00:23:05,12,将军和止战之殇大神曲。七里香是典型的周氏表白神曲，虽然本身旋律在周的歌里不算惊艳但我很喜欢，清风拂面般的编曲，文艺却浓烈到满溢的歌词，非常工整，非常舒服，完美诠释什么叫少年情怀总是诗，园游会是同款。困兽之斗是周杰伦最摇滚的歌之一吧，他写的流行摇滚歌曲旋律基本没有差的，都太抓耳了。
寂多蔓生,5,2010-07-23 21:47:54,5,还是以前的好
沉歌,5,2008-04-20 00:11:10,3,周杰伦
莊小壞,3,2009-06-19 14:28:47,5,3.5－－－专辑的小女孩比他有味道多了。为什么他的MTV女主角总是这般不好看。看看简介里的第一句话……原来七里香是摇滚乐……
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2008-08-29 00:11:20,4,很有，那个，高中，呃。。
野,NaN,2009-03-15 22:13:01,3,借口
大头绿豆,3,2005-12-05 12:40:31,2,还是第一张的周董比较能接受。
#天籁💤#⛓️,5,2013-12-17 16:16:13,4,已经听不完一整首《外婆》了。《止战之殇》超神曲
阿喵笃悠悠地,4,2008-08-23 01:38:36,4,因为是夏天的歌曲。园游会也不错。
KAVA,4,2011-11-15 10:15:41,4,从这张以后，就开始走下坡路了~
黏黏雲端,2,2015-07-16 01:55:15,4,至此周杰伦变成了周董，可以随心所欲发唱片，质量也一落千丈，简直无法形容我买到CD第一次听到时候的失望。其实专辑前首发七里香的电台版已经是一种预兆：这张专辑其实就这首歌能听啦但是你们要买整张回去听哦附赠9首垃圾~
不擅长,4,2007-10-12 15:42:49,1,5http://www.xiami.com/album/6648
3C酱☆Matilda,4,2012-03-23 04:57:42,1,整张专辑都很好听，但没有叶惠美出彩了。乱舞春秋很不错，我喜欢这种稍稍恶搞的。
Sophie  Z,4,2010-04-07 23:29:00,0,6years
essence.c,3,2014-07-11 09:36:38,1,【借口】【搁浅】【困兽之斗】【游园会】
erikakaka,5,2012-10-15 14:21:59,5,七里香戳中每一次，每一次。
斯 琰 🌈 🍭,5,2016-02-02 22:04:05,1,04年，表哥用DVD给我放《七里香》的MV，这是记忆里第一次过耳即爱的歌曲。从没单曲循环过，倒是每次听到都会跟着哼。《我的地盘》+《止战之殇》真是他最接近Icon的时刻。
薇羅尼卡,4,2006-03-25 01:57:12,2,还不错，喜欢《七里香》
怀山鹿,5,2007-11-06 20:06:02,2,my第一张Jay专辑，很喜欢这个CD封面
春风颜色,4,2009-11-30 21:10:57,1,《七里香》、《游园会》、《止战之殇》
范德一彪 Alex,4,2013-04-22 14:12:38,1,5我刚去实验中学，中午我在不认识的新同学说《外婆》
吃货少女萌萌哒,4,2018-01-21 09:51:34,38,好喜欢这首歌，周董真的好有才华，我的青春呀，好想去看一场他的演唱会
蕉,3,2010-12-22 23:26:40,2,这之后再也没听过他
妈妈我想吃肉,5,2007-10-24 18:56:55,1,园游会~~
13平米宅,3,2011-02-25 12:04:44,1,3.6
Memento Mori,3,2009-12-12 01:32:20,1,可能是因为我真的太在意声线。
王晓啥,4,2013-07-22 18:33:06,2,因为捞鱼的蠢游戏我们开始交谈。
MOEの魔导☆,5,2011-06-28 12:44:05,2,http://www.xiami.com/album/6648
soloye,4,2009-05-23 14:55:57,1,以及俄罗斯风格的
某S,5,2014-04-28 17:06:41,1,补录
朱朱朱古力♥,4,2010-12-13 13:05:06,1,好像没啥特别喜欢的困兽之斗止战之殇吧
witecross,4,2012-02-20 20:15:56,1,@酞菁蓝是啊这算是我们这代人的流行文化主旋律啊！
[已注销],4,2011-03-27 13:00:10,1,七里香+止战之殇
Cedrick,4,2011-11-09 20:39:04,1,周杰伦第一张以歌曲题目命名的专辑。这一张在制作上面花的功夫比前几张明显有所减少，没有了长MV，同一张里也出现了风格相近的歌曲。不过瑕不掩瑜，《止战之殇》、《将军》和《七里香》仍然是非常棒的作品。只是可惜专辑的主题性本来能够强化，但却没有。
千寻｜Scorpio,3,2013-04-20 21:56:37,1,三星半。如果是几年前听，我可能还会满分。今天听，总是感觉怪怪的。
