user_name,star,comment_time,vote,short
郁程,5,2011-01-20 10:43:03,2313,大陆做出这样的音乐。我眼泪流下来了。傲娇。真的是傲娇。能代表大陆独立音乐最高水准！
沉歌,5,2013-08-23 15:23:41,1415,是谁来自山川湖海，却囿于昼夜，厨房与爱。
城南草木生,5,2010-11-15 15:08:56,617,所有人都值得在最近的地方看你们的现场
岛上的夏奈,5,2011-03-27 21:51:14,610,又萌又不装逼！求跟主唱交往！！
何牧歌,5,2014-12-18 22:55:01,397,近十年最强的内地摇滚，词和编曲都是有想法的。有想法太难得了。
薇羅尼卡,5,2011-01-03 15:53:17,252,我觉得中国还能有这样的音乐，真不错，我们还能自由地听到这样的音乐，真幸福。
叶子阿姨,5,2013-03-22 20:54:57,175,虽然未必所有坚持都会有结果，但是我好庆幸，你们终究做出了这样好听的音乐
学姐金角,5,2012-08-09 10:26:32,165,如此生活三十年，直到大厦崩塌
韧勉,5,2011-05-28 21:50:56,113,真的是很棒的一张专辑，很深沉，后工业化时代的爱，爱得深沉！
miaomimi,NaN,2011-02-07 17:47:38,118,一起喝酒时，主唱灰常羞射！
叶酱,5,2010-12-05 23:19:52,118,一支横空出世就直接填补摇滚界最高位置的乐队，一首“石家庄人”彻底改变了我的人生。
Luffyjun,4,2012-12-30 14:42:10,87,万青这张也算是特立独行（大量的独奏加上不重复歌词）了，但主唱的唱腔一直太“平稳”太单一了。。《十万嬉皮》歌词写得最好，但我最喜欢的是《揪心的玩笑与漫长的白日梦》里的那句“是谁来自山川湖海，却囿于昼夜厨房与爱”，大有一番阅览、卸甲归田之势。。我还没到那最辛酸的年岁吧。。也只是半懂
RIC,5,2010-12-26 14:51:47,83,我听到了......一切
Doublebitch,5,2010-10-28 21:56:46,52,等了一万年
tlmgt,5,2011-09-07 02:17:26,81,不万能的喜剧、秦皇岛。
少年夏不安,5,2010-12-11 21:45:57,61,越听越牛逼。那旋律真是太洋气了！回头再去看看歌词。
你的爸爸朱子风,NaN,2013-06-14 01:39:59,43,其实他只是让我突然又想起了，没有意义的事情原本就是没有意义的。当我学会妥协，对你所说的话完全不以为然却仍然能装出一副我在认真听的样子。可是那不代表你说的有道理，仅仅只能说明我涵养好而已。如果实在没法用正常的方式打开窗户，最后我也会选择打破玻璃。
yum,2,2010-12-12 01:55:33,32,标签要写alternative么？还少有的看完现场才2星的团，台风没亮，小号虽然很骚但是并不新鲜，小朋友们的心我已经不理解了。含混不清号称深刻的小词儿，总让人的专注力在中规中矩平淡流行的旋律里飘远...阴谋一把，买雇凶的帐。
豆友3444364,5,2014-04-17 17:01:18,41,这个没黑点。
大头绿豆,4,2011-01-04 14:14:18,19,还好没在听到第一首的时候就拒绝，才知道后边还有好的：《揪心的玩笑与漫长的白日梦》、《大石碎胸口》、《秦皇岛》、《十万嬉皮》、《杀死那个石家庄人》，都值一听，和一看。
Kreuzberg,4,2010-11-25 12:39:08,24,我总是不能很好的区分内地摇滚和网络歌曲╮(╯_╰)╭，不过这张还是很棒！！！！
锐利修蕊,5,2015-09-29 23:55:23,51,在流行与民谣分翎抗争的独立音乐之间，万能青年旅馆是多么的难能可贵而又神奇的存在。这样一支乐队，几乎就是从学生时代，掩藏在课本里的文学读物中走出来的。我不能再夸赞《揪心的玩笑与漫长的白日梦》与《十万嬉皮》的词写得有多么好。我只想强调这支乐队现场和录音室能带给每个听众完全不同的惊喜。
NullPointer,5,2010-11-16 18:15:06,57,所有听到的人，就有可能并肩站在一起。
吴嘎嘎,5,2010-12-15 12:24:27,20,大牛逼！
王逸游,3,2011-01-09 01:58:41,7,媚气太重。一股一氧化碳味。
顾得奶特,NaN,2011-03-14 13:33:44,41,那些唱英文的人你们看。。其实中文词还能这样写
柴斯卡,NaN,2018-10-12 16:28:57,31,河北师大附中很屌吗是不是比石家庄二中还屌啊想去石家庄吸霾这世界上最让我爱恨交加的词就是Industry
Manchild,5,2011-01-06 20:50:34,31,万青专辑首发的那天在Mao的门口，听闻预售已经400张，硬是挤也挤不进去。于是只是见到三字班学姐的老公，也是做乐队的。于是很没落的去江湖听了低苦艾。第四次经过去南锣鼓巷，路途看到一些故事。大半夜，头一次干了半瓶二锅头，四五瓶啤酒。谈起塔可夫斯基，两眼汪汪。凌晨，大冬天，差点倒在街头。不知道是不是遗憾。【秦皇岛】【十万嬉皮】【杀死那个石家庄人】
肖浑,5,2011-09-08 20:17:47,15,极品
停機,5,2013-10-04 18:18:35,52,2011年的時候，萬青在合肥演出，是大軸。壓軸是陳老師，一結束就帶走了大部分現場觀衆。那時候合肥還是個半廢墟一樣的城市，沒有那麼多潮男潮女趕場子似地用去音樂節彰顯自己的文藝。最後一場只留下了一批數量不多的人，認認真真地把萬青的這張專輯從頭聽到了尾。幾乎只有幾個字的開場，就把剛剛帶着粉絲狂熱的狂歡，瞬間一掃而空，全場平靜地聆聽這一整張專輯，小號的聲音響徹了合肥的夜空。那天我碰到了兩男一女三個人，一起聽了這一場萬青，他們聽說我是北京人，就約我國慶假期去看魔怪。我沒有因爲萍水相逢就爽約，結束以後大家一起開心地喝酒了一整個通宵。八年之後，我凌晨三點在北京的大街上穿梭的時候，沒想到又碰到了當年在合肥一起看萬青、一起在北京看魔怪的人，彷彿時間凝結在了那個夏天，我還是十九歲。
SUMMER,5,2012-06-08 13:45:22,31,不万能的喜剧编曲太太太太太太好听了
17950,5,2012-06-24 14:53:00,30,第二次聽比第一次聽好感多了100倍那麼多
津五渡,5,2019-06-09 13:53:01,11,文不能测字，武不能防身，十万嬉皮十万君，如此生活30年，直至大厦崩塌。
Katabasis,5,2014-01-18 18:57:28,19,钝痛
饥饿艺术家,NaN,2010-11-27 19:42:06,13,这tm的一下子火了我有点儿不适应
Enhui,5,2010-11-15 01:12:07,28,今夜，因為你們，外國人感動不了我~~
门柱,NaN,2010-11-11 20:59:20,26,我的2010年代十佳第一。华北平原生长出的黑暗之诗，穿越柏油直取眉心的摇滚乐，万青的谦逊和低产更让这张无与伦比的专辑显得可贵，2010年代独立音乐得以在文化史中留存的锚点。
Screamy赵爷,5,2011-03-06 18:03:49,12,就本身来说四星给的就不低了，但就冲他们这不容易完全自己摸索的劲儿给五星。
bjsn,5,2016-10-16 11:21:13,24,他们将这种内化的、童趣的、荒诞的叙事风格兜兜转转地用拼贴般的回忆、理想的破碎、自省和自我麻痹的酒精吐露出来，用主唱轻佻的冷色旁观者滤镜又温吞了一遍，四下凌乱的小号、弦乐、口琴，对应着他支离破碎的残缺不全的故事，只是最终落脚到一个宏观的、无可撼动的视角，才更显得所有的玩世不恭更无力。专辑最弱的几首#3#7（为了和其他artrock的复杂编曲搭腔，而有一些生硬的重复性片段）都很亮眼，确实是中国近些年摇滚可以做出来的最好的东西。
时以星,5,2012-09-16 23:15:07,9,如果多一点人听到这专辑，街上的打砸抢会不会少一点？我总会不知不觉就去想象和平散步以后的明天，如果有和平散步的那一天到来的话，明天又要如何开始？
元非,5,2014-08-24 18:20:27,3,咦怎么没标
风撼斜阳,5,2013-11-22 20:45:27,16,他们说石家庄是一座压抑的城市，所以才会有这么极具能量的音乐。
[已注销],5,2010-12-04 18:28:55,6,好听的令人发指
ztlpoppy,4,2011-02-09 06:29:31,5,喜欢到爆
柠檬 -w-,5,2011-01-07 07:36:51,11,满的快要溢出来的动人
阿朽,4,2011-10-26 19:12:57,6,杀死那个石家庄人&不万能的喜剧
离净语,4,2013-07-27 11:04:05,5,提琴和小号吗，不错啊。
饭团,5,2013-07-09 13:32:06,2,赞
Mignon松弛地,5,2010-11-21 12:31:29,9,等了多年終於等到了錄音室作品。樂隊獨立出品是各種擰巴（十萬嬉皮的歌詞可見一斑）后的堅持。雖然現場版的更給力，但我仍然熱愛這張用心有誠意的專輯，小號和吉他獨一無二！姬賡的詞寫得像詩。中英對照的歌詞本，是某種悶騷的野心嗎？奢望以後能有現場錄音版和不插電版出版。對於這張專輯想說的太多了。
草威,5,2011-06-23 18:09:31,7,舍不得关掉音箱
撒旦的表妹,5,2010-11-16 10:06:25,11,还有什么说的
木由,5,2015-12-01 23:21:10,26,开始对万青无感，于是为了防止被踩，在草莓音乐节上远远的坐在了很靠后的草坪上。夜风很凉，前面的人群很躁热。董二千先生温柔的嗓音穿透遥远的冰凉的空气抵达我的耳膜，不知怎么就被暖了一下。万青的现场真的比专辑棒太多，现在也只能姑且听专辑怀念一下那个温柔的南方冬夜了。
气急败坏女疯子,4,2013-11-19 19:43:27,8,不万能的喜剧听出了pinkfloyd的影子~
Ada,5,2010-11-18 20:47:59,4,其实应该是2010年10月26日发行...我生日那天...
赞成的巨兽,5,2012-07-30 10:06:48,8,看得出是厚积薄发的力作。在嘶吼和抒情之后，音乐可以有独立的姿态，才有了封面上那样的跃起与绷紧。这才有了华丽而节制的《万能青年旅店》，以及让人落泪的《杀死那个石家庄人》。
袁长庚,5,2011-08-04 14:51:30,16,一万匹脱缰的马，你听见了吗？
兮称,2,2012-12-07 20:41:47,9,有点巴洛克，有点后摇，实在无法理解文艺青年的世界
PennyB,5,2011-01-04 21:17:28,11,用那谁谁的话说：秦皇岛小号一响眼泪就上来了！
胤祥,4,2014-05-24 06:05:59,8,基友老左的最爱。于我而言，小号够骚的，还算好听。
雨夜飞行,5,2012-06-17 15:40:02,7,越听越怕，因为太真实了。平淡地活着，然后痛苦，痛苦之后继续平淡地活着，我会不会成为那个被生活温柔地杀死的石家庄人？
龙三,5,2014-04-03 13:15:29,10,比起现场来，专辑少了很多可能性，要知道董二千的歌每一个现场的solo都是不一样的。还有，丫还在夏天穿套头羊毛衫吗？还是丫学会打扮自己了？
