user_name,star,comment_time,vote,short
易召,5,2008-07-31 22:31:21,39,我的快乐时代唱烂，才领悟代价多高昂。汗都流干，天都微亮。不想放手，然后怎样。
潋 | Béatrice,4,2013-04-16 10:58:06,24,陈胖子充分解释了“揣着明白装糊涂”
PabloHoney,4,2008-07-08 01:49:18,30,喜欢『倒带人生』
Bill,5,2009-07-02 20:08:47,23,找对路的国语专辑每一首歌都值得一品不是那种能一炮打响的口水歌但创作和演唱的过程中融入了深刻的情感装帧很用心
停用豆瓣勿cue,4,2011-11-15 20:50:45,1,「路一直都在」「不要说话」
tlmgt,4,2017-05-19 22:03:21,2,漂亮小姐蛮Funky
鸭酱,NaN,2010-09-12 13:35:25,3,我很喜欢倒带人生
psycho DC,5,2011-10-04 12:07:05,0,愿意在角落唱沙哑的歌，再大声也都是给你，请用心听不要说话，请原谅我不会说话，爱是用心吗不要说话....【E神】
塘坑一姐小渡边,3,2018-06-09 15:13:46,1,路...一直都在、獨居動物
L I M O,4,2008-07-04 21:38:07,0,堅持不放手。
33迟来_小小岛,4,2013-12-24 16:18:54,0,不要说话
Song³,4,2008-09-07 16:24:13,1,几乎是目前华语唱片主流行业里的教材式作品，比如插画概念的执行，比如邀请方大同这样的新晋红人写歌，比如专辑里不同音乐元素的运用，当然还有Eason标志的唱功。专辑中很多的地方，还很明显让人想起了那张《SpecialThanksTo……》。陈奕迅的优点就是成熟，而反之缺点也就是太陈奕迅，况且《不想放手》怎么看更像是《SpecialThanksTo……》的减配版。第20届金曲奖“最佳国语专辑”。
第十个缪斯,5,2009-03-31 16:54:26,0,不要说话，最爱
令糊葱,4,2008-09-12 12:41:06,0,7
门柱,NaN,2008-07-08 16:57:49,1,很没劲
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2009-11-12 17:16:07,1,03年的黑白灰铸造了这样一种私人情结
V.Dunham,5,2015-06-30 21:05:46,6,不懂为什么有人会质疑陈奕迅的音乐造诣。他虽然不走创作挂，可凭借他自身足够好的品味、幕后包装出来的文艺格调、强悍到裂的唱功就能做出面貌深邃、情感厚密的成品。连金曲奖都不再一味强调创作了，都些人也update下吧。
littletwo,4,2008-07-28 11:53:40,1,我要爱死Eason了……
小M,3,2008-07-08 20:58:08,1,这张好像没现出来主打歌
zard砸得王大崩,5,2008-07-14 13:54:13,0,整张很流畅，有特色。獨居動物，然後怎樣?
[已注销],5,2010-11-03 12:52:30,0,陪我度过最无情的夜晚
zitsunari,3,2008-06-30 18:51:42,1,不要说话然后怎样
眠去,3,2008-08-31 16:53:12,1,吵
with,5,2008-08-03 12:23:54,2,这是张寂寞的大碟
YoyoRan,1,2008-07-01 22:04:45,0,从头删到尾好久不见富士山下这种歌还是几百年出一首的...
DeerColin,4,2015-02-14 23:17:29,1,以前最喜欢的是【不要说话】这样抓耳的歌，现在却更偏爱【路...一直都在】【独居动物】【土星环】。【然后怎样】里的HiddenMessage的英文口白真的太好听
尉迟,4,2008-07-13 22:37:59,0,这么久以来，第一次被你打动。
Summer孙夏天,4,2011-08-12 18:26:41,0,不要说话，倒带人生
伊豆,4,2008-07-03 17:26:08,0,然后怎样，不要说话，大爱。写于晚上就要听到医生现场的2009年7月18日下午。
TsingSea就是,5,2008-11-14 22:59:48,0,只是很爱《不要说话》
大海边的憨豆豆,5,2010-08-01 01:31:56,0,怎么可以每首歌都这么契合我的心
BlackScholes,3,2014-10-30 03:11:59,0,7不要说话
不如的我的,5,2008-07-09 15:51:54,1,不再有口水歌
槿落,5,2010-10-29 13:28:35,0,怎么每首都如此好听！
essence.c,3,2010-06-17 13:58:13,0,【不要说话】
韩某生,5,2011-02-17 13:43:10,0,值得听的专辑。
薇羅尼卡,4,2008-07-11 13:07:18,0,初听就是7比较入耳～
yupei,4,2008-07-30 12:33:44,0,作為eason的國語專輯，不算最好，但也很不錯了。eason當監制的能力果然沒有fa好啊。。。
莉莉🦁,5,2010-06-03 22:27:14,2,倒带人生方大同
悬溯,3,2010-09-03 22:47:28,0,soso
湛群捷,4,2009-11-24 19:28:03,0,除了2，3，8
Seamoon,3,2008-07-12 21:09:10,0,为什么这么烂...
安蓝·怪伯爵𓆝𓆟𓆜,4,2009-09-20 11:52:20,0,路...一直都在
杜扬Seatory,3,2008-07-16 11:20:10,0,什么曲什么词。。
朱朱朱古力♥,3,2008-07-06 11:13:10,0,失望
时以星,4,2008-07-06 19:41:54,0,土星环。倒带人生。7。
日烟火,4,2008-07-31 19:52:36,0,亲爱的医生~
撒野,4,2008-07-10 18:06:41,0,eason的声音是永远的大爱
yum,3,2008-10-04 19:07:10,0,暂时3星，下手越来越狠了...aren'tuglad抓住了我，其他就流于背景，我也不甘心，多听多体会！
[已注销],4,2011-02-25 13:22:39,0,独居动物+漂亮小姐
Soda兰,4,2008-09-07 22:45:59,1,要是没有土星环我就给三星了.
α,3,2008-09-02 14:33:14,0,有几首还不错。
momo,3,2008-07-15 19:27:02,0,一般吧。。
JasmineJasmine,4,2008-08-05 17:20:50,0,是我心态不对，听得一般，有那么几首不错的，不过他真的很会唱。
破产君,4,2008-08-26 17:38:48,0,不要说话
五月微蓝,4,2008-08-01 15:14:06,0,不要说话。
machlie,5,2011-11-10 23:20:12,0,你们听新歌吧，我继续回味……
曲曲波伏娃,5,2013-06-24 23:46:14,1,听陈奕迅当备胎一辈子
掩杀,NaN,2011-01-28 13:11:03,0,陳奕迅.2008.6.30
Vince♫,5,2011-10-01 17:10:18,0,不要说话
到此一游,4,2010-07-06 18:11:11,0,粤语的金牌大厨何必硬要做普通话的饭堂师父
ishine,4,2009-01-09 15:12:17,0,恩路...一直都在
TristanShen,4,2009-01-14 19:06:58,0,3.7
ipis,4,2008-08-01 17:05:01,0,推荐：然后怎样
然,5,2010-03-24 16:53:44,0,非常非常喜欢路一直都在还有然后怎样不要说话
半辈子,NaN,2008-09-25 06:52:05,1,基本上我也是陈奕迅老师的歌迷
給料泥棒,4,2010-07-06 23:23:22,0,封壳好囧
午后小憩,5,2008-12-17 14:08:13,0,好好好!!!有味道!!!
上野千驴子,4,2008-07-22 15:37:42,0,好吧，这是我买的第一张原版碟...
Fornever,3,2008-09-25 13:36:06,0,稍微有点失望
baichi0038,3,2008-07-01 22:39:08,0,比较失望~
靠谱青年™🌈,5,2008-10-22 20:04:27,0,土星环没话讲
某水,5,2012-05-25 05:35:34,0,upward&forward!
林喜喜喜喜。,4,2008-07-10 10:41:04,0,呃。貌似风格有变。
Layla,5,2008-11-14 23:31:28,0,为了那天晚上《不要说话》一瞬间带给我的满满感动……
暝明,5,2009-01-05 03:19:11,0,不要说话Aren'tyouglad然后怎样倒带人生。。
晨光荣耀,3,2010-08-06 11:56:47,0,迅哥的英文歌还没我唱得好
家常辣酱,5,2008-12-26 15:00:55,0,重新听的收获真大
大佑,NaN,2008-10-26 01:28:26,0,不要說話
马克兔温,5,2009-02-08 11:34:43,0,想要
抽屉的烦恼,4,2009-08-24 14:38:55,0,装帧我很喜欢哈哈哈哈
Noooodle King,4,2009-04-20 16:13:24,0,香港名副其实的歌王的最新作品
四二,4,2008-08-25 10:52:26,0,==+++
啊葡欸起名费劲,5,2008-08-23 22:47:39,0,一遍一遍一遍聽出味道的歌
熊仔有些扛不住,4,2008-12-06 21:31:45,0,独爱一首
半,5,2008-10-08 09:21:50,0,不能后退的时候
Ziggy 🇵🇸,3,2008-07-04 23:18:10,0,@2008-07-0423:18:10
悟怡,4,2012-03-08 23:22:10,0,独居动物、臭美、然后怎样
A-Mian,5,2008-07-03 19:42:27,0,陈奕迅越来越有板有眼了，支持他
tavico,5,2008-07-28 14:24:35,0,上半年最好的国语，但是不是我最喜欢的
Klematis,5,2008-08-11 14:01:00,0,EASON好棒啊啊啊啊啊啊啊
菲以,3,2008-11-16 17:54:37,0,我想……还是听EASON的粤语歌比较好。而且最好不要再听专辑了。
张丁薏,NaN,2008-07-04 14:23:45,0,不要说话这一首
hotdogyer,5,2008-10-01 23:58:46,0,动画的?百听不厌！！！！陈大叔请继续唱吧~唱到陈爷爷去
mikaholic,4,2008-08-29 01:52:21,0,stellaso很溫暖easonchan很輕快於是電視屏幕bilibala閃現雪花厄我說九十年代
美丽新世界,3,2008-06-30 19:11:29,0,以后該叫你熊貓先生了。。。
0405|Love&Life,5,2009-11-17 19:58:00,0,这一张是真的好。
昵称已被占用,4,2008-07-10 18:06:06,0,恩..E臣还是E臣`
penumbear,5,2010-12-27 16:54:10,0,给他一首歌，他就能把他唱出只属于自己的味道
柒禾,3,2008-07-04 19:15:18,0,怀念我买过你的黑白灰。香港曲调已无盛世。
