user_name,star,comment_time,vote,short
Song³,4,2008-09-07 16:27:12,391,事实证明，周董做音乐比做电影更有天赋
Bill,4,2007-10-09 13:31:39,205,未看电影先闻其声也会如此美妙
豆友36396401,4,2011-08-08 22:35:26,115,斗琴好爽啊！
小海,5,2015-01-13 13:42:06,68,脚踏车。
Sophie  Z,5,2010-04-07 23:31:08,35,就电影红的那几年，每次路过学校琴房都能听到人在练secret还有黑键~~
不万能青年,5,2011-08-24 14:35:45,34,最美的不是下雨天，是曾与你躲过雨的屋檐。
UrthónaD'Mors,NaN,2009-11-13 16:45:20,12,那就别说了
Topfun,4,2012-01-18 17:46:13,17,当年的女孩
乡愁,4,2010-07-28 22:36:08,21,那篇豆瓣影评这样说：“多么多么清新的微风，还有多么多么温和的阳光，心中隐藏着秘密的少女，计算着从琴房到教室的距离。因为，当天她睁开眼睛看见的第一个人，才能看见她的身体。距离。距离。从琴房，到他身边的距离。108步。”
Claire,4,2008-03-19 23:36:44,10,唤起了心底对钢琴的偏爱。
DeerColin,5,2012-11-17 10:54:57,14,那些电影原声或许都不记得了，但《不能说的秘密》这首歌确实是周杰伦这一时期的好作品！
Shudoku,5,2014-02-26 07:02:52,18,周杰伦的古典音乐造诣没得挑剔
何牧歌,5,2011-06-19 09:51:20,11,如果不是本片在音乐风格上和电影本身一样过分追求模仿《蝴蝶效应》，这张原声很有可能会成为真正的经典原声之一。但实际上抛开那几首抄袭味道严重的曲子，其他原创歌曲依然值得一听，两首慢板快板的《秘密》结合剧情更让人沉浸其中。此外，周杰伦演唱的主题曲更是他这么多电影主题曲里最好的一次。
ladybird,5,2007-09-02 05:34:29,6,surprise...
香水瓶,5,2008-01-23 21:27:04,6,喜欢这部电影喜欢两个人
Ding,5,2010-12-22 11:34:22,5,淡水海边
Inevitable,5,2008-05-11 05:23:08,4,他的才华一如既往
眼角的花朵,3,2008-02-12 20:13:54,1,充斥着萧邦，和那首《秘密》
丶,4,2011-11-08 19:08:21,1,OST
高歌,5,2013-03-27 14:01:47,3,记忆中的美好
薇羅尼卡,4,2007-08-21 13:55:04,2,钢琴很不错~
mumu,5,2010-02-13 14:13:51,2,总偏爱他的。
寂多蔓生,4,2012-03-01 17:39:06,1,那是一个不能说的秘密
妈妈我想吃肉,5,2007-10-24 18:58:42,4,淡淡的音乐~~纯纯的爱恋~~
书庭,5,2008-02-18 14:18:03,3,很棒的配乐~
莊小壞,3,2009-06-29 16:26:18,1,2.7－－－嗯，不知道呢。
迪,4,2015-07-12 19:03:37,1,没看过片子，OST是挺不错的。钢琴很美。
神秘金针菇,5,2011-04-22 10:22:32,1,极致精美
大头绿豆,3,2007-09-08 01:30:58,0,电影的糟糕影响了我对原声带的判断。
怀山鹿,4,2010-07-13 15:29:26,1,又是豆瓣电台帮我放完了。。我只记得一首《不能说的秘密》
