user_name,star,comment_time,vote,short
羊腰子,3,2011-12-06 00:48:31,467,快点停止他们的音乐
张掖汽修138601,3,2014-03-02 22:15:08,173,痛仰的歌如果让凤凰传奇唱就是神曲，制作还会精致许多，所以这种乐队除了概念也没什么新鲜的，不过封面还不错。
令糊葱,5,2008-12-16 15:01:44,142,《西湖》最爱，我今年听的最好的内地摇滚了吧……
ztlpoppy,4,2009-04-19 05:20:56,35,你们的哪吒太强了
吴嘎嘎,4,2008-10-12 11:41:09,8,为你唱首歌
JasmineJasmine,4,2008-12-25 12:56:18,47,忽然发现这是痛仰迄今为止最耐听的一张了
基一凹,3,2013-04-16 21:35:01,21,更喜欢尹吾和张楚一点。。。
33迟来_小小岛,3,2011-10-26 21:24:06,16,我注定是一个只爱POP的肤浅青年。。。
PabloHoney,5,2012-10-09 16:29:21,28,我听了一个下午，要不是我在办公室我就喊出来了╮(╯▽╰)╭
肖浑,5,2010-12-30 00:14:05,21,安阳，为你唱首歌，再见杰克，公路之歌，西湖
麋鹿橙,5,2012-02-22 22:00:14,11,不要停止我的音乐JB的欢乐啊~
尉迟,4,2008-10-12 21:34:19,7,连你也变得这样与世无争。我是那样想念你歇斯底里的嘶吼。
风撼斜阳,4,2013-11-22 19:00:05,6,再也没有留恋的斜阳君
叶酱,5,2011-08-08 11:23:57,5,断断续续听了好久，到现在才听出感觉来~~是缘分来啦！
韧勉,4,2011-03-10 13:21:38,7,西湖~
朴九月,4,2008-10-29 19:17:34,4,《西湖》《再见杰克》
良窗淡月,5,2012-08-12 01:42:50,7,真是懒得添加。豆瓣就是让人得强迫症，有强迫症的更治不好。
Song³,4,2008-10-21 18:51:29,2,西瓜/不要停止我的音乐/再见杰克/公路之歌
Mignon松弛地,5,2011-05-06 23:10:53,1,再见杰克、公路之歌、安阳、西湖、异乡、为你唱首歌！
索君,4,2011-07-19 10:41:51,3,foeveryoung是最終目標還是掙扎戰鬥是目標，走至今反而不懂了。這專輯無疑在大眾層面的欣賞獲得巨大的成功，類詩人般的許巍。無比沈迷《異鄉》中的貝斯，不知何時起，對貝斯的迷戀就像習慣，理由絲毫想不起，感覺就沈澱伴隨至今。「請不要真的為我擔憂，我不會真的感到恐懼和羞愧」
Enjoy🌈Rachel,5,2012-05-08 18:57:01,2,今天一直在哼再见杰克~~~果断循环脑残粉了
zard砸得王大崩,3,2008-10-09 21:07:05,0,音乐和诗人都在路上
virgin,5,2010-04-23 19:39:08,0,我有！。。都推荐好几天了我！哈哈。。
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,NaN,2019-06-24 22:42:20,0,就不会有人听不懂痛仰，吧
小本,5,2010-07-25 08:36:16,0,很爱你们
易召,5,2009-03-21 21:39:28,0,只是方式变了，显然更爱这样的表达。
Topfun,5,2012-01-17 11:08:39,0,我就是那小哪吒
进宝,NaN,2013-06-06 17:27:55,0,Amazing.
莊小壞,5,2011-10-21 03:49:52,0,4.7－－－第二張。異鄉。
zitsunari,2,2008-10-08 02:05:13,0,西湖异乡
Ridden,5,2008-10-27 09:03:06,0,再见杰克。
Luffyjun,4,2013-04-23 20:50:12,2,曲子要比歌词好，歌词要比歌声好。这么沧桑的声音确实不是我的菜，但客观讲还是不错的。最感动的是那首《为你唱歌》
BlackScholes,4,2014-01-09 11:25:11,0,记得开始用豆瓣记录音乐就是因为想听这张专辑。。一转眼1年半了。。好快。。。
尹嘤嘤,4,2015-04-25 09:33:01,0,居然一直没有M这张简直难以置信。#一张砖可以混一辈子系列#
WaTu,5,2010-03-23 20:01:55,0,和以前的风格有点变化，感觉他们好象沉没了!!
孤独心俱乐部,3,2010-05-17 10:43:09,0,痛仰的音色美丽起来，歌者，听者，皆在路上
超弩级现充澪桑,4,2011-03-24 22:04:07,1,怎么说呢，会考语文引用痛仰的歌词，结果得了个A…关于梦想，似乎不错呢
