user_name,star,comment_time,vote,short
Bill,4,2007-03-23 13:14:54,33,《丝路》一曲的不换气演唱法至少加分不少但是大多数歌都属于不温不火的状态相比之前的两张而言质量开始有一点下降的端倪而这种趋势也很不幸地继续蔓延到了《亲亲》上面梁静茹的唱功在连续几年的锤炼之后显著进步了
香水瓶,4,2006-04-17 00:54:28,23,好听，我尤其喜欢那首“路”
DeerColin,5,2012-11-01 21:42:07,12,《可惜不是你》如今俨然屹立KTV年度Top10不倒了。《丝路》好喜欢，无论词曲都属佳品，同样地，《路》虽然冷门，也是这张专辑的一首好歌。《瘦瘦的》呈现的是幸福生活的小哲理，《我还记得》以感情动人，是专辑里另一首冷门好歌！注意去听《下一秒钟》某些地方的咬字，很赞
潋 | Béatrice,4,2010-04-04 17:29:21,7,可惜不是你。听得我连心脏的形状都变了
Luffyjun,5,2011-02-16 14:53:09,10,丝路，好听~我会唱瘦瘦的~
豆友36396401,4,2015-05-27 07:14:04,6,丝路真好听啊
锐利修蕊,4,2017-09-03 21:31:51,5,记得当年在大卖场的试听区，还在想为什么会有《丝路》这么另类的专辑概念。隔几天电视台就疯狂主推陈晓霞写的《瘦瘦的》，一直到现在都是我爱她的排名前几。这是完整听完梁静茹的第一张，时隔多年仔细听完发现最爱的还是易桀齐写的《因为还是会》，蔡健雅的《一对一》和许哲佩的《很久以后》也都很好。
littletwo,4,2008-06-25 15:43:35,1,完全是惨痛回忆
叶子阿姨,4,2008-03-24 20:00:03,2,十年后的今天遇见你，年少轻狂已远去。
老夏天___,2,2009-09-24 19:08:09,3,不得不实话的说这是我听过fish最差劲的一张了和她的实力不符
拉子,5,2009-04-18 12:04:29,1,......
徐达多,NaN,2009-11-01 13:43:03,0,大美唱的丝路，现在已不再
丶,4,2011-12-10 12:06:29,1,其实这张专辑很苦情。而且，主题曲争议很大。有人说唱的很好，也有人说不适合她。但我觉得你很棒。
seren,4,2006-09-17 15:50:50,0,K歌演练曲
zard砸得王大崩,4,2006-12-15 01:29:16,1,都是好听的歌，但感觉上有点乱。~可惜不是你~我还记得~路
MochaTong,4,2006-11-12 21:18:23,0,丝路+可惜不是你=（看透之后的）瘦瘦的
杨山魈,3,2011-05-27 14:59:52,1,很苍白
石小po,4,2010-04-27 15:59:15,0,3.5
Sophie  Z,5,2012-11-13 10:24:45,2,7年好快啊
乡愁,5,2010-07-27 20:42:18,0,星星就是穷人的珍珠。你的笑，支撑着我虔诚的最初。/我还记得那年你的年轻，刻在从前最美的时间。在我生命里，你不曾告别，不曾走远。与你重逢前一个夜晚，往事在梦中上演。终要去体验，真实人生的残缺。
不擅长,4,2007-10-12 15:45:18,0,7http://www.xiami.com/album/10063
安东妮,3,2006-08-29 18:36:36,0,可惜不是你太煽情
letriple,NaN,2006-12-30 15:25:01,0,可惜不是你。我在这世上最深的可惜。是你。
天亮天黑,5,2012-01-18 13:16:52,0,可～惜～不～四～你～
斯 琰 🌈 🍭,5,2009-12-27 11:24:48,2,“星星就是穷人的珍珠”《丝路》，“在我生命里你不曾告别”《我还记得》，被胖友吐槽被基佬玩坏的《瘦瘦的》，扣题之作《路》，一唱就扭不能停《一对一》，你以为肝肠寸断实际上是放手释然《可惜不是你》，陷在沙发中的喃喃自语《很久以后》，静静怀念《因为还是会》，本砖晚安曲《好夜晚》。
牙3牙,4,2007-10-04 00:06:36,0,她的专辑中，我唯一买了原装的。。。
嗷拜拜,4,2010-12-17 09:08:27,0,这张有可惜不是你就够了
