user_name,star,comment_time,vote,short
Luffyjun,5,2015-12-07 16:15:36,43,就是要宠你宠你宠上了天，让谁都羡慕都赞美，让谁都傻眼
33迟来_小小岛,5,2012-12-31 13:36:58,31,五月天最棒一张
MochaTong,5,2007-01-04 23:09:36,25,这五只一定都恋爱了吧。。。ps.石头就是“我又初恋了”好了，hoho
Bill,4,2009-03-03 14:15:39,13,走味太一般
tlmgt,4,2011-05-17 18:40:34,7,香水
不良生,5,2008-06-08 00:10:28,4,我和我的男孩。
离净语,4,2007-10-13 13:13:51,0,大家都很理性嘛
叶子阿姨,4,2008-12-10 11:09:46,3,爱是一种天分，也是一种天真。
猛汉世雄,3,2009-10-17 17:57:58,3,这个牛逼的死亡金属乐队
Mignon松弛地,NaN,2007-01-01 22:43:24,2,说什么要做中国的TheDoors，扯吧扯吧
鸭酱,3,2012-06-12 17:17:33,2,坦白说，一张专辑如果有一首歌腻腻歪歪是点睛，但所有歌都腻腻歪歪就是审美疲劳。无法想象一整张专辑都在谈情说爱的五月天。
zard砸得王大崩,3,2006-12-29 01:46:51,0,放弃？坚持？挣扎中。。。
長閑,5,2012-09-07 23:45:46,3,这张CD在成都时候他们签名，少了石头。
小狐狸BOBO,5,2007-01-14 19:37:03,2,超级超级喜欢的米老鼠，五月天终于有了他们的第二代嘿……
不万能青年,5,2011-05-29 22:57:04,2,日记上写满了梦想，我决定要用这一生背诵。
洛野,3,2008-03-23 15:44:22,1,好听，但，也许是我要求得太多，感到失落。我的，五月天。
莊小壞,3,2010-12-31 00:42:49,0,3.5－－－第六張。哼。
Ridden,NaN,2008-10-22 19:00:46,0,最重要的小事。天使。为爱而生。香水。忘词。
Y2K-nostalgia,2,2019-01-30 15:29:15,2,凑数之作，丧失了表达欲与社会关注，大概是五月天史上最差一张。
Ariel .Fly,5,2008-01-05 23:55:24,0,最爱。
家常辣酱,4,2009-03-08 20:40:36,3,基本上舆论都认为这是最差的一张，奇怪我还就是喜欢这张
明天的微笑,5,2008-09-25 20:14:51,0,事过境迁，重温一种消逝的感动。因为我为爱而生。
老楠,3,2007-01-24 21:00:31,0,让我唯一的朋友不是老鼠
沉歌,4,2008-01-04 20:56:25,3,喜欢《忘词》和《天使》
不擅长,4,2007-10-09 17:18:21,0,6http://www.xiami.com/album/15627
eveilebi,3,2009-08-06 01:48:33,0,有失水准。不过还过得去。
薇羅尼卡,4,2007-01-10 13:44:11,1,还不错，慢歌很抒情，天使，米老鼠`
怀山鹿,4,2009-07-22 17:59:05,1,天使，知足
ANNXXNA,4,2010-11-20 17:50:53,1,因为你
Pumpkinhead,3,2009-01-18 18:11:10,0,无感
神山樹,3,2011-03-29 23:38:44,0,陈信宏的信是言而无信的信。
逅宝,3,2007-08-30 13:16:35,0,只有天使让我印象深刻
Paul,5,2009-01-06 13:24:16,0,尚可
Gong Shore,5,2008-06-23 20:28:24,0,尚尚给我的礼物...
宇宙宝贝,NaN,2009-01-13 17:36:40,0,MARK成了听过还真搞==
賴床不起。,5,2007-02-10 19:09:36,0,小五
五月微蓝,3,2007-06-26 15:02:14,0,Mayday最新的专辑，依然能感受到他们认真做音乐的心，他们从不曾停下。最爱那首《最重要的小事》。
艾利斯,4,2007-05-19 07:46:00,1,超喜欢阿信!知足，天使，最重要的小事，都很好听
Gavin|江湖骗子,5,2010-02-02 16:30:13,0,如果删掉×××××和×××××这两首歌这张专辑的主题性可以上五个台阶
一又,3,2007-10-10 22:48:20,0,因為你的病就是沒感覺。
nevering,3,2007-01-12 22:14:33,0,米老鼠
息为,5,2008-07-03 22:07:25,1,很high很喜欢。
甜m i l k 。,4,2008-09-12 17:55:46,1,有几首很棒的歌```
momo,4,2006-12-29 18:51:02,0,期待已久啊
🌟亚树🌟,4,2006-12-31 19:05:11,0,我又初恋了最重要的小事香水忘词宠上天一千个世纪
痴人,4,2007-11-20 22:48:08,0,米老鼠。一千年以后。
baichi0038,4,2010-03-27 12:04:57,0,流行风愈加浓重~~只是许久之后再听~却一直觉得超好听~
Michelle,NaN,2007-01-06 16:51:27,0,为爱而生
天草流云ヒカル,4,2014-06-15 17:52:29,0,我打脸了，2020年时隔多年再听，觉得这张真的好温柔，好听👍
少年桑将,4,2007-09-19 13:23:36,0,喜欢最重要的小事，但是觉得这张专辑的歌词上有所欠缺~
玩酷子弟,2,2013-03-18 20:27:37,0,大宇宙天团这张听得想掰CD让我由路人粉转黑的开端
卡羚,4,2007-05-06 19:19:00,0,为k而听~很爽~~
杨小歪,3,2008-12-27 20:53:40,0,真的，不是为摩托车日记、米老鼠三星都不想给。。。还好有后青春期
fake,5,2009-05-06 14:46:10,0,阿信的声音蛮好的。。做音乐也蛮认真的。。
Kite☆,5,2010-12-29 09:24:56,0,那一年好像有很多音樂地感動。很喜歡香水
小小,4,2012-04-10 23:42:42,0,用最温柔的力量对抗这个世界。
蕾蕾,3,2008-06-03 23:11:21,0,為愛而生天使一千個世紀最重要的小事
狂躁 C-137,5,2009-10-09 17:20:33,0,对我来说有特别意义
知秋,NaN,2006-12-29 11:32:43,0,爱没有分寸.
pipi,4,2012-08-02 13:29:53,0,最重要的小事！！！！
春风颜色,5,2009-01-31 14:02:33,0,让人感受得到一个浩渺的宇宙；你的我的无尽的时空
过桥土豆,3,2011-02-14 18:55:18,0,天使
