user_name,star,comment_time,vote,short
zard砸得王大崩,5,2006-12-15 01:25:46,25,敬你最后也最好的青春
果酱☮,4,2007-01-03 19:55:00,31,喜欢《失忆》这首
V.Dunham,5,2019-04-16 19:20:39,26,如果《燕尾蝶》是她借用岩井俊二青春物语的残酷决绝达成对抒情艺术的突破，那么《亲亲》就是回落到无印良品质感的文艺氛围，速写爱情的流行哲学。《亲亲》坐拥打通流行/独立壁垒的奢侈班底，比流行唱片更具独立气息，又比独立唱片更富流行价值。梁静茹也献出了生涯最好的声音表现。
Bill,3,2007-03-23 13:14:23,0,稍微有些平淡的一张专辑虽然企划不错歌曲传唱度也还好但是同以往相比太过原地踏步缺乏一点新鲜感
锐利修蕊,5,2010-01-18 21:35:14,6,这算是我最爱梁静茹的一张，几乎每首歌都非常喜欢。
DeerColin,5,2012-11-01 21:39:39,2,个人还是觉得这张很棒，《失忆》这样的抒情摇滚要多多尝试！《暖暖》甜到了心头！《飞鱼》的编曲悠扬，《不是我不明白》很喜欢。
L I M O,5,2007-01-15 20:47:19,2,暖暖。
Claire,4,2006-11-17 13:46:09,0,【四季】【失忆】【小手拉大手】【不是我不明白】
丶,4,2011-11-16 11:05:36,0,3.5星。甜蜜的小清新风格。封面很好。整张专辑除去暖暖和亲亲以外，如果不是梁静茹自带的温暖声线，整体歌曲质量一般。华语乐坛一贯的单曲全胜专辑。值得一提的不是我不明白这样的风格很适合你。
旗旗,NaN,2006-10-12 19:19:57,0,还不错，
易召,4,2011-01-21 23:13:51,0,★★★☆
尉迟,3,2008-08-25 01:51:35,0,可不可以不要一直甜腻。
小狐狸BOBO,NaN,2006-10-24 22:22:07,1,开始唱起快乐情歌的静茹，暖暖的简单心事，其实你很好，你自己却不知道……
哈默林騎士,NaN,2006-10-28 20:57:58,0,暖暖亲亲叠嗲小情感
Summer孙夏天,3,2011-08-25 22:02:52,0,啊。一直唱的么。
Luffyjun,4,2011-02-16 14:55:33,2,好吧，还有大家都听梁静茹的日子~~
斯 琰 🌈 🍭,5,2009-12-27 11:24:28,3,最后一次青春的绚烂花火，细数爱情中的甜蜜与哀伤
❤艾俪尔❤,NaN,2007-09-22 22:22:30,0,梁静茹
Miss Lucky,NaN,2006-12-22 15:33:21,0,暖暖，亲亲
Bill,4,2008-08-24 23:02:37,0,亲亲
不擅长,4,2007-10-11 13:43:31,0,8http://www.xiami.com/album/10061
Halah,4,2006-10-09 09:56:34,0,新的听上去很亲切
钟,5,2009-02-19 14:53:09,0,暖。
大漁,NaN,2009-09-06 18:28:33,0,四季
薇羅尼卡,4,2008-01-17 03:54:36,0,喜欢《暖暖》与《幸福洋果子店》，cheer还是声音好~
Lindsey落枕,4,2007-06-24 00:58:14,0,温暖
mon babe,4,2011-01-18 13:27:52,0,呵呵，小离，小王子，你还记得我吗，2006年，我生日，你要送我这张专辑，可我坚持没要。你等了我很久，可我一直不见你。换号了也没告诉你。对不起，我太自私了。但我相信你现在一直很好。而我，没有你的关心，也可以跌跌撞撞到现在。上个月晚上，我给你发短信，你还是24小时开机，可你不认识我的新号。我明白，小王子，已经走过去了。小王子，祝你快乐。我不是你想要的那个乖乖的女孩，忘掉我最好。
IVAN,4,2013-07-27 13:44:09,0,亲亲小手拉大手
牙3牙,5,2007-10-04 00:07:12,0,还是那可爱的声线，永远支持你。。。
Memento Mori,3,2009-12-19 23:25:20,0,一直觉得你眼睛很大歌声很温暖。虽然我并不那么喜欢。
逅宝,3,2008-02-13 12:28:45,0,退步之作怀念那时
失控的蘑菇,3,2012-04-28 15:08:42,0,亲亲
铎奇,3,2009-01-04 18:24:57,0,irememberthatkiss.
老夏天___,5,2009-09-02 23:45:16,1,我以为fish会凭这张专辑荣登歌后的宝座列没想到......
豆咪,3,2007-01-02 19:21:06,1,完全是因为陈绮贞才听这个
宇宙宝贝,NaN,2009-02-28 00:15:00,0,就算被唱烂了也不能否认它的价值
不非否,5,2011-02-06 02:48:14,1,最好的一张梁静茹，静茹的魅力在这种小叙事结构中能做到情绪的最大化，本身的特色也就是亲和力max的恋爱中小女人形象。而恋爱中最美好的，其实就是由一件件的小事堆砌起来的。
JasmineJasmine,3,2008-01-04 15:32:09,0,梁的第一首闽南歌哦
baobaodu,NaN,2009-01-30 13:45:55,0,亲亲小亲亲。
艾利斯,4,2007-05-19 08:31:10,0,静茹一如既往温暖的声音。不过比较起来，更喜欢她以前的《喜悦》，《半个月亮》，《宁夏》《小小的爱情》等等。
Leoooo,3,2008-02-11 23:36:49,0,感觉她改路线了
Icilian,4,2009-12-21 20:40:55,0,很喜欢暖暖。恋爱中最美的感觉不过如此。
丹,3,2007-09-02 21:17:56,0,不是我开始怀旧，是我反应很慢。
小小不愿醒过来,5,2009-01-17 05:11:01,0,记。
息为,4,2008-07-03 22:07:02,0,小情歌很甜蜜，太单薄。
namieriel,4,2012-08-16 21:34:13,2,个人心中梁静茹最优专辑排名第二。燕尾蝶成功塑造的rock女形象在这里依然有所体现。其实这张专辑也是梁静茹最阳光的一张专辑，基本看不到苦情到死的歌曲。暖暖的开场美妙的青春充满回忆的夏日情节···恭喜她装嫩成功！推荐：四季可乐戒指亲亲暖暖大手拉小手不是我不明白
德敛於,4,2015-09-20 20:17:20,1,五星2457四星19
Papaya,2,2006-12-09 21:08:40,0,开始矫情了！
Akira,NaN,2010-05-27 16:23:47,0,憨过头
再见小狐狸,4,2010-12-22 13:19:17,0,全然被人忘记的《序》成了我的心头爱，陈信宏和周杰伦都没打动我心怀。
蕾蕾,3,2006-10-17 21:24:29,0,親親可樂戒指暖暖
hotdogyer,4,2007-02-21 01:14:57,0,喜欢可乐戒指．失忆．暖暖．
Annabel,4,2010-02-16 13:46:39,0,没有哪首特别喜欢~
麦小麦,NaN,2006-12-10 22:37:24,0,初恋的感觉还是只有梁静茹的歌声能够表达
春风颜色,5,2009-11-30 19:55:53,0,《暖暖》、《小手拉大手》、《亲亲》、《可乐戒指》
六月天蝎,4,2007-05-11 09:48:41,0,声音很有亲和力
Fan要坚强,NaN,2011-12-28 21:06:56,0,当年唱暖暖的已是路人。
