user_name,star,comment_time,vote,short
颜良辰,5,2008-04-14 17:48:37,377,在所有人事已非的景色里，我最喜欢你。
叶子阿姨,5,2008-10-22 15:34:47,147,而我不再觉得失去是舍不得，有时候只愿意听你唱完一首歌。
新世纪腐银战士,5,2013-12-05 13:52:48,131,张悬是我全部的高中时代，没人说话倾诉时，我会和张悬的歌对话~
tlmgt,5,2012-05-30 00:53:42,121,“「亲爱的…我还不知道」是张悬遇到李寿全老师后第一张正式的作品”我才知道这张专辑是她和李寿全制作的····怪不得上个月她在某品牌的音乐会上唱歌说：“很多人认为音乐靠的是才能，但其实是你人生的阅历决定了你在台上的厚度和宽度。《如何》写给李寿全老师，今天这首歌也送给他。”
Luu,4,2011-02-13 20:35:25,20,在所有人事已非的景色里，我最喜欢你
韧勉,2,2008-11-23 01:27:18,1,真不好听~
Claire,5,2007-10-04 21:28:43,2,反复地听。全砖试听：https://music.163.com/#/album?id=32314
女巫,5,2011-04-09 11:58:33,8,在所有物是人非的景色里，我最喜欢你
离净语,5,2007-08-20 18:23:08,6,豆瓣电台第一张全曲放满的专辑哟
Bill,5,2007-09-28 20:28:53,2,虽然粗听一遍没有太多抓得住耳朵的歌曲还是有很多值得细细品味的东西儿歌是那种让人听上去很入耳的民谣感觉讨人厌的字有特色声音一如既往地舒服词曲恰到好处但是编曲上依旧还是要多花点工夫
捞,5,2008-10-28 20:17:14,4,清新小品干净温暖。后摇玩得像模像样。
停用豆瓣勿cue,4,2011-09-10 20:39:53,1,「亲爱的」「儿歌」「模样」
倉鼠,4,2010-10-01 09:46:44,5,喜欢《儿歌》《模样》《喜欢》《亲爱的》，喜欢像demo一样淡淡的调子
狮子人,5,2007-07-22 12:49:40,4,我的眼光有你的方向。
DeerColin,5,2013-04-28 20:34:41,6,这张专辑里的词要是落到某些较真的乐评人手中，估计会被批吧？听懂张悬真是件难事！专辑里最喜欢《喜欢》，几首摇滚，旋律不出色，重在词作，内容和想法很好。《欲望把眼前的地板铺满》接近8分钟，真是意外+吃惊。
L I M O,5,2007-09-07 12:29:49,1,親愛的妳不用知道。
Kreuzberg,3,2009-06-12 14:33:23,0,怕！！！
川总,4,2012-05-05 12:41:26,0,rockfigure
Song³,4,2008-06-24 12:32:36,0,喜欢
♬ CaR,5,2009-03-07 20:11:10,1,最喜欢这张了
熊仔面,5,2008-10-05 12:32:37,0,喜欢。
令糊葱,5,2011-10-14 11:51:24,0,我喜欢很多词~
thundercat,5,2007-11-23 23:05:07,4,别忘了要温柔别忘了要快乐
zard砸得王大崩,4,2007-08-28 09:17:33,0,一张在词作上显示出成熟的作品。编曲稍弱.总觉得混乱拉扯中出现的产物
锐利修蕊,5,2012-07-27 20:46:47,1,并不
香水瓶,5,2007-11-20 19:11:39,0,淡淡甜蜜的女声相信爱也要独立
英恩,4,2010-08-09 15:34:53,2,很真诚
凹凸代餐,5,2010-08-16 11:41:04,0,http://u.115.com/file/f7981c1533
夏日扬帆,4,2009-07-19 17:06:49,1,第一次接触，挺独立的
usquebaugh,4,2008-07-07 23:20:01,2,安静时，适合这样的背景音乐。
山川若水富江萌,5,2010-04-09 20:33:36,1,慾望鋪滿鋪滿
ladybird,5,2008-05-30 17:13:20,0,台湾预购版+签名到手！！！
肥匪廢·老🐰,5,2013-09-04 09:38:21,0,悬哥果然是适合倾听的好基友。
Topfun,NaN,2013-11-05 14:11:33,0,http://www.xiami.com/album/32528
阿萌今天也很饿,5,2011-12-20 11:24:46,0,张老板，张老板。
小狐狸BOBO,5,2007-11-02 13:11:43,0,儿歌……
不万能青年,5,2012-07-08 21:49:31,0,不被了解的时候，相信自己值得，永远心疼做过的梦。
眠去,NaN,2010-02-07 03:40:29,0,坚强的你
Ridden,NaN,2009-08-13 05:00:41,0,模样。儿歌。喜欢。
飞老湿,4,2013-11-04 16:20:25,0,【听过补遗】张悬的录音室专辑总是让我提不起兴趣，但是现场就好得多，简单的吉他伴奏她的声音突然就会变得很有魅力。
Yi,5,2008-03-01 09:33:02,1,07年最好的唱片
BlackScholes,5,2014-09-18 03:52:19,0,毕竟，喜欢，亲爱的，模样，并不
薇羅尼卡,4,2010-01-04 10:29:54,1,没有上张好呢～
大头绿豆,5,2007-07-22 10:08:48,1,喜欢《喜欢》。喜欢《亲爱的》。喜欢淡淡的《模样》。有时候像莫文蔚，有时候像孙燕姿。
亲爱的1969,4,2007-08-31 15:57:36,0,真好有并不
ラーメン子,5,2009-12-15 14:26:03,0,在所有人事已非的景色里我最喜欢你
朽瞳,4,2012-05-03 21:29:16,2,没事混在豆瓣不听几张张悬、曹方、陈绮贞怎么行，抱着这种心态来听，最后还是把张悬留在了播放列表里。我喜欢张悬的歌里面总有些莫名的精彩，有些随性，我说不太出来。
研磨_Lynette,5,2012-06-28 09:39:50,0,最好的张悬
不擅长,3,2007-10-09 21:00:33,0,http://www.xiami.com/album/32528
DrunkFox,5,2007-10-19 14:51:03,0,好听好人
神秘金针菇,5,2010-11-08 20:02:34,0,狂放中内敛，优雅而不羁
夜川直心,5,2008-10-03 15:07:08,0,很好听
安东妮,4,2007-08-02 15:09:40,0,记住我笨拙的说话
謝爾·愛睡覺,4,2007-08-14 19:17:10,1,喜欢...毕竟...
呓语流年～小文,5,2012-08-27 21:57:20,0,《喜欢》
Tatiana,5,2008-10-02 03:04:13,1,模样
你今日飲咗未,5,2010-11-16 00:20:39,0,这张砖听了就放不下—我只喜欢你
元気一杯咪噶酱,5,2010-07-24 17:41:33,0,“喜欢”总会让我想起在夜晚听广播的那段日子。
新竹,4,2012-08-06 13:40:29,0,每次唱起『喜歡』，會難過呢。討人厭的字跟兒歌也好。
土树,4,2008-09-13 01:15:30,0,很安静，舒服的唱片，一惯的风格
Rinn,4,2007-10-16 23:31:41,0,慶幸了撐過前兩首。
明法™抗议豆瓣删组,3,2007-09-10 18:56:45,0,有一点点颓废。比较喜欢《亲爱的》、《模样》、《讨厌的字》、《儿歌》
Memento Mori,3,2010-05-05 14:04:05,0,我越来越烦张悬
Alto,NaN,2007-12-14 01:31:44,0,是因为你成熟了么
慕祺海Perkira,5,2013-06-11 15:39:52,1,A-92最喜欢《喜欢》、《模样》、《嫁祸进行时》，其他歌曲也非常的艺术，一张近乎完美的专辑，兼容了各个方面，不像现在的专辑除了爱就是爱。
Белка,3,2007-09-03 19:57:03,0,不喜欢
中世纪福音工人,3,2013-02-04 10:47:47,0,片段中有些散落。
Rouge Rouge,5,2010-04-22 22:49:36,0,从这一张开始心疼
许仙,5,2007-08-15 15:46:54,0,...
朱朱朱古力♥,5,2009-12-06 13:42:37,0,fav
不如的我的,4,2007-08-19 19:38:58,0,莫名其妙的词
蘑菇林的苏西,5,2007-09-21 17:12:08,0,喜欢
日烟火,NaN,2007-11-12 19:12:57,0,迷人的女子，迷人的声音.
LORENZO 洛伦佐,4,2011-02-10 20:21:53,0,来让我小清新一把【儿歌】【模样】就喜欢这两首
witecross,4,2008-08-16 12:47:03,0,这个女人让我男人听了那么久...
m2,NaN,2007-09-15 18:08:02,0,文艺青年的自慰+无创造力的无病呻吟
千寻｜Scorpio,5,2012-11-18 22:32:32,0,最喜欢和舒服的张悬专辑。
A R I A。,3,2008-12-03 10:29:55,0,我对这个人不感冒
胡小祯,4,2012-06-22 18:18:47,1,喜欢讨人厌的字。张悬总有一股清冷的味道。如果真的要结婚的我会选这样的女人。
邪念,5,2012-04-22 15:28:17,0,其后我为此生爱恨拔足狂奔
小岩菽,4,2007-08-07 14:06:21,0,喜欢。
AI Cat,4,2009-11-27 23:47:02,0,儿歌。喜欢。
防霾专用三层悠,5,2008-07-16 19:48:27,0,亲爱的……我们都知道了
五月微蓝,5,2009-04-24 23:59:15,0,第一次完整的听张悬，喜欢她的词。
镜泉,4,2010-09-05 20:57:03,0,归根到底还是喜欢Outro……性情中人
maomaoding,4,2010-12-11 18:32:39,0,听多了都不太有味道
Vince♫,5,2010-11-28 20:59:35,0,讨人厌的字
Lethe。,5,2012-04-25 11:11:54,0,在歌声中听到了自己。亲爱的自己。
Ancora*山妮,3,2007-10-08 20:05:11,0,初听有点奇怪，不过听久了觉得她的喜欢真的很不错
ヽ 丶詸゜,5,2008-12-16 09:39:09,0,她总是那么独立..很欣赏
Travis,4,2008-03-13 17:26:54,0,《喜欢》
小懸。♫,5,2010-06-19 00:05:41,0,毕竟是这样的阿悬
Lola,NaN,2009-07-05 19:36:05,0,刚听的时候那叫一个瓦萨
TristanShen,4,2009-01-14 10:16:27,0,4.2
0926根本没有,NaN,2009-12-31 16:04:10,0,大方清爽简单的生活
BtKnowhere,5,2009-11-23 16:39:00,0,爱上张阿悬的专辑
墙角青苔,5,2014-01-04 13:01:33,0,这张怎么没评。。里面两首曲是我的最爱好过神的游戏
捡垃圾的提莫,5,2007-11-11 11:40:48,0,蛮舒服的
笪笪,4,2012-08-09 22:52:07,0,好听的声音、儿歌最好听
痴人,4,2007-10-13 13:19:21,0,在所有人事已非的景色里我最喜欢你
