user_name,star,comment_time,vote,short
小敏吃掉小敏,5,2013-09-18 17:57:54,357,很奇怪，王菲从来没有过时过。
ztlpoppy,5,2009-01-22 01:49:33,105,舅舅帮我买的磁带一共2盘活活的被听坏了一盘
锐利修蕊,5,2014-10-21 16:45:39,83,当时好流行用太红的歌手名字出精选
齐鲁矿业李德友,5,2008-12-18 16:12:31,20,2018年9月26日，边工作边听。真好听。美好。
凉,5,2012-01-16 17:17:20,14,好想给十颗星！
Song³,5,2008-12-28 17:13:56,32,闷
果酱☮,5,2008-12-14 00:40:06,10,买过卡带。这张精选集的选歌都不错。
JulyChan,5,2008-03-21 01:08:11,6,上牙轻抵下唇，抬舌吐出这音。
包法利富人,5,2012-07-15 16:51:24,2,我们在等待什么奇迹？
固力果guriko,5,2010-01-27 12:03:14,4,我最喜欢她这个样子
Topfun,5,2011-10-19 06:17:46,2,看当时的月亮
Lemon,5,2010-01-30 07:48:44,1,相见恨晚
万千朋友仔,5,2009-07-25 22:40:51,2,好多亦舒的书名...最爱色盲
virgin,5,2009-05-05 15:02:20,0,我有！。。
o0工藤波波0o,5,2010-08-23 22:28:22,0,买的第一张王菲的专辑，双卡带版本@2010-08-2322:28:22
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2008-06-03 17:42:30,0,当时买的是cd吧。。
tlmgt,5,2011-09-07 04:07:22,6,artwork
莊小壞,5,2009-08-29 21:11:14,0,4.5－－－很好很强大。
山川若水富江萌,5,2010-03-01 13:33:10,1,。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
叭卦我最懂,4,2012-11-16 20:02:34,1,一个一个偶像都不外如此沉迷过的偶像一个个消失最后剩下自己舍不得挑剔最后对着自己也不大看得起
sean cheung,1,2009-05-29 16:15:24,0,好歹重拍个封面吧
KeneL裤头,4,2006-10-16 22:28:39,1,初二时买的卡带
丽红饭店,5,2016-05-21 06:54:57,0,民谣和摇滚、bandsound和KTV金曲都有了。（或许这样说了再说被《当时的月亮》整哭过就显得很矫情了……）
安东妮,3,2006-05-10 11:03:52,0,这精选集选的失败
徐大阳,4,2010-04-22 16:49:03,0,怀念。
Tatiana,5,2008-04-05 17:15:39,1,流年
Memento Mori,5,2009-12-02 14:51:49,0,突然想起，我早就拆穿，只因一首《彼岸花》
神山樹,5,2012-05-10 23:13:53,0,也许喜欢怀念你多于看见你我也许喜欢想象你多于得到你
铎奇,5,2010-08-25 20:22:58,0,自己都不爱怎么相爱怎么可给爱人好处
Leito,5,2015-05-16 06:55:09,0,我也不想这样
Stella,4,2007-08-31 12:32:29,0,当时的月亮，如果你是假的，只爱陌生人
小宇宙,5,2012-05-02 00:57:05,1,我好像成熟的一直比同龄人晚一点。现在才听也好，至少没有错过。
JasmineJasmine,5,2007-12-25 23:08:23,0,这张经典好多
数人的绵羊,5,2008-08-07 17:13:08,0,当时的月亮。
ishine,5,2007-10-30 11:45:08,0,经典啊...
TristanShen,3,2009-01-30 11:04:20,0,3.5
战国客,5,2009-02-24 20:05:05,1,我也不想这样&当时的月亮&人间
給料泥棒,5,2010-02-11 15:17:29,0,你王菲所以我王菲。
零度天气看风景,5,2009-01-09 12:38:29,1,怀念
Alsoran,5,2011-03-06 23:13:16,1,迷魂记还是第一次听到呢。
大佑,4,2010-01-29 13:28:25,0,你快樂所以我快樂
石白,5,2007-06-01 23:55:49,0,爱。
Nosferatu,4,2007-05-04 17:06:24,0,可以说是经典了吧
沙力兔,4,2015-09-30 06:03:14,0,王菲红起来真是必然她是timeless的“左等右等你爱我不如我爱你不为谁带来什么麻烦”林夕写这词的时候到底在想什么的这样轻快吟唱的绝望是一种怎样的心情
Luffyjun,5,2012-03-16 22:09:26,0,你喜欢不如我喜欢20200504
Stella,5,2009-05-29 13:50:23,0,这张碟躺在CD架上许久啊
yes,5,2012-09-23 19:27:37,0,菲菲我好久没爱你了，最近又开始爱上你了，怀念以前那个陌生的你，啦~啦啦啦啦~啦啦啦啦~啦啦啦啦啦啦啦啦啦啦啦啦啦啦~啦啦啦~啦啦啦啦啦~
时间的玫瑰,5,2006-09-27 16:19:40,0,我的最爱。
每天一粒茶叶蛋,5,2011-05-29 13:38:39,0,怀念流年偿还给自己的情书迷魂记
小巩俐减脂中,4,2009-09-11 22:25:29,0,你喜欢不如我喜欢，你的不满成全我的美满
Felix,5,2007-09-21 15:10:36,0,王菲你王菲所以我王菲Faye
洗头油|盖盖儿,5,2008-11-10 21:26:21,0,其实不喜欢精选集。
Chimney,NaN,2009-09-03 23:45:26,0,2002/永远的王菲
井行,5,2010-06-21 19:47:33,0,最最最最最最最王菲的一张
等到风景都看透,5,2009-11-07 22:41:39,0,但愿你的眼睛只看得到笑容但愿你流下每一滴泪都让人感动但愿你以后每一个梦不会一场空
火勺火勺,5,2012-04-08 23:18:11,0,一度喜欢的喜欢唱的~~这是王菲的震撼
