user_name,star,comment_time,vote,short
伊豆,3,2009-08-30 22:30:20,584,千里之外让一个老艺术家的艺术生命迎来了第二春。
tlmgt,5,2011-06-07 00:30:28,288,《菊花台》最好的地方是这个旋律把弦乐和二胡感毫无违和的结合起来了（有的曲子比较适合二胡，有的曲子比较适合弦乐）菊花台这歌两个都可以而且弦乐和二胡感同时出现在一首歌里交织（前奏间奏的弦乐）而曲子旋律本身是很二胡感的
夏日扬帆,4,2015-06-30 16:43:56,224,第一次听菊花台的时候怎么都想不到是周杰伦唱的……
MeetMeinaMaze,5,2012-10-14 22:30:14,189,不需要改变，又不是老干妈。
DeerColin,5,2013-04-12 19:06:37,37,这张专辑对我的意义如同蔡依林的《爱情任务》，因为这是第一次买了他的正版预购CD，后来被同学借去把外壳弄坏了，害我心疼死了。《迷迭香》真的太喜欢了，好喜欢那样暧昧的感觉！《菊花台》作为《满城尽带黄金甲》的片尾曲，去影院看电影全场是听完这首歌才离席的噢！《心雨》初中同学还用作作文题目
Panda的影音,5,2012-10-07 21:12:00,13,《千里之外》、《听妈妈的话》、《夜的第七章》……
Bill,4,2007-11-30 19:18:24,48,总得来说还算可以的作品歌曲良莠不齐是个叶惠美之后始终存在的大问题夜的第七章很不错某董下坡路综合症持续进行时
不万能青年,5,2012-07-07 15:22:14,60,如果邪恶是华丽残酷的乐章，它的终场我会亲手写上。
泪小鱼|念。,5,2006-10-01 12:52:05,25,喜欢多年，沉迷不变
锐利修蕊,5,2011-06-22 10:31:09,36,中学全班的最爱。真的经历过华语乐的巅峰期，一张专辑变成每个人的回忆。
小海,3,2012-05-22 14:51:24,18,依然范德彪。
Hao,4,2015-07-19 22:16:36,16,我举得彼时就算追也是到这张为止吧，后面的歌质量先不说，看封面就没有听的欲望。
蒜 | BOY A 🌈,4,2007-12-21 13:27:28,6,喜欢三首：听妈妈的话、千里之外、菊花台
Song³,4,2008-12-17 17:00:34,6,除了《夜的第七章》(VS潘儿)，其他都符合大众口味，《菊花台》、《听妈妈的话》连我妈都爱听。/千里之外/红模仿/心雨/退后
范困,NaN,2009-01-17 15:24:45,5,下坡路的开始，但还是好听的。
莊小壞,3,2009-06-19 14:31:14,4,2.7－－－好吧，我本来就不喜欢他，越到后面更是越不喜欢，口齿终于清楚了，可是音乐却越商业了。
zard砸得王大崩,4,2006-12-15 01:08:07,11,编曲一听就是花了大工夫。喜欢听妈妈的话。
essence.c,3,2014-07-11 09:38:14,9,【夜的第七章】【迷迭香】
