user_name,star,comment_time,vote,short
Hao,5,2008-08-02 22:05:34,694,夹在「范特西」和「叶惠美」之间显得不够出挑，但这张绝对被低估。
不万能青年,5,2011-08-24 14:35:09,625,一盏黄黄旧旧的灯，时间在旁闷不吭声。
UrthónaD'Mors,NaN,2009-11-13 16:35:48,363,是中学和同学一遍遍听半岛铁盒....还是磁带的年代啊
十六。,5,2012-05-24 21:03:47,296,最喜欢jay的一张。不解释。
锐利修蕊,5,2014-06-02 21:00:27,96,我错了，这张太棒了！（绝对是他被低估的一张！）
○Ⅴ○,5,2010-11-27 11:41:52,105,我心目中他最优秀的一张专辑
某S,5,2013-05-08 10:22:53,70,个人觉得这是他的巅峰之作，可是也就是那年坑爹的金曲奖让他似乎从此就受了刺激。周杰伦，饭特稀，还有这张是可以整张不断循环都不会腻的，之后……算了少说点吧。
Doublebitch,5,2008-12-16 14:29:22,30,周杰伦最好的一张，宇宙第一国语唱片
是但求其冇所谓,5,2009-09-21 13:09:59,27,囧不是叫【分裂】的吗，怎么改成【离开】了。难道这是政治？！
tlmgt,5,2011-06-07 00:27:50,73,现在喜欢八度空间超过前两张
石湃溪,5,2018-03-09 20:36:52,26,"好多人都乱讲，这哪是周董倒数第二差的专辑。推荐《半岛铁盒》《暗号》《分裂》《回到过去》《最后的战役》。质量真的很高呀。一直记得那句""小姐，请问有没有卖半岛铁盒？"""
DeerColin,5,2012-11-17 10:32:47,43,我给他5星，并非惊叹他有多好的唱功，而是感动于他的才华和每首歌里真挚的情感。《八度空间》里，最温馨《爷爷泡的茶》，最浪漫《暗号》，最好听《半岛铁盒》，最出彩《米兰的小铁匠》，最感伤《回到过去》！
Song³,5,2007-12-05 22:54:24,15,最后的战役mv很泪目。/半岛铁盒/暗号/米兰的小铁匠/回到过去
鹿和男,5,2011-01-16 19:58:27,16,最后的少年味道。
France1793,5,2012-12-05 10:51:39,6,第一次买一个人的专辑，磁带，放在爸爸的车上反复听，半兽人。
zard砸得王大崩,3,2006-12-15 01:12:10,5,平庸
熊猫没彩照,4,2015-09-08 15:23:46,6,开始无聊了。
不流ᝰ,4,2008-05-02 03:09:36,3,少年时代啊！
斯 琰 🌈 🍭,4,2015-07-30 18:54:18,6,对这张没有很爱，也有点理解许多人诟病这一张的原因了。好像他明明能运起九成的功力，却在出手后莫名其妙只发挥了六成。但仅仅六成也还是厉害的，基本上每首编曲都很有意思。
令糊葱,4,2008-10-12 12:00:03,1,这张还是不错的。
