user_name,star,comment_time,vote,short
夏日扬帆,4,2014-03-31 23:02:41,373,陈绮贞就是豆瓣的代名词……
frank1127,NaN,2005-11-11 10:37:05,105,"7首歌都带""的""!!"
tlmgt,5,2011-06-06 16:38:46,78,腐朽/太多/花的姿态/80%完美的日子
锐利修蕊,5,2009-12-26 23:21:23,54,最喜欢的一张。
塘坑一姐小渡边,5,2013-10-28 22:19:13,30,旅行的意义、华丽的冒险、太多、表面的和平、Self、80%完美的日子、静静的生活
L I M O,5,2007-01-12 13:22:16,22,簡單的生活何嘗不是一場華麗的冒險。
张恩勾,5,2006-08-17 16:45:30,2,NJ推荐《太多》《表面的和平》
Kreuzberg,3,2009-06-20 10:20:31,5,请不要装独立。
毛利,4,2006-11-25 03:29:42,5,陈终于大红了
Song³,5,2008-10-07 20:52:10,6,蓝色那个版本封面更好看
o0工藤波波0o,5,2010-07-03 12:09:28,1,这张是我最爱陈绮贞的一张专辑了吧~@2010-07-0312:09:28
神探夏洛特二世,4,2008-12-13 11:22:49,4,其实没有之前的好，不过还可以啦
泥巴,NaN,2007-01-27 02:29:08,4,这个冒险并不华丽而是那么冷静那么纯粹纯真的声音以一种些许的倔强出现
沉歌,5,2007-10-21 16:32:34,2,花的姿态
MochaTong,5,2006-11-24 22:07:58,2,华丽的冒险self~~~好听~~~
瓜。相信这个世界很变态。,5,2007-02-12 23:14:06,2,的确是一场冒险。
Jonathan,5,2020-09-23 22:36:43,18,我个人一直觉得，这张专辑在整个华语乐坛都是有非常重要的意义。它开启了小众音乐走向主流并大行其道的序幕，尤其对于内地很多听众来说，这张是真正认识台湾独立音乐的一个开端。也是陈绮贞这个标签开始被大家冠以某种生活方式的开始。是我个人认为很具有划时代意义的一张唱片。当然，也是我个人觉得最好的一张陈绮贞。
Claire,5,2007-01-24 17:52:14,1,纯净的声音。只有她。
zard砸得王大崩,5,2006-12-14 15:40:33,2,喜欢这张被无数人诟病的编曲，喜欢这张专辑的歌词，喜欢这张专辑传递的气氛
香水瓶,3,2006-05-03 22:37:47,3,为你旅行为你流浪
virgin,4,2008-11-14 16:19:25,0,我有！。。
tripler,4,2006-12-03 20:46:16,0,纯粹。
Enjoy🌈Rachel,4,2013-01-22 23:00:13,0,还是喜欢小清新的陈老师摇滚起来真的要死永远最爱旅行的意义
肥匪廢·老🐰,5,2013-08-16 10:10:19,1,小清新教主的魔力果然非同凡响。
DeerColin,4,2013-12-10 21:26:37,0,"大概就是《华丽的冒险》把陈绮贞推向更多人的视野。《旅行的意义》应该很多人都会唱吧？颇具实验性的""SK""其实早在03年就以单曲推出，所以还是不够惊喜，不及《最初的起点》主歌部分的欢快说唱反而令耳朵一亮！"
with,NaN,2007-04-27 14:12:20,0,我要正版!
太阳车,5,2008-12-30 18:55:45,0,很曹方的一个人~~~
cristine,5,2006-01-24 12:14:52,0,太感动。
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,3,2008-06-11 18:20:44,0,notmytype.
Topfun,4,2014-01-23 22:22:01,0,小清新教主
小M,5,2007-06-10 22:18:23,0,太多静静生活最好
小狐狸BOBO,NaN,2005-09-27 11:15:31,1,让我们以“花的姿态”，开始一段“华丽的冒险”……
莊小壞,3,2011-12-11 20:41:25,0,3.3---老師。
不万能青年,5,2011-06-08 14:42:15,0,我需要休息，我需要安静的矩形。
眠去,5,2007-02-15 13:58:24,0,我要检讨20100927
○Ⅴ○,5,2010-01-29 22:55:41,0,最爱陈绮贞的一张专辑
拜金沃斯学者,4,2007-11-25 20:46:54,3,迟钝的微微的喜欢了一下
鹿鹿子(>^ω^<),5,2006-08-27 22:10:17,0,从《旅行的意义》开始喜欢上她纯净的声音了~
九份的咖啡店,5,2008-02-14 13:19:29,0,离开你，这就是旅行的意义。
尹嘤嘤,5,2009-12-06 14:47:26,0,每一首歌我都很喜欢
第三代楊森熙,5,2008-08-08 15:57:09,0,05年與06年交會的冬天。我聽陳老師。
牛腩羊耳朵,5,2008-02-20 13:09:33,1,喜欢旅行的意义和太多。
落羽杉,4,2006-01-08 12:42:55,0,谁说这个专辑做的不好？
春风颜色,5,2011-05-28 09:03:32,1,华丽的冒险
北溟鱼,NaN,2006-12-27 22:17:01,2,那么老的女人还能发出那么嫩的声音，果然了得。。。
CiCi,5,2006-09-01 09:28:08,0,我爱上一道甜蜜的伤口。
神秘金针菇,5,2010-11-12 13:06:09,0,绚烂的才情，不一定听得懂，但同样放不下
薇羅尼卡,5,2006-09-12 22:43:29,0,好歌好歌，无须赘言。这一场华丽的冒险。喜欢，很喜欢，最喜欢《静静的生活》
小晨,4,2007-05-30 23:32:30,0,买了两张....又犯神经
すなのしろ,5,2006-05-07 00:01:35,0,旅行的意义/SentimentalKills/Self/静静的生活
怀山鹿,5,2010-09-24 13:45:16,0,夏天的音乐
安东妮,3,2005-12-27 19:03:10,1,喜歡一個人孤獨的時刻但不能喜歡太多在地鐵站或美術館孤獨像睡眠一樣餵養我以永無止境的墜落需要音樂取暖喜歡一個人孤獨的時刻但不能喜歡太多喜歡一個喝著紅酒的女孩在下雨音樂奏起的時候把她送上鐵塔　給全世界的人寫明信片像一隻鳥　在最高的地方歌聲嘹亮喜歡一個喝著紅酒的女孩但不能喜歡太多三颗星都是打给它的
千与千桐,4,2009-05-04 00:23:36,1,第一次听陈绮贞的时候，当时的我，正困在命运无法前进的绝望鸿沟中，根本没有心思欣赏浪漫情怀，所以她那单薄的唱腔和小女子的情怀让我很不感冒，因此在豆瓣上，我只给了个同样单薄的三星。但当我的生活脱离黑暗之后回归平静之后，今年年初的一天，豆瓣电台中传来那个单薄如细语的嗓音，竟让我喜欢得无法自拔。于是我知道，在犹如一个世纪这么久之后，我终于能够慢慢从沉重的黑暗中走出。于是在那个温柔的声音中，眼泪悄悄在我的脸上，划成一个微笑的形状。
江湖遠人,5,2009-06-23 00:39:58,0,！！！！！！！！！！
慕祺海Perkira,5,2013-06-13 00:34:30,2,你离开我就是旅行的意义
謝爾·愛睡覺,5,2007-06-28 13:36:36,0,SentimentalKills
Tatiana,3,2008-10-02 03:03:30,0,self
新竹,4,2014-08-04 03:27:32,0,最愛Self。
Pumpkinhead,5,2011-05-19 13:14:59,0,潮湿通透的一张适合雨天听
Charles Rosen,4,2008-12-23 23:22:30,0,我可以说三星半么...实在不喜欢...
明法™抗议豆瓣删组,NaN,2006-05-25 12:26:08,0,垫起脚尖静静生活
Memento Mori,3,2010-05-01 12:29:05,0,一听陈老师唱歌就小腹疼
Alto,NaN,2007-03-21 10:35:28,1,朋友都喜欢《旅行的意义》，个人觉得一般
Белка,5,2007-08-22 20:02:29,1,嗯，一直很喜欢的声音，第一次听到是在音乐剧《地下铁》里。这个剧一般，唯独记下了她的声音。封面和KerenAnn那张太像了==
Paul,5,2008-11-26 11:00:34,0,神作II
soloye,3,2009-02-10 11:10:45,0,慢慢
铎奇,3,2010-11-12 13:24:50,0,这张还好一点
日烟火,5,2008-09-22 19:13:32,0,啊我显然是喜欢的。
艾桑,4,2006-08-04 08:05:53,2,学哲学的写的词就是不一样腐朽好听
不要焦虑浣熊妹,5,2008-07-05 16:20:22,0,每一首都很禁听
菜泡饭,NaN,2006-11-05 23:08:41,0,从这里开始认识陈老师，尽管有些迟，但至少，成为了她的歌迷，还好还好！
joere,3,2006-04-25 19:32:56,0,编曲真.....不说什么了
momo,4,2008-07-15 19:25:47,0,Cheer很经典的作品了。
lotusblue,5,2007-10-28 15:14:24,1,太喜欢这个自吟自唱永远自得其乐的小女子了
娘口三三,4,2009-11-14 07:40:13,0,原来陈绮贞也可以唱一点摇滚的。。。
宇宙宝贝,5,2009-02-24 00:17:33,0,"那个夏天听到了这样的声音然后开始冒险""原来还有人比我更懂得我的心"""
olive,NaN,2006-04-23 12:20:00,0,终于还是未能免俗，呵呵
A-sun*,NaN,2006-12-31 02:48:39,1,陈绮贞
防霾专用三层悠,5,2006-10-15 16:00:19,0,挚爱
五月微蓝,5,2007-05-22 14:30:57,0,最爱的Cheer，习惯在她的声音里温暖的蜷缩。
luzzz,5,2007-05-12 14:54:20,0,她的声音真的狠特别褪去多余的留下让我清醒的感动
掩杀,NaN,2010-03-07 20:35:50,0,陈绮贞
数人的绵羊,5,2008-07-31 10:10:50,0,丫牛唱《太多》，很安静，很好听。
ishine,NaN,2007-10-30 11:36:47,0,越听越好听...很喜欢80%完美的日子很有共鸣...
Lethe。,5,2007-09-20 22:07:38,0,每年都会写《旅行的意义》
程萬萬金,5,2006-11-12 03:41:39,1,高中。媽媽從台灣帶來的禮物。
不非否,5,2011-02-07 00:47:07,0,黑暗腐朽重生绽放
你是桌子我是布,5,2010-02-10 01:04:28,0,时光交接处你在唱歌
Travis,4,2007-03-25 10:46:50,0,现在很不喜欢她的声音
一又,4,2007-09-04 15:16:01,0,陳綺貞，我不后悔認識你。
梅可,NaN,2010-02-09 00:40:24,0,还是最爱“躺在你的衣柜”。
Lola,NaN,2008-09-13 11:55:27,0,爱死SELF了
△,5,2008-06-19 12:14:26,0,非常喜欢
李松岩,5,2006-02-20 22:46:54,0,很好，不过最喜欢的还是让我想一想和吉他手
傅善行,4,2010-06-28 15:52:32,0,走。。。
TristanShen,3,2009-01-23 09:57:46,0,3.5
Sally She,5,2006-11-29 16:53:43,0,人人都爱陈老师
魚樂無窮xD.,5,2007-08-21 18:20:01,0,喜欢.
然,5,2006-10-22 14:04:08,0,你的改变还是致敬？
辣碗痞丝,4,2015-02-17 10:51:48,0,。5
🌟亚树🌟,5,2006-03-15 17:43:41,0,全部都爱：旅行的意义华丽的冒险腐朽self最初的起点花的姿态太多静静的生活表面的和平80%完美的日子
給料泥棒,5,2010-02-11 22:16:27,0,这一场华丽的冒险有真实的你陪着我。
兰 希,4,2012-02-11 20:38:59,0,長長的夢沒有了妳還有什麽用。
kingfish,5,2006-03-23 14:43:41,0,这版的封面最漂亮.至爱.
小小,4,2008-04-16 14:09:06,2,长长的路的尽头是一片满是星星的夜空~
baichi0038,4,2008-01-16 12:41:42,0,音乐的一次华丽冒险
Ten,4,2007-09-19 21:01:13,0,旅行的意义　腐朽　太多　sentimentalKills
▲amao,5,2009-08-08 14:32:18,0,表面的和平。
金拾壹,NaN,2008-05-27 13:51:53,0,很干净的声音
OnJel.,NaN,2007-08-24 16:02:58,0,又听了
少年桑将,4,2007-09-15 21:46:30,0,买来收藏的.推荐旅行的意义和最初的起点.表面的和平也很好听
大佑,3,2009-01-10 17:21:29,0,3.4不可逆了小清新
Nosferatu,5,2009-11-28 17:04:01,0,试着听听！
journalren,5,2005-11-03 20:50:58,0,哪個版本的〈旅行的意義〉都非常棒
北北,4,2008-08-08 14:16:49,0,也就一首歌让我动心了一下。
Ziggy 🇵🇸,5,2008-01-21 14:54:11,0,@2008-01-2114:54:11
官人我还要,1,2010-07-11 17:00:11,1,民谣个锤子啊
fake,5,2010-11-04 16:48:14,0,你的声音怎么可以那么好听那么好听，，
Spring Xu,1,2011-12-21 22:02:24,1,哎
七|尹苏苏,4,2008-08-03 22:24:20,0,一直唱她的歌，听她的歌~~一直
Sulu,5,2010-02-10 04:28:36,0,你是我华丽的冒险
Kite☆,3,2012-05-30 20:18:43,0,还多說什麽呢我有這張聽過像只是聽一張單曲CD--
寒凌旭,3,2008-05-18 16:34:44,0,唱片封面很有感觉
器官坏死,NaN,2008-03-25 12:13:12,0,什么是音乐⋯⋯听过你才知道
菲以,5,2011-02-21 13:26:04,0,少了点清新，多了点少女和商业什么的。没办法，歌除了是用来听的，也是用来K的！
Gavin|江湖骗子,5,2009-10-05 00:06:26,0,说不出爱你的原因但你每次唱歌的场合都让我动心
蕾蕾,4,2006-10-18 23:35:32,0,旅行的意義華麗的冒險
言武Ray,5,2006-11-18 05:46:30,0,一个华丽的冒险，黑眼睛天使saygoodbye
Kay,5,2010-02-09 05:34:54,0,很久很久前听的陈绮贞第一张.芭比推荐的.当时貌似也没觉得多好听.越听越耐听.
hotdogyer,4,2008-04-05 17:05:13,0,．．我要听～～ＨＯ厚　喜欢
mikaholic,3,2009-01-25 17:33:48,0,"我想..從九十年代開始聽她的人會有多少喜歡這張呢...又.""華麗的冒險""聽著跟""低調的奢華""那麼像...==||後者不是某人群最喜歡的求求簽名咩.."
少先队员霍小玉,5,2009-06-19 23:30:02,0,巅峰之作
洛一,5,2008-03-29 18:22:19,0,她的歌每首都很有味道，她的歌百听不腻。她是天使...
麦小麦,NaN,2006-12-10 22:39:08,0,到现在还在听，一直在听
六月天蝎,5,2007-05-12 11:54:59,0,干净的声音
时间的玫瑰,4,2008-01-09 18:02:07,0,虽然妒忌，但是必须承认她。
没安排的圣诞,5,2007-06-19 10:50:53,0,Cheer!
崮莔☂°,5,2007-08-01 19:56:47,0,聲音另人著迷
0405|Love&Life,4,2008-07-12 21:47:15,0,秀气
Yiklui Cheung,NaN,2007-01-08 00:39:02,0,POP
布安安,5,2009-09-10 08:37:10,0,工作第一年看似静静的生活其实是场华丽的冒险
少女废柴,5,2008-10-22 18:29:18,0,听着远行。
夏小暖,NaN,2007-02-02 14:25:47,0,最爱的Cherry。
Supernova™,4,2010-05-18 10:58:12,0,声音。。。
e_rain,5,2007-10-28 19:59:11,0,表面的和平华丽的冒险最初的起点
葵宝,NaN,2008-05-17 20:54:54,0,她。有味道的女子。
五月之星,5,2007-09-02 16:04:32,0,静静的生活，还有真正欢快的最初的起点
紫漠,4,2007-03-05 15:32:27,0,清淡自然的味道.
Yoo,3,2008-10-30 02:03:35,0,★★★☆
小柔♥,5,2007-09-07 20:02:04,0,表面的和平
每天一粒茶叶蛋,5,2011-04-04 22:16:52,0,唱k不唱才坑爹呢亲
cheevo,5,2006-02-28 15:20:47,0,上完补习班，透汗珠的夏天，小型签场会！
芥末小馒头,5,2007-04-19 16:35:05,0,在她的音乐里沉溺...听不厌的专辑
