user_name,star,comment_time,vote,short
沉歌,5,2008-02-08 17:27:49,346,小学五六年级，因为一首《当时的月亮》而彻底爱上了王菲，直到现在也没有变过。
DeerColin,5,2014-08-28 19:57:37,241,经鉴定也是一张王菲的5星唱片，能把另类和商业做到最好的大概就是这张了吧？《开到荼蘼》《催眠》《百年孤寂》既是另类摇滚又保留一定的口水性（是吧？）《守望麦田》《邮差》一歌两唱还收录在同一张唱片内也显得有些另类。现在来听《哔一声之后》的编曲和打雷的《西海岸》真的太雷同啦。
Bill,5,2007-12-24 21:45:35,131,当一个人的爱好与事业真好吻合时快乐将会源源不断地产生出来这张专辑精品数量很多尤其是『百年孤寂』的歌词还喜欢『开到荼靡』『当时的月亮』『精彩』
远近,5,2009-09-09 00:21:11,128,十年了
banana*🌈,5,2010-06-08 13:15:49,32,钱柜圣经。
Yi,5,2007-05-06 09:00:18,34,世纪末的情绪非常丰富……这张碟才是巅峰吧其实无论是地位还是曝光率（离婚+广告……
香水瓶,4,2006-08-30 03:54:00,21,每首歌都好听！
斯 琰 🌈 🍭,5,2013-02-04 20:45:34,31,我感觉这会是菲姐的唱片里我最爱的一张，没有《寓言》的宏大精深，但用这些充满了神经质的歌曲清晰地描画了一个华丽的善变的疯癫的妖娆的各式各样的菲姐。不知道是不是婚变给了她意外的能量，总而言之，这样的专辑真的是独一无二无法复制的。
L I M O,5,2007-06-25 23:28:51,17,只愛陌生人。
捞,5,2008-10-26 14:29:40,5,当王菲还爱着窦唯的时候？
果酱☮,5,2007-02-27 16:17:26,19,买过卡带。个人非常偏爱的一张。喜欢《催眠》
JulyChan,NaN,2008-03-21 01:35:20,11,美丽，从开始就是绝色情咒。
就叫我荣,5,2008-02-18 21:19:59,9,这一张里的每一首我都很爱。
川总,5,2011-12-29 11:59:50,11,开到荼蘼花事了。
文泽尔,4,2010-10-11 02:26:58,7,真的谈不上有多么喜欢王菲.这一张所有的曲子里面，如果要选，大概真的只有只爱陌生人一首还算是印象深刻，当时的月亮和开到茶靡也勉强，别的就再没有了.不过这样似乎并不算是很喜爱吧.只是那首当时的月亮，每次听的时候总是特别熟悉：对了，还有那首过眼云烟
何,4,2007-08-14 12:10:12,4,经典的
王大盆,5,2018-12-20 16:46:16,10,妈的神专
苏格,NaN,2006-11-09 18:06:56,3,这里面也有几首我的必k歌
筱晗,5,2011-10-27 13:42:01,8,百年孤寂，让我着魔啊。
Topfun,5,2012-08-09 00:08:12,5,不爱就借过么
夏日扬帆,4,2014-06-29 15:18:21,7,其实只特别喜欢当时的月亮，不过现在好多歌曲都可以好好研究一下，这是如何在“淡”中还能“有味”的，而不像当下很多歌，一淡连味都没了，像杯白开水[当时的月亮]
33迟来_小小岛,5,2011-09-26 22:34:54,4,催眠当时的月亮
Elika,5,2007-09-22 11:56:34,3,当时的月亮，今天的阳光
KeneL裤头,5,2006-09-13 21:52:24,1,菲的唱片我最爱的一张...初三时将前七首放进MP3内，一直听到中考...当然听过后就爱上了林夕跟C.Y.
陆秋槎,5,2010-12-15 22:46:08,2,跟风点听过
阿落,3,2007-03-07 23:45:20,1,比较商业化
ztlpoppy,5,2009-03-15 15:16:07,1,多久之前。6年左右吧
锐利修蕊,4,2010-02-14 15:14:54,2,过眼云烟和推翻，就是邮差距离千堆雪。
十六。,4,2012-04-27 21:17:03,2,没觉得可以好到打五星。
費利,5,2012-04-19 15:32:58,2,过眼云烟
纸 鸠,5,2012-12-03 23:27:17,1,竟然发现一首超好听的冷门歌曲。
essence.c,5,2009-12-10 19:54:10,3,【开到荼靡】【催眠】【百年孤寂】【蝴蝶】【过眼云烟】【推翻】
virgin,5,2009-05-05 15:01:56,0,我有！。。
sevear,5,2007-02-09 23:57:15,0,这张除了封面是最好的。
1806,5,2021-09-03 22:13:01,3,当下最喜欢的一张王菲，因为在这张专辑里能在很多瞬间清晰地看到她的自我，即便是轻摇滚路线的《开到荼靡》和《百年孤寂》，也失去了《感情生活》那样的攻击性和话语权野心，更多时候是在打开她的内心与听众对话，温柔而内敛。谁说菲式洒脱就一定要张牙舞爪？真正妥善安放爱恨交织的各种情绪，就是要把《蝴蝶》放在百年孤寂之后，而把《推翻》藏在B-sides之间。失意归失意，终究还得归于淡然
Rhodesia,5,2011-05-10 22:44:12,3,开到荼靡，催眠，百年孤寂...这张专辑对当年的我影响是无法估计的，说它改变了我的人生大概都不夸张。它其实有很明显的缺陷，里面的慢板民谣其实质量不低，但是曲目排序上让例如蝴蝶、当时的月亮之类都特别鸡肋。精彩是最不精彩的一首烂尾歌。但其它的都值得写不完的滥美之词。兼顾动听、话题性、艺
