user_name,star,comment_time,vote,short
韧勉,5,2008-11-16 20:15:33,1113,周杰伦的才华尽现于此
MeetMeinaMaze,5,2012-08-06 14:13:41,968,下一个周杰伦可能还在娘胎里。
豆友36396401,5,2011-06-01 00:21:35,978,真的觉得流行音乐领域没有能超过周杰伦的人，不管哪个国家，他真的是个难得一见的天才。
amiko,5,2013-11-17 04:38:00,684,从前从前，有个人爱你很久
MOMO,NaN,2008-01-26 18:14:18,216,"好作品，""以父之名""的编曲有新意"
锐利修蕊,5,2014-12-23 10:55:08,76,最好听的一张周杰伦，也是最喜欢的。
3C酱☆Matilda,5,2012-03-23 04:51:31,92,周杰伦的专辑中最喜欢的一张。
tlmgt,5,2011-06-07 00:28:29,70,以父之名。爱情悬崖。你听得到。
Song³,5,2008-12-17 16:59:52,62,第15届金曲奖“最佳国语专辑奖”。以父之名！/东风破
黏黏雲端,5,2015-07-16 08:50:07,65,第一次砸锅卖铁买的40块钱的CD，那时候学校走廊里到处可以听到同学们荒腔走板地学唱以父之名前奏那一声“啊~~~~~~~~”总的来说，这是杰伦最后一张满分专辑，至此他的嘴角开始上扬成为周董，开始拍广告拍电影全球巡演，做音乐变得不是那么专一了。貌似跟之前合作的那些制作人也分道扬镳。
停用豆瓣勿cue,4,2011-11-03 21:05:15,48,「晴天」「三年二班」「东风破」「你听得到」「她的睫毛」「爱情悬崖」
宇宙尽头小卖部,5,2020-01-05 10:37:19,54,居然是2003的专辑。昨天和高中老友见面，聊到12年前。高一的一个自习夜，在全班怂恿下，一个五音极度不全唱歌比念书还死板的同学打电话给本市的音乐电台冒名班主任的名字唱《星晴》。全班的每一个人都拿着还能收电台的mp4等着这一刻，还准备了录音。果然他一开口，主持人都绷不住了，问他名字并让他说说感言就赶紧停止唱歌。他说了班主任的名字，全班爆笑…当时还是手机发短息投票的年代，我们一边笑一边拿手机给电台发短信说：支持XXX（班主任）的天籁之音！让XXX唱完！后来把这段录音在班里反复播放，还传阅到了别的文科班。直到昨天在班级群里，还有同学从QQ音乐中转站找出了那段录音，以致我现在听到这张专辑都能想起高中教室和走廊的灯。
PennyFull,5,2020-05-05 13:58:54,106,就现在的华语乐坛来说，我觉得这专这个豆瓣分数甚至还给低了...
DreamReaver,5,2017-05-17 08:51:45,36,题材，旋律，曲风，制作，歌词，商业度和流行度，全方位炸裂，从头高潮到尾。
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2009-12-14 23:55:41,3,当时我喜欢一个人在书房睡。。
斯 琰 🌈 🍭,5,2015-09-29 22:14:55,22,首首都有新面貌，而且都这么好听。《以父之名》、《梯田》连着下一张的《止战之殇》、《我的地盘》，好可惜他最后还是没能成为一个文化icon。
