user_name,star,comment_time,vote,short
锐利修蕊,1,2023-01-15 11:55:05,146,......
DeerColin,4,2022-09-25 07:34:50,113,用【少年与海】打头太对了！cut：【少年与海】、【不想回家】、【冰河时代】、【Gloria】、【离心力】、【夜的尽头】。另外建议下次能不要一首一首歌释出
tlmgt,2,2022-09-23 15:15:52,198,拥有华语乐坛现役女歌手里稀缺的爆发力，她只要一直在线，市场还是会买单的。标题叫『启示录』大部分都用古典交响来包裹这些曲子，但她少写PowerBallad多写R&B会更好，因此专辑里听感最好的几首：不想回家/冰河时代/FINDYOU/离心力。虽然和前东家最后是闹不愉快解约分道扬镳，但回顾她出道第一张专辑18即使仍是非常港女路线的包装，但唱了很多黑人的东西，首专有funk还有林海峰呢。
郑宁素,4,2022-09-23 00:23:56,109,顺着听下来真的还不错啦。而且这个企划也挺有意思的，反正我跟着追了好久，关键问题是她的歌确实都不算k
内陆飞鱼,3,2023-11-11 22:04:35,1,邓紫棋离开LupoGroinig以后，歌没那么好听，制作也开始迷茫了……
齊克斯尼力佐飛,3,2022-09-24 22:15:52,91,唱功4分，曲作3分，词作2分，有亮点，整体混沌，胜在坦诚吧。
lafiona,5,2022-09-06 12:33:53,100,GloriaInExcelsisDeo
Luffyjun,3,2022-11-21 23:00:16,5,最近看到她的一个新闻才知道她被工作室压榨的故事，哈哈一看发行日期是8月，那到底是真是假呢。。虽然不是多么喜欢这张专辑，但她声音还是比较有辨识度的，挺好的，翻唱的喜欢你，情人，你把我灌醉等等都唱出了自己的感觉
baichi0038,4,2022-09-29 09:39:39,30,在邓紫棋标志性的唱腔和现场表现力下，大多数人都会忽略她其实是个创作歌手。她写的旋律很个人风格，流行又不会落入俗套，更难得是一直都有在进步。这张专辑陆续发出来的单曲都有听，有起有伏，但放到整张的概念来说，又很成立。颓废感，未来感，恢宏和阴暗并存，蛮好的。
矹矶,1,2022-08-26 23:35:14,194,折磨难受想哭
Irene,NaN,2023-08-08 13:09:34,4,邓紫棋是不是目前华语乐坛少有的还在兢兢业业认真发唱片的女歌手，平时也不怎么上热搜。不过她的曲风还是有点土😅
suzuhana.,3,2022-09-25 22:34:45,12,整張專輯聽下來很明顯好過上一張.宮閣的加入增添了很多不一樣的色彩.挺好.兩個部分都有對我味的作品也有不怎麼喜歡的.單論歌曲本身的質量差不多都是中等偏上的水平.歌紅不紅看緣分:)而吹得很噱頭的專輯概念我個人是感覺中二網文了點.想要深度但有點華而不實偏口號了.行吧~聽聽不虧的專輯.
吸橙,2,2022-09-23 15:26:32,45,邓紫棋才华不再，倒是通过几首歌衬托了宫阁的实力
魏通通,5,2022-09-27 02:25:06,78,形式棒。评分低的原因，见仁见智，但多少和国人不适应这种意蕴丰富的多维表达有关。有人说情爱格局太小，撑不起宏大概念。我的理解正好相反：在多维度表达的框架下，大和小相映成趣，听众只要自己稍加琢磨，意蕴内涵就会呈指数级增长。五星鼓励。
才睡醒,2,2022-09-28 18:14:03,25,本质只有PowerBallad&特供说唱两板斧，概念包装也不会让人产生兴趣。另外无数先例连带这次都证明“每首歌都是主打”这种宣发模式纯吃力不讨好。
丶,3,2022-09-27 17:28:04,21,不难听，但不知道概念性在哪。
Faceless Man,2,2022-09-13 08:00:06,47,满满的爱情的苦……
熟客思春期,4,2022-09-07 22:22:21,40,《hell》《Gloria》系我杯茶。【启示录】这概念一眼望去就是要连看上10几遍《上海堡垒》的罪孽感，而她早就机械化的唱腔语言，让人无法对其融入编曲环境后的叙事功力保留任何期待。但成品不得不说令人意外，至少这张在某程度上听到对【抖人偶像】角色的宣战，同质、洗脑和低幼的篇幅大幅缩减。madein内陆流量有两张假大空典中典，引入题目的角度甚至都很雷同，但《启示录》确实要比《新世界》悦耳很多，感谢宫阁。
徐大阳,1,2022-09-05 19:25:59,83,先打一星为敬，没别的理由就是讨厌她。
心淡,3,2023-01-01 23:56:23,0,HELL，只有我和你的地方，你不是第一个离开的人，FINDYOU，夜的尽头，天空没有极限
轩鼠,4,2022-10-28 11:50:02,2,还是有进步的，形式也算有诚意，词曲的细腻程度还是不够，实际上如果能把上张专辑的句号去做一个概念化的呈现就很好了。这张内容还是太空泛了，没有把个人的经历放进去。
雁渡寒潭,3,2022-11-24 23:36:45,3,形左实右，勉为其难。
路过小卢,5,2022-08-09 13:28:04,406,虽然我对邓紫棋只是路人，但在当今这个追求碎片、流量、数字音乐的网络时代，一张专辑还能有完整14首歌，而且首首新歌，首首拍MV，无论如何都是值得期待与鼓励的。光是这份回归传统唱片时代的诚意，就值得五星，希望其他歌手以此为榜样。（目前主打首单乍听不功不过，MV拍得倒是可以，私心希望之后会有粤语歌~）
藏吉田石,2,2022-08-11 14:40:13,131,哈哈哈
Laika,2,2022-12-13 22:38:32,1,1206
≈,3,2022-09-27 18:30:47,14,(60)真的挺吃她这一套的，两星全部扣给歌词，太土了。宫阁的编曲提升不少，事实证明她有在努力做音乐，vocal又回春了，直播唱受难曲混声唱到C#6太无解了我们purpleride。
悬溯,4,2022-09-23 13:11:15,18,三星半。噱头大于概念，前半部分颇有亮点，收尾6首略显俗套。或许当下乐坛最荒谬的莫过于做出一张真正的大碟都显得如此奢侈。
SweetRann,2,2022-09-09 00:36:18,38,好像也不是一张志在转型的作品，但是显然不是以前的邓紫棋了，更温柔，更抽象，可惜的是没有以前锋芒毕露的她更吸引人。旋律到歌词没什么大过失，而人声淹没在伴奏中，她似乎不是很适合较大编制的乐团伴奏，这种一般更适合空灵的音色。另外这张专辑宣传策略真的太辣鸡了。就是辣鸡。
救救我的神经,3,2022-11-08 01:45:14,0,要沿着曲序往下听，成品比想象中好，至少有几首歌会让人有多听两遍的欲望，声音表现比前一张轻盈很多，只是还是太长，概念也没有很好被统一。
bear,3,2023-01-07 00:42:51,0,3.5，整张专的旋律和编排听着都蛮入耳和多彩，就是歌词表达(深刻度)跟专辑名字关联性好像没多大关系且过于散乱，显得概念专这个概念性质可有可无，过一遍印象度不深
囧闹钟,4,2022-10-12 23:55:25,9,意外还不错。她开始用心了？
NOVS,3,2022-09-25 09:01:06,15,全专总共14首歌，中间大部分都听起来像一首歌，难免乏味。没想到全专最佳竟然是最早和最晚释出的两首：GLORIA和天空没有极限。以vocal表现来看入围明年金曲歌后肯定是没问题了，其他的自己加油吧。
从前峰,4,2022-09-23 09:48:20,32,对能够完整出一张专辑的歌手抱有敬意，给每一首歌都有音乐影像的诚意点赞，诚然不是首首都完美，但宫阁的编曲和制作还是弥补了整张作品气质的不足，是走出摩天动物园之后的爱恨启示路，也是涅槃之后的宛若新生。紫棋姐再不堪也比整天上综艺唱ost的歌手值得尊敬，在你们眼中流量或许是原罪，可人家根本不care吧～（紫棋姐虽然你粉丝骂我了但我也不care哦）现在想快进到明年金曲奖歌莉雅拿到金曲歌后的那一刻～
宠物的丝绒纸杯,2,2022-09-22 19:56:09,19,实在听得浑身难受……
团小纸,3,2022-09-23 21:11:42,4,Gloria、老人与海、天空没有极限、你不是第一个离开的人。概念或者说剧本先行，专辑很统一，但音乐多少被概念束缚了，但还是佩服愿意花钱做专辑的音乐人，一些理想与大海的冲突
楚天祥,4,2022-08-17 00:45:17,72,我祝她成功吧。
La~jum~bo,3,2022-09-25 00:01:21,14,「你十年后再看你就真的会很想死」
无法太多,3,2022-09-23 12:30:43,0,后半张好一点，看在这么努力的份上加一星好了
你的S计划,3,2022-11-17 18:33:34,7,形式大于内容，本质上与《来自天堂的魔鬼》没有任何内核层面的差异。
天霸,4,2022-08-23 07:57:29,23,做自己喜欢的音乐🎶91要做第一，同唯一。
glamorsky,3,2022-09-05 10:11:23,50,邓紫棋就很适合冰河时代这样的曲风，其他的，就一般。我感觉她是不是，疫情时代在圣经故事里找出口。无论如何，她有在思考。比起一些稀里糊涂不敢写不敢说的创作歌手，这已经很可贵了。
