user_name,star,comment_time,vote,short
Claire,4,2009-12-09 23:03:17,11,【等人】
犬犬七🏳️🌈,4,2014-06-26 17:16:31,10,今天空气特别好，温度也舒服，翻出来这张听，想起了高三的时候买了这张迫不及待回家听了好久好久的经历。有段时间每天都是单曲循环着《南部小城》入眠，第二天天蒙蒙亮醒来的时候还在放着
礼士路西岛秀俊,1,2009-12-08 11:24:25,2,难听
城南草木生,2,2009-11-12 11:33:43,0,真假
Dyingpluto,4,2009-11-09 18:21:18,1,还不错静静的
内陆飞鱼,4,2009-11-12 09:44:06,1,更沉着娴熟，更具有技巧性。
邹小樱,2,2009-11-09 16:32:09,0,恭喜曹方走火入魔，正式晋身为曹装装。人要堕落起来，坐火箭也赶不上。
阿朽,3,2009-11-10 18:24:01,0,再也不会有基诺山透明对白忽略春花秋开神秘礼物城市稻草人风吹过的下雨天落单续了....？无声剧，能再听一遍
肖浑,4,2010-02-05 15:27:05,1,平平淡淡不失不过
KREJERK,2,2009-11-21 11:41:51,0,能不能不小清新了
离净语,3,2010-12-15 04:30:47,0,不怎么给力啊班长
tlmgt,2,2011-09-08 03:17:22,1,《觉醒》大傻逼歌曲，还没编曲好听，文案更傻逼“如夜幕般的盛大开场曲，曹方实验性的唱腔，在以钢琴为主导的空旷背景中，探索音乐世界里的更多可能。”去死吧
L I M O,5,2009-11-09 19:33:24,1,日落之歌。
1806,4,2015-10-27 12:35:46,0,早期的专辑多有灵气啊~
包法利富人,NaN,2010-06-14 10:55:24,0,初夏小点心！！！！
白色的蓝,3,2009-11-09 15:30:49,0,真没意思……
Odding,3,2009-12-06 00:05:49,0,不怎么样。实在是低于期望值。
瓜。相信这个世界很变态。,4,2009-11-10 18:44:30,0,3.5.
Song³,4,2010-04-29 17:38:23,0,一次回归罢了。前半段比后半段精彩。个人喜好：门觉醒我是认真的四季天快乐颂
饥饿艺术家,3,2009-11-24 11:17:22,0,《门》还行，现在听音乐没耐心。。
徐达多,4,2009-11-19 23:35:26,0,清澈不减，我还似乎听到了一个活泼的小女生成长的声音。呵呵，不长大真好，不过成熟也是必然了，想听听你那时的声音，不知道还会不会有类似“快乐颂”里率真爽朗的“哒哒哒、嘟嘟嘟”了。
要早睡啊minami,3,2009-11-12 10:34:37,0,很抱歉，因为原本抱的期望太高所以最后只能给三星。
半袖,2,2010-01-03 01:00:27,0,没有力道，舒服不足。
icier,2,2011-01-12 10:21:28,0,哼一首歌等日。
zard砸得王大崩,4,2009-11-25 20:06:46,0,她不是别人。她是icycao。每首歌都是关于生活的故事。淡淡的却清澈。制作还是粗糙，王晓东太局限了~南部小城~信~等人
Samuca,5,2010-05-27 13:16:43,0,有越来越好的趋势。
