user_name,star,comment_time,vote,short
Bill,5,2008-12-08 22:26:20,397,被《红豆》盖过去了其实这张专辑做得很有思想林夕的《脸》实在是出神入化欲罢不能王菲的声音更富变化和表现力封面也很棒
少年夏不安,5,2012-06-24 15:44:17,178,重听太多亮点了，怎能不五星？
锐利修蕊,5,2017-03-08 21:21:04,123,有了上两张专辑的放飞和开拓，《唱游》起承转合99年的《只爱陌生人》，98年的恣意游玩换算成一张更加自我的专辑。以《感情生活》作为开篇，颇有一种程式化的答非所问，对感情虚无和现有定所的颓丧。林夕一口气写了五首，再加上三首粤语版，凑足了一半的官方式答疑解惑。王菲作品里尤以四字或两字歌名好绝，这张算是她专辑里单字最多的一张。有趣的是也是评价最为两极化的那张。收录了许巍作曲的《你》，潘协庆的两首挨着放，除了最爱的《半途而废》，《飞》也颇有云端的接壤，只是和后续的《醒不来》遥相呼应。被人记得的只有一首《红豆》，最好技巧的是《脸》。《色诫》的痴和《情诫》的决绝，也被后续张亚东的《雾》做了延续，只是等到她自己想给个结束，又是2016年的《尘埃》和年底的《梦》。浮生泡影，回到泥沼平生。终于是大方的走过一场。
Song³,5,2009-05-11 15:41:09,130,《唱游》中林夕一口气创作7首国粤语词作，其中几乎所有作品都运用了排比句势描摹爱情。一首王菲亲自谱曲的《脸》，林夕则实实在在后现代了一把，“呼吸/是你的脸/你曲线/在蔓延”“攀过你的脸/想不到那么蜿蜒/在你左边的容颜/我搁浅我却要/继续冒险”。
就叫我荣,5,2008-02-18 21:23:02,84,她显得温情脉脉。
塘坑一姐小渡边,5,2015-07-13 12:12:52,39,王菲亲自作曲四首：阴邪妖艳的迷幻电子《感情生活》、与林夕天人合一的抽象派唯美意识流《脸》、《小聪明》再度致敬CocteauTwins、王菲窦唯夫妻联手献给女儿的《童》。Zing的晒伤红成为王菲经典造型。
DA.V,5,2013-07-30 10:21:09,22,还记得当年买回家的10元三盘的磁带中，抽出这一张放进卡带录音机里，传出来的声音是何等的惊艳，我臆想那感觉绝不亚于第一口鸦片在口鼻中绽开的刺激与欢愉。ps：这一张专辑不但把王菲这个名字深深印在了我流行音乐的笔记上，还有她的女儿窦靖童……（王菲，算你牛逼！）
CiCi,5,2007-01-11 15:32:30,35,如此炫目的绽放，一生一次，真的足够了。
八,5,2017-02-12 21:54:24,27,好專輯！十分聰明地發揮了反差。土搖民謠的配器×dreampop的迴響氛圍充滿張力；前三首組成了4AD般邪魅（之後只在〈小聰明〉的音牆裡回魂）的開場，中後段卻散發出明晰空靈的氣息；輕以示重（對情人之福音崇拜的〈祢〉是全專最自然的民謠），樂以表哀（〈醒不來〉那麼清麗的彈唱下卻這麼頹廢）；vocal幻變莫測像一個文藝片演員，演甚麼角色都有「仙氣」。但我最驚喜的還是搖身一變中東迷幻舞曲的〈童〉！！！！！！哀怨糾纏了這麼久最後做一個酷媽離場，又矛盾又率性誰他媽想到這個結尾真是天才！！！！！！！
香水瓶,5,2006-08-30 03:57:25,14,这张专辑里最动人的歌，是《红豆》。
12ddmm,4,2009-06-13 13:21:40,10,游刃有余的随意
苏格,NaN,2006-11-09 18:07:00,8,这张的cover造型是我那时的一个回忆
包法利富人,5,2012-01-23 01:35:44,5,还是那时的王菲好听。
JulyChan,NaN,2008-03-21 01:34:00,10,那一年，你的幸福天花乱坠得激起蔷薇泡沫。
蘼迷猫,4,2008-04-23 18:11:39,7,声音的巅峰~~~~~~~~！
[已注销],5,2011-02-28 21:33:04,3,小聪明+童+偿还+感情生活+脸+红豆
Ziggy Stardust,5,2013-10-12 22:57:37,1,确实不错但提不起兴趣也没办法的事情
Ridden,5,2008-07-26 01:17:23,6,色戒。红豆。情戒。
停用豆瓣勿cue,4,2012-01-05 11:39:42,3,旋律派的四星完全是给「红豆」，当然粤语版「偿还」也不错
tavico,5,2018-04-12 21:59:45,11,在王菲的国语世界里，《唱游》《王菲(97)》以及《天空》是毋庸置疑最好的三张，这三张的好是effortless的，是不用力过猛并且经得起时间推敲的。
阿落,2,2007-03-07 23:45:39,6,最不喜欢的一张王菲
33迟来_小小岛,5,2011-09-26 20:02:39,1,每一首都好听
夏日扬帆,4,2015-06-06 12:53:16,1,[半途而废]
dizzydancer,5,2007-12-23 02:15:26,10,我这一代人认识王菲应该都是从98年春晚王菲和那英合唱相约98开始的吧。然后就砸出惊天地泣鬼神的这么一张。从此再也没法忘了她。主流，另类，精怪，哀愁，都拿捏的恰到好处。当之无愧的经典。
果酱☮,5,2008-12-14 00:41:51,1,买过卡带
北漠,NaN,2007-04-21 02:57:09,0,时隔多年，晒伤妆
unfoldway,4,2011-04-16 21:29:35,7,感情生活
virgin,5,2009-05-05 15:02:12,0,我有CD啦!:)。。
DeerColin,5,2013-07-07 19:28:06,3,我想很多人和我一样，都是通过王菲最热门的《红豆》而喜欢王菲。《红豆》也许不是王菲实力的代表，但一定是王菲最成功的抒情，即使历经10多个年头，依然感动如初。另外专辑里有三首歌好爱：《情诫》《色戒》及《童》
Summer孙夏天,4,2011-06-20 19:12:25,0,你就是王菲。
Memento Mori,5,2009-10-04 15:25:47,6,脸。听罢心颤。
山川若水富江萌,NaN,2009-04-15 13:21:02,1,色誡情誡
时以星,5,2014-10-13 15:30:20,2,我的上海1998。感情生活、色诫、童、麻醉、情诫。原谅自己，见怪不怪若然要怪，只怪未能雪你吃你变作你，明白是非，不能同游不用遁地，仿似咬咬空气，事不关己
Luffyjun,4,2011-02-16 14:35:39,1,好吧，大家都经历过听王菲的日子。。。
Ex,4,2006-08-16 17:56:40,0,半途而废、童、红豆....
郭小懒,5,2010-06-18 01:03:39,3,听坏了那盘卡带
evonne||芝士命,5,2010-10-26 16:23:56,0,那时候的灵气安慰了今天的我
机动美少年高興,5,2012-12-08 20:56:28,0,绝讃！
蕉,4,2010-03-21 19:12:20,4,我是真不在乎你唱的怎么样.我要你的心声.
安东妮,5,2005-12-07 15:23:30,1,忘掉天地却想起更多
逅宝,NaN,2008-09-06 00:26:34,1,faye
良窗淡月,5,2007-12-15 23:02:28,0,我最喜欢的一盘
新竹,4,2014-05-03 14:10:19,1,最愛「臉」和「醒不來」，「感情生活」、「色戒」也好，最不喜歡「紅豆」。
神山樹,4,2013-06-30 04:46:03,0,你只要心中有鬼他就一直甜美
杨山魈,5,2010-06-26 00:38:25,1,天籁
莉莉🦁,5,2010-12-13 08:10:02,0,perfect
JasmineJasmine,5,2007-12-12 21:52:50,0,最王菲
清爽🤕,5,2012-01-10 18:16:31,0,弊！中毒了！
无法太多,5,2009-01-13 18:34:55,5,红豆啊，真的是首难得的好曲子，完全没必要贬低这首大热单曲，王菲很少唱出如此温暖的情歌
奈斯,4,2014-12-22 00:44:12,1,这封面…………
掩杀,4,2006-05-21 09:42:41,0,喜欢<童>
maomaoding,5,2007-03-23 22:21:50,0,“没有什么会永垂不朽”
Ancora*山妮,5,2008-10-07 13:48:28,0,首首经典
薛定谔的毛,5,2011-12-16 10:38:32,0,❤
丹,NaN,2006-05-30 22:10:29,0,口水歌曲最多的EMi时代。不错成就了王菲。恭喜生孩子了。
TristanShen,4,2009-01-30 11:04:27,0,3.9
🌟亚树🌟,5,2006-02-07 19:04:36,0,半途而废红豆
給料泥棒,4,2010-02-11 15:13:00,0,感情生活。
笪笪,4,2014-03-25 22:04:24,0,色戒+红豆。
苇间疯,5,2008-11-21 08:28:40,0,百听不腻
慕容狐仙,4,2005-11-06 11:57:12,0,EMI百代1998年
Emon,4,2014-09-24 20:38:07,0,红豆
Jesse,5,2010-03-21 16:32:04,0,半途而废~~
山间的清风,NaN,2015-10-28 16:30:33,2,王菲最好听的歌应该是冷门一点的我偏偏不喜欢太红的那些往年迷幻的更好
豆腐脑敢死队,4,2013-05-23 23:44:52,0,http://www.xiami.com/album/11931?spm=0.0.0.0.nmIiuh&ref=ac-music原谅自己
石白,5,2007-06-01 23:52:54,0,爱。
柴犬妹妹,5,2012-04-25 11:10:38,0,小时候觉得这张怎么这么难听。现在觉得这张是最特别的国语砖。
沈来福,5,2012-09-28 11:21:22,0,红豆
阿摸,5,2010-02-12 23:15:12,0,再小心翼翼抚摸
安德,5,2014-01-21 00:05:11,0,悔该早听。
器官坏死,NaN,2008-04-08 16:44:26,1,第一次98年听她的歌声，说实话没能接受，但是后来就爱上了，原因现在也不知道为什么
郭七七,5,2010-04-11 15:49:59,0,色诫
[已注销],4,2009-11-17 15:54:16,0,果然经典..
蕾蕾,NaN,2007-10-07 01:11:55,0,半途而廢
CODY,5,2017-11-27 18:34:38,3,太喜欢这张了！色诫、脸、感情生活、半途而废、小聪明、你......大爱！
yoko,NaN,2009-11-15 11:06:26,0,红豆
mikaholic,5,2009-04-14 12:25:54,2,呢張簡直可以用超五星來形容系一張陽光燦爛星期日下午唱片~
六月天蝎,5,2008-04-22 22:54:14,0,特别喜欢这张唱片的封套
时间的玫瑰,4,2008-04-25 12:55:51,0,年少时的借阅。
loulou,4,2013-02-14 16:45:39,1,一首色诫足以。
每天一粒茶叶蛋,5,2011-05-29 13:32:26,0,红豆偿还
小巩俐减脂中,4,2008-11-07 21:12:01,0,那首《你》唱的又任性又缠绵
NATHAN,5,2009-10-17 17:42:53,0,最好沒有人明白我在說什麼，只有你聽得懂我在想什麽。因為，你就是世界。
瓦达西瓦又又又桑只爱这巧克力,4,2013-02-25 19:35:07,0,也许也只是也许。
鱼也不明白,5,2014-04-28 06:39:53,1,半夜听王菲真过瘾
mariewyssa,4,2009-09-30 22:20:58,1,Whataflexiblegirl!
结球,5,2007-03-02 13:43:07,0,听过，买过。喜欢着。
阿米,5,2008-07-11 08:15:00,0,还是那么爱你
良宋,NaN,2012-09-24 00:16:40,0,从未跟你畅泳怎么知道高兴会忘形从未跟你饮过冰零度天气看风景从未攀过雪山所以以为天会继续晴
❤ 。韩小绿,3,2009-12-17 10:10:15,0,红豆。
窝头小鱼,5,2006-12-25 16:49:45,2,听这张专集的时候，我正沉默的全心全意的爱着一个大我十岁的人。最后一个晚上，我向一扇门道别。举起的手又放下。我想，如果此时敲门，第二天，当他坐在那个房间里办公的时候，会忽然感觉到昨天夜里，留在门上的声音。他可会怅然若失。而我只是站在那里，在黑暗中面对那扇门，在心里，小声的告别。
Felix,5,2007-09-21 15:29:53,0,王菲Faye唱游
洗头油|盖盖儿,4,2009-01-18 10:40:40,0,想……
火龙果不耐受者,5,2007-10-18 19:45:41,0,第一盘磁带
黃稀奇,5,2008-11-02 00:45:14,0,"时隔十年，当时的""红豆，和最近爱上的""童"".."
按时,NaN,2008-11-13 20:00:35,0,祝福~
Major Tom,4,2010-09-10 18:28:46,0,没办法，真不是菲迷
十二楼,4,2007-12-01 18:40:19,0,这张里的歌都很大众化啦好听的
等到风景都看透,5,2010-11-02 00:06:47,0,可是我有时候宁愿选择留恋不放手等到风景都看透也许你会陪我看细水长流
许佩佩,NaN,2010-11-16 21:59:16,0,最喜欢偿还这首。
