user_name,star,comment_time,vote,short
叶子阿姨,5,2009-11-15 15:57:42,371,我拥有的都是侥幸，我失去的都是人生。
V.Dunham,5,2009-07-20 11:06:12,149,巅峰。各方面都达到了良好的平衡。《城市》是她目前架构最庞大，完成度最高的作品。
岛上的夏奈,4,2018-02-04 16:11:29,133,很久以后，我在纽约的中央公园看到了她的现场，但她改名了，没有再唱张悬的歌。
倉鼠,5,2015-02-18 11:27:12,63,走向小我、大我完美融合的自信与成熟
晚不安,5,2020-01-20 17:02:36,22,听着这张专辑在杭城里走，走啊走，从东走到西，从南走到北。好大一座城啊，渐渐翻滚的困倦缠身。但行色匆匆的人呀，停下来吧，停下来一首歌的时间，看看身边的风景。在快乐和悲伤之间，还有一大片情绪之海，无法用词语形容，需要这样歪歪斜斜地唱出来。张悬的歌是一片“奇怪而高”的天空，我们就在这样的天空下相遇，然后你对我说：新年快乐，你知我亦无悔向你行来。
停用豆瓣勿cue,4,2011-09-10 20:41:54,16,「关于我爱你」「南国的孩子」
Song³,4,2009-05-27 18:24:08,13,Love，NewYear／BeautifulWoman／南国的孩子
捞,5,2009-05-28 01:07:02,9,可惜只有五颗星可以给~
脆弱社畜晴阳阳,4,2015-10-23 17:07:18,2,以为她就这样了，还是能在很多地方给你惊喜。
bsw,5,2015-02-21 17:02:07,5,听着这张坐在副驾驶在高速上走感觉自己在拍公路电影
小晨,5,2009-05-26 05:28:11,8,我拥有的都是侥幸失去的都是人生
中世纪福音工人,5,2014-01-10 17:25:52,4,喜悦与伤痛是命运于社交中当时多嘴的舌，聊遍了所有玩钱的脸色还是在等一瞬间的心动。//这是绕口令啊！
Awakening悟,4,2017-01-12 17:11:58,12,B+让我想到城海故事，然而张悬远远未能达到遗世独立俯瞰城市的地步，她和普通人一样是迷茫于俗世生活中的一员，她最大的智慧还是以她文艺的视角将平凡冷淡的世界描摹出一点暖意（尤其体现在两首大格局anthem），专辑中段的songwriting偏弱，后期制作也有点粗糙，但就我而言还是挺享受听她成熟之前的思索和挣扎的“关于我爱你”“城市”
Dyingpluto,3,2009-04-13 23:49:16,0,感觉总是抓不住
锐利修蕊,5,2012-07-22 01:44:21,5,活着。时光。如水经过。你捧。常想起渴有多渴。
長閑,5,2012-09-07 23:46:46,4,万千景色，因你而隆重。
sorrento,5,2009-05-21 20:19:58,4,和《城市》比起来，《春日光》显得多么繁华又空洞
朱尔赫斯,5,2009-05-22 22:57:29,2,关于我爱你岛屿云烟Stay-牡蠣之歌城市Love，NewYear.巷口
baichi0038,5,2010-04-01 23:05:45,2,一张比一张精彩。
夏日扬帆,4,2010-07-28 17:42:25,6,关于我爱你，这每一句话都像文艺界的一句哲理[关于我爱你]
吴嘎嘎,5,2009-06-02 21:41:36,0,小热爱
zard砸得王大崩,5,2009-12-21 22:21:50,4,张悬还在探索音乐更丰富的表现，果然在组band后编曲大进步。词依然是血滴子。09大爱专辑。
三层保暖,4,2009-06-25 11:03:43,0,南国的孩子
离净语,5,2009-05-28 18:27:18,0,慢慢来。。
的地得执政官,5,2019-12-20 21:46:12,3,嘛《南国的孩子》是一首本人命里的歌。有可能是天然相像有可能是慢慢活成了那个样子。
品客,4,2009-10-02 21:28:18,1,thisalbumlikeastory:greatlyric，wonderfulvoice
L I M O,5,2011-02-10 13:19:38,0,城市裡。
