user_name,star,comment_time,vote,short
Samuca,5,2010-05-26 23:24:34,298,这张专辑我除了青峰的发色我不喜欢之外找不到可挑剔的地方、
锐利修蕊,5,2009-10-15 22:52:05,145,一张骂人骂到点的专辑
L I M O,5,2009-10-09 01:23:30,82,夏日好狂熱。
邹小樱,2,2009-09-16 11:12:34,47,浩浩荡荡的全国巡演、著名品牌手机代言……这一切都意味着苏打绿成长为继五月天之后台湾另一支在商业上获得巨大成功的学生乐队。毫无疑问，喜欢苏打绿的死忠歌迷依旧会喜欢这张《夏狂热》，除了弦乐部分较之前大幅度减少，专辑依旧保持了过往苏打绿的特点，青峰写的旋律依旧璀璨多变。在这张强调摇滚元素的专辑中，苏打绿在重金属、工业、后摇、朋克等可能性中选择了brit-Pop，这和他们过往的形象也算得上是一脉相承。原谅那些和coldplay几乎一模一样的吉他刷crowd吧，如果你是一个资深英式迷，你还能发现更多类似的东西。同样
张兮兮,4,2010-07-30 23:35:14,82,你不能因为它好像特别装比，就耻于被感动。
Bill,5,2009-10-05 14:14:06,29,他夏了夏天
tlmgt,4,2011-09-20 14:55:01,20,煽动。
🌈時雨,3,2009-11-20 21:28:34,8,我还是不喜欢主唱的声音但是我喜欢那些词曲
赤潮▪夯,5,2009-12-06 13:41:22,16,苏打绿这一次进步惊绝，佩服，荐之。
阿朽,2,2009-09-13 15:42:07,4,没有一首有印象的歌
zard砸得王大崩,5,2009-11-10 21:14:53,6,4+苏打绿式的夏天摇滚力量
DeerColin,5,2013-10-27 13:28:31,18,《夏》，狂热摇滚，浓郁英伦味道，开头的《掌声落下》马上提起了兴致。中间的歌的词都写得很好，结尾的轻摇滚《近未来》蛮治愈。喜欢《煽动》。
凹凸代餐,5,2011-10-28 00:27:08,19,从无美丽开始就对苏打绿越来越反感这张好几次试图仔仔细细听但每次听到掌声落下就兴致全无现在才发觉这张的好概念的完成度成人向的歌词这真的已经不是以前的苏打绿了
Ding,4,2011-03-09 19:30:38,3,共舞;无眠
半袖,4,2010-08-21 23:09:38,7,无论心中是否有偏见，每次听苏打绿是真的很欢乐啊，因为他们在动脑筋在创新呀
肖浑,3,2010-01-05 17:11:57,3,他夏了夏天共舞
果酱☮,NaN,2010-01-06 06:31:00,0,http://www.1ting.com/album/6e/album_29134.html
白色的蓝,5,2009-09-18 16:29:34,1,比上张好听多了
不万能青年,5,2012-07-09 17:53:40,3,步伐的节奏开始不那么沉重，轻轻旋转着夏天地面闷热的晚风。
天使と人工衛星,5,2009-10-06 21:36:40,5,到底听了多少遍啊这张碟……
A,3,2009-09-11 12:13:02,2,如果想要快速的榨干自己。那就不是苏打绿了。是苏打饼。
雅克,3,2009-09-15 11:01:08,0,英文诗那个声音不错
Song³,5,2010-05-03 22:15:08,0,苏打绿回来了。最喜欢<无眠>，把台语唱得跟日文似的。还有<煽动>。http://www.douban.com/group/topic/11748753/
冰山李,4,2009-09-27 21:48:48,1,世态炎凉
XB,4,2009-10-25 10:23:02,1,整个豆瓣都爱sodagreen...orz
夏日扬帆,4,2009-10-10 10:15:00,1,就是带劲
Panda的影音,5,2011-11-30 09:07:47,2,爱上「苏打绿」，源于这个「夏天」。——苏打绿四季专辑听罢，我最爱的一张依然是《夏/狂热》！
易召,3,2009-09-11 22:52:58,2,只是那个时而穿插的口白也太不伦不类和标准英式朗读腔了，难道只是为了凸显这张是在英国录的么？
苏格,NaN,2009-09-11 10:58:42,0,很夏天，但秋天怎办
Aki,5,2009-12-12 01:01:29,0,真快。。。。
少年夏不安,3,2009-09-14 20:40:42,0,越来越觉得苏打绿不是我的那一挂了。听了一点印象都没有。
with,4,2009-09-29 16:13:40,0,可以說是從《遲到千年》之後我終於都覺得蘇打綠好聽...........
目黑,5,2009-10-15 23:50:15,1,好过春日光。
尉迟,5,2009-09-12 13:40:47,0,夏日未老，而你还在。
死咗,5,2009-09-11 18:02:18,0,當之無愧
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2010-12-20 22:06:09,2,包围神马的
钟,4,2009-09-17 16:07:46,1,词还是好，但是有点吵了。
Hey Johnny,3,2009-09-13 21:44:49,2,蝉想、他夏了夏天。
水水♫,5,2009-10-18 01:29:46,1,夏已去，仍然狂热。
小隐隐于浆糊,5,2009-10-18 10:24:36,2,如此惊艳。
夏日良人°,3,2009-09-11 17:50:58,1,立秋之后我莫名其妙中暑，立秋之后你开始唱《狂热》。
花伦,5,2010-02-09 19:46:16,0,好听得我想哭啊！！！
逆风飞扬,4,2009-10-07 11:43:31,0,不错
Karonen,4,2009-09-13 11:20:17,0,夏天溜走的尾巴，就这样被你们硬生生扯回来。
Pandy,3,2009-11-26 08:28:56,0,听得我真的fever了...
树里啦,3,2009-09-13 23:13:16,0,太没感觉了！差好远...
Tiff,5,2010-08-03 03:35:06,0,越听越喜欢的一张。
Azure,5,2009-09-25 13:19:00,0,眼前一亮好感倍增
大漁,5,2009-10-14 13:01:46,0,越来越赞，越来越有态度，进步
Yome,4,2009-09-11 17:36:33,0,這次玩得真high
走走走走一,4,2009-09-30 20:56:34,0,你们很强很强真的很强我是说在音乐上。
Inevitable,5,2009-09-11 18:15:49,0,歌词真棒，激荡人心，谢谢青峰！
綠茶蘇打餅乾,5,2009-11-25 15:40:15,2,凌晨的狂热
小晨,3,2010-01-02 00:31:24,0,这张不太喜欢
你好代号君!,2,2009-09-24 12:21:00,1,也许真不是我的那杯茶。
豆友2072968,5,2010-02-17 10:30:43,0,现在感觉还不错
徐大阳,1,2010-04-22 16:48:34,0,毫无喜感除了无眠。
JO,5,2009-09-16 18:57:41,0,最喜欢共舞
药丸,4,2009-12-13 04:00:36,0,吴美丽小姐有进步咧。
⸜( ˙-˙ )⸝,5,2009-12-29 02:31:07,0,amazing!!!
沉歌,3,2010-01-14 15:47:25,0,夏
Elfin,5,2009-08-12 18:07:01,0,非常浓郁的辞藻，非常华丽的基调。永远不要忽视Soda团专辑的最后一首歌！
嗷拜拜,3,2009-09-20 00:40:52,0,一张烂过一张。
Memento Mori,3,2009-12-05 13:30:34,0,喜欢《掌声落下》里的唱腔。闽人唱闽语总很动人，诚如《无眠》。
Seamoon,4,2009-09-13 22:24:53,0,虽然我还是不喜欢主唱的声线，他们英式恐怖小说般的歌词也让我厌倦，但是这张音乐的确有其值得称赞的价值。
安蓝·怪伯爵𓆝𓆟𓆜,3,2009-09-30 12:37:44,0,还是喜欢不那么摇滚的苏打绿。
挂拉,4,2009-10-26 21:46:47,0,比《春·日光》好得多
阿Gin波尔迪,5,2011-10-19 15:14:38,0,″″
时以星,5,2009-09-14 16:40:17,0,孩子们生命力太强啦，很意外，很惊喜。没见过创作力像你们这样生猛的。吴同学真的还爱睡懒觉？
杨山魈,2,2010-10-16 22:55:12,1,你们跟逼头士用一套设备啊？啊？
Wanderin',4,2009-12-21 22:06:29,0,fever
穆纛雔,NaN,2012-09-30 22:22:42,0,nokia。。。
复活节彩蛋,4,2009-10-28 10:42:31,1,嗖嗖的；掌声落下，夏了夏天
卢儿,4,2009-12-27 20:48:42,1,.......第一次听不喜欢，再一次听，很是回味，尤其是歌词，很有禅意的感觉
Ziggy 🇵🇸,3,2009-09-19 19:57:58,0,有一个相当不错的开场，然而从第五首便开始索然无味，套路化的编曲显而易见，虽然也间或出现“共舞”的灵光乍现，但大多重复单调无甚想象力，偏偏还扬言一年要出四张专辑，看来金融危机真让全世界的音乐人折腾得不行
日烟火,4,2009-10-16 00:28:51,0,首先我喜欢封面。其次专辑不错。第三可是我不知道为什么，好像我如今已经不太适合听他们了。都是挺好的吧，可是不适合我的感觉了。
不要焦虑浣熊妹,4,2010-04-25 12:23:15,0,差点把女声点上去……我觉得比春那张好听诶……
jj73浅之,4,2009-09-14 15:20:29,0,哦，原来是跑去伦敦搞的，难怪这么英伦，忍不住觉得太耳熟
听临,4,2009-11-20 18:31:36,0,发行日是我的生日。。。
zk,3,2009-09-18 10:33:24,0,一张不如一张，怎么你们就没有冲劲了呢？怎么就不能激进一点呢？再说去英国录音，用得着装深沉么？
Soda兰,3,2009-10-08 21:51:48,0,越来越没有感觉了
朱尔赫斯,3,2012-09-22 11:23:38,0,近未来。包围。
JasmineJasmine,3,2009-09-18 16:15:47,0,有点失望
卡卡,4,2009-09-12 15:51:55,0,多给了半颗星。青轰同学你的音准啊。
五月微蓝,3,2009-10-14 22:27:45,0,发现好几首歌的词都很写实，只是曲子太闹了，怀念最初的打绿啊！
掩杀,NaN,2009-10-19 01:58:30,0,"这张其实不是特别的""台湾最后一个太监"".没亮点.反正他们永远不是我的菜...只是出于豆瓣排行榜上长居不下的好奇心听了听...苏打绿.2009.9.11"
温故知新,4,2009-09-18 17:15:12,1,MLGB包围和近未来
maomaoding,3,2009-09-23 19:35:36,0,我真脑残抽自己
La Bambola,1,2012-04-16 20:53:32,0,苏打黑
原獸god,5,2009-11-24 15:20:13,0,比夜還深的黑裡眾星都陣亡
一又,5,2010-02-07 20:41:40,0,吴青峯你就给我这样唱歌吧！！吓死人.........可是我爱我好爱这张！
nevering,5,2009-09-17 21:06:04,0,春那张是四星少一点，这一张是五星差一点。还是活泼点好啊。但是有点担心秋冬……
Happy Wiggin,3,2009-09-17 20:28:06,0,苏打绿的声音不是我的这杯茶，旋律还不错
TristanShen,2,2009-09-11 19:30:00,1,2.5
Morning,4,2015-04-12 16:51:07,1,好听的。
甜m i l k 。,3,2009-09-13 11:08:54,0,還是喜歡《無與倫比的美麗》那張。
Boron_Phage,5,2017-07-24 23:02:04,2,8.8/10完美的夏。cut.蝉想，掌声落下，近未来，煽动，无眠
Yazawa,3,2011-09-28 15:36:39,0,我为什么会听这张这么吵的专辑啊==
ipis,NaN,2009-09-27 09:24:49,0,唯一不娘的专辑　荐:狂热
[已注销],4,2013-06-21 23:37:05,0,超越了我对苏打绿的印象……
