user_name,star,comment_time,vote,short
前夕,5,2013-06-13 17:37:10,318,我祈禱擁有一顆透明的心靈，和會流淚的眼睛，給我再去相信的勇氣，越過謊言去擁抱你。每當我找不到存在的意義，每當我迷失在黑夜里，夜空中最亮的星，請指引我靠近你。
夏日扬帆,5,2012-08-11 12:37:49,302,我祈祷拥有一颗透明的心，和会流泪的眼睛。我的妈，这词写得真好
Topfun,5,2012-05-17 10:11:33,145,每当我找不到存在的意义　　每当我迷失在黑夜里　　夜空中最亮的星　　请照亮我前行
韧勉,5,2012-12-26 23:04:48,55,今天一口气重复了50遍，如痴如醉！
马小跳,5,2012-12-23 21:05:55,52,不适合高中生、五月天脑残粉听，不要将他们混淆一气的
丶,5,2014-06-02 16:31:35,26,话说这是我11年听到的歌，为什么最近火起来了。。。是有谁翻唱了么
小魔@优雅穿梭,5,2014-01-14 12:51:11,25,越过谎言去拥抱你，夜空中最亮的星，请照亮我前行
欣欣向荣,4,2018-04-11 18:35:37,37,很好听
喵喵最丑,4,2018-04-11 20:46:50,31,挺治愈的
zoey,4,2018-04-11 19:59:42,32,感觉风格有点像酷玩乐队，听着就想跟着唱。
渐渐不见,5,2013-11-07 22:50:09,9,越过谎言去拥抱你
zard砸得王大崩,5,2013-08-03 14:48:09,15,我祈祷拥有一颗透明的心灵和会流泪的眼睛给我再去相信的勇气越过谎言去拥抱你
病娘,4,2018-04-18 07:38:39,9,很喜欢这首歌，很治愈
幸存者,5,2018-03-29 08:49:21,26,每个人心中都有一颗或者几颗最亮的星星！超级喜欢听的！“夜空中最亮的星能否听清那仰望的人心底的孤独和叹息”
莫呼洛迦-屁股上的青春在歌唱,5,2014-05-03 12:57:51,13,以前真的沒有注意到這首歌直到最近這歌都在各地的pub被唱爛了才發現逃跑計劃那麼好聽
光年‖影视歌三栖民工,5,2014-07-12 23:05:01,10,主唱声音好听
会打字的跳舞机,5,2014-10-31 21:19:26,14,听多了发现都是一个调调，年轻、爱情和勇气的几个意象排列组合颠来倒去地用。但这首歌是真的好听，只要这一首歌就够了，够我单曲循环很久。
shuli23333,5,2013-12-24 15:30:12,12,循环两天了，也太他妈好听了！
橘猫,4,2018-03-28 10:08:59,36,歌词很治愈，搭配旋律，有着温暖人心的力量
CCandFF,5,2018-03-28 10:39:50,21,好听好听好听，必须满分，歌词写的也很棒，很有感染力，英文版的ifIstay也是这个调，也很好听
神山樹,5,2013-07-05 17:46:31,10,我奔涌的暖流寻找你的海洋
仲楚,3,2018-03-15 09:14:07,26,每当我找不到存在的意义每当我迷失在黑夜里oh夜空中最亮的星请指引我靠近你
S.Rice 。,5,2013-12-22 01:55:25,13,找不到更好的词形容它的感觉。就像你站在拥挤的人海中，刹那间所有音符都静止了，只剩下这一粒最清澈的音符，流进心里，好久好久。《夜空中最亮的星》http://douban.fm/?start=1925614ga80ag0&cid=0
锐利修蕊,1,2019-10-16 22:39:43,11,单纯对这首歌反胃
耶路撒冷小丑,5,2018-03-20 12:12:15,37,“每当我找不到存在的意义每当我迷失在黑夜里oh夜空中最亮的星请指引我靠近你”心情不好的时候会一直单曲循环到流泪的歌，今天很不好想你了我夜空中最亮的那颗星。
🌈時雨,4,2012-10-27 07:56:27,4,之前隔壁室友单曲重放了一整天只是没问他歌名今天居然在电台听到
岛上的夏奈,5,2012-05-06 14:30:18,0,来自舞小姐的安利
成因因,5,2012-06-06 23:43:21,14,生活遇到不可解的时候，我们最后的选择就是“善待自己”，这是最俗气，最无奈，也是最斗志昂扬的口号。今夜，夜空中最亮的那一颗星星，它是否知道那个仅用微笑就感动我的人现在在对谁微笑。其实，此刻我想再让心痛苦一次，让我再闭上眼睛，回顾你眼睛里动人的光彩。逃跑计划的歌真好听，今天晚上也真是冷，我都穿上长袖了。
贞,5,2018-03-10 22:50:57,25,超级好听，我祈祷拥有一颗透明的心灵和会流泪的眼睛给我再去相信的勇气越过谎言去拥抱你
小小鱼,3,2013-10-20 13:26:02,7,挖槽这歌有啥好听的啊……
豆友2072968,5,2011-11-20 19:29:15,3,触心境
poiuny,2,2012-10-14 22:08:10,4,呵呵后不知道为什么有点排斥这个月丢。。
慢先森,5,2014-02-10 19:28:47,1,好好听！！这算什么风格？英伦还是迷幻还是什么？其实我第一遍听的时候差点以为是动力火车。。。。。
豆友36396401,5,2013-12-07 02:20:49,1,那段时间我一直把这首歌放在革命机的文件夹里，当工口腐给丽泽路地的情歌听的......反正歌词完全契合。这首歌本身也很棒。
McSilence,4,2013-10-15 11:13:24,4,歌词太矫情了。如果有一首歌可以来纪念逝去的人，恐怕只有这一首。你的一生活得如此的理性，不爱听歌，不爱看电影，不爱艺术，你也从不唱歌。这首歌是你的手机桌面。你欺骗整个世界，叫别人如何越过谎言去拥抱你？每当你找不到生存的意义，又为何不告诉别人？你以为你很伟大吗？你以为你的父母很爱你吗？你以为你的姐姐会为你流泪吗？
不良少女劉蘭蒂,5,2011-11-22 00:00:35,2,最爱的人的最爱的歌。
Quinn,5,2012-12-19 17:05:55,2,我听了多少个清晨了呢？
#鼠宝#,5,2012-04-02 00:02:22,0,泪奔中><...
virgin,4,2012-02-05 01:25:43,1,20120205听:)。。
猫语猫寻,5,2013-06-03 15:01:20,1,大爱不解释
摩托喇嘛,NaN,2013-12-14 15:48:46,1,原来是个单曲啊我还说专辑要是这个评分疯了就
DeerColin,3,2015-01-17 17:59:11,1,记得第一次听到这首歌是我一个去支教的朋友一本正经地给我推荐这首歌多么好听多么有力量，然后我给她推荐了卡奇社的【日光倾城】，好冏好冏=.=
Luffyjun,5,2012-12-28 21:14:13,3,陈奕迅翻唱的也不错~
不万能青年,5,2012-10-18 11:04:30,2,给我再去相信的勇气，越过谎言去拥抱你。
91.7,5,2013-08-30 19:22:03,0,唉..
莊小壞,5,2012-04-21 10:04:06,0,4.7－－－唱著想著Sirius。
替身使者张阿谁,5,2011-12-21 22:19:21,0,我的北极星啊请在黑夜中照亮我前行
娅,5,2014-01-06 21:39:26,3,我祈祷拥有一颗透明的心灵和会流泪的眼睛➹
葡萄呀,5,2012-06-13 22:28:52,0,越过谎言去拥抱你，嗯，一定可以拥抱到你
殘 藍。,NaN,2013-06-27 18:12:14,2,终于听过淘宝计划最好的这首歌了，我终于可以理直气壮地对别人说我不喜欢他们了。
團團是個團|囧囧是個囧。,4,2013-04-04 17:34:22,0,不错听不错的团
夺命书生刘暴暴,3,2012-04-08 21:48:30,1,这个歌和这个封面一样恶心，也就厦门的小清新们会那么狂热的喜欢这只莫名其妙的乐队了
槿落,5,2012-10-14 01:12:32,0,好好听
收音鸡·耳東,4,2012-09-07 00:35:31,0,2011这首歌儿还可以:)~~
沉歌,5,2012-02-23 20:01:48,3,nice
金丝狸,5,2012-08-02 09:58:34,0,听到哭。
皮久,1,2014-08-28 20:20:53,4,我不需要另一个五月天，而且还是不怎么帅的版本。
终葵,5,2012-06-17 20:56:46,1,我祈祷拥有一颗透明的心灵　　和会流泪的眼睛　　给我再去相信的勇气　　越过谎言去拥抱你
