user_name,star,comment_time,vote,short
tlmgt,5,2011-06-06 16:40:02,150,其实是一种进步，愈发流行的陈绮贞，鱼是她写旋律在流行度上的又一次可喜的进步
鸭酱,5,2012-10-18 17:36:12,132,这张专辑怎么会不好听，用陈绮贞来装逼“她变了她变了她已经不是原来那个indie的她了”的人统统去死吧。
V.Dunham,5,2015-05-20 21:28:32,55,意象下的生命之花
今天小熊不吃糖,3,2009-02-26 16:19:24,31,其实也不坏，但我发现我已经不适合听这种小纠结的音乐了，不想让自己变得太感性
停用豆瓣勿cue,4,2011-12-24 11:11:34,9,只留下两首，鱼去英国
Bill,5,2010-05-02 01:56:46,7,整体风格一如既往地统一歌词有变化编曲回归朴素陈绮贞还在猛抓唱功不过麦克风是不是放得太靠近了一点？
阿朽,3,2009-01-22 10:47:30,2,我不喜欢这张专辑手的预言还不错打三星我恨你毁了狂恋。等了三年，原来偏离轨迹的不止五月天，陈绮贞的轨迹，我也不在了。
锐利修蕊,5,2010-08-28 20:10:41,2,真的太好了！《狂恋》有一种华丽独舞的感觉。
颜良辰,4,2009-08-13 16:54:08,1,教主其实还有些歌我蛮喜欢的。
果酱☮,4,2009-02-01 20:44:44,3,http://www.1ting.com/album/8e/album_25054.html。变得流行了？或许是吧，但也没什么不好。你知道人总是在经历改变，不变其实就意味着倒退。自从五月天之后，我开始懂得，不能总是以从前怎样怎样的标准来判断她，她也想尝试突破自己。anyway，确实有点无味。
L I M O,5,2009-12-11 14:11:48,2,重生。
吴嘎嘎,2,2009-01-29 18:34:57,1,下星期去英国
PabloHoney,3,2009-02-19 18:15:26,0,我不该接着一张令我厌烦的专辑之后就听这个的...
StevenTong,5,2009-02-20 15:44:16,7,和老師自己比，這張專輯的確是不如以前的有靈性。但和外面的人比，這張專輯沒有理由不給五星。
Song³,5,2010-01-02 19:12:16,3,太阳Immortal/下个星期去英国/鱼/失败者的飞翔/狂恋
Kreuzberg,1,2009-07-12 23:07:27,1,装什么独立啊
白色的蓝,3,2009-01-22 11:09:15,1,http://www.haoting.com/play/haotingsonglian.htm?id=313378&id=313379&id=313380&id=313381&id=313382&id=313383&id=313384&id=313385&id=313386&id=313387&id=313388
叶子阿姨,4,2009-03-20 18:01:30,0,我需要多一点时间。
踢踢踢,4,2012-10-02 22:57:07,0,突然想聽這張很久不聽的專輯～～～～～
阿落,3,2009-02-02 00:34:43,0,日，豆瓣~
雅克,5,2009-02-02 03:01:14,1,鱼
浮生若梦,5,2009-01-24 13:30:45,1,你也再次上路。
