user_name,star,comment_time,vote,short
人淡如菊。无奈,3,2008-07-16 09:30:12,2,对她的好感停留在《旅行的意义》为止
锐利修蕊,5,2010-04-02 17:41:22,16,每听必哭
停用豆瓣勿cue,2,2011-09-09 15:34:29,1,Track系列中最讨厌的一首。
Bill,4,2008-07-23 00:12:30,1,单曲终究还是缺乏一些感觉不过比上次的Pussy好一点点
奈斯,5,2014-11-07 01:43:11,2,让我听你说话
叶子阿姨,4,2008-10-11 18:27:12,1,你知道吗，听你说话，我只需要听你说话。
今天小熊不吃糖,3,2008-12-11 22:39:07,0,听久了心情容易变得低落……
瓜。相信这个世界很变态。,3,2008-07-20 11:54:25,0,老师第5张单曲。可是慢慢让我失去感动。
Claire,5,2008-09-06 12:25:48,0,原来我们并不孤单。
徐达多,5,2009-05-07 10:06:21,1,你知道吗听你说话我只需要听你说话
慢先森,2,2008-07-22 20:36:31,0,听完了，三分钟，没感觉。夹在张惠妹的《海阔天空》和赵之璧的《她有你要的》之间听，差距，一下就出来了。
固力果guriko,4,2009-12-16 09:13:55,0,其实风格一直都是一样的还是无法抑制的欢喜
半袖,4,2008-07-21 23:22:28,0,简单的清爽。
冰山李,3,2008-07-19 22:06:02,0,唱不出那样的感觉了，那是年轻时不顾一切的死一样的心情
zard砸得王大崩,4,2008-07-09 13:05:17,0,让我为你飞翔在你残破的天空之上
香水瓶,4,2009-03-25 15:03:46,0,肩并肩的拥抱
長閑,4,2009-02-07 11:18:32,0,在一片荒凉的景象当中，我却觉得晴朗。
sys1010,5,2008-07-17 13:15:26,0,可算是出了！
尉迟,5,2008-07-13 22:37:29,0,老师，想念你。
小M,3,2008-07-21 18:11:26,0,不喜欢名字就不喜欢
KILLsailplane,5,2008-07-25 23:14:12,0,让我听你说话给我肩并肩的拥抱
91.7,2,2008-08-26 15:47:05,0,難以恭維
伊豆,4,2008-08-26 18:10:15,0,很淡，太淡了~
不万能青年,5,2011-08-24 14:47:36,0,你承认吧，你也想要体验英雄般的夸张悲壮。
南,NaN,2008-08-17 00:51:15,0,dearcheer
○Ⅴ○,5,2010-02-18 01:28:02,0,让我为你飞翔，在你残破的天空之上
乡愁,3,2010-03-18 22:15:07,0,在一片欢乐的景像之中，我却觉得勉强。在离别的前夕，找不忧伤的台阶下。来不及为你歌唱，你潇洒而昂扬。在一片荒凉的景像之中，我却觉得晴朗。让我为你飞翔，在你残破的天空之上。
KennyHaynes,5,2010-04-13 12:41:36,0,神曲！
小希先生,5,2008-07-14 00:32:52,0,老师的第5张track
开门揖盗,5,2008-07-18 23:57:55,0,继续拧巴
肉汤拌饭吃八碗,5,2010-11-10 22:20:30,0,当时听到我落泪
17950,NaN,2008-07-19 00:24:36,0,名字不错
薇羅尼卡,5,2008-08-03 19:55:13,0,习惯了她～
Alto,3,2008-11-15 21:33:55,0,歌名和意境多好，就是嗓音太腻。在残破的天空下，为自己飞翔更好。无关他人，更好
Белка,5,2009-01-09 20:46:04,0,嗯飞吧飞吧，别废话
Aki,3,2008-08-16 00:26:12,0,唉。
时以星,4,2008-07-19 18:41:19,0,有一些人，相隔十年后，会重新懂得珍惜。
日烟火,3,2008-09-10 22:49:49,0,有这麽好？当然我喜欢封面。
wanwan,5,2012-03-01 21:31:27,0,我爱这个女人的一切
千寻｜Scorpio,4,2012-01-08 19:26:41,0,我喜欢歌词的味道大过于歌曲。recordeddate2008/6/5，是她送给自己的生日礼物吗？
♫欧德伯裔,3,2008-07-17 12:36:29,0,其实平心而论更喜欢Live版
[已注销],3,2008-07-19 01:41:03,0,不怎么用心的一支歌.很無聊.
纯子,5,2008-10-30 18:19:52,0,陈小姐的声音其实无比催泪。
So.,4,2008-08-11 16:36:33,0,其实想给三星=.，=
Lemon,5,2010-01-30 08:21:15,0,vero送了这张给我在家里
小岩菽,4,2008-07-18 15:16:21,0,loop了9遍。吃完了半包乐事原味。什么都只是瞬间的事情。
宇宙宝贝,4,2008-08-05 17:30:50,0,让我听你说话给你肩并肩的拥抱
賴床不起。,4,2008-07-23 20:45:09,0,话说我喜欢的还是现场版
防霾专用三层悠,NaN,2010-03-24 10:16:37,0,单曲为什么是单曲不是专辑？
五月微蓝,5,2008-07-16 17:14:20,0,在现场听过的歌...老师什么时候才能发新专辑啊...等等等等等啊等
镜泉,5,2010-09-21 20:53:23,0,我也想体验英雄般的夸张悲壮。
Vince♫,NaN,2008-07-20 01:08:36,0,不给分了，没法给。一点感觉都没有！！！！
豆咪,4,2008-07-29 18:52:45,0,我承认，歌依然好听。只是我无法再纵容你这样以一首歌来敷衍我。
到此一游,5,2011-04-14 21:39:13,0,躲在被子里面哭
Ancora*山妮,5,2008-10-07 13:46:41,0,獻給所有自覺不被擁抱的人、失去歸所的人、腳踏實地卻也渴望飛的人
你是桌子我是布,5,2010-06-26 14:24:11,0,让我为你飞翔在你残破的天空之上
一又,5,2008-08-08 14:26:28,0,知道吗，你知道吗。
Lucciola 3.0,5,2008-08-14 11:17:39,0,漂亮的音乐
辣碗痞丝,4,2015-06-08 18:58:44,0,循环不下一百遍然后突然没味儿了
甜m i l k 。,3,2008-09-12 11:18:13,0,还行挺舒服的``
午后小憩,2,2008-07-31 22:33:01,0,腻歪~
baichi0038,5,2010-04-01 23:08:29,0,更清晰地听懂老师的声音
冥王星,NaN,2008-07-14 20:45:34,0,据说是一个古早的小样
大茶,5,2008-10-06 20:39:38,0,大爱的歌者~
fake,5,2011-07-01 09:23:49,0,cheer。
夏小C,NaN,2008-12-29 23:33:58,0,在我残破的天空之上
遲,4,2008-07-16 11:49:21,0,感觉没录好，还是喜欢现场版。
大兒童,5,2009-04-04 21:58:49,0,女神
狷介有乌青,4,2008-07-17 20:26:34,0,每次听老师的音乐，都很踏实
昵称已被占用,4,2008-08-06 02:26:43,0,还是老师的声音听起来比较习惯
mono,4,2008-09-08 17:56:29,0,终于听清歌词
小檠的罗宾熊,5,2010-11-02 10:39:30,0,献给所有自觉不被拥抱的人、失去归所的人、脚踏实地却也渴望飞的人。——润湿心底的cheer。
劉咳暝,5,2008-12-31 20:38:30,0,让我为你飞翔，在你残破的天空之上。
织毛衣的奥李,5,2011-02-06 17:23:03,0,最早听的这个爱上陈
Felix,2,2008-07-30 01:20:33,0,陈绮贞失败者的飞翔cheer
糖,3,2008-09-06 13:34:40,0,orz啊洒狗血
psy,3,2008-08-22 15:05:09,0,少点感觉
阮免了,4,2010-06-17 18:06:01,0,还是喜欢LIVE版更多些
小天,NaN,2008-08-16 01:56:57,0,嗲女贞子最新EP
小鱼走失1890,5,2015-07-05 00:56:42,0,陈老师Top1，不过这首EP没有太阳里那首好，特别是那段贝斯+提琴。
Shining,4,2008-09-13 21:08:10,0,失败后，还有勇气继续飞翔吗
C!n,5,2008-07-13 01:33:53,1,这首歌词就像为这个深夜准备的。
小栗子,NaN,2008-07-16 19:42:43,0,喜欢这首歌很久很久现在竟然出单曲了真奇妙
鱼也不明白,5,2008-08-22 13:26:23,0,最爱。
"Camellia,S",5,2008-07-28 13:16:48,0,那么久没有听到她的声音小小地打动了
zooeyyyyyy,5,2008-08-22 00:30:55,0,喜欢歌词......
十一楼上望青轰,4,2008-09-03 10:08:46,0,手风琴给人温暖。给孤独者拥抱
Danso旦,5,2010-04-13 12:43:42,0,陪伴我度過那個冬天的一首歌
lemonsino,3,2008-07-20 03:02:09,0,越来越……high不起来了
marill,4,2008-08-18 19:00:15,0,恩
xx@百年孤独,4,2009-01-16 09:59:42,0,肩并肩的飞翔
大可不必先生,3,2008-07-17 14:19:45,0,这次没有什么特别的。。。
橋,5,2009-01-17 23:21:42,0,细细去想会觉得很有道理。
TORO VAN DARKO,4,2008-07-20 19:15:53,0,只是简单的好好听...
无常,4,2008-08-25 13:56:39,0,想不到小陈和我会的乐器是一样的。。。
Kerry™,4,2013-01-26 23:13:02,0,其实还挺好听的。
蓝小木,3,2008-07-26 12:20:53,0,“我不喜欢失败者的飞翔但是我喜欢你伸出的手”
月滴飴,NaN,2009-03-24 08:51:17,0,起初词是不大懂的。
靴子,4,2008-07-15 22:59:57,0,喜欢这个名字，只要有梦想，无论成功或是失败，一定会飞翔在辽阔的天际间。。。
小羊苏西,5,2008-08-18 13:53:02,0,或许她已经不算小众了吧。
