user_name,star,comment_time,vote,short
泪小鱼|念。,4,2007-11-01 20:15:16,334,我始终不觉得他愤世嫉俗，大孩子似的。腼腆，天真，纯朴，有点不安，但是又坚定的想告诉你些什么。他看见了太多想说的太多，所以他忧伤。
尉迟,5,2008-08-04 23:14:14,245,你不是诗人谁是诗人。
索君,5,2012-10-06 13:46:16,151,张楚绝对是中国摇滚最具想象力的作词，即使现在翻出来也赞叹他独有的气质。
翻滚吧！蛋堡,5,2015-03-16 12:01:07,41,我说我爱你，你就满足了；我搂着你，你就觉得安详
眠去,5,2007-08-24 15:10:10,39,上苍保佑吃饱了饭的人民
Song³,5,2008-01-10 16:29:43,17,爱情多说无益
令糊葱,5,2008-03-14 01:23:39,23,这是一个恋爱的季节。
津五渡,5,2019-04-24 00:08:21,8,魔岩三杰最爱张楚，歌词兼具诗意和地气，曲子旋律是最好听的，所以只有他至今还有创作力，不只在那个时代弄潮。《孤独的人是可耻的》是我多年的彩铃，亲切，《上天保佑吃了饭的人民》《蚂蚁蚂蚁》《冷暖自知》《和大伙去乘凉》《赵小姐》《爱情》……喜爱张楚这个有赤子之心的人。
blackstar,5,2009-08-31 17:58:06,26,我认为中国摇滚没法超越的作品，张楚自身也不能。
苏格,4,2006-11-11 16:27:17,30,你说这城市很脏，我觉得你很有思想
何牧歌,5,2011-11-16 19:12:27,13,中国摇滚史上少数几张能和老崔、beyond的社会批判思考等级相当的专辑。《姐姐》这样的经典之作可一不可再。
光年‖影视歌三栖民工,4,2010-01-05 13:28:44,12,原来印象深刻的歌叫蚂蚁蚂蚁
Rhinover,5,2009-03-30 16:59:26,11,我真的觉得你很有思想
Parachute.cpp,5,2014-04-03 23:03:23,18,这几张人文关怀太足了，一代人的声音...毫无疑问地，比何勇好，某种意义上也比崔健更好
Hey Johnny,5,2012-04-07 23:42:59,11,……刚好这时候你没有什么主张／刚好这时候你还正喜欢幻想／刚好这时候我还有一点主张／我想找个人一起幻想／我说我爱你你就满足了／你搂着我我就很安详／你说这城市很脏我觉得你挺有思想／你说我们的爱情不朽我看着你就信了／我躺在我们的床上床单很白／我看见我们的城市城市很脏／我想着我们的爱情它不朽它上面的灰尘一定会很厚……《爱情》
DeerColin,5,2015-07-11 23:41:40,4,既可以严肃的如同【上苍保佑吃完了饭的人民】，也可以可爱的如同【蚂蚁蚂蚁】，这就是张楚。“姑娘，不该是肥皂”，多么有意思的一句话。没有一个人念口白能像他一样让我喜欢！『爱情』
Summer孙夏天,3,2011-07-11 11:11:23,3,首先，我不觉得孤独的人是可耻的可以么。歌的部分的话，不是我太喜欢的类型，就这样。
Mignon松弛地,NaN,2006-11-19 15:45:34,2,实碜的爱情
英恩,4,2010-12-17 19:11:16,6,我努力想追求正确的生活，实际上却一心向往有趣的生活
ztlpoppy,5,2008-08-29 22:16:17,2,我怎么会忘了藏呢。他喜欢。他常念叨歌名
刀叢中的小詩,5,2008-04-05 08:14:59,6,我的名字叫《苍蝇》，我的兄弟叫《蚂蚁蚂蚁》，我的女神叫《赵小姐》，我觉得《孤独的人是可耻的》，等待着《上苍保佑吃完了饭的人民》，收获着《爱情》却又被爱情俘获，我想《和大伙儿去乘凉》，最后却《冷暖自知》，找到《厕所和床》，幻想着一条属于自己的《光明大道》。
基一凹,5,2013-04-15 20:45:07,4,我想我也应该很善良
virgin,5,2008-03-05 11:57:56,1,只用耳朵去享受吧我不说废话了!(3)哼哼:)。。
Ridden,5,2008-12-03 23:27:04,1,爱情。
♬ CaR,4,2011-07-04 21:38:36,0,是这样的吧。
Enjoy🌈Rachel,4,2012-05-16 18:09:32,0,感觉太伤感了不太喜欢呢
≌菩提风花,5,2010-09-24 21:56:24,1,ICHLIEBEDICH.
易召,5,2007-12-11 19:55:14,0,是真心爱它的私人，ps：没有六星么
týr,5,2010-05-24 03:50:41,1,爱情
Topfun,5,2012-02-24 00:43:10,0,Foreveralone
佐罗大王🌸,5,2010-11-14 14:08:53,0,想到六年级的时候
梅生,5,2005-12-02 11:01:34,2,曾想做一个题为“厕所和床”的摄影展出，照片拍了好多后，觉得垃圾极了，放弃。张楚是诗人，不多说了。
象,5,2008-08-23 10:29:52,0,生存，游荡，你搂着我，我就很安详
Luffyjun,4,2016-01-28 15:20:15,0,魔岩三杰来一发~~那个年代根本没听过嘛~据说张楚是最孤独的歌手~
psy,5,2012-03-03 15:09:57,4,每次听，都会想，这才是我，才是我们，我们的本质，永远留在90年代了。
草原上的咩咩羊,4,2011-12-11 15:43:18,2,孤独的人不可耻，可耻的是我们不甘于孤独的那颗心。
高歌,5,2014-06-07 22:31:39,0,其实是跟人组乐队才开始听的
赞成的巨兽,5,2012-03-10 12:14:18,4,交换孤独，互通有无。
打脱手,5,2011-01-15 13:20:03,4,梁龙说柯特·科本的声音听着让人很心疼。其实张楚也是啊
团小纸,4,2015-04-30 09:39:40,0,虽然…但是……我还是听不了
姚大傻咖咖,1,2009-02-11 16:30:57,0,很雷~
收音鸡·耳東,5,2012-03-24 16:39:00,2,已收首版CD:)~~
神秘金针菇,4,2010-08-30 14:30:11,0,调侃，批判兼而有之
一了,5,2007-03-01 01:40:09,0,就是喜欢
大漁,4,2009-10-04 23:36:24,0,我是可耻的
aodi213,5,2011-01-08 17:18:32,5,没听过这张艺术品，抑或听了不打五星的人，是可耻的。可耻的人反对五星，反对无聊，只剩美丽的谎言在风中枯萎（渐渐淡去的小提琴SOLO....）
謝爾·愛睡覺,5,2010-03-07 19:02:33,1,蚂蚁蚂蚁蚂蚁蚂蚁没问题
猫不然,5,2011-11-30 11:44:47,2,我说我爱你　你就满足了　你搂着我　我就很安详你说这个城市很脏　我觉得你挺有思想你说我们的爱情不朽　我看着你　就信了我躺在我们的床上　床单很白我看见我们的城市　城市很脏我想着我们的爱情　它不朽　它上面的灰尘一定会很厚
风撼斜阳,5,2010-07-25 01:57:38,2,要是上苍真能保佑吃完了饭的人民就好了
遲,5,2007-07-25 17:21:04,2,我最喜欢的两张国内摇滚专辑之一，另一张是《我去2000年》。
肥利普先生,4,2013-04-02 01:05:05,3,四星半。比起窦唯何勇，他显得低调与默默无闻。他的音乐很难让你一听倾心，但给他一些时间，他一定能唤醒你内心的记忆，触及内心深处的角落。这是寂寞、孤独、隐忍带来的力量。
元気一杯咪噶酱,4,2010-11-22 19:25:48,0,有时我想，其实音乐说到底都是一样，就是表现形式不同而已。
Illusion,3,2008-04-08 09:03:14,0,虽然不对我的胃，歌词可以咀嚼一下
新竹,5,2012-06-03 06:13:30,1,太喜歡了，這張！
FaKer,5,2012-06-07 06:59:35,1,孤独只因内心还不够强大
放开那个西红柿,5,2010-04-21 14:19:12,1,那个调子很有意思，最后很喜欢。
haidb,4,2008-12-07 10:42:34,0,还不错，比较喜欢孤独的人是可耻的和蚂蚁蚂蚁两首
铎奇,3,2010-09-03 15:21:41,0,年轻的时候长相还不错确实。
不如的我的,5,2006-08-09 15:14:28,0,生命的悲凉
掩杀,NaN,2006-03-28 01:05:33,1,喜欢《上苍保佑吃完了饭的人民》和《爱情》
傅善行,5,2007-11-01 02:54:57,1,西安的人民歌者。
BiuBiu,5,2010-01-01 16:24:56,0,好到一定境界了
biiru_u✨,4,2007-12-02 15:23:05,0,蚂蚁蚂蚁
绵羊头,4,2008-05-25 20:48:28,0,蚂蚁，哦，蚂蚁兄弟
郭七七,5,2019-03-20 10:36:00,2,姑娘不该是肥皂哇，可爱。
听临,4,2009-04-13 19:41:45,0,孤独的人是可以吃的，蚂蚁，蚂蚁，爱情的大腿。
昏睡的哦莫纳,5,2010-05-11 17:44:14,0,Everybodymaychange，Sohowcanyousayforever.
zk,5,2011-04-07 21:35:18,0,经典
知常,5,2009-09-30 02:21:54,0,可耻
.od.,4,2009-03-18 14:03:01,1,爱情
Vince♫,NaN,2011-05-14 21:52:15,0,孤独的人是可耻的
会打字的跳舞机,5,2010-06-13 15:19:44,1,无比苍凉无比质朴。虽然这两个词都被用滥。
索总，,4,2019-02-03 19:29:17,0,Chinaindie☞1994
ヽ 丶詸゜,5,2008-06-16 12:37:32,0,好样的，张楚!
滚石,5,2010-11-10 16:17:22,0,如秋天般干燥感性
笪笪,4,2014-04-24 18:37:07,1,蚂蚁蚂蚁蚂蚁蚂蚁，修长的大腿。
everythinbagel,5,2012-02-04 11:49:19,0,孤独的人是可耻的
