user_name,star,comment_time,vote,short
V.Dunham,5,2017-12-06 22:41:13,112,她曾经也有机会跳脱出成为僵化青春标本的宿命。这些百花齐放的独立气质作品捕捉到了她声线中最爽脆的部分，格局非常具纵深，不再流于迂腐的芭乐，连抒情part（心愿、明天晴天）也做出了深邃感，那头红发也是可一不可再了。可惜这次滑铁卢让她彻底丧失了蜕变的可能性，华语音乐市场真的很无情。
Bill,5,2009-05-06 23:25:08,63,歌后就应该是这个样子的！
伊豆,5,2008-01-17 00:41:31,60,很爱染红了头发的stefanie，像个落入凡间的精灵
tlmgt,5,2011-06-07 01:01:15,36,眼泪成诗隐形人。
锐利修蕊,4,2010-02-25 23:06:11,18,我要一所大房子
33迟来_小小岛,5,2011-08-24 23:43:41,10,当初觉得这张首首好听
DeerColin,5,2012-10-14 16:46:54,13,这张是我最喜欢的专辑，抒情歌曲《明天晴天》是首慢热歌，但绝对有力度！《眼泪成诗》《隐形人》两首大悲大恸的歌曲非常抓耳，词也揪心呐。《流浪地图》绝对算是高品质的洗脑歌，《第一天》是KTV带动气氛的最好选择！《HoneyHoney》这样的甜美作品较少见，翻唱曲《心愿》也算有味道！
离净语,3,2007-11-25 00:45:50,1,没什么感觉了。
泪小鱼|念。,4,2006-10-02 10:47:52,8,她的声音里有阳光
L I M O,5,2007-06-25 10:43:23,3,我要一所大房子。
不宁,4,2008-10-04 00:22:35,4,不知道为什么，我不是很喜欢这张。
小狐狸BOBO,3,2005-10-18 12:53:21,3,巅峰之后的突破，有保留，有前进，燕姿有无限的可能吧？！
莊小壞,5,2009-03-21 21:54:45,4,4.7－－－第九張。卻是最喜歡的之一。
丶,3,2011-12-09 12:36:17,1,第一天让我看到了不一样的燕姿。
zard砸得王大崩,4,2006-12-14 15:53:22,2,其实你能听到的是成长。喜欢这张专辑拍的照片
夏日扬帆,5,2009-07-28 16:29:18,4,虽然很多人不喜欢，我是觉得真的挺好听的[第一天、眼泪成诗]
香水瓶,4,2006-04-15 16:02:52,2,还不错，有几首歌很好听。
十六。,4,2012-04-27 21:15:40,2,眼泪成诗。
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,NaN,2009-04-27 19:35:14,1,嗯，梦不落呃。
with,4,2008-07-24 21:29:05,3,从这张开始，我觉得燕姿在退步
亞麻君,5,2009-05-05 18:19:44,3,honeyhoney~~~
三四,4,2008-09-21 17:02:10,3,另一张脸
半个柿子,5,2013-06-04 09:41:29,3,那些时光贰
Luffyjun,3,2011-02-16 14:40:10,1,可是她去哪了。。最后一次是在世博会的新加坡馆看的她和阿杜他们一个短的音乐剧。。
Claire,4,2011-12-17 13:21:43,2,【眼泪成诗】【隐形人】【明天晴天】
KeneL裤头,3,2006-09-13 21:40:08,1,听过去没有大多感觉，唯一有惊喜的是心愿这首歌，前奏和主歌部分感觉很好，但副歌部分有些平淡
鸭酱,5,2012-03-26 21:47:35,2,真心很好听啊，我说比《是时候》好听会不会显得不够高贵冷艳？
三斤,4,2006-05-12 21:17:37,1,好！
不擅长,5,2007-10-09 17:32:16,1,8http://www.xiami.com/album/11658
肉汤拌饭吃八碗,5,2010-11-10 22:30:08,1,这张造型太漂亮了><
钟,5,2009-09-23 10:22:41,2,越来越女人了她。
书庭,4,2007-02-22 23:25:18,1,思思送的~
Wander-Lust,4,2011-05-06 20:39:53,1,第一天多听几遍就腻了。眼泪成诗还不错。完美一天歌意境不错，但是首烂歌。
薇羅尼卡,4,2005-12-07 12:35:29,1,还不错，大致一听，需要再听
徐大阳,3,2010-04-22 16:46:35,1,第一天Honey
妈妈我想吃肉,5,2007-10-24 19:00:46,1,完美的一天
你别偷我鱼啊,3,2010-09-09 13:00:38,1,另一张脸...
A-sun*,5,2007-10-25 06:11:28,1,孙燕姿
≌菩提风花,3,2007-04-02 14:45:12,1,这张是我比较不喜欢的...
🌟亚树🌟,4,2006-03-15 00:06:38,1,第一天隐形人
給料泥棒,4,2010-02-12 09:18:03,1,另一张脸第一天
捡垃圾的提莫,3,2007-11-11 13:43:06,1,这张碟我弄丢了
kingfish,5,2006-03-23 10:42:57,1,可爱清新，一如当年.
上野千驴子,4,2008-07-03 15:59:45,1,非主打比较出彩～至于主打，那是啥？
小象。,NaN,2010-06-12 22:12:49,1,我想说我很喜欢她当时的头发和雨鞋=-=
tavico,4,2010-08-19 21:01:56,1,7/103.5星比较准确，《完美的一天》这个歌是突破，其他麻麻，《眼泪成诗》整个太做作
Piggest,NaN,2005-10-21 23:54:47,1,《另一张脸》很耐听
LORENZO 洛伦佐,4,2010-05-03 14:41:47,2,《隐形人》《梦不落》
巴  士,4,2013-07-31 18:47:03,1,当年觉得多难听的一张啊现在听来却好夏天好舒服
Memento Mori,3,2009-12-03 11:34:03,0,那天她唱的无忧无虑。
朱朱朱古力♥,4,2011-04-28 23:14:57,0,隐形人；眼泪成诗
杨山魈,4,2010-08-10 12:41:55,0,个人感觉孙燕姿一向是歌比音乐好...不过完美的一天这歌很棒
不如的我的,3,2006-08-02 22:49:38,0,我喜欢的，可惜销量不好
艾桑,2,2006-05-08 20:39:47,1,没听头
雨夜飞行,5,2013-02-23 22:28:11,0,我有正版磁带以及预售送的书签和明信片！最爱《隐形人》和《心愿》
南风🌈,5,2019-05-09 22:15:53,6,向独立音乐伸出橄榄枝的结果是，孙燕姿探触到了她声音中最有韧性又crystalline的那一部分。不是现在乐坛泛滥的性冷淡女声+装神弄鬼合成器，而是蓝天白云与都市生活切片标本。
[已注销],3,2011-03-19 13:50:39,0,完美的一天+HoneyHoney
邪念,4,2012-05-21 10:13:24,0,flop之二
功夫兔子,5,2009-08-20 22:16:08,0,谁说燕姿的这张专辑做的不好啊！
Gavin|江湖骗子,4,2010-01-21 16:42:56,0,隐形人
你是桌子我是布,5,2011-01-16 20:59:35,0,至少我觉得很完美
ヽ 丶詸゜,5,2008-07-11 13:33:07,0,梦不落
痴人,4,2007-11-20 22:39:54,0,高三。明天晴天。
靠谱青年™🌈,4,2010-01-23 02:39:53,0,忽略的一张
zhangxunnj,4,2009-08-18 05:19:48,0,honeyhoney
Illusion·L,5,2014-10-01 13:12:43,0,尽管很多人评价不高，但是很爱这张专辑。夜晚跟老爸开车去打球的路上，记忆很美好。
HaGaU,4,2009-12-25 13:53:06,0,honeyhoney
斯 琰 🌈 🍭,5,2012-04-03 18:20:12,0,遇见你的声音是我完美的一天
石白,5,2007-06-02 10:59:59,0,完美的一天。随性的声音。
