user_name,star,comment_time,vote,short
鸭酱,5,2010-08-14 17:39:15,19,蒸的很慢热的专辑！！！！！但是灰常好听
Doublebitch,4,2010-07-16 22:52:55,11,诚意十足难得佳作
城南草木生,3,2010-09-01 14:49:44,5,年年都一样，莫文蔚音域太有限了
Bill,5,2010-09-09 10:09:07,1,又开始甜了
Claire,4,2010-07-30 23:27:13,4,宝贝，艾美丽爱美丽，洗澡时唱的歌，完美孤独，执子之手
固力果guriko,4,2010-08-09 17:16:06,1,宝贝你去了另一个境界我仿佛看到彼岸花开
nancy527,3,2010-07-15 19:59:01,1,这张专辑的亮点是：艾美丽爱美丽。其它，真的只是还好
○Ⅴ○,4,2010-08-03 21:27:52,1,盛夏的果实那种高档次的爱情观是找不到了。但是有完美孤独这种让人听了心甘情愿耳朵长茧的作品也够了。整体也不错。
锐利修蕊,4,2010-12-24 21:17:05,3,如果能从来一次，我会不会牵你的手，与你偕老？
丶,4,2011-12-20 22:48:34,3,我在恍惚间似乎又听到那个曾经的莫文蔚。一点点的安静，一点点的寂寞，一点点的动人。
tlmgt,4,2011-05-19 13:53:15,2,完美孤独，洗澡时唱的歌，还有香港版那三首。
叶酱,4,2010-07-12 23:21:52,1,中规中矩，好在你的声音不变
1806,3,2010-07-09 23:36:11,2,张亚东彻底改变他了
半袖,2,2011-01-18 11:49:13,1,你的個性去哪裡了？
Marvin,3,2010-07-10 17:09:54,1,不给力啊……有没有更活泼一点儿的歌？
Jr.Pimp,3,2010-08-12 02:40:48,1,不能说Karen这张专辑水平在退步只是没发挥出她的特点艾美丽爱美丽不错
L I M O,4,2010-07-10 16:10:44,0,寶貝再見。
白色的蓝,4,2010-07-09 10:05:59,0,超赞
深津奈留,2,2011-03-31 22:34:50,1,很失望。她始终再超越不了她的滚石时代，唱功依旧然而技巧太过，失掉了直指人心的锐气，也失掉了她的独特性。另，完美孤独一听就知道是林夕的词。
朴九月,3,2010-07-16 20:38:43,0,http://www.1ting.com/album/d9/album_46536.html
Song³,4,2010-07-11 12:04:08,0,http://ent.qq.com/a/20110619/000037.htm
車,2,2010-07-10 11:31:18,1,音乐后期像没做一样本身歌曲都算可以封面上的karen更像是p在背景上的所以给两星吧与期待差别太大不知道这次是不是因为环球想省钱
肉卷卷又称肉卷,5,2010-08-07 21:06:44,1,不知从哪天开始，不知到哪一天止
Dululu,5,2010-07-22 23:57:53,0,T_____T好爱你。。。
zard砸得王大崩,4,2010-08-24 13:36:49,0,好听的歌，简单的快乐
五摆五折,3,2010-11-05 14:38:26,0,品质尚可
猫打喷嚏,3,2010-10-03 01:07:33,0,我说我只喜欢第一首行么？
凹凸代餐,5,2011-06-20 22:46:05,0,每次金曲歌后都是上年没能完整听完的00和以前的莫文蔚完全不同的一张莫文蔚
口袋_肥力士,5,2010-08-12 18:13:02,0,真好听，她还是唱这种风格最对味
YoyoRan,4,2010-07-27 16:33:43,0,完美孤独
少年夏不安,4,2010-08-08 08:32:12,0,这张好像不太给力啊~
長閑,4,2010-10-28 20:10:55,0,慵懒美丽
DeerColin,5,2013-06-15 19:12:38,0,如此温暖的莫文蔚，再治愈不过的正能量！创作模式开启，平淡旋律下最动人的莫式情怀！好爱你莫莫~~~（香港版多三首歌呦）
焉师傅,3,2011-01-28 18:18:15,0,莫文蔚是一个即使歌不好听也能唱得好听的歌手~
肥匪廢·老🐰,4,2010-07-31 13:24:34,0,同名主打歌不错~
thundercat,3,2010-10-05 23:53:12,0,磨平棱角与光辉的莫文蔚，然后她成为了金曲歌后。
易召,4,2010-07-10 17:36:30,0,完美孤独
李念河重出江湖,4,2010-09-18 00:23:48,0,你的歌就是要一个人听。在一个好天气躺在屋顶的草地上，沐浴暖暖的阳光，戴着耳机一个人静静的听。低吟浅唱。最动人。
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,3,2010-08-14 21:26:50,0,还挺不错的
小葱来玩儿,4,2010-07-09 19:11:52,0,好甜蜜啊哎呦喂，是张亚东的缘故吗。。
苏束数蜀黍,4,2010-07-21 08:49:49,0,好专辑
小M,4,2010-07-11 22:48:23,0,莫小姐有让人安静的本领
香蕉和芭乐,4,2013-01-11 11:22:28,1,看地心引力，最后一个故事，看哭了，《宝贝》作为插曲，出彩极了
莊小壞,3,2010-08-15 00:01:04,0,3－－－你很美。
zitsunari,4,2010-07-11 13:02:53,0,执子之手
飞老湿,4,2010-06-25 05:43:35,0,好好听！
椒图,3,2010-08-20 21:29:13,0,同名曲还好。
石小po,2,2010-08-07 18:04:24,0,我不懂欣赏，我听不进去这样的歌儿
大头绿豆,3,2010-07-14 13:07:02,0,只有「艾米丽爱美丽」和「完美孤独」是原先熟悉和喜欢的感脚。「洗澡时唱的歌」和「执子之手」，辨识度有点太低。
夏日良人°,4,2010-08-19 13:59:06,0,<完美孤独>
乐化天,5,2010-07-13 21:13:25,0,《宝贝》莫非是莫文蔚写给自己孩子的？绯闻有待追究！！当然这首歌很强大很好听！
mosquito惟,3,2010-08-11 15:40:49,0,特意去听了下，感觉没有特别抓耳朵的歌。淡淡的味道还是不错的。
