user_name,star,comment_time,vote,short
何牧歌,5,2012-03-29 13:18:55,593,《寒武纪》出生、《新房客》成长、《香奈儿》入世、《阿修罗》执迷、《彼岸花》往生。关于人与宇宙的寓言五部曲，给王菲非常完美，让很多乐迷普渡，因为她够影响力，看看同样林夕给麦浚龙的生死三部曲就没人知道了。遗憾：后面七首歌压根不该出现在这张专辑。
Bill,5,2008-03-01 22:06:51,399,现在体会到为什么这张如此前卫的专辑能够得到如此多的褒赞与推崇了编曲和声音配合得异常出色整张专辑在一种寒冷的氛围中层层铺开让人欲罢不能绝对是一张对得起自己耳朵的好专辑
潋 | Béatrice,5,2009-04-03 13:15:00,414,所谓实力，所谓灵气，所谓才华，所谓悟性，所谓创意，所谓王菲，所谓音乐
熊生海海蔫蔫地,5,2012-08-08 11:25:47,323,跟听场电影似的
塘坑一姐小渡边,5,2013-11-18 21:41:51,146,王菲作曲的《寓言》五部曲讲的没一个好东西。《寒武纪》的三叶虫在冰天雪地里孤独的爬行，《新房客》来去匆匆，聚散无缘，《香奈儿》花心多变，只要有钱就能拥有他，《阿修罗》毁灭欲极强，执迷不悟，《彼岸花》又是盛开在遥不可及的彼岸，未来渺茫。
雨摇,5,2013-08-13 23:08:00,114,前五首的牛逼程度真特么令人瞠目，真忍不住又拿出来听。据我所知，关于前5首的创作，是张亚东、王菲两人一起，张弹键盘，王在张的演奏中通过即兴状态下完成的。所以旋律本身就和编曲浑然一体，成为了完整的音乐。这不是流行音乐的创作模式，但却有流行音乐最崇尚的演唱技巧。还能说什么呢？
泪小鱼|念。,5,2007-11-01 20:35:01,91,迷离声音，幻花丛生。
DeerColin,5,2013-07-07 12:14:46,68,王菲的《寓言》和《浮躁》都是相当厉害的专辑，但倘若非得分个伯仲，我觉得《浮躁》更能代表王菲，王菲也不止一次地表示自己最喜爱的专辑就是《浮躁》。回到《寓言》，专辑的编曲可以说是统一到极致，绝美又有些压抑的旋律，潜藏着腐蚀人心的力量！
清弥,5,2013-01-12 14:24:42,53,“白天打扫晚上祈祷”｜“一切很好不缺烦恼”
V.Dunham,3,2015-02-28 00:24:51,44,苍白无力，单薄乏味，林夕的一场华丽自渎。
城南草木生,4,2007-12-14 19:59:03,25,完全是一张无序播放
JulyChan,5,2008-03-21 01:34:53,43,奇诡而幻美，关于前世今生，宿命暗示，哀艳战火，关于天荒地老的寒武纪，善妒好斗的阿修罗，开到荼蘼花事了。
火龙果不耐受者,5,2007-10-18 19:44:52,53,如果出mini专，只收前五首，那么，传奇见证！
苏格,NaN,2006-11-09 18:06:49,13,概念概念
