user_name,star,comment_time,vote,short
安东妮,4,2006-02-14 21:19:30,361,歌声好快乐那歌手结婚了
Major Tom,5,2020-07-17 10:57:43,228,我觉得将爱完全被大家低估了，除了封面丑了点，其他的完美，特别耐听
哪吒男,4,2013-10-24 19:45:18,163,从气势如虹的爱的宣言开始，到最后仍不过是爱无永恒爱不持久的唏嘘。一鼓作气，再而衰，三而竭。“将爱进行到底”有时，“情歌为何沦为情歌”有时。这就是王菲的爱情观。
川总,5,2010-09-30 20:49:17,160,我把身体给了你，心却给了他
JulyChan,5,2008-03-21 01:36:32,136,你一路隐退到底，我仍将爱进行到底。
Bill,5,2007-09-28 20:28:38,47,歌名极具突破性的一张大碟天后最后的道别初听之后心潮澎湃将爱旋木不留空城美错
丶,5,2011-12-10 10:58:51,31,我听过的王菲专辑不多，大多都是零零碎碎的热门单曲。这张是唯一一张听过完整的专辑。初听的时候，觉得这张专辑有点过于绝望；再听的时候，又感觉很眩晕；三听的时候，好似那种哀伤到麻木。主打歌将爱的确很恢弘，气场很足。旋木不用多说。很多年后的今天，我再听，再想，再感知，我只能说我听到了人生若只如初见。
Song³,4,2007-10-17 14:12:13,14,第十五届金曲奖最佳国语女歌手//不留！/美错/旋木/乘客
香水瓶,5,2006-05-19 18:26:57,15,将爱进行到底轰轰烈烈风风火火真不希望这张专辑是王菲的绝唱！
苏格,NaN,2006-11-09 18:06:22,15,这张陪了我最穷困潦倒的时光啊，别人的walkman，别人的卡带，每天跟着我叛逆的翘课，聊赖的晃荡啊
就叫我荣,4,2008-02-18 21:24:51,9,里面有首谢霆锋写的歌。纪念。
锐利修蕊,5,2011-07-09 22:56:04,8,最喜欢找出来听的一张，词却不是最喜欢的。
猫打喷嚏,3,2010-04-27 19:41:22,2,对天后我始终谨慎地给3星
何,5,2006-05-15 00:49:11,8,有点难过，王菲其实还可以再经典一些
倉鼠,4,2012-05-26 17:06:48,11,王菲的歌名真的很爱被人拿到做小说题目，王菲的专辑总是有弦乐和一点点异域风，王菲的歌里总有几首歌词十分清淡写意。
何牧歌,3,2012-10-23 10:01:54,12,情歌，为何沦为情歌。
五月微蓝,NaN,2007-12-17 17:55:43,4,这个名叫王菲的女子。她歌唱，我们聆听。
停用豆瓣勿cue,4,2011-11-10 21:58:41,1,「空城」「乘客」「旋木」「四月雪」「MV」
眼角的花朵,4,2008-03-06 19:44:51,4,标志性的人和音乐
塘坑一姐小渡边,4,2017-11-04 17:10:17,12,《将爱》时期的电子音乐风格成熟，其中不乏动感的Trip-Hop、慵懒的Chill-Out、迷幻电子舞曲、拉丁/印度WorldMusic，很多实验主义的倾向，整体感觉是冷僻、另类的。2003年与之媲美的只有黄耀明《我的廿一世纪》和周杰伦《叶惠美》。王菲在新专辑《将爱》里亲自填词作曲：《将爱》、《阳宝》、《不留》，包括《四月雪》的作曲。服装穿的是Rochas
薇羅尼卡,5,2006-03-22 22:35:05,6,很不错，等待了三年，大姐还是不出新专辑
Kreuzberg,5,2010-11-02 19:27:48,1,我六年级买的这张专辑。
ztlpoppy,5,2009-03-15 15:17:55,2,最后一张专辑那么多值得纪念的好歌
≌菩提风花,4,2007-04-06 19:43:28,1,ORZ...
烟,5,2013-04-25 18:47:12,4,不管你們怎麼看，我就是腦殘粉了我
Dr. Tardis,4,2008-05-26 05:15:33,7,阳宝基本是一个瑞典流行
