user_name,star,comment_time,vote,short
范困,NaN,2008-06-14 14:48:15,126,那个下暴雨的夜晚，你发来信息，要我听小情歌。
MeetMeinaMaze,4,2020-03-19 12:22:25,17,比第一张更摇滚，文本相应棱角分明起来，释放流行潜力的部分也不流俗。整张专辑都被下雨的意象牵连起来，对照其中的宣泄氛围，连同听觉体验上的“拥挤”效果，也是意外的别致
Song³,4,2008-10-07 20:54:46,47,最rock的一张
Claire,4,2006-11-17 13:42:14,14,【小情歌】【被雨困住的城市】【背着你】
tlmgt,4,2011-11-06 05:16:10,8,被雨困住的城市。
瓜。相信这个世界很变态。,1,2008-08-10 00:01:17,2,听了<小情歌>后，从此anti苏打绿.
L I M O,5,2007-01-12 13:20:44,2,屬于我的小宇宙。
夏日扬帆,4,2014-04-13 22:34:47,5,这张苏打绿的独立气息还是很明显的，所以就确实最爱小情歌
倉鼠,4,2010-12-31 20:53:39,2,当初的惊艳如今似乎已消失不见
jellyfish,4,2006-11-04 15:41:26,1,不辜负我们的等待啊
Samuca,5,2010-05-26 23:01:06,3,有十星的话我会给满十星。
丶,4,2011-11-28 20:08:16,0,成名作。
zard砸得王大崩,5,2006-12-14 15:38:22,0,我的小宇宙
不良生,5,2008-06-08 00:08:17,0,我被电到了。
MochaTong,4,2006-11-08 16:19:33,0,sososowonderful
DeerColin,4,2013-09-21 14:43:14,0,好悦耳的歌！
肥匪廢·老🐰,2,2009-11-28 00:16:24,2,好妖娆的声音……
小魔@优雅穿梭,4,2010-01-04 19:05:40,3,青峰你和安浦好吧！
赖小敏-🐳🦌,NaN,2007-12-13 17:22:04,0,买到了
狮子人,5,2007-01-20 19:16:41,0,很赞的专辑。值得一听再听。
伊豆,5,2008-08-22 14:27:16,0,小宇宙无比强大，不光指这首歌还指这个乐团。
斯 琰 🌈 🍭,5,2012-04-22 11:59:06,2,我爱你，我们住在我们的小宇宙里
不万能青年,5,2012-06-18 18:41:18,1,被雨困住的城市，有你弹着吉他陪我。
Luffyjun,4,2012-07-22 18:06:37,1,好早之前听的啊就记住两首《小情歌》《无与伦比的美丽》。。不辨雌雄的声音啊。。。。
Ex,4,2006-11-19 05:00:33,0,舒服!!!
Miss Lucky,4,2006-12-28 13:30:42,1,小宇宙，小情歌
老楠,5,2009-04-25 17:04:26,0,确实是好听呀。
席德,2,2008-04-30 09:48:51,0,蛮悅耳的哦......
不擅长,4,2007-10-12 15:42:03,0,http://www.xiami.com/album/15379
肉汤拌饭吃八碗,5,2010-11-10 22:31:19,0,我妈可喜欢小宇宙！
Jezz,5,2006-10-21 17:02:40,1,我想我很适合，当一个歌颂者，青春在风中飘着...
essence.c,3,2014-07-11 09:16:03,1,【小情歌】【背着你】
小岩菽,5,2007-07-10 16:52:50,1,轻微。膨胀。爆裂。
Halah,4,2006-10-24 15:56:16,0,小情歌太好听了◎！！
DrunkFox,NaN,2008-04-25 22:50:15,0,我喜欢便宜又好听又好看的
亞麻君,4,2009-04-06 00:47:16,0,這張專輯聽得不多，幾首喜歡的足以真名是張很Nice的專輯
薇羅尼卡,4,2006-10-26 00:21:47,0,喜欢小情歌
赞成的巨兽,5,2013-04-22 01:29:04,0,你知道，就算大禹让整个城市电到，我爷不会奔跑
呓语流年～小文,5,2011-12-18 01:02:43,0,这是一首简单的小情歌
黏黏雲端,4,2023-07-27 00:28:02,0,当小清新这三个字经过追捧和鄙夷之后的十多年后我才认真去听
木木龙,4,2007-09-04 09:56:42,0,属于我们的小情歌...
神山樹,4,2011-11-22 13:20:21,0,爱的离骚
Белка,4,2007-12-17 20:32:22,0,除了小情歌等几首都不太喜欢
日烟火,5,2008-09-22 19:18:20,0,四星。然后因为我在高三糟蹋了一整年，加一星。
biiru_u✨,NaN,2007-05-28 12:59:04,0,跟林一峰相似的声音
momo,5,2009-05-07 23:57:07,0,永远的小情歌
五月微蓝,5,2009-04-11 13:04:28,0,青峰的声音有种飘忽不定的安静，喜欢这样的感觉。
Vince♫,4,2010-01-23 22:34:53,0,小情歌
Lethe。,4,2007-09-20 22:07:59,0,流畅的钢琴音，磁性的声音，小情歌。
A-sun*,5,2007-12-16 05:00:06,0,小宇宙
Boating,NaN,2009-01-05 23:15:00,0,我有你的小宇宙~~
TristanShen,3,2009-01-17 19:42:24,0,3.5
錢漢樓,3,2010-07-30 16:51:34,0,娘死我了哦~~我哭了~~TOT
易水寒,4,2009-07-13 09:45:20,0,《小情歌》-《苏打绿》
٩Hazelو,4,2007-11-22 13:16:29,0,还是不会喜欢苏打绿，可是，就是喜欢小情歌。。。
K,4,2015-10-07 23:03:52,0,天哪！已经十年了！时间真是快！
kingfish,5,2007-03-25 23:33:26,0,1234情歌宇宙符号
笪笪,5,2011-11-30 22:06:47,0,挚爱的一张专辑、6星推荐~！！
baichi0038,5,2008-06-04 20:55:59,0,嗯~还能说什么呢？
战国客,4,2009-02-25 02:19:46,0,小情歌&小宇宙
icicle,4,2007-04-16 13:53:36,0,看着你背影来到，写下我度日如年的爱和离骚
少年桑将,3,2008-12-28 21:45:06,0,主打歌很棒，但是整张专辑没有第一张那么鲜明了
米粒,5,2009-07-28 19:33:12,1,“这是一首简单的小情歌”
Papaya,5,2007-08-26 09:48:25,0,他们的歌我最爱《背着你》
四二,5,2008-02-27 23:00:44,0,哈。=3=
器官坏死,NaN,2008-05-27 11:02:42,0,听多了有点恶心
六月天蝎,5,2007-05-11 09:47:18,2,这乐团早晚会火
蕾蕾,5,2008-12-25 20:20:29,0,小情歌背著你小宇宙
阿吼吼,5,2010-11-01 21:17:48,0,背着你读书背着你写字背着你伤痛背着你沉默背着你穿洞背着你得到一些时间背着你我按停了时间
hotdogyer,5,2007-06-04 16:33:46,0,啊~~好好的
林檎班学級委員,3,2011-11-24 12:19:06,0,英文词太可怕了
Kurt Curtis,3,2009-02-10 13:26:15,0,不喜欢这个唱腔，
mikaholic,4,2009-05-09 19:44:06,0,刚好在姣与古怪之间这张算好听了
知秋,5,2007-01-15 10:26:52,0,灵~
Mr.Or,5,2008-06-05 13:08:49,0,转折点
小鹿e^x,5,2013-07-13 18:36:41,0,唱片封面赞！
maple,5,2007-09-10 23:51:32,0,感动我的都是小情歌
肥利普先生,5,2009-02-17 22:23:03,0,恩...正。
迷藏,4,2009-02-11 09:13:25,0,就看在《小情歌》的面子上，也可以值四星了。
dooling,4,2007-01-03 05:37:02,0,还没爆发呢～嘿
小饼爱打咻咻拳,4,2010-05-11 00:33:08,0,算是我听过的三张苏打绿里面最好的一张了。背着你很好听
商狗,4,2013-06-11 02:29:36,0,6月10日的小宇宙。这个小宇宙是她的，但是这一年，只能让她却就在我处。
Hiro4,NaN,2012-05-20 13:48:27,0,险些打了一个「女歌手」的标签…
每天一粒茶叶蛋,5,2011-05-29 13:30:46,0,小宇宙小情歌不过最爱的还是小宇宙的小巨蛋live版TVT
韩大,4,2008-05-23 23:38:15,0,金曲奖大丰收的专集~
momo,NaN,2010-03-30 22:41:31,0,听不惯。
落雨天地,5,2009-08-25 20:24:53,0,买一张CD寄给远方的你。
糖,4,2006-10-22 01:13:58,0,为什么小情歌听了想哭
井行,5,2009-11-17 14:08:21,0,你是我的小情歌.过去时
等到风景都看透,5,2010-11-15 00:22:21,0,幻想是悠游在梦里的鱼看不懂
[已注销],5,2007-08-25 13:14:06,0,主打歌不错
2999圣诞老人,3,2009-12-16 11:47:28,0,小宇宙的歌词矫情地太糟，减一颗星。
Fionn,5,2010-02-17 21:14:13,0,被雨困住的城市。殿下。
我係我一蚊網,4,2011-07-14 15:41:34,0,小情歌背着你被雨困住的城市暂时失控吵
火勺火勺,5,2012-03-24 21:18:26,0,从小宇宙开始~~苏打绿开始在我的耳朵里旋转大爱...
朱大侠。,5,2011-08-16 12:07:48,0,这个城市为所欲为，我只要只属于我的小宇宙。每一道音轨都是情感的痕迹，即使你的星球和我的星球不一样，但总有一条轨道是可以被寻找，可以相通的。
温无,5,2009-12-16 23:50:37,0,谢谢了青峰的手写歌词
zhenmafan,4,2011-05-18 03:16:16,0,可惜只记得小情歌.
Amber,5,2009-06-10 21:19:42,0,好听
猫丢了的莫教授,4,2011-10-03 09:32:18,0,总感觉有点烂尾的嫌疑~前面的旋律那么好~后面就是主唱卖骚了~
