user_name,star,comment_time,vote,short
颜良辰,5,2009-05-16 12:31:42,105,如果没有梁静茹，那么今年连一首值得回忆的情歌都没有。广告词是这样说的。她也的确做到了。整张专辑延续了以往的风格。甜蜜，温馨，憧憬。她的确不需要改变自己迎合市场，只要是她唱的情歌，就会有听的人。她总是站在那个位置，把我们对爱情的渴望，憧憬一一慢慢吟唱。我最喜欢的是【每天第一件事】，就算没有和别人恋爱或者热恋，单看歌词，也能感受那种恋人间一直渴望的美好生活。
tlmgt,5,2011-06-07 02:05:29,52,宇珩写的《会呼吸的痛》很好听的R&B《一秒的天堂》隐藏神曲
Bill,4,2007-12-04 13:35:39,17,在冬日给人温暖的声音虽说同以往的专辑相比缺少一点突破但中规中矩的表现依旧十分优秀梁静茹就如同其名字给人的感受一样心静茹水直抵心灵
Jonathan,4,2016-11-14 23:36:08,27,9年前的11月梁静茹发行了这张崇拜，回忆那一年好像充满了好多事。徘徊在北京站听着Ces’tlavie，忙着准备考研的时候听着给未来的自己，幻想有一天可以去一趟台北的101，偷抽老爸的香烟……或许这不是梁静茹最好的一张，却是能让我一听就想起好多好多记忆的专辑。这是一张专辑承载的最重要的东西。
zard砸得王大崩,3,2007-11-14 22:01:59,8,情感疲劳只喜欢崇拜
锐利修蕊,4,2010-06-17 22:06:14,3,我以为不可能的，不会不可能，就是会呼吸的痛。
昏金暗玉,5,2008-01-03 14:16:09,4,阿喵推荐&豆瓣推荐。我果然是属于最主流又装文艺的那一批。
停用豆瓣勿cue,4,2011-09-11 20:54:43,5,「三吋日光」
叶子阿姨,4,2008-04-12 15:08:20,1,我存在在你的存在。
DeerColin,5,2012-11-01 21:36:15,2,最喜欢的一张专辑，同名主打给我印象太好！
ztlpoppy,4,2009-05-19 18:04:58,2,会呼吸的痛成了口水歌儿
泪小鱼|念。,NaN,2007-12-16 15:42:17,0,很温暖很温暖很温暖。
Claire,5,2008-02-11 21:49:41,1,喜欢让我感动的《崇拜》和《会呼吸的痛》。
功夫兔子,5,2010-08-31 10:26:12,5,能有一首情歌，叫人感动。能有一位歌手，叫人心动。那首歌叫崇拜，那个人是静茹。
要早睡啊minami,NaN,2008-04-02 10:32:54,0,崇拜这首歌，听到我都不想听了
眼角的花朵,4,2007-12-15 10:27:25,1,他很适合法语歌的氛围
丶,3,2011-11-16 00:38:23,1,即使有崇拜和会呼吸的痛这样你歌唱生涯的代表作，即使有如何眼前一亮的封面，也不能够拉高整张专辑到四星。太多不抓耳的歌曲，让人昏昏欲睡。想回归到丝路的质量，却过了开头几曲开始疲软之后更是略显不及直到结尾才让人又回复过来。大部分歌曲只是唱了出来，没有让人有感受到演绎二字。额外推荐生命中不可承受的轻。
littletwo,5,2007-11-09 22:54:56,3,c'estlavie.
sorrento,4,2008-02-19 13:44:34,0,比上一张好听。风格完整统一，这在现在的华语流行乐坛实属不易。
zbleo,NaN,2008-09-13 16:04:42,3,很喜欢里面的《给未来的自己》
凹凸代餐,1,2009-11-27 20:53:48,0,梁静茹史上最烂一张
草威,3,2009-10-09 22:09:06,0,听到最后一首粤语时才舒服一点
thundercat,4,2007-12-19 23:11:48,1,所以我将心缠绕静静的守候着人潮
露涩橙,4,2010-08-11 12:58:17,1,会呼吸的痛..生命中不可承受的轻
不非否,5,2011-02-06 02:49:37,2,情绪和声音表情都做得非常棒
小魔@优雅穿梭,3,2009-09-24 12:59:02,0,商业化的大众声音，如果不是主强烈要求发给我，估计我很难主动去听。。。。还行，还行，十年前我一定会喜欢的，现在听到的只能是熟悉，还行。。。。
P_Unicorn,5,2009-01-09 13:07:40,0,至少我很坚强，我很坦荡!
Kinoko,5,2011-03-23 22:58:17,0,每天第一件事=▽=
大橘喵子^ ^,4,2010-05-11 15:36:25,0,愿我们各自都有美好的一生美好的憧憬爱在遗憾里更清晰
眠去,3,2007-11-22 16:55:12,0,你因为了我每个所以，所以了这一百年孤寂。
Ridden,NaN,2008-12-04 23:21:14,0,三吋日光。崇拜。每天第一件事。~~~~~~~~~~~~~~~~~~~~~~这张我依然很喜欢。
飞老湿,3,2013-11-04 15:41:50,0,【听过补遗】没什么好说的，不喜欢“崇拜”这首歌，但是也不算讨厌吧。这张专辑没怎么仔细听过，但是有人唱的话又觉得是熟悉的，总之肯定听过但是没有印象。平凡之作，后来总是端着的梁大天后怎能跟早期“一夜长大”的梁MM相比呢～
○Ⅴ○,5,2012-04-21 22:54:06,0,“或许这世界上有些梦，美在永远我不到”“美梦别成真，梦醒让我不留疤痕”天灯和知多少，是多么相似。这世上有多少刻意和无意的相似，只是与梁静茹无关。对你，我永不会厌弃。
Luffyjun,4,2012-05-21 23:25:34,0,她算是清澈干净声音之一。。。。之前都听过。。
斯 琰 🌈 🍭,5,2009-12-27 11:23:08,1,【永远的最爱。】
大头绿豆,5,2008-01-05 21:45:36,0,《崇拜》，开头就震了俺一下。水准如一。
戒掉猫的鱼,5,2008-07-11 14:03:51,0,静茹一贯的小甜蜜，却还是让人如此动容
不擅长,4,2010-01-29 22:04:28,0,9
钟,5,2009-05-13 16:16:55,0,好听。
薇羅尼卡,4,2007-11-28 20:58:16,0,三吋时光，会呼吸的痛听她的歌更多是一种习惯
Illusion,4,2007-11-19 10:03:37,0,会呼吸的痛，给未来的自己
A,NaN,2007-12-07 22:35:58,1,就是很梁静茹的歌，《崇拜》
坏人瓦卡卡卡卡,4,2007-11-14 12:52:03,0,你挥霍了我的崇拜
Белка,4,2008-01-12 22:13:33,0,还好吧...不太喜欢怨妇歌==
Rouge Rouge,4,2010-06-21 00:47:50,0,温暖的清唱
杜扬Seatory,4,2008-08-13 14:51:07,0,周格泰很赞
Esther GDB,5,2010-10-05 11:44:15,1,最喜欢的一张吧。这时她还不到三十岁，那时候觉得她好大啊……
Gong Shore,5,2007-11-30 12:59:09,0,想要打预防针一样的习惯冬季里听她的声音
不眠飞行,5,2009-02-16 22:06:40,0,一秒的天堂
半辈子,NaN,2007-12-10 17:48:19,1,照着玉米、笔杆、凉粉、饭盒们的路子，我是梁静茹小姐的茹房……
小岩菽,3,2007-11-18 15:23:54,0,你从不是幸福里蜕变为红色。
娘口三三,5,2008-12-20 12:29:59,0,太出色的一张专辑了~
宇宙宝贝,4,2009-03-01 19:06:40,0,刚刚离开家的时候很有共鸣会呼吸的痛
zk,4,2010-03-12 01:33:51,0,声音还是很纯的
Vince♫,NaN,2011-10-01 17:06:45,0,会呼吸的痛
ishine,5,2007-12-27 13:21:46,0,会呼吸的痛听到直不住地哭...
Lethe。,3,2007-12-10 13:07:23,0,你不觉得我们都需要改变了吗？可是我不喜欢这样子啊。
程萬萬金,3,2008-01-13 13:49:57,0,会呼吸的痛很好听
Icilian,4,2009-12-21 20:42:37,2,其实很不喜欢大家都很Like的《会呼吸的痛》和《崇拜》，播到烂都没能爱上。反而简简单单的《三寸日光》让我好舒服。
Travis,3,2008-01-28 13:23:23,0,有点腻
#天籁💤#⛓️,5,2013-12-17 16:33:52,1,纪念09年夏天每一次和小6听《给未来的自己》都会哭的日子
KAVA,5,2010-11-17 21:54:38,0,对这张专辑的爱不亚于燕尾蝶那张当然还包括没有收录的《我决定》
碧心,5,2009-08-04 14:08:26,0,其实，这是最爱静茹的一张！
momo,NaN,2009-09-23 13:16:43,0,风筝有风海豚有海我存在在我的存在所以明白所以离开所以不再为爱而爱自己存在在你之外
٩Hazelو,4,2007-11-18 10:49:04,0,你挥霍我的崇拜我戒掉我的溺爱
yleo77,NaN,2008-03-19 20:03:33,0,梁静茹的，没什么缺点了。但也不会进入我的强力推荐之列。个人还是偏向于喜欢听男声
baichi0038,4,2010-04-04 13:08:48,0,在回家的车上，看到了崇拜的MV～忽然发现这首歌真的很好听～很多时候偶都是后知后觉～～～
靠谱青年™🌈,5,2007-12-20 00:49:12,0,在听，一直在听
战国客,4,2009-02-25 01:31:42,0,给未来的自己&三吋日光&会呼吸的痛
