user_name,star,comment_time,vote,short
Topfun,5,2014-07-18 22:48:06,1066,十年前你说生如夏花般绚烂，十年后你说平凡才是唯一答案http://www.xiami.com/song/1773346501
Luffyjun,4,2014-07-26 23:35:56,442,朴树可真是转型了啊，有许巍的空旷有汪峰的大气，可，忽然来段周杰伦的Rap是怎么回事啊。。。歌词不错。。。错过的和过错的都放下吧
丁小云,5,2014-07-16 20:21:46,530,下午单曲循环这首歌，直至眼泪流干……昔日自命不凡的孤傲青年，十年后对我说平凡如野草野花是人生唯一的答案……也许你是对的，只是我不愿承认你是对的……因为我还在挣扎呢，因为我还在做梦呢，因为我还想远走高飞呢……
韧勉,5,2014-07-27 11:27:42,378,如果仅仅从技术层面而言这首歌挺平庸的，但是仔细体会歌词，我觉得这也是对我本硕连读七年的神奇专业学成归来的最好注脚。
柠檬 -w-,NaN,2014-07-26 23:11:17,133,不你说你年轻的时候留一束遮住眼睛的刘海以一个中二青年的忧郁表情唱伪苏联式的伤感也算是可以感动人吧，但这都一把年纪了然后还这么沉醉在这种不咸不淡高不成低不就都调调里，还觉得自己经历世事似的，根本goingnowhere，这真的好么
dirtyme,2,2014-08-01 08:58:40,60,问自己，你到底好在哪里
LORENZO 洛伦佐,3,2014-07-28 17:49:59,70,你们是如何在这样一首索然无味的歌里听出情怀的？
yh.,3,2014-07-19 09:48:34,80,把那段rap去掉会更好
加州站街男孩,4,2014-07-16 20:26:16,47,【2014年红遍人人网的十首歌】
P_Unicorn,5,2014-07-16 15:36:10,65,我曾经像你像他像野草野花
冰山李,2,2014-07-16 22:31:54,22,我是韓寒，我只代表我自己，我和你一樣，我是凡客
redhousepainter,1,2014-07-17 18:08:28,33,我在微博上吐槽，这歌词也就中文四级水平。吴姐更狠，更不留情面，零分。哈哈哈。
lenlen,3,2014-07-16 12:07:19,23,面对满屏的五星好评，我标一三星，会被围攻么…（是这样，朴树这个人5分，韩寒的词5分，曲3分，编曲-1分。看，有理有据的…）
苏觋觋,1,2014-07-20 20:44:21,33,无论旋律还是编曲都太烂了。说好听的人我一律怀疑他们最基本的审美。
tlmgt,4,2014-07-16 18:15:34,20,现在听起来，没那么讨厌朴树《平凡之路》了-不喜欢这首歌，不喜欢的点也不应该是朴树，应该是韩寒才对。DLL给了这歌高分也不是完全不能理解，这歌还是做对了一些事情，比如那个听起来有苏俄军人感的和声(但这也是让我不适的原因)当然这样做没错，那个旋律就该搭配这样的和声，不然就没效果了
JulyChan,NaN,2014-07-17 14:04:38,25,屠龙的人心里还挂着一把屠龙刀，可是龙已经不见了。于是他们叫他，先烈。
影志,4,2014-07-16 11:54:32,31,歌词很土，曲子感觉回到了许巍年代...不过总归好久没听到朴树了，《后会无期》，未见其影，先闻其声。
半澤直叔,5,2014-08-01 11:42:43,16,下张专辑真的是后会无期了吧？
豆友3444364,1,2014-08-09 01:30:48,25,改成平庸之路会更有情怀更动人
白色的蓝,3,2014-07-17 10:37:09,7,为什么有早期周杰伦的感觉？
米粒,4,2014-07-17 02:20:03,15,确实停不下来！上一次买他的碟竟是高一。。。
91.7,3,2014-07-26 01:15:31,8,被動聽了好多遍了真是奇怪啊
胤祥,4,2014-07-16 13:23:44,22,那段Rap还是必须要扣一星……“我曾经毁了我的一切/只想永远地离开/我曾经堕入无边黑暗/想挣扎无法自拔”，这段绝对是抑郁过的人写的，估计不是韩寒写的……“我曾经跨过山和大海/也穿过人山人海/我曾经问遍整个世界/从来没得到答案”，这么多年了朴树依然犀利。被戳得好痛……
tripler,5,2014-07-16 11:46:41,9,那也曾是我的模样
马小跳,5,2014-07-16 20:55:45,8,音乐的好处在于，在客观的科学乐理外仍有一套可以被堂而皇之接受的感性判断。自己的昔日偶像在自己导演的电影里唱歌，这事儿光是想想就让人心潮澎湃。
王腿毛,2,2014-07-16 21:12:19,10,别人就算了，你是朴树好么...
皮卡丘Casper,5,2014-07-16 13:04:00,12,真是把整个电影档次拉高了。。。
高歌,5,2014-07-16 20:25:08,10,“我曾经跨过山和大海，也穿过人山人海”循环了一天。
Kreuzberg,NaN,2014-07-16 14:30:47,5,还是就事论事吧，不把别的因素考虑进去，这首歌也就那样。
焦糖馆馆,1,2014-07-17 03:15:03,10,确实好平凡啊哈哈哈，viavia什么鬼。。
夏日扬帆,3,2014-07-17 08:14:11,8,不常与各位唱反调，但是真是更爱邓紫棋那首
石湃溪,3,2019-04-11 15:06:35,1,這個分更是……2.5差不多？
.,2,2014-08-02 16:38:29,7,后面那段叨叨太恶心了
小小鱼,5,2014-07-30 10:55:46,8,妈的听哭了啊！
mosquito惟,5,2014-08-15 12:24:02,9,高中，学校操场跑圈，淌着自行车，说些对明天的期待，一扭头我们就走到了这条不会更好也不会更坏的平凡之路。
丶,4,2014-08-10 11:11:14,4,其实我觉得朴树的声音不是最适合这首歌的选择。
时以星,5,2014-07-19 10:50:27,8,朴树的声音还是在那年纪，他和周迅一起的时候，好像还是少年，自然，不修饰，但多了温暖，多了故事，这都是时间的痕迹。无需问因由，今天他为何要走平凡之路，今天她说爱一个人不再那么看重他的才华，而更在意他的善良与诚实。时间会给人答案，也会生出新的疑问。我只知，爱就是爱，不爱即不爱。
At7antic,4,2014-07-18 22:26:39,8,够显B格，80后易中枪
英恩,4,2014-07-22 11:07:20,3,听完《平凡之路》，我觉得中国的TheFray这个称号基本上可以颁给朴树了，真是BGM小能手啊。
五色全味,3,2014-07-17 20:53:29,5,通俗。詞全交給朴樹寫會更好一些
Ryan,5,2014-07-19 23:47:12,8,客观打分70不过冲着这歌词五星是给定的至于那些说没有大起大落就不要装逼的高冷婊们不是每个人都非得要死要活走一遭再心甘情愿永远淹没在人海里趁自己还年轻别停下脚步抱着美好的向往坚定地走下去
