user_name,star,comment_time,vote,short
昏金暗玉,5,2011-06-23 11:40:11,212,五月天的歌是不是只有一个叫“青春”的主题，快乐悲伤都是热血沸腾，所有的故事都有关于“那一年天空很高，风很清澈”。
Claire,4,2008-11-27 16:42:58,118,如果忘记了青春的味道，听五月天吧。不管你是不是真正的快乐，不管你在此刻突然想起了谁，不管你的心中是否还有尚未崩坏的地方，爆肝也好，噢买尬也罢，你都会想起自己曾怎样挥霍青春，肆无忌惮，目中无人，天真执着，满腔热情。这十二首后青春期的诗，很对味。
tlmgt,4,2011-05-17 18:47:33,70,如烟。笑忘人间的苦痛只有甜美！这句很爽。a2.虽然每次在KTV唱都要面临破音的危险。
Luffyjun,5,2011-02-16 14:44:16,33,阿信的歌词像诗一样美
文泽尔,4,2008-11-18 05:53:51,40,十分喜欢你不是真正的快乐。呃，其实也不是十分喜欢，关键是某人天天都在放，于是。。。
哟吼吼吼~,NaN,2020-05-03 15:50:12,21,五月天的标签居然是摇滚吗？啊哈哈哈哈哈！
Bill,4,2009-07-02 20:08:15,3,今年为数不多的惊喜标准放得越来越低了
Odding,2,2008-11-05 15:57:05,12,根本就听不下去。难听。
吴嘎嘎,3,2008-11-15 22:36:27,5,你不是真正的快乐
TsingSea就是,5,2009-03-10 20:11:36,13,实力分+感情分我确实没法子不打五星-v-
L I M O,5,2008-10-23 19:46:17,9,生存以上生活以下。
叶子阿姨,5,2009-02-18 16:14:16,5,那年，我们说，要玩一辈子的音乐，要做一辈子的热血青年。
阿朽,3,2009-11-09 11:32:19,3,差不多听完了给一星完全找不到可以给别的分数的地方又流行又难听---后来还是给两星突然很想你这首很写实很动人加个分
好像一段呆木头,5,2020-05-19 16:33:25,12,突然好想你，你不是真正的快乐，如烟，后青春期的诗都是顶级爆曲，带着少年的烦恼和忧伤，爆肝，噢买尬朗朗上口，带着少年的热情和放浪
范德一彪 Alex,4,2012-09-14 14:41:20,1,第7张不是这张有多好，只是前面的几张太狗屎了
郁程,5,2011-01-24 08:35:44,5,删之前给个五星，如烟，往事如云烟。“给我一个夏天，能不能更美丽”
知识雪豹,2,2018-12-14 16:50:51,0,除开如烟，其余的麻烦都滚粗，矫揉造作
令糊葱,4,2008-12-23 22:24:52,4,算国语里比较不错的流行摇滚了。
糖罐子,5,2008-11-13 16:34:27,2,对歌词有偏执
Song³,4,2008-11-18 13:34:45,4,第20届金曲奖最佳乐团奖
Adkins_Jiang,5,2020-05-12 09:31:14,10,你不是真正的快乐，你的笑只是你穿的保护色。
赵无眠,4,2009-02-16 22:51:59,1,听名字就超喜欢！
33迟来_小小岛,4,2011-10-24 15:48:06,2,你不是真正的快乐突然好想你说实话对五月天感觉太躁了
石湃溪,5,2019-12-07 22:36:13,1,雖然我的後青春期全是蘇打綠。。
冰山李,3,2008-12-15 09:49:56,1,《笑忘歌》让我听出了可米小子的感觉
英恩,5,2010-06-23 13:08:38,2,所有和五月天相关的都是和某人相关的回忆
香水瓶,5,2009-03-25 14:58:58,1,你有多久没有畅快的笑你有多久没有痛快地哭你就有多久没有真正的快乐
