user_name,star,comment_time,vote,short
川总,4,2011-10-23 13:30:15,134,我身骑白马呀，走三关。。。。。我改换素衣过中原。。。。放下西凉没人管，我一心只想王宝钏。。。
锐利修蕊,4,2010-11-04 18:32:16,160,我不是一定要你回来，但是当又一个人看海。
tlmgt,5,2011-05-16 23:31:24,52,圆舞曲和出口明知故犯超好听的。除了没锁门以外基本没什么不好的歌
Jonathan,4,2012-02-04 11:44:22,72,近年来少见的漂亮处女秀。徐佳莹用发自内心的素人力量唱出了内心的义无反顾。不懂和弦不可怕，只要有対音乐的认真和尊敬，依旧可以唱出难得的旋律感动听众。首秀的成功让人知道在这个浮躁的乐坛还有一个看似渺小的力量值得期待。歌手全创作的专辑越来越稀少了。为拉拉起立鼓掌！
潋 | Béatrice,4,2010-07-25 21:09:36,44,希望你走得更远。
Jude秘密仙神,5,2010-02-27 22:28:43,1,“就算不知道出口是什麽模样我会继续的前往‘’
Bill,5,2009-05-29 13:34:04,12,创作能力佳身骑白马
城南草木生,4,2010-09-01 15:30:52,12,很好的一把嗓子啊
StevenTong,5,2009-06-20 17:04:56,10,《身騎白馬》真是不得了，不過必須指出的是，在康熙第一次聽到的現場版給我的震撼和感染力更大。
Claire,5,2009-05-30 14:18:08,10,【失落沙洲】【身骑白馬】【一样的月光】
Boron_Phage,4,2017-12-20 08:30:11,1,B+唱作俱佳。独特且真诚。cut.喔伊细，VIP，失落沙洲，明知故犯。【失落沙洲后面的drum＆bass是谁编的，能让我打一顿吗？】
香水瓶,5,2009-10-06 15:08:56,3,听了《身骑白马》就爱上了开始听！
肖浑,4,2010-01-05 17:13:17,1,身骑白马VIP哼情歌
白色的蓝,4,2009-06-16 10:36:31,2,我不是一定要你回来
L I M O,5,2009-05-29 18:36:03,3,失落沙洲。
颜良辰,5,2009-11-10 19:16:57,1,这个还不错撒。
郁程,4,2012-02-05 21:20:40,1,俺家熊宝是K歌之后！
1806,5,2010-07-13 20:52:23,2,怎么我现在才标记这张天籁？罪过罪过~声音圆润甜美又有爆发力，既有创作人的才华与独立，歌曲却又不失生疏感，有质量的同时又很好地迎合了市场。满分。
Yome,4,2009-11-11 21:28:16,2,鼓勵一下
